Rk,Team,Date,H/A,Opp,Result,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%
207,LAL,2024-11-29,,OKC,"L, 93-101",75.8,4.4,11.3,17.1,52.6,13.1,8.6,9.1
208,MIN,2024-11-27,,SAC,"L, 104-115",75.8,11.2,15.8,14.9,60.9,8.1,8.6,14.5
209,BRK,2025-02-24,@,WAS,"L, 99-107",75.8,17.0,10.3,16.0,74.3,7.5,16.7,22.9
210,CHI,2025-01-29,@,BOS,"L, 100-122",75.7,3.0,16.3,13.4,78.0,9.0,7.0,8.3
211,CHI,2024-12-21,,BOS,"L, 98-123",75.7,7.9,7.3,11.2,56.3,7.9,7.0,10.2
212,DAL,2025-02-21,,NOP,"W, 111-103",75.7,7.9,6.2,12.5,65.8,7.9,14.3,12.0
213,LAL,2024-11-04,@,DET,"L, 103-115",75.7,8.1,1.6,11.8,48.9,6.1,8.3,10.2
214,BRK,2025-01-17,@,LAL,"L, 101-102",75.7,5.5,12.5,16.2,63.2,6.6,15.9,10.0
215,OKC,2025-03-23,@,LAC,"W, 103-101",75.7,9.4,14.3,8.2,57.1,6.3,14.0,12.9
216,ATL,2024-11-09,,CHI,"L, 113-125",75.6,7.7,9.4,12.0,65.2,11.6,10.0,15.0
217,CHO,2025-02-01,,DEN,"L, 104-107",75.6,5.1,11.8,10.5,70.7,9.2,13.0,10.2
218,CHO,2024-12-26,@,WAS,"L, 110-113",75.6,5.7,8.5,15.9,64.1,8.6,13.5,9.6
219,IND,2024-11-24,,WAS,"W, 115-103",75.6,8.3,6.8,10.9,66.7,8.3,8.5,15.9
220,LAL,2025-02-12,@,UTA,"L, 119-131",75.6,4.9,6.7,11.7,66.7,9.9,19.0,10.7
221,MEM,2024-11-17,,DEN,"W, 105-90",75.6,10.3,18.9,11.9,65.7,9.3,9.6,14.3
222,MIN,2024-12-04,@,LAC,"W, 108-80",75.6,15.0,11.6,13.9,44.8,7.0,4.9,20.6
223,MIN,2024-12-02,,LAL,"W, 109-80",75.6,11.6,4.2,14.6,59.4,8.4,4.3,19.8
224,PHO,2025-03-10,@,MEM,"L, 118-120",75.6,6.1,5.0,13.8,65.0,9.2,13.5,13.3
225,PHO,2025-03-04,,LAC,"W, 119-117",75.6,5.4,5.7,10.7,67.4,8.6,6.5,6.9
226,PHO,2024-12-25,,DEN,"W, 110-100",75.6,13.2,8.2,8.5,55.6,3.3,3.8,15.0
227,SAS,2025-02-03,@,MEM,"L, 109-128",75.6,7.2,3.2,18.7,68.8,15.3,9.1,12.2
228,ATL,2025-01-01,@,DEN,"L, 120-139",75.6,9.1,7.8,11.4,83.0,7.3,9.3,11.2
229,CHI,2025-01-31,@,TOR,"W, 122-106",75.6,4.0,14.5,10.2,69.2,6.0,16.3,6.3
230,DEN,2025-01-10,,BRK,"W, 124-105",75.6,11.7,11.1,12.9,68.4,8.8,7.9,14.7
231,GSW,2025-02-08,@,CHI,"W, 132-111",75.6,8.1,17.5,12.8,68.6,8.1,9.5,15.5
232,NYK,2025-03-10,@,SAC,"W, 133-104",75.6,13.0,1.9,14.4,50.0,7.0,9.1,15.6
233,NYK,2024-12-30,@,WAS,"W, 126-106",75.6,9.0,4.1,6.8,64.1,6.0,14.8,11.3
