Rk,Team,Date,H/A,Opp,Result,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%
167,NYK,2024-11-17,,BRK,"W, 114-104",76.7,4.4,14.3,7.7,96.9,1.1,6.3,9.2
168,BRK,2025-01-25,,MIA,"L, 97-106",76.7,11.4,9.8,14.1,62.9,9.4,15.0,19.7
169,ATL,2025-02-08,@,WAS,"W, 125-111",76.6,5.7,12.3,10.3,63.4,5.7,3.8,15.0
170,CLE,2025-01-08,,OKC,"W, 129-122",76.6,7.0,3.4,12.8,72.9,8.9,9.3,11.8
171,GSW,2024-11-20,,ATL,"W, 120-97",76.6,9.0,11.7,12.1,77.1,8.1,8.2,12.8
172,MEM,2025-03-03,,ATL,"L, 130-132",76.6,7.1,4.4,16.1,63.6,12.1,11.7,10.4
173,MEM,2024-11-29,,NOP,"W, 120-109",76.6,8.8,8.1,13.4,42.1,8.8,12.7,12.6
174,OKC,2025-03-19,,PHI,"W, 133-100",76.6,10.1,13.2,12.4,68.6,8.0,7.9,10.5
175,PHO,2024-12-13,@,UTA,"W, 134-126",76.6,10.6,18.4,7.6,69.8,5.3,13.6,14.8
176,SAS,2025-03-21,,PHI,"W, 128-120",76.6,10.9,11.4,13.4,65.2,9.9,8.0,18.2
177,LAL,2025-03-20,,MIL,"L, 89-118",76.5,5.2,8.2,19.8,60.0,12.6,8.0,8.3
178,MIA,2025-01-23,@,MIL,"L, 96-125",76.5,3.0,5.2,9.8,69.6,5.1,14.6,6.2
179,ORL,2024-11-13,,IND,"W, 94-90",76.5,8.4,18.5,15.8,68.8,10.4,13.0,15.6
180,TOR,2024-12-19,,BRK,"L, 94-101",76.5,6.5,9.3,11.5,54.5,3.3,14.3,15.1
181,ATL,2025-02-10,@,ORL,"W, 112-106",76.3,10.2,6.3,16.0,59.5,10.2,17.8,16.9
182,GSW,2025-03-28,@,NOP,"W, 111-95",76.3,10.7,1.7,9.5,72.7,6.4,13.5,14.6
183,MIN,2025-02-01,,WAS,"L, 103-105",76.3,9.9,6.0,13.7,68.4,6.9,11.3,15.8
184,SAS,2025-02-25,@,NOP,"L, 103-109",76.3,13.7,6.3,16.5,61.0,10.7,12.2,15.3
185,SAS,2024-11-23,,GSW,"W, 104-94",76.3,5.5,17.6,8.8,80.6,4.4,7.9,9.0
186,SAS,2024-11-09,,UTA,"L, 110-111",76.3,7.7,20.4,17.6,60.5,12.5,10.5,15.6
187,TOR,2025-03-16,@,POR,"L, 102-105",76.3,12.5,0.0,14.9,58.3,10.4,11.1,18.7
188,ATL,2025-01-09,@,PHO,"L, 115-123",76.2,11.7,5.8,10.5,67.3,7.4,11.1,14.9
189,BOS,2025-01-31,@,NOP,"W, 118-116",76.2,11.6,13.2,12.0,36.4,6.7,4.7,16.9
190,CLE,2025-01-16,@,OKC,"L, 114-134",76.2,1.9,9.6,17.5,47.2,11.3,10.4,6.0
191,IND,2024-10-23,@,DET,"W, 115-109",76.2,10.1,14.5,13.8,57.9,6.1,3.8,12.2
192,NOP,2025-01-14,@,CHI,"W, 119-113",76.2,10.9,8.5,8.5,68.9,7.9,13.0,12.3
193,NYK,2024-12-09,@,TOR,"W, 113-108",76.2,7.5,11.5,10.0,53.5,4.3,9.5,11.4
194,SAS,2024-12-01,@,SAC,"W, 127-125",76.2,6.1,13.0,14.7,68.1,8.2,13.9,8.2
195,WAS,2025-03-05,,UTA,"W, 125-122",76.2,8.6,19.7,7.7,44.7,4.8,6.3,12.0
196,CHI,2025-02-26,,LAC,"L, 117-122",76.1,9.3,2.1,14.7,75.0,9.3,19.2,14.0
197,DEN,2024-12-23,,PHO,"W, 117-90",76.1,6.4,8.0,11.2,69.7,6.4,10.2,14.3
198,IND,2025-01-04,,PHO,"W, 126-108",76.1,7.3,8.3,7.1,78.9,3.1,12.5,13.0
199,IND,2024-11-01,@,NOP,"L, 118-125",76.1,3.0,4.3,12.9,57.1,8.0,7.8,6.8
200,SAC,2025-03-17,,MEM,"W, 132-122",76.1,10.8,11.7,12.2,54.5,7.9,14.9,15.4
201,UTA,2025-03-02,,NOP,"L, 121-128",76.1,3.8,6.9,11.2,66.0,7.7,9.6,9.3
202,IND,2025-02-12,@,WAS,"W, 134-130 (OT)",76.0,6.3,9.6,7.2,61.7,4.5,9.7,14.7
203,SAC,2024-12-28,@,LAL,"L, 122-132",76.0,7.2,3.9,8.7,71.7,4.1,5.2,10.7
204,SAC,2024-11-13,,PHO,"W, 127-104",76.0,7.3,14.8,16.6,63.9,12.6,4.0,8.4
205,CHO,2025-01-03,@,DET,"L, 94-98",75.8,8.1,10.7,16.2,53.8,13.2,14.0,13.2
206,GSW,2025-03-15,,NYK,"W, 97-94",75.8,7.7,8.1,10.6,54.1,6.6,14.3,12.4
