Rk,Team,Date,H/A,Opp,Result,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA
548,IND,2025-02-20,,MEM,"W, 127-113",123.1,109.5,.242,.495,.631,.599,.198,109.5,123.1,.222,.394,.520,.475,.192
549,DET,2025-01-31,,DAL,"W, 117-102",123.1,107.3,.151,.330,.518,.486,.132,107.3,123.1,.241,.379,.530,.489,.195
550,BOS,2024-12-12,,DET,"W, 123-99",123.1,99.1,.144,.533,.642,.622,.122,99.1,123.1,.102,.378,.483,.464,.082
551,GSW,2024-11-06,@,BOS,"W, 118-112",123.1,116.8,.264,.374,.581,.538,.220,116.8,123.1,.233,.600,.564,.528,.189
552,CLE,2025-03-14,@,MEM,"W, 133-124",123.0,114.7,.375,.580,.649,.608,.295,114.7,123.0,.216,.371,.584,.552,.175
553,NYK,2025-03-26,,LAC,"L, 113-126",123.0,137.2,.262,.405,.603,.577,.190,137.2,123.0,.273,.341,.639,.602,.227
554,LAC,2024-11-17,,UTA,"W, 116-105",123.0,111.3,.181,.426,.572,.548,.138,111.3,123.0,.228,.506,.604,.570,.190
555,LAC,2024-11-06,,PHI,"W, 110-98",122.9,109.5,.264,.389,.684,.653,.222,109.5,122.9,.260,.342,.602,.596,.151
556,DAL,2024-12-07,@,TOR,"W, 125-118",122.9,116.0,.457,.556,.642,.574,.395,116.0,122.9,.194,.419,.585,.543,.183
557,PHO,2025-01-25,,WAS,"W, 119-109",122.9,112.6,.311,.444,.582,.517,.289,112.6,122.9,.100,.456,.580,.567,.078
558,ATL,2024-12-28,,MIA,"W, 120-110",122.9,112.7,.256,.430,.627,.599,.198,112.7,122.9,.200,.456,.562,.517,.189
559,PHI,2024-11-22,,BRK,"W, 113-98",122.9,106.6,.217,.467,.561,.533,.163,106.6,122.9,.089,.468,.597,.576,.089
560,MEM,2025-03-10,,PHO,"W, 120-118",122.8,120.8,.314,.535,.613,.564,.267,120.8,122.8,.244,.422,.592,.567,.178
561,LAC,2025-03-11,@,NOP,"L, 120-127",122.8,130.0,.196,.457,.600,.576,.152,130.0,122.8,.212,.365,.683,.653,.188
562,SAC,2025-02-26,@,UTA,"W, 118-101",122.8,105.1,.138,.414,.639,.615,.126,105.1,122.8,.202,.524,.552,.548,.107
563,NOP,2024-11-06,,CLE,"L, 122-131",122.8,131.8,.318,.307,.608,.551,.284,131.8,122.8,.135,.365,.644,.630,.104
564,MIL,2025-03-13,,LAL,"W, 126-106",122.8,103.3,.384,.465,.627,.576,.314,103.3,122.8,.207,.460,.558,.523,.172
565,TOR,2025-02-04,,NYK,"L, 115-121",122.8,129.2,.232,.354,.636,.591,.220,129.2,122.8,.245,.266,.581,.543,.202
566,GSW,2025-02-10,@,MIL,"W, 125-111",122.7,109.0,.409,.484,.570,.511,.323,109.0,122.7,.447,.434,.610,.566,.329
567,DET,2025-02-26,,BOS,"W, 117-97",122.7,101.7,.191,.371,.606,.601,.112,101.7,122.7,.188,.613,.560,.544,.125
568,CHI,2025-03-13,,BRK,"W, 116-110",122.7,116.4,.289,.411,.572,.517,.256,116.4,122.7,.188,.354,.529,.505,.135
569,DAL,2024-11-22,@,DEN,"W, 123-120",122.7,119.7,.297,.297,.598,.560,.231,119.7,122.7,.322,.322,.584,.561,.211
570,LAC,2025-01-19,,LAL,"W, 116-102",122.6,107.8,.157,.337,.609,.590,.124,107.8,122.6,.250,.355,.605,.559,.224
571,DET,2025-01-11,,TOR,"W, 123-114",122.6,113.6,.250,.393,.660,.637,.190,113.6,122.6,.293,.413,.549,.522,.196
572,LAL,2024-12-25,@,GSW,"W, 115-113",122.6,120.4,.198,.462,.581,.533,.198,120.4,122.6,.191,.506,.586,.562,.146
573,DAL,2025-02-13,,MIA,"W, 118-113",122.6,117.4,.178,.400,.608,.583,.144,117.4,122.6,.286,.396,.552,.527,.187
574,MIA,2024-11-15,@,IND,"W, 124-111",122.5,109.6,.264,.483,.638,.603,.218,109.6,122.5,.128,.407,.611,.593,.105
575,HOU,2024-12-08,@,LAC,"W, 117-106",122.4,110.9,.317,.500,.626,.579,.268,110.9,122.4,.174,.370,.535,.505,.141
576,MEM,2025-01-30,,HOU,"W, 120-119",122.4,121.4,.215,.301,.589,.565,.161,121.4,122.4,.289,.330,.544,.500,.227
577,DET,2025-03-03,@,UTA,"W, 134-106",122.4,96.8,.304,.446,.642,.614,.228,96.8,122.4,.390,.402,.552,.488,.317
578,LAC,2025-03-14,@,ATL,"W, 121-98",122.4,99.1,.233,.314,.638,.616,.174,99.1,122.4,.193,.375,.513,.472,.170
579,MEM,2025-03-29,,LAL,"L, 127-134",122.4,129.2,.189,.337,.617,.600,.137,129.2,122.4,.303,.483,.664,.612,.281
580,LAL,2025-01-15,,MIA,"W, 117-108",122.4,113.0,.156,.378,.608,.594,.111,113.0,122.4,.205,.493,.678,.644,.192
581,BOS,2025-02-23,,NYK,"W, 118-105",122.4,108.9,.121,.484,.616,.588,.121,108.9,122.4,.120,.391,.542,.511,.120
582,DET,2025-02-12,@,CHI,"W, 128-110",122.4,105.2,.398,.284,.619,.568,.318,105.2,122.4,.349,.477,.554,.483,.314
583,CHI,2025-01-31,@,TOR,"W, 122-106",122.3,106.3,.191,.449,.632,.607,.157,106.3,122.3,.293,.326,.510,.478,.196
584,ATL,2025-01-09,@,PHO,"L, 115-123",122.3,130.8,.198,.372,.615,.576,.186,130.8,122.3,.176,.388,.671,.653,.141
585,MIN,2025-02-13,,OKC,"W, 116-101",122.3,106.4,.222,.465,.534,.485,.202,106.4,122.3,.273,.330,.512,.460,.227
586,POR,2024-12-13,,SAS,"L, 116-118",122.2,124.4,.207,.500,.648,.610,.195,124.4,122.2,.247,.353,.626,.600,.188
587,BOS,2025-04-02,,MIA,"L, 103-124",122.2,147.2,.184,.494,.548,.517,.149,147.2,122.2,.325,.361,.653,.602,.289
588,CHO,2025-03-20,,NYK,"W, 115-98",122.2,104.2,.193,.364,.602,.574,.159,104.2,122.2,.222,.433,.496,.456,.178
589,MIL,2024-11-23,,CHO,"W, 125-119",122.2,116.4,.292,.416,.622,.584,.236,116.4,122.2,.210,.470,.545,.505,.180
590,ORL,2025-04-01,@,SAS,"W, 116-105",122.2,110.6,.133,.522,.609,.578,.133,110.6,122.2,.210,.395,.593,.574,.148
591,CLE,2025-01-20,,PHO,"W, 118-92",122.2,95.3,.242,.484,.561,.532,.179,95.3,122.2,.169,.338,.556,.532,.130
592,UTA,2024-12-26,@,POR,"L, 120-122",122.2,124.2,.291,.488,.619,.599,.198,124.2,122.2,.247,.427,.618,.590,.191
593,BOS,2025-01-29,,CHI,"W, 122-100",122.2,100.1,.310,.506,.617,.575,.253,100.1,122.2,.130,.533,.514,.484,.120
594,MIL,2024-11-26,@,MIA,"W, 106-103",122.2,118.7,.221,.545,.627,.597,.182,118.7,122.2,.390,.377,.571,.519,.299
595,BRK,2024-12-08,,MIL,"L, 113-118",122.1,127.5,.198,.432,.642,.605,.185,127.5,122.1,.471,.456,.719,.684,.368
596,WAS,2024-12-19,,CHO,"W, 123-114",122.1,113.2,.373,.506,.636,.596,.289,113.2,122.1,.255,.406,.484,.443,.189
597,BOS,2024-12-21,@,CHI,"W, 123-98",122.1,97.3,.140,.450,.579,.555,.120,97.3,122.1,.112,.418,.476,.449,.102
598,DAL,2024-11-04,,IND,"L, 127-134",122.1,128.8,.281,.404,.635,.601,.225,128.8,122.1,.211,.337,.645,.637,.137
599,MIL,2025-01-08,,SAS,"W, 121-105",122.1,105.9,.217,.457,.600,.582,.152,105.9,122.1,.211,.547,.506,.463,.179
600,OKC,2025-01-22,,UTA,"W, 123-114",122.0,113.1,.263,.411,.580,.526,.242,113.1,122.0,.267,.411,.567,.544,.178
601,POR,2024-11-12,,MIN,"W, 122-108",122.0,108.0,.238,.381,.657,.619,.214,108.0,122.0,.315,.479,.650,.596,.288
602,ORL,2024-12-21,,MIA,"W, 121-114",122.0,114.9,.310,.425,.612,.557,.276,114.9,122.0,.560,.427,.610,.540,.440
603,GSW,2024-10-25,@,UTA,"W, 127-86",122.0,82.6,.057,.472,.584,.575,.047,82.6,122.0,.283,.457,.416,.364,.207
604,PHI,2024-12-25,@,BOS,"W, 118-114",121.9,117.8,.216,.455,.612,.563,.216,117.8,121.9,.137,.516,.566,.558,.084
605,ATL,2025-02-01,@,IND,"L, 127-132",121.9,126.7,.356,.411,.610,.578,.256,126.7,121.9,.278,.367,.653,.611,.244
606,OKC,2024-12-29,,MEM,"W, 130-106",121.9,99.4,.117,.427,.600,.573,.117,99.4,121.9,.216,.526,.499,.454,.186
607,DET,2025-03-11,,WAS,"W, 123-103",121.9,102.1,.144,.365,.556,.538,.106,102.1,121.9,.217,.424,.511,.473,.174
608,BRK,2025-02-26,,OKC,"L, 121-129",121.9,129.9,.269,.656,.582,.532,.237,129.9,121.9,.322,.333,.628,.583,.267
609,UTA,2024-11-14,,DAL,"W, 115-113",121.9,119.7,.247,.400,.610,.582,.188,119.7,121.9,.235,.459,.602,.576,.176
610,MEM,2024-10-23,@,UTA,"W, 126-124",121.8,119.9,.352,.495,.600,.566,.253,119.9,121.8,.529,.306,.592,.529,.400
611,POR,2025-02-03,,PHO,"W, 121-119 (OT)",121.8,119.8,.337,.449,.592,.539,.281,119.8,121.8,.329,.494,.611,.559,.282
612,NOP,2024-12-05,,PHO,"W, 126-124",121.8,119.9,.263,.379,.594,.568,.189,119.9,121.8,.306,.529,.643,.606,.247
613,NYK,2025-01-04,@,CHI,"L, 126-139",121.8,134.4,.289,.309,.576,.536,.227,134.4,121.8,.191,.394,.682,.649,.181
614,MIN,2025-01-11,,MEM,"L, 125-127",121.8,123.7,.229,.506,.684,.669,.169,123.7,121.8,.176,.380,.546,.519,.139
615,DEN,2025-01-23,,SAC,"W, 132-123",121.8,113.5,.307,.366,.576,.550,.208,113.5,121.8,.178,.383,.533,.509,.131
616,IND,2025-01-18,,PHI,"W, 115-102",121.8,108.0,.277,.410,.617,.596,.193,108.0,121.8,.247,.382,.517,.483,.180
617,CHI,2025-01-17,,CHO,"L, 123-125",121.8,123.7,.147,.421,.608,.579,.137,123.7,121.8,.208,.354,.596,.568,.167
618,LAC,2024-10-31,,PHO,"L, 119-125",121.7,127.9,.226,.376,.582,.548,.183,127.9,121.7,.341,.476,.663,.622,.280
619,ORL,2024-11-21,@,LAL,"W, 119-118",121.7,120.7,.231,.440,.594,.555,.198,120.7,121.7,.299,.356,.599,.580,.195
620,ATL,2025-01-14,,PHO,"W, 122-117",121.7,116.7,.265,.418,.557,.526,.194,116.7,121.7,.321,.417,.610,.589,.214
621,SAS,2024-11-11,,SAC,"W, 116-96",121.7,100.7,.094,.541,.655,.635,.094,100.7,121.7,.099,.418,.505,.484,.088
622,LAL,2024-11-13,,MEM,"W, 128-123",121.7,116.9,.376,.482,.646,.624,.259,116.9,121.7,.371,.371,.594,.539,.303
623,GSW,2024-11-02,@,HOU,"W, 127-121 (OT)",121.7,115.9,.641,.410,.635,.609,.410,115.9,121.7,.224,.421,.515,.481,.168
624,CHI,2025-03-06,@,ORL,"W, 125-123",121.6,119.7,.349,.465,.630,.587,.279,119.7,121.6,.460,.379,.588,.511,.391
625,NYK,2024-10-22,@,BOS,"L, 109-132",121.6,147.3,.205,.385,.641,.622,.154,147.3,121.6,.084,.642,.670,.658,.074
626,MIL,2025-02-05,@,CHO,"W, 112-102",121.6,110.8,.160,.519,.646,.617,.148,110.8,121.6,.227,.386,.527,.494,.170
627,HOU,2025-01-16,@,SAC,"L, 127-132",121.6,126.4,.258,.355,.613,.591,.183,126.4,121.6,.224,.337,.613,.571,.204
628,MIN,2025-01-13,@,WAS,"W, 120-106",121.6,107.4,.373,.446,.621,.578,.289,107.4,121.6,.165,.440,.543,.533,.099
629,OKC,2025-03-27,,MEM,"W, 125-104",121.6,101.2,.311,.344,.611,.561,.267,101.2,121.6,.291,.532,.583,.519,.278
630,PHO,2024-11-17,@,MIN,"L, 117-120",121.6,124.7,.176,.365,.639,.624,.129,124.7,121.6,.325,.488,.656,.631,.238
631,NYK,2025-01-08,,TOR,"W, 112-98",121.6,106.4,.227,.375,.579,.545,.182,106.4,121.6,.195,.338,.586,.558,.156
632,CHI,2024-11-07,,MIN,"L, 119-135",121.6,137.9,.170,.409,.629,.619,.114,137.9,121.6,.183,.409,.672,.634,.183
633,PHO,2025-01-12,,CHO,"W, 120-113",121.6,114.5,.253,.471,.621,.580,.218,114.5,121.6,.217,.435,.561,.527,.174
634,CHI,2025-03-19,@,PHO,"L, 121-127",121.6,127.6,.133,.422,.635,.628,.089,127.6,121.6,.208,.417,.606,.568,.188
635,GSW,2024-11-04,@,WAS,"W, 125-112",121.4,108.8,.351,.381,.558,.515,.258,108.8,121.4,.219,.448,.532,.490,.188
636,LAC,2025-01-16,@,POR,"W, 118-89",121.4,91.6,.346,.295,.656,.628,.256,91.6,121.4,.143,.374,.460,.423,.132
637,PHO,2025-02-27,,NOP,"L, 116-124",121.4,129.8,.106,.564,.589,.574,.085,129.8,121.4,.115,.452,.567,.563,.067
638,GSW,2025-01-04,,MEM,"W, 121-113",121.4,113.4,.190,.512,.665,.661,.119,113.4,121.4,.182,.307,.594,.574,.136
639,HOU,2025-01-30,@,MEM,"L, 119-120",121.4,122.4,.289,.330,.544,.500,.227,122.4,121.4,.215,.301,.589,.565,.161
640,DEN,2024-12-01,@,LAC,"L, 122-126",121.4,125.4,.216,.273,.633,.636,.114,125.4,121.4,.300,.433,.618,.578,.244
641,WAS,2025-03-08,@,TOR,"W, 118-117",121.4,120.4,.230,.380,.536,.505,.170,120.4,121.4,.316,.274,.541,.474,.284
642,UTA,2025-02-22,,HOU,"W, 124-115",121.4,112.6,.276,.408,.564,.566,.133,112.6,121.4,.180,.430,.533,.525,.100
643,MEM,2024-11-10,@,POR,"W, 134-89",121.4,80.6,.329,.506,.688,.647,.282,80.6,121.4,.210,.420,.407,.360,.170
644,ORL,2025-01-03,@,TOR,"W, 106-97",121.4,111.1,.215,.557,.613,.589,.165,111.1,121.4,.163,.363,.566,.538,.138
645,DET,2025-01-18,,PHO,"L, 121-125",121.4,125.4,.383,.351,.551,.516,.255,125.4,121.4,.465,.291,.603,.541,.372
646,SAC,2025-02-13,@,NOP,"L, 133-140 (OT)",121.4,127.8,.188,.420,.548,.513,.161,127.8,121.4,.370,.543,.654,.614,.293
647,LAC,2025-02-12,,MEM,"W, 128-114",121.4,108.1,.237,.376,.623,.575,.226,108.1,121.4,.169,.404,.596,.596,.090
648,DAL,2025-03-16,,PHI,"L, 125-130",121.4,126.2,.345,.391,.624,.586,.264,126.2,121.4,.261,.391,.634,.598,.217
649,MIA,2025-02-04,@,CHI,"L, 124-133",121.3,130.2,.289,.489,.611,.572,.233,130.2,121.3,.242,.451,.661,.632,.198
650,POR,2025-03-10,@,GSW,"L, 120-130",121.3,131.4,.187,.462,.609,.582,.154,131.4,121.3,.247,.482,.690,.653,.224
651,CLE,2024-12-31,@,LAL,"W, 122-110",121.3,109.4,.183,.495,.607,.581,.151,109.4,121.3,.200,.368,.532,.489,.179
652,ATL,2025-01-07,@,UTA,"W, 124-121",121.3,118.4,.153,.449,.593,.571,.122,118.4,121.3,.260,.500,.565,.516,.229
653,CLE,2024-11-13,@,PHI,"W, 114-106",121.3,112.8,.200,.471,.616,.588,.165,112.8,121.3,.120,.467,.547,.522,.109
654,BRK,2025-03-16,,ATL,"W, 122-114",121.3,113.3,.256,.389,.609,.572,.211,113.3,121.3,.267,.411,.567,.528,.211
655,OKC,2025-01-08,@,CLE,"L, 122-129",121.3,128.2,.189,.344,.626,.594,.167,128.2,121.3,.300,.400,.633,.606,.222
656,CHO,2024-11-16,,MIL,"W, 115-114",121.2,120.2,.226,.452,.562,.522,.194,120.2,121.2,.120,.391,.589,.592,.054
657,IND,2025-01-06,@,BRK,"W, 113-99",121.2,106.2,.291,.392,.634,.582,.266,106.2,121.2,.112,.337,.481,.469,.071
658,OKC,2025-01-14,@,PHI,"W, 118-102",121.2,104.8,.222,.444,.664,.630,.198,104.8,121.2,.238,.524,.550,.518,.179
659,HOU,2025-01-27,@,BOS,"W, 114-112",121.2,119.1,.228,.446,.563,.538,.163,119.1,121.2,.250,.488,.631,.581,.238
660,CHI,2025-02-26,,LAC,"L, 117-122",121.2,126.4,.117,.447,.592,.590,.064,126.4,121.2,.200,.435,.660,.629,.176
661,CLE,2025-03-28,@,DET,"L, 122-133",121.2,132.1,.452,.476,.606,.554,.345,132.1,121.2,.380,.370,.619,.560,.326
662,PHI,2024-12-03,@,CHO,"W, 110-104",121.1,114.5,.244,.488,.606,.561,.220,114.5,121.1,.364,.442,.582,.526,.299
663,SAS,2024-12-08,,NOP,"W, 121-116",121.1,116.1,.333,.419,.567,.516,.269,116.1,121.1,.212,.384,.536,.500,.172
664,DEN,2025-01-10,,BRK,"W, 124-105",121.1,102.5,.379,.276,.611,.569,.287,102.5,121.1,.211,.500,.534,.500,.167
665,PHO,2024-11-04,,PHI,"W, 118-116",121.1,119.0,.317,.390,.631,.579,.280,119.0,121.1,.207,.586,.611,.575,.184
666,IND,2025-03-06,@,ATL,"L, 118-124",121.0,127.2,.187,.429,.599,.560,.176,127.2,121.0,.191,.319,.608,.585,.149
667,DAL,2025-01-23,@,OKC,"W, 121-115",121.0,115.0,.486,.419,.673,.622,.392,115.0,121.0,.250,.420,.589,.563,.182
668,HOU,2025-03-19,@,ORL,"W, 116-108",121.0,112.7,.395,.432,.610,.537,.358,112.7,121.0,.217,.380,.536,.495,.185
669,SAS,2024-12-25,@,NYK,"L, 114-117",121.0,124.2,.205,.458,.630,.602,.169,124.2,121.0,.160,.390,.547,.515,.140
670,MIN,2024-11-01,,DEN,"W, 119-116",120.9,117.9,.217,.506,.654,.627,.181,117.9,120.9,.315,.348,.554,.505,.250
671,MEM,2024-11-25,,POR,"W, 123-98",120.9,96.3,.391,.322,.603,.563,.287,96.3,120.9,.275,.451,.429,.373,.216
672,DET,2025-01-04,,MIN,"W, 119-105",120.9,106.7,.215,.409,.584,.554,.172,106.7,120.9,.325,.500,.574,.525,.263
673,DET,2025-02-02,,CHI,"W, 127-119",120.8,113.2,.131,.303,.606,.596,.091,113.2,120.8,.225,.584,.608,.567,.202
674,NYK,2024-11-10,@,IND,"L, 121-132",120.8,131.8,.325,.301,.638,.596,.265,131.8,120.8,.284,.523,.667,.631,.239
675,PHO,2025-03-10,@,MEM,"L, 118-120",120.8,122.8,.244,.422,.592,.567,.178,122.8,120.8,.314,.535,.613,.564,.267
676,PHO,2024-12-25,,DEN,"W, 110-100",120.8,109.8,.227,.409,.568,.528,.193,109.8,120.8,.359,.372,.554,.513,.256
677,OKC,2025-01-03,,NYK,"W, 117-107",120.7,110.4,.250,.321,.627,.595,.202,110.4,120.7,.189,.356,.549,.528,.133
678,ORL,2024-10-23,@,MIA,"W, 116-97",120.7,100.9,.229,.510,.549,.521,.167,100.9,120.7,.354,.415,.512,.457,.268
679,MEM,2024-12-27,@,NOP,"W, 132-124",120.7,113.4,.393,.461,.632,.567,.348,113.4,120.7,.302,.396,.570,.505,.281
680,MIA,2024-11-08,@,DEN,"L, 122-135",120.7,133.6,.138,.457,.612,.596,.106,133.6,120.7,.235,.432,.755,.728,.210
681,DAL,2025-01-09,,POR,"W, 117-111",120.7,114.5,.341,.341,.578,.511,.307,114.5,120.7,.215,.387,.545,.505,.183
682,SAC,2025-02-03,@,MIN,"W, 116-114",120.7,118.6,.217,.261,.575,.543,.174,118.6,120.7,.170,.426,.564,.521,.170
683,NOP,2025-03-19,@,MIN,"W, 119-115",120.7,116.6,.247,.326,.603,.601,.135,116.6,120.7,.468,.506,.619,.558,.377
684,LAL,2024-11-21,,ORL,"L, 118-119",120.7,121.7,.299,.356,.599,.580,.195,121.7,120.7,.231,.440,.594,.555,.198
685,DET,2024-10-26,,BOS,"L, 118-124",120.7,126.8,.250,.443,.604,.568,.205,126.8,120.7,.333,.533,.601,.544,.289
686,MIN,2025-03-12,@,DEN,"W, 115-95",120.6,99.7,.178,.444,.593,.572,.133,99.7,120.6,.247,.337,.481,.444,.180
687,MIA,2024-11-17,@,IND,"L, 110-119",120.6,130.5,.222,.478,.557,.506,.211,130.5,120.6,.235,.341,.634,.594,.212
688,CHI,2024-11-09,@,ATL,"W, 125-113",120.6,109.0,.250,.424,.612,.571,.217,109.0,120.6,.337,.326,.553,.511,.247
689,OKC,2025-02-03,,MIL,"W, 125-96",120.6,92.6,.081,.414,.610,.596,.071,92.6,120.6,.226,.419,.469,.446,.140
690,WAS,2025-01-03,@,NOP,"L, 120-132",120.6,132.7,.321,.333,.626,.589,.250,132.7,120.6,.229,.427,.625,.594,.188
691,SAC,2025-03-20,,CHI,"L, 116-128",120.6,133.1,.267,.453,.603,.564,.221,133.1,120.6,.302,.407,.657,.610,.267
692,LAL,2025-01-03,,ATL,"W, 119-102",120.6,103.4,.284,.341,.601,.563,.227,103.4,120.6,.180,.340,.473,.440,.140
693,HOU,2024-11-15,,LAC,"W, 125-104",120.6,100.3,.189,.463,.607,.584,.147,100.3,120.6,.367,.444,.498,.433,.289
694,HOU,2025-01-18,@,POR,"W, 125-103",120.5,99.3,.204,.287,.531,.509,.139,99.3,120.5,.209,.419,.548,.523,.151
695,PHI,2025-03-10,@,ATL,"L, 123-132",120.5,129.4,.220,.462,.616,.593,.165,129.4,120.5,.143,.378,.634,.617,.112
696,NYK,2025-03-17,,MIA,"W, 116-95",120.5,98.7,.063,.358,.594,.579,.063,98.7,120.5,.146,.280,.544,.512,.134
697,PHI,2025-01-28,,LAL,"W, 118-104",120.5,106.2,.275,.374,.578,.533,.231,106.2,120.5,.319,.458,.633,.583,.278
698,DET,2024-12-28,@,DEN,"L, 121-134",120.5,133.5,.242,.411,.576,.547,.179,133.5,120.5,.439,.329,.685,.640,.354
699,MIA,2025-01-02,,IND,"L, 115-128",120.4,134.1,.280,.347,.683,.647,.240,134.1,120.4,.167,.417,.621,.620,.094
700,GSW,2024-12-25,,LAL,"L, 113-115",120.4,122.6,.191,.506,.586,.562,.146,122.6,120.4,.198,.462,.581,.533,.198
701,OKC,2025-02-12,,MIA,"W, 115-101",120.4,105.8,.227,.443,.594,.574,.159,105.8,120.4,.316,.430,.561,.525,.228
702,GSW,2025-01-28,,UTA,"W, 114-103",120.4,108.8,.337,.533,.540,.484,.272,108.8,120.4,.316,.342,.595,.566,.224
703,NYK,2024-12-09,@,TOR,"W, 113-108",120.4,115.1,.232,.488,.625,.616,.146,115.1,120.4,.115,.365,.536,.516,.094
704,DEN,2025-02-24,@,IND,"W, 125-116",120.4,111.7,.149,.223,.624,.606,.117,111.7,120.4,.318,.506,.599,.553,.259
705,CLE,2025-03-27,,SAS,"W, 124-116",120.4,112.6,.182,.485,.580,.551,.152,112.6,120.4,.198,.406,.503,.472,.151
706,HOU,2025-03-03,@,OKC,"L, 128-137",120.4,128.9,.168,.347,.590,.564,.139,128.9,120.4,.278,.381,.629,.582,.247
707,HOU,2025-02-06,@,MIN,"L, 114-127",120.4,134.1,.333,.369,.592,.560,.238,134.1,120.4,.255,.415,.607,.564,.223
708,NOP,2025-03-24,,PHI,"W, 112-99",120.4,106.4,.149,.402,.604,.580,.126,106.4,120.4,.218,.483,.519,.471,.195
709,HOU,2025-02-12,,PHO,"W, 119-111",120.4,112.3,.247,.433,.553,.541,.144,112.3,120.4,.124,.292,.591,.573,.101
710,TOR,2025-03-08,,WAS,"L, 117-118",120.4,121.4,.316,.274,.541,.474,.284,121.4,120.4,.230,.380,.536,.505,.170
711,TOR,2024-12-23,@,NYK,"L, 125-139",120.3,133.8,.481,.364,.670,.617,.390,133.8,120.3,.337,.430,.704,.692,.233
712,SAC,2024-10-26,@,LAL,"L, 127-131",120.3,124.1,.284,.500,.641,.597,.250,124.1,120.3,.261,.370,.639,.598,.228
713,GSW,2024-11-25,,BRK,"L, 120-128",120.3,128.4,.183,.495,.597,.586,.118,128.4,120.3,.361,.542,.665,.614,.313
714,MEM,2025-03-17,@,SAC,"L, 122-132",120.3,130.2,.233,.333,.615,.561,.233,130.2,120.3,.341,.466,.652,.636,.227
715,LAC,2024-11-27,@,WAS,"W, 121-96",120.3,95.5,.281,.371,.605,.573,.213,95.5,120.3,.259,.388,.507,.459,.212
716,CLE,2024-11-24,,TOR,"W, 122-108",120.3,106.5,.144,.423,.591,.577,.103,106.5,120.3,.370,.424,.505,.467,.239
717,PHO,2024-11-06,,MIA,"W, 115-112",120.3,117.2,.214,.512,.626,.607,.155,117.2,120.3,.217,.370,.556,.505,.207
718,DET,2024-12-07,@,NYK,"W, 120-111",120.3,111.3,.229,.434,.657,.627,.193,111.3,120.3,.342,.430,.611,.601,.203
719,CHI,2024-10-28,@,MEM,"W, 126-123",120.3,117.4,.170,.530,.586,.575,.110,117.4,120.3,.117,.387,.527,.523,.063
720,MEM,2024-11-20,,PHI,"W, 117-111",120.2,114.1,.188,.506,.636,.594,.188,114.1,120.2,.276,.379,.569,.511,.253
721,NYK,2025-01-13,,DET,"L, 119-124",120.2,125.3,.363,.463,.641,.594,.300,125.3,120.2,.196,.370,.620,.582,.185
722,SAS,2025-03-29,,BOS,"L, 111-121",120.2,131.1,.310,.460,.561,.517,.241,131.1,120.2,.191,.543,.594,.569,.149
723,TOR,2024-11-01,,LAL,"L, 125-131",120.2,126.0,.121,.327,.554,.533,.103,126.0,120.2,.466,.364,.618,.540,.409
724,TOR,2025-03-30,@,PHI,"W, 127-109",120.2,103.2,.175,.369,.572,.558,.117,103.2,120.2,.213,.326,.560,.517,.191
725,PHO,2024-12-15,,POR,"W, 116-109",120.2,113.0,.213,.438,.596,.567,.169,113.0,120.2,.138,.521,.547,.527,.106
726,MIL,2024-11-16,@,CHO,"L, 114-115",120.2,121.2,.120,.391,.589,.592,.054,121.2,120.2,.226,.452,.562,.522,.194
727,OKC,2025-03-25,@,SAC,"W, 121-105",120.2,104.3,.244,.390,.666,.640,.195,104.3,120.2,.132,.516,.545,.533,.088
728,DET,2024-12-23,@,LAL,"W, 117-114",120.2,117.1,.130,.326,.601,.571,.130,117.1,120.2,.338,.405,.671,.635,.270
729,DEN,2025-03-24,,CHI,"L, 119-129",120.1,130.2,.247,.371,.553,.531,.165,130.2,120.1,.286,.429,.630,.588,.242
730,HOU,2025-01-13,,MEM,"W, 120-118",120.1,118.1,.383,.383,.634,.605,.272,118.1,120.1,.250,.381,.633,.619,.167
731,ORL,2024-10-28,,IND,"W, 119-115",120.1,116.1,.458,.494,.597,.548,.337,116.1,120.1,.341,.330,.568,.540,.227
732,CLE,2024-11-02,@,MIL,"W, 114-113",120.1,119.0,.165,.418,.584,.566,.121,119.0,120.1,.169,.438,.591,.584,.101
733,GSW,2024-12-08,,MIN,"W, 114-106",120.1,111.6,.222,.456,.577,.556,.156,111.6,120.1,.253,.532,.604,.576,.190
734,HOU,2024-12-01,,OKC,"W, 119-116",120.1,117.0,.424,.402,.545,.484,.326,117.0,120.1,.266,.415,.552,.516,.202
735,LAL,2025-03-19,,DEN,"W, 120-108",120.0,108.0,.337,.458,.629,.602,.241,108.0,120.0,.241,.448,.561,.546,.149
736,DET,2025-03-19,@,MIA,"W, 116-113",120.0,116.9,.198,.253,.586,.555,.165,116.9,120.0,.200,.356,.577,.544,.167
737,IND,2025-02-12,@,WAS,"W, 134-130 (OT)",120.0,116.4,.187,.327,.579,.542,.168,116.4,120.0,.165,.464,.625,.603,.134
738,WAS,2024-12-28,,NYK,"L, 132-136 (OT)",119.9,123.6,.152,.384,.625,.601,.131,123.6,119.9,.268,.412,.627,.577,.247
