Rk,Team,Date,H/A,Opp,Result,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA
1945,CHO,2025-03-01,,WAS,"L, 100-113",102.3,115.6,.065,.452,.523,.516,.043,115.6,102.3,.193,.568,.592,.551,.182
1946,TOR,2024-10-26,@,MIN,"L, 101-112",102.3,113.4,.144,.322,.528,.511,.100,113.4,102.3,.313,.446,.593,.554,.241
1947,OKC,2024-11-19,@,SAS,"L, 104-110",102.3,108.2,.070,.530,.504,.490,.060,108.2,102.3,.229,.554,.602,.584,.157
1948,SAC,2024-12-21,,LAL,"L, 99-103",102.3,106.4,.156,.411,.515,.489,.122,106.4,102.3,.253,.422,.558,.536,.169
1949,BOS,2025-01-23,@,LAL,"L, 96-117",102.3,124.6,.198,.451,.485,.462,.132,124.6,102.3,.225,.393,.598,.556,.202
1950,NYK,2025-02-20,,CHI,"W, 113-111 (OT)",102.3,100.5,.093,.430,.507,.495,.065,100.5,102.3,.117,.466,.513,.490,.097
1951,ATL,2025-02-24,,MIA,"W, 98-86",102.3,89.7,.136,.398,.525,.506,.102,89.7,102.3,.321,.476,.448,.363,.298
1952,ORL,2024-12-03,@,NYK,"L, 106-121",102.2,116.7,.287,.448,.541,.489,.241,116.7,102.2,.235,.412,.645,.594,.235
1953,BRK,2024-12-16,,CLE,"L, 101-130",102.1,131.5,.296,.420,.552,.506,.235,131.5,102.1,.358,.580,.693,.648,.309
1954,MIN,2025-02-01,,WAS,"L, 103-105",102.1,104.1,.194,.430,.510,.473,.161,104.1,102.1,.205,.398,.580,.548,.169
1955,WAS,2024-12-08,,MEM,"L, 112-140",102.1,127.6,.220,.320,.511,.460,.200,127.6,102.1,.302,.448,.644,.609,.240
1956,BRK,2025-03-18,@,BOS,"L, 96-104",102.1,110.6,.193,.511,.503,.483,.125,110.6,102.1,.278,.608,.586,.544,.228
1957,WAS,2025-03-11,@,DET,"L, 103-123",102.1,121.9,.217,.424,.511,.473,.174,121.9,102.1,.144,.365,.556,.538,.106
1958,NOP,2024-12-21,,NYK,"L, 93-104",102.1,114.1,.229,.410,.509,.482,.157,114.1,102.1,.172,.425,.556,.523,.149
1959,HOU,2024-11-23,,POR,"L, 98-104",102.1,108.3,.367,.356,.469,.400,.289,108.3,102.1,.256,.489,.519,.478,.200
1960,DEN,2024-11-15,@,NOP,"L, 94-101",102.0,109.6,.126,.425,.512,.483,.115,109.6,102.0,.207,.402,.532,.489,.184
1961,MIA,2025-01-09,@,UTA,"W, 97-92",102.0,96.7,.165,.549,.497,.473,.121,96.7,102.0,.205,.434,.508,.464,.181
1962,NOP,2025-03-28,,GSW,"L, 95-111",101.9,119.1,.346,.284,.509,.451,.272,119.1,101.9,.315,.598,.530,.484,.239
1963,POR,2024-11-20,@,OKC,"L, 99-109",101.9,112.2,.354,.481,.542,.500,.253,112.2,101.9,.253,.341,.539,.489,.220
1964,GSW,2024-10-27,,LAC,"L, 104-112",101.9,109.8,.250,.489,.532,.511,.159,109.8,101.9,.256,.356,.559,.522,.200
1965,DAL,2025-02-27,,CHO,"W, 103-96",101.9,95.0,.165,.371,.495,.469,.124,95.0,101.9,.133,.276,.463,.444,.092
1966,DAL,2025-02-25,@,LAL,"L, 99-107",101.9,110.1,.133,.449,.477,.444,.122,110.1,101.9,.276,.460,.548,.511,.207
1967,LAC,2024-10-23,,PHO,"L, 113-116 (OT)",101.9,104.6,.326,.315,.537,.500,.228,104.6,101.9,.436,.487,.624,.583,.321
1968,TOR,2025-01-06,,MIL,"L, 104-128",101.8,125.3,.231,.385,.519,.500,.143,125.3,101.8,.183,.537,.722,.707,.146
1969,WAS,2024-12-21,@,MIL,"L, 101-112",101.8,112.9,.198,.519,.574,.556,.136,112.9,101.8,.051,.490,.559,.551,.041
1970,DET,2024-11-10,,HOU,"L, 99-101",101.8,103.8,.274,.405,.526,.494,.190,103.8,101.8,.258,.366,.488,.446,.194
1971,BOS,2025-02-26,@,DET,"L, 97-117",101.7,122.7,.188,.613,.560,.544,.125,122.7,101.7,.191,.371,.606,.601,.112
1972,OKC,2024-10-24,@,DEN,"W, 102-87",101.7,86.8,.119,.356,.480,.465,.079,86.8,101.7,.143,.388,.418,.393,.102
1973,LAL,2024-11-29,,OKC,"L, 93-101",101.7,110.4,.288,.521,.565,.527,.219,110.4,101.7,.172,.430,.505,.478,.129
1974,NOP,2025-02-21,@,DAL,"L, 103-111",101.7,109.6,.272,.293,.500,.457,.207,109.6,101.7,.314,.512,.567,.523,.244
1975,DAL,2025-03-05,@,MIL,"L, 107-137",101.6,130.1,.102,.398,.522,.526,.041,130.1,101.6,.213,.393,.704,.674,.191
1976,PHI,2024-11-10,,CHO,"W, 107-105 (OT)",101.6,99.7,.310,.393,.561,.518,.238,99.7,101.6,.232,.568,.502,.453,.200
1977,SAS,2025-01-04,,DEN,"L, 111-122 (OT)",101.6,111.7,.173,.462,.496,.457,.154,111.7,101.6,.213,.306,.516,.481,.167
1978,NOP,2025-03-06,,HOU,"L, 97-109",101.6,114.1,.398,.325,.497,.428,.313,114.1,101.6,.222,.358,.613,.623,.099
1979,MIL,2024-11-08,@,NYK,"L, 94-116",101.5,125.3,.277,.361,.505,.476,.181,125.3,101.5,.209,.505,.584,.549,.176
1980,MEM,2025-01-27,@,NYK,"L, 106-143",101.5,136.9,.187,.264,.538,.500,.165,136.9,101.5,.167,.407,.617,.597,.130
1981,ORL,2025-01-21,@,TOR,"L, 93-109",101.4,118.8,.224,.365,.498,.465,.165,118.8,101.4,.384,.329,.639,.623,.247
1982,SAS,2025-03-30,,GSW,"L, 106-148",101.4,141.6,.190,.500,.582,.571,.119,141.6,101.4,.196,.454,.702,.686,.155
1983,MEM,2025-03-19,@,POR,"L, 99-115",101.4,117.7,.228,.326,.489,.446,.185,117.7,101.4,.219,.479,.546,.510,.177
1984,ORL,2024-11-25,@,CHO,"W, 95-84",101.4,89.6,.181,.489,.468,.457,.096,89.6,101.4,.253,.427,.504,.460,.200
1985,LAL,2024-11-23,,DEN,"L, 102-127",101.3,126.2,.159,.409,.542,.517,.125,126.2,101.3,.232,.390,.703,.707,.134
1986,CHI,2024-12-30,@,CHO,"W, 115-108 (OT)",101.3,95.1,.260,.577,.496,.462,.183,95.1,101.3,.198,.426,.492,.465,.139
1987,UTA,2024-10-28,@,DAL,"L, 102-110",101.3,109.2,.315,.380,.487,.424,.261,109.2,101.3,.179,.411,.537,.511,.137
1988,MIN,2025-03-24,@,IND,"L, 103-119",101.2,117.0,.110,.385,.540,.533,.066,117.0,101.2,.149,.372,.594,.559,.149
1989,SAC,2024-11-08,,LAC,"L, 98-107",101.2,110.5,.308,.333,.553,.494,.269,110.5,101.2,.284,.370,.587,.531,.259
1990,NYK,2025-01-10,,OKC,"L, 101-126",101.2,126.2,.240,.323,.476,.406,.240,126.2,101.2,.202,.303,.650,.618,.180
1991,MEM,2025-03-27,@,OKC,"L, 104-125",101.2,121.6,.291,.532,.583,.519,.278,121.6,101.2,.311,.344,.611,.561,.267
1992,DET,2024-10-25,@,CLE,"L, 101-113",101.1,113.1,.210,.395,.571,.549,.148,113.1,101.1,.280,.415,.613,.591,.195
1993,MIA,2024-11-27,@,CHO,"W, 98-94",101.1,97.0,.301,.507,.593,.548,.247,97.0,101.1,.082,.520,.463,.464,.031
1994,MIL,2025-01-04,,POR,"L, 102-105",101.1,104.1,.095,.432,.515,.500,.074,104.1,101.1,.153,.424,.579,.559,.118
1995,WAS,2024-11-10,@,ORL,"L, 94-121",101.0,130.1,.347,.458,.566,.528,.250,130.1,101.0,.275,.527,.593,.544,.242
1996,BRK,2024-12-23,@,MIA,"L, 95-110",101.0,117.0,.238,.405,.512,.470,.190,117.0,101.0,.329,.562,.658,.610,.288
1997,PHO,2025-03-16,@,LAL,"L, 96-107",101.0,112.5,.236,.461,.489,.444,.191,112.5,101.0,.395,.481,.563,.519,.284
1998,MIA,2024-10-23,,ORL,"L, 97-116",100.9,120.7,.354,.415,.512,.457,.268,120.7,100.9,.229,.510,.549,.521,.167
1999,UTA,2025-01-01,@,NYK,"L, 103-119",100.9,116.6,.156,.448,.502,.474,.125,116.6,100.9,.271,.271,.626,.606,.188
2000,BRK,2025-01-25,,MIA,"L, 97-106",100.8,110.2,.325,.500,.530,.463,.288,110.2,100.8,.304,.354,.592,.525,.291
2001,NYK,2024-12-11,,ATL,"L, 100-108",100.8,108.8,.161,.452,.502,.489,.097,108.8,100.8,.192,.298,.479,.457,.125
2002,NOP,2025-04-02,@,LAC,"L, 98-114",100.7,117.2,.129,.259,.545,.529,.094,117.2,100.7,.342,.421,.652,.612,.276
2003,MEM,2025-03-05,,OKC,"L, 103-120",100.7,117.4,.242,.374,.512,.456,.220,117.4,100.7,.218,.414,.629,.592,.195
2004,SAC,2024-11-11,@,SAS,"L, 96-116",100.7,121.7,.099,.418,.505,.484,.088,121.7,100.7,.094,.541,.655,.635,.094
2005,GSW,2025-01-31,,PHO,"L, 105-130",100.7,124.6,.260,.458,.491,.458,.177,124.6,100.7,.180,.438,.677,.669,.124
2006,WAS,2025-01-10,@,CHI,"L, 105-138",100.5,132.1,.133,.469,.506,.490,.092,132.1,100.5,.147,.516,.682,.679,.095
2007,MEM,2024-12-15,@,LAL,"L, 110-116",100.5,106.0,.309,.289,.499,.438,.258,106.0,100.5,.476,.415,.585,.537,.341
2008,PHI,2025-03-19,@,OKC,"L, 100-133",100.5,133.7,.168,.600,.490,.463,.126,133.7,100.5,.222,.578,.673,.656,.167
2009,BRK,2025-01-08,,DET,"L, 98-113",100.5,115.9,.244,.453,.514,.459,.221,115.9,100.5,.140,.430,.619,.610,.093
2010,CHI,2025-02-20,@,NYK,"L, 111-113 (OT)",100.5,102.3,.117,.466,.513,.490,.097,102.3,100.5,.093,.430,.507,.495,.065
2011,HOU,2025-03-31,@,LAL,"L, 98-104",100.5,106.6,.191,.360,.508,.472,.157,106.6,100.5,.225,.517,.532,.483,.202
2012,SAS,2025-02-25,@,NOP,"L, 103-109",100.4,106.3,.194,.473,.510,.478,.151,106.3,100.4,.266,.330,.519,.473,.213
2013,MIL,2024-12-04,,ATL,"L, 104-119",100.4,114.9,.449,.577,.557,.519,.295,114.9,100.4,.216,.314,.533,.485,.196
2014,POR,2024-10-25,,NOP,"L, 103-105",100.4,102.3,.222,.411,.521,.483,.178,102.3,100.4,.360,.372,.527,.488,.244
2015,PHO,2024-11-02,,POR,"W, 103-97",100.4,94.5,.237,.559,.502,.468,.172,94.5,100.4,.099,.387,.419,.396,.081
2016,BOS,2024-12-23,@,ORL,"L, 104-108",100.4,104.2,.321,.393,.542,.488,.262,104.2,100.4,.253,.398,.585,.524,.253
2017,IND,2024-11-20,@,HOU,"L, 113-130",100.4,115.5,.301,.265,.601,.560,.241,115.5,100.4,.324,.353,.558,.520,.235
2018,PHI,2024-11-12,,NYK,"L, 99-111",100.4,112.5,.289,.506,.529,.458,.277,112.5,100.4,.169,.348,.581,.545,.157
2019,WAS,2024-12-23,@,OKC,"L, 105-123",100.3,117.5,.220,.473,.526,.484,.187,117.5,100.3,.208,.358,.532,.491,.179
2020,MEM,2024-10-25,@,HOU,"L, 108-128",100.3,118.9,.396,.308,.505,.473,.242,118.9,100.3,.367,.439,.562,.526,.255
2021,LAC,2024-12-21,@,DAL,"L, 97-113",100.3,116.9,.272,.457,.535,.481,.235,116.9,100.3,.250,.398,.578,.534,.216
2022,LAC,2024-11-15,@,HOU,"L, 104-125",100.3,120.6,.367,.444,.498,.433,.289,120.6,100.3,.189,.463,.607,.584,.147
2023,MIL,2024-11-18,,HOU,"W, 101-100",100.3,99.3,.229,.398,.553,.536,.145,99.3,100.3,.130,.320,.473,.445,.110
2024,HOU,2025-01-03,,BOS,"L, 86-109",100.3,127.1,.136,.409,.461,.420,.136,127.1,100.3,.234,.506,.642,.630,.156
2025,MIL,2024-11-12,,TOR,"W, 99-85",100.2,86.1,.128,.596,.499,.489,.074,86.1,100.2,.233,.291,.448,.401,.186
2026,DET,2025-04-02,@,OKC,"L, 103-119",100.2,115.8,.281,.371,.515,.461,.236,115.8,100.2,.323,.396,.543,.490,.260
2027,BRK,2025-01-21,,NYK,"L, 95-99",100.2,104.4,.291,.465,.490,.442,.221,104.4,100.2,.161,.322,.531,.506,.126
2028,CHI,2025-01-29,@,BOS,"L, 100-122",100.1,122.2,.130,.533,.514,.484,.120,122.2,100.1,.310,.506,.617,.575,.253
2029,POR,2024-10-28,@,SAC,"L, 98-111",100.1,113.4,.361,.265,.509,.446,.289,113.4,100.1,.309,.432,.603,.543,.284
2030,LAC,2025-01-02,@,OKC,"L, 98-116",100.1,118.5,.210,.395,.554,.537,.136,118.5,100.1,.233,.442,.612,.581,.186
2031,POR,2025-03-30,@,NYK,"L, 93-110",100.1,118.4,.161,.414,.499,.489,.092,118.4,100.1,.155,.298,.613,.595,.119
2032,DAL,2025-01-06,@,MEM,"L, 104-119",100.0,114.4,.153,.367,.497,.474,.112,114.4,100.0,.398,.398,.575,.523,.307
