Rk,Team,Date,H/A,Opp,Result,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%
870,CHO,2024-11-10,@,PHI,"L, 105-107 (OT)",27.3,82.6,44.4,17.4,72.7,44.4
871,DEN,2025-03-10,@,OKC,"W, 140-127",27.3,72.3,46.3,27.7,72.7,46.3
872,DET,2025-01-01,,ORL,"W, 105-96",27.3,81.6,40.2,18.4,72.7,40.2
873,DET,2024-10-26,,BOS,"L, 118-124",27.3,72.9,45.7,27.1,72.7,45.7
874,DET,2024-10-23,,IND,"L, 109-115",27.3,78.8,50.6,21.2,72.7,50.6
875,HOU,2025-01-16,@,SAC,"L, 127-132",27.3,73.9,48.9,26.1,72.7,48.9
876,IND,2025-03-14,@,PHI,"W, 112-100",27.3,75.0,48.9,25.0,72.7,48.9
877,LAC,2025-01-22,,BOS,"L, 113-117 (OT)",27.3,79.5,44.4,20.5,72.7,44.4
878,LAL,2025-03-06,,NYK,"W, 113-109 (OT)",27.3,72.5,48.4,27.5,72.7,48.4
879,MEM,2025-04-03,@,MIA,"W, 110-108",27.3,71.2,49.0,28.8,72.7,49.0
880,MEM,2024-12-08,@,WAS,"W, 140-112",27.3,63.0,53.1,37.0,72.7,53.1
881,BRK,2025-01-15,@,LAC,"L, 67-126",27.3,80.0,54.1,20.0,72.7,54.1
882,BRK,2024-12-27,,SAS,"L, 87-96",27.3,75.0,48.9,25.0,72.7,48.9
883,NOP,2024-12-02,@,ATL,"L, 112-124",27.3,70.3,55.4,29.7,72.7,55.4
884,NYK,2024-11-01,@,DET,"W, 128-98",27.3,84.6,45.8,15.4,72.7,45.8
885,PHI,2024-11-30,@,DET,"W, 111-96",27.3,79.2,45.7,20.8,72.7,45.7
886,PHO,2025-01-25,,WAS,"W, 119-109",27.3,89.1,41.1,10.9,72.7,41.1
887,PHO,2024-12-25,,DEN,"W, 110-100",27.3,68.2,52.3,31.8,72.7,52.3
888,POR,2025-02-28,@,BRK,"W, 121-102",27.3,56.3,55.6,43.8,72.7,55.6
889,POR,2024-12-08,@,LAL,"L, 98-107",27.3,82.2,44.9,17.8,72.7,44.9
890,TOR,2024-10-26,@,MIN,"L, 101-112",27.3,79.1,47.1,20.9,72.7,47.1
891,UTA,2025-03-19,,WAS,"W, 128-112",27.3,71.7,46.8,28.3,72.7,46.8
892,UTA,2024-11-12,,PHO,"L, 112-120",27.3,73.0,51.9,27.0,72.7,51.9
893,OKC,2025-02-24,,MIN,"L, 128-131 (OT)",27.1,77.1,50.5,22.9,72.9,50.5
894,BOS,2024-10-26,@,DET,"W, 124-118",27.1,72.7,54.3,27.3,72.9,54.3
895,CHO,2025-02-01,,DEN,"L, 104-107",27.1,82.6,45.7,17.4,72.9,45.7
896,CHI,2025-03-13,,BRK,"W, 116-110",27.1,69.4,51.5,30.6,72.9,51.5
897,CLE,2025-03-09,@,MIL,"W, 112-100",27.1,67.4,53.2,32.6,72.9,53.2
898,DAL,2024-10-28,,UTA,"W, 110-102",27.1,71.2,50.0,28.8,72.9,50.0
899,DET,2025-03-08,@,GSW,"L, 110-115",27.1,73.8,51.1,26.2,72.9,51.1
900,LAC,2024-10-30,,POR,"L, 105-106",27.1,75.0,49.0,25.0,72.9,49.0
901,MEM,2025-01-20,,MIN,"W, 108-106",27.1,66.7,52.5,33.3,72.9,52.5
902,MEM,2024-12-03,@,DAL,"L, 116-121",27.1,65.0,55.7,35.0,72.9,55.7
903,MEM,2024-10-23,@,UTA,"W, 126-124",27.1,66.7,54.4,33.3,72.9,54.4
904,NYK,2025-03-15,@,GSW,"L, 94-97",27.1,78.3,47.9,21.7,72.9,47.9
905,POR,2025-03-30,@,NYK,"L, 93-110",27.1,74.3,53.0,25.7,72.9,53.0
906,CHO,2025-03-31,,UTA,"W, 110-106",27.0,72.5,46.6,27.5,73.0,46.6
907,CLE,2025-01-24,@,PHI,"L, 129-132",27.0,62.8,53.8,37.2,73.0,53.8
908,DET,2024-11-23,@,ORL,"L, 100-111",27.0,58.5,56.4,41.5,73.0,56.4
909,GSW,2025-03-30,@,SAS,"W, 148-106",27.0,82.9,43.6,17.1,73.0,43.6
910,LAL,2025-01-25,@,GSW,"W, 118-108",27.0,74.4,47.5,25.6,73.0,47.5
911,MEM,2024-11-10,@,POR,"W, 134-89",27.0,71.9,45.7,28.1,73.0,45.7
912,NOP,2024-11-04,,POR,"L, 100-118",27.0,68.6,52.8,31.4,73.0,52.8
913,OKC,2024-12-07,@,NOP,"W, 119-109",27.0,81.4,43.8,18.6,73.0,43.8
914,PHO,2024-11-12,@,UTA,"W, 120-112",27.0,72.7,48.1,27.3,73.0,48.1
915,TOR,2025-02-25,,BOS,"L, 101-111",27.0,71.4,49.4,28.6,73.0,49.4
916,CHO,2025-02-27,@,DAL,"L, 96-103",26.9,80.8,46.2,19.2,73.1,46.2
917,CHI,2024-11-06,@,DAL,"L, 99-119",26.9,80.4,48.0,19.6,73.1,48.0
918,CLE,2025-02-04,,BOS,"L, 105-112",26.9,71.2,51.0,28.8,73.1,51.0
919,LAC,2025-01-06,@,MIN,"L, 106-108",26.9,67.3,52.9,32.7,73.1,52.9
920,MIN,2024-12-15,@,SAS,"W, 106-92",26.9,75.5,49.5,24.5,73.1,49.5
921,NOP,2025-03-30,,CHO,"W, 98-94",26.9,78.2,46.7,21.8,73.1,46.7
