Rk,Team,Date,H/A,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
64,DEN,2025-03-10,@,OKC,"W, 140-127",240,52,86,.605,34,54,.630,18,32,.563,18,20,.900,140,47,100,.470,28,53,.528,19,47,.404,14,16,.875,127
65,DEN,2025-01-27,@,CHI,"L, 121-129",240,52,100,.520,46,73,.630,6,27,.222,11,11,1.000,121,49,98,.500,25,45,.556,24,53,.453,7,8,.875,129
66,DEN,2025-01-21,,PHI,"W, 144-109",240,52,85,.612,36,54,.667,16,31,.516,24,25,.960,144,44,96,.458,29,58,.500,15,38,.395,6,8,.750,109
67,IND,2025-01-08,,CHI,"W, 129-113",240,52,100,.520,42,71,.592,10,29,.345,15,24,.625,129,44,86,.512,32,51,.627,12,35,.343,13,19,.684,113
68,IND,2024-12-06,@,CHI,"W, 132-123",240,52,92,.565,34,62,.548,18,30,.600,10,12,.833,132,46,97,.474,25,47,.532,21,50,.420,10,12,.833,123
69,MEM,2025-03-25,@,UTA,"W, 140-103",240,52,98,.531,32,53,.604,20,45,.444,16,18,.889,140,34,78,.436,17,36,.472,17,42,.405,18,22,.818,103
70,MEM,2025-02-25,,PHO,"W, 151-148 (OT)",265,52,99,.525,32,51,.627,20,48,.417,27,30,.900,151,53,99,.535,32,62,.516,21,37,.568,21,26,.808,148
71,MEM,2025-02-02,@,MIL,"W, 132-119",240,52,107,.486,38,68,.559,14,39,.359,14,22,.636,132,44,91,.484,24,46,.522,20,45,.444,11,19,.579,119
72,MEM,2024-12-13,,BRK,"W, 135-119",240,52,99,.525,35,63,.556,17,36,.472,14,21,.667,135,42,92,.457,22,39,.564,20,53,.377,15,19,.789,119
73,MIA,2024-12-04,,LAL,"W, 134-93",240,52,90,.578,28,43,.651,24,47,.511,6,9,.667,134,37,88,.420,32,66,.485,5,22,.227,14,19,.737,93
74,MIL,2025-03-05,,DAL,"W, 137-107",240,52,89,.584,36,54,.667,16,35,.457,17,19,.895,137,45,98,.459,32,59,.542,13,39,.333,4,10,.400,107
75,MIL,2025-01-27,@,UTA,"W, 125-110",240,52,86,.605,40,52,.769,12,34,.353,9,17,.529,125,41,100,.410,23,46,.500,18,54,.333,10,13,.769,110
76,MIN,2025-04-01,@,DEN,"W, 140-139 (2OT)",290,52,111,.468,33,61,.541,19,50,.380,17,25,.680,140,47,86,.547,35,52,.673,12,34,.353,33,44,.750,139
77,NYK,2025-01-25,,SAC,"W, 143-120",240,52,105,.495,35,69,.507,17,36,.472,22,23,.957,143,46,95,.484,32,59,.542,14,36,.389,14,16,.875,120
78,NYK,2024-11-01,@,DET,"W, 128-98",240,52,101,.515,34,63,.540,18,38,.474,6,10,.600,128,41,81,.506,30,47,.638,11,34,.324,5,7,.714,98
79,OKC,2025-03-31,,CHI,"W, 145-117",240,52,98,.531,29,55,.527,23,43,.535,18,23,.783,145,44,98,.449,28,47,.596,16,51,.314,13,16,.813,117
80,OKC,2025-02-05,,PHO,"W, 140-109",240,52,102,.510,40,60,.667,12,42,.286,24,27,.889,140,33,70,.471,19,34,.559,14,36,.389,29,33,.879,109
81,OKC,2024-12-29,,MEM,"W, 130-106",240,52,103,.505,38,59,.644,14,44,.318,12,12,1.000,130,37,97,.381,23,46,.500,14,51,.275,18,21,.857,106
82,SAS,2025-03-04,,BRK,"W, 127-113",240,52,95,.547,34,56,.607,18,39,.462,5,10,.500,127,39,86,.453,22,36,.611,17,50,.340,18,21,.857,113
83,TOR,2025-01-01,,BRK,"W, 130-113",240,52,88,.591,36,56,.643,16,32,.500,10,13,.769,130,42,87,.483,31,50,.620,11,37,.297,18,20,.900,113
84,TOR,2024-11-01,,LAL,"L, 125-131",240,52,107,.486,42,72,.583,10,35,.286,11,13,.846,125,42,88,.477,31,56,.554,11,32,.344,36,41,.878,131
85,TOR,2024-10-30,@,CHO,"L, 133-138",240,52,91,.571,43,63,.683,9,28,.321,20,30,.667,133,49,94,.521,29,49,.592,20,45,.444,20,25,.800,138
86,UTA,2025-01-04,@,MIA,"W, 136-100",240,52,100,.520,33,54,.611,19,46,.413,13,16,.813,136,35,80,.438,26,45,.578,9,35,.257,21,30,.700,100
87,CHO,2025-03-14,@,SAS,"W, 145-134",240,51,85,.600,25,39,.641,26,46,.565,17,19,.895,145,48,95,.505,27,49,.551,21,46,.457,17,22,.773,134
88,CHI,2025-01-04,,NYK,"W, 139-126",240,51,94,.543,31,57,.544,20,37,.541,17,18,.944,139,48,97,.495,40,67,.597,8,30,.267,22,28,.786,126
89,CLE,2024-11-15,,CHI,"W, 144-126",240,51,93,.548,30,50,.600,21,43,.488,21,24,.875,144,45,88,.511,25,46,.543,20,42,.476,16,20,.800,126
90,CLE,2024-10-23,@,TOR,"W, 136-106",240,51,87,.586,37,57,.649,14,30,.467,20,26,.769,136,36,86,.419,24,55,.436,12,31,.387,22,29,.759,106
91,DEN,2024-12-16,@,SAC,"W, 130-129",240,51,102,.500,41,74,.554,10,28,.357,18,24,.750,130,49,102,.480,37,67,.552,12,35,.343,19,20,.950,129
92,DEN,2024-12-01,@,LAC,"L, 122-126",240,51,88,.580,41,64,.641,10,24,.417,10,19,.526,122,43,90,.478,25,51,.490,18,39,.462,22,27,.815,126
93,DET,2025-03-03,@,UTA,"W, 134-106",240,51,92,.554,40,51,.784,11,41,.268,21,28,.750,134,35,82,.427,25,49,.510,10,33,.303,26,32,.813,106
94,DET,2025-02-11,@,CHI,"W, 132-92",240,51,96,.531,33,55,.600,18,41,.439,12,13,.923,132,35,100,.350,25,53,.472,10,47,.213,12,19,.632,92
95,GSW,2024-10-25,@,UTA,"W, 127-86",240,51,106,.481,31,56,.554,20,50,.400,5,6,.833,127,29,92,.315,20,50,.400,9,42,.214,19,26,.731,86
96,HOU,2025-03-17,,PHI,"W, 144-137 (OT)",265,51,107,.477,29,54,.537,22,53,.415,20,24,.833,144,48,95,.505,24,46,.522,24,49,.490,17,25,.680,137
