Rk,Team,Date,H/A,Opp,Result,MP,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB
256,IND,2024-10-30,,BOS,"W, 135-132 (OT)",265,16,41,57,18,33,51
257,LAC,2024-11-04,,SAS,"W, 113-104",240,16,28,44,12,33,45
258,LAL,2025-02-27,,MIN,"W, 111-102",240,16,36,52,10,31,41
259,MEM,2025-01-24,,NOP,"W, 139-126",240,16,27,43,8,27,35
260,MEM,2024-12-31,@,PHO,"W, 117-112",240,16,35,51,10,33,43
261,MEM,2024-12-29,@,OKC,"L, 106-130",240,16,35,51,9,36,45
262,MEM,2024-11-25,,POR,"W, 123-98",240,16,44,60,19,25,44
263,MIA,2025-03-29,@,PHI,"W, 118-95",240,16,31,47,6,31,37
264,MIA,2025-02-13,@,DAL,"L, 113-118",240,16,26,42,11,29,40
265,MIN,2025-03-16,,UTA,"W, 128-102",240,16,33,49,10,34,44
266,MIN,2025-01-15,,GSW,"L, 115-116",240,16,25,41,14,31,45
267,MIN,2024-12-23,@,ATL,"L, 104-117",240,16,27,43,6,32,38
268,MIN,2024-11-10,,MIA,"L, 94-95",240,16,31,47,6,37,43
269,BRK,2025-03-10,,LAL,"W, 111-108",240,16,31,47,8,35,43
270,BRK,2025-02-24,@,WAS,"L, 99-107",240,16,23,39,7,30,37
271,BRK,2025-02-12,,PHI,"W, 100-96",240,16,34,50,9,29,38
272,BRK,2025-01-27,,SAC,"L, 96-110",240,16,23,39,11,33,44
273,BRK,2024-12-21,,UTA,"L, 94-105",240,16,34,50,10,35,45
274,NOP,2025-02-27,@,PHO,"W, 124-116",240,16,34,50,14,38,52
275,NOP,2024-12-21,,NYK,"L, 93-104",240,16,29,45,15,27,42
276,NOP,2024-11-20,@,CLE,"L, 100-128",240,16,24,40,16,36,52
277,NYK,2025-02-01,,LAL,"L, 112-128",240,16,28,44,3,34,37
278,NYK,2025-01-10,,OKC,"L, 101-126",240,16,27,43,8,38,46
279,NYK,2024-12-19,@,MIN,"W, 133-107",240,16,41,57,6,31,37
280,OKC,2025-02-24,,MIN,"L, 128-131 (OT)",265,16,37,53,11,43,54
281,ORL,2025-01-19,,DEN,"L, 100-113",240,16,23,39,13,44,57
282,ORL,2024-12-29,,BRK,"W, 102-101",240,16,26,42,9,29,38
283,ORL,2024-12-04,@,PHI,"W, 106-102",240,16,26,42,10,25,35
284,PHI,2025-01-24,,CLE,"W, 132-129",240,16,27,43,10,27,37
285,PHO,2024-11-18,,ORL,"L, 99-109",240,16,29,45,8,30,38
286,POR,2025-02-24,@,UTA,"W, 114-112",240,16,35,51,11,34,45
287,POR,2025-02-08,@,MIN,"L, 98-114",240,16,29,45,8,35,43
