Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
90,Brest,2025-03-30,8,@,Toulouse,fr Ligue 1,W 4-2,4,2,+2,47,4,0,0,0,8,5,0,2,1,0,0,Match Report
91,Brest,2024-12-15,8,,Nantes,fr Ligue 1,W 4-1,4,1,+3,51,4,0,0,0,8,6,1,0,0,1,0,Match Report
92,Osasuna,2024-09-28,7,,Barcelona,es La Liga,W 4-2,4,2,+2,27,3,1,1,0,7,4,0,1,0,1,1,Match Report
93,Bayern Munich,2024-12-07,7,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,7,5,1,0,1,0,0,Match Report
94,Bayern Munich,2024-10-19,7,,Stuttgart,de Bundesliga,W 4-0,4,0,+4,65,4,0,0,0,7,3,0,2,2,0,0,Match Report
95,Bayern Munich,2024-09-21,7,@,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,69,5,0,0,0,7,5,0,2,0,0,0,Match Report
96,Bayern Munich,2024-09-14,7,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,7,4,0,0,1,1,1,Match Report
97,Nice,2025-01-11,7,@,Reims,fr Ligue 1,W 4-2,4,2,+2,46,3,1,1,0,7,5,1,0,0,1,0,Match Report
98,Manchester Utd,2024-12-01,7,,Everton,eng Premier League,W 4-0,4,0,+4,60,4,0,0,0,7,4,1,0,0,0,2,Match Report
99,Barcelona,2024-10-26,7,@,Real Madrid,es La Liga,W 4-0,4,0,+4,57,4,0,0,0,7,6,1,0,0,0,0,Match Report
100,Athletic Club,2024-10-19,7,,Espanyol,es La Liga,W 4-1,4,1,+3,56,4,0,0,0,7,6,0,1,0,0,0,Match Report
101,Gladbach,2025-03-15,7,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,47,3,1,1,0,7,5,0,0,1,1,0,Match Report
102,Tottenham,2025-02-22,7,@,Ipswich Town,eng Premier League,W 4-1,4,1,+3,58,4,0,0,0,7,5,0,1,1,0,0,Match Report
103,Tottenham,2024-11-23,7,@,Manchester City,eng Premier League,W 4-0,4,0,+4,42,4,0,0,0,7,7,0,0,0,0,0,Match Report
104,Toulouse,2025-03-02,7,@,Angers,fr Ligue 1,W 4-0,4,0,+4,54,4,0,0,0,7,4,1,0,1,1,0,Match Report
105,Fiorentina,2024-10-27,7,,Roma,it Serie A,W 5-1,5,1,+4,39,3,1,1,0,7,5,0,1,0,1,0,Match Report
106,Real Madrid,2024-11-09,7,,Osasuna,es La Liga,W 4-0,4,0,+4,68,4,0,0,0,7,5,0,1,0,0,1,Match Report
107,Marseille,2025-02-15,7,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,+4,70,4,1,1,0,7,5,0,0,1,0,1,Match Report
108,Stuttgart,2025-04-05,7,@,Bochum,de Bundesliga,W 4-0,4,0,+4,46,4,0,0,0,7,5,1,1,0,0,0,Match Report
109,Angers,2024-10-26,7,,Saint-Étienne,fr Ligue 1,W 4-2,4,2,+2,42,3,1,1,0,7,4,0,1,1,1,0,Match Report
110,Reims,2024-10-06,7,,Montpellier,fr Ligue 1,W 4-2,4,2,+2,48,3,1,1,0,7,4,1,1,1,0,0,Match Report
111,Liverpool,2025-01-25,7,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,70,4,0,0,0,7,6,0,0,1,0,0,Match Report
112,Girona,2024-11-23,7,,Espanyol,es La Liga,W 4-1,4,1,+3,75,4,0,0,0,7,6,1,0,0,0,0,Match Report
113,Atalanta,2025-02-23,7,@,Empoli,it Serie A,W 5-0,5,0,+5,54,4,0,0,0,7,5,0,1,1,0,0,Match Report
114,Atalanta,2024-08-19,7,@,Lecce,it Serie A,W 4-0,4,0,+4,52,3,1,1,0,7,5,0,0,1,1,0,Match Report
115,Espanyol,2025-04-04,7,@,Rayo Vallecano,es La Liga,W 4-0,4,0,+4,31,3,1,1,0,7,5,1,0,0,1,0,Match Report
116,RB Leipzig,2024-09-28,7,,Augsburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,7,5,0,1,1,0,0,Match Report
117,Dortmund,2024-11-23,7,,Freiburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,7,5,0,1,0,1,0,Match Report
118,Dortmund,2024-09-13,7,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,60,3,1,1,0,7,5,0,1,1,0,0,Match Report
119,Newcastle Utd,2025-02-23,7,,Nott'ham Forest,eng Premier League,W 4-3,4,3,+1,57,3,1,1,0,7,7,0,0,0,0,0,Match Report
120,Rennes,2025-03-02,7,@,Montpellier,fr Ligue 1,W 4-0,4,0,+4,54,4,0,1,1,7,4,0,2,1,0,0,Match Report
121,Rennes,2024-11-30,7,,Saint-Étienne,fr Ligue 1,W 5-0,5,0,+5,71,3,2,2,0,7,4,0,0,1,1,1,Match Report
122,Leverkusen,2025-03-01,7,@,Eint Frankfurt,de Bundesliga,W 4-1,4,1,+3,59,4,0,0,0,7,5,0,1,1,0,0,Match Report
123,Leverkusen,2024-09-22,7,,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,78,4,0,0,0,7,1,2,0,4,0,0,Match Report
124,Brentford,2025-02-21,7,@,Leicester City,eng Premier League,W 4-0,4,0,+4,52,4,0,0,0,7,4,1,0,1,1,0,Match Report
125,Brentford,2025-01-04,7,@,Southampton,eng Premier League,W 5-0,5,0,+5,50,4,1,1,0,7,4,1,1,0,1,0,Match Report
