Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
663,Bochum,2024-12-22,4,,Heidenheim,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,4,3,0,1,0,0,0,Match Report
664,Bochum,2024-11-02,4,@,Eint Frankfurt,de Bundesliga,L 2-7,2,7,-5,36,2,0,0,0,4,2,1,0,0,1,0,Match Report
665,Bochum,2024-09-21,4,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,4,4,0,0,0,0,0,Match Report
666,Ipswich Town,2025-04-02,4,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,37,2,0,0,0,4,3,0,1,0,0,0,Match Report
667,Ipswich Town,2025-03-15,4,,Nott'ham Forest,eng Premier League,L 2-4,2,4,-2,55,2,0,0,0,4,3,0,1,0,0,0,Match Report
668,Ipswich Town,2024-09-29,4,,Aston Villa,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,4,3,0,1,0,0,0,Match Report
669,Manchester City,2025-04-02,4,,Leicester City,eng Premier League,W 2-0,2,0,+2,72,2,0,0,0,4,4,0,0,0,0,0,Match Report
670,Manchester City,2024-12-07,4,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,68,2,0,0,0,4,4,0,0,0,0,0,Match Report
671,Manchester City,2024-10-20,4,@,Wolves,eng Premier League,W 2-1,2,1,+1,77,2,0,0,0,4,2,1,0,1,0,0,Match Report
672,Strasbourg,2025-03-16,4,,Toulouse,fr Ligue 1,W 2-1,2,1,+1,57,2,0,0,0,4,4,0,0,0,0,0,Match Report
673,Cagliari,2025-01-05,4,@,Monza,it Serie A,W 2-1,2,1,+1,47,2,0,0,0,4,3,0,0,0,0,1,Match Report
674,Leverkusen,2025-03-16,4,@,Stuttgart,de Bundesliga,W 4-3,4,3,+1,57,3,0,0,0,4,2,0,0,2,0,0,Match Report
675,Leverkusen,2024-12-14,4,@,Augsburg,de Bundesliga,W 2-0,2,0,+2,65,2,0,0,0,4,4,0,0,0,0,0,Match Report
676,Leverkusen,2024-12-07,4,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,62,2,0,0,0,4,1,1,1,1,0,0,Match Report
677,Leverkusen,2024-11-30,4,@,Union Berlin,de Bundesliga,W 2-1,2,1,+1,62,2,0,0,0,4,4,0,0,0,0,0,Match Report
678,Leverkusen,2024-10-19,4,,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,54,2,0,1,1,4,4,0,0,0,0,0,Match Report
679,Lille,2024-12-01,4,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,58,0,2,2,0,4,2,0,0,0,2,0,Match Report
680,Lille,2024-11-10,4,@,Nice,fr Ligue 1,D 2-2,2,2,0,57,2,0,0,0,4,3,0,0,1,0,0,Match Report
681,Lille,2024-10-05,4,,Toulouse,fr Ligue 1,W 2-1,2,1,+1,57,2,0,0,0,4,3,0,1,0,0,0,Match Report
682,Lille,2024-08-24,4,,Angers,fr Ligue 1,W 2-0,2,0,+2,64,2,0,0,0,4,3,0,1,0,0,0,Match Report
683,Brentford,2025-01-26,4,@,Crystal Palace,eng Premier League,W 2-1,2,1,+1,53,1,1,1,0,4,3,0,0,0,1,0,Match Report
684,Brentford,2025-01-14,4,,Manchester City,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,4,4,0,0,0,0,0,Match Report
685,Roma,2025-03-02,4,,Como,it Serie A,W 2-1,2,1,+1,48,2,0,0,0,4,3,0,1,0,0,0,Match Report
686,Roma,2024-11-10,4,,Bologna,it Serie A,L 2-3,2,3,-1,54,2,0,0,0,4,4,0,0,0,0,0,Match Report
687,Roma,2024-09-29,4,,Venezia,it Serie A,W 2-1,2,1,+1,69,2,0,0,0,4,3,1,0,0,0,0,Match Report
688,Chelsea,2025-01-20,4,,Wolves,eng Premier League,W 3-1,3,1,+2,63,3,0,0,0,4,2,0,0,2,0,0,Match Report
689,Chelsea,2025-01-14,4,,Bournemouth,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,4,1,0,2,0,1,0,Match Report
690,Chelsea,2024-12-15,4,,Brentford,eng Premier League,W 2-1,2,1,+1,62,2,0,0,0,4,4,0,0,0,0,0,Match Report
691,Chelsea,2024-10-27,4,,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,4,2,0,1,0,0,1,Match Report
692,Brighton,2025-03-08,4,,Fulham,eng Premier League,W 2-1,2,1,+1,53,1,1,1,0,4,1,1,0,0,2,0,Match Report
693,Brighton,2025-02-25,4,,Bournemouth,eng Premier League,W 2-1,2,1,+1,44,1,1,1,0,4,2,0,1,0,1,0,Match Report
694,Brighton,2025-01-16,4,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,4,2,1,0,0,1,0,Match Report
695,Brighton,2024-12-30,4,@,Aston Villa,eng Premier League,D 2-2,2,2,0,41,2,0,0,0,4,3,0,1,0,0,0,Match Report
696,Brighton,2024-12-08,4,@,Leicester City,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,4,3,0,1,0,0,0,Match Report
697,Brighton,2024-11-09,4,,Manchester City,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,4,4,0,0,0,0,0,Match Report
698,Brighton,2024-09-22,4,,Nott'ham Forest,eng Premier League,D 2-2,2,2,0,70,2,0,0,0,4,3,0,0,0,1,0,Match Report
699,Brighton,2024-08-24,4,,Manchester Utd,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,4,4,0,0,0,0,0,Match Report
700,Saint-Étienne,2024-10-26,4,@,Angers,fr Ligue 1,L 2-4,2,4,-2,58,1,1,1,0,4,1,1,1,0,1,0,Match Report
701,Saint-Étienne,2024-09-29,4,@,Nantes,fr Ligue 1,D 2-2,2,2,0,39,1,1,1,0,4,3,0,0,0,1,0,Match Report
702,Everton,2025-02-12,4,,Liverpool,eng Premier League,D 2-2,2,2,0,37,2,0,0,0,4,2,1,0,0,1,0,Match Report
703,Everton,2025-01-19,4,,Tottenham,eng Premier League,W 3-2,3,2,+1,36,2,0,0,0,4,1,0,3,0,0,0,Match Report
704,Everton,2024-10-19,4,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,45,2,0,0,0,4,3,0,1,0,0,0,Match Report
705,Everton,2024-09-28,4,,Crystal Palace,eng Premier League,W 2-1,2,1,+1,41,2,0,0,0,4,1,0,0,0,1,2,Match Report
706,Everton,2024-08-31,4,,Bournemouth,eng Premier League,L 2-3,2,3,-1,47,2,0,0,0,4,4,0,0,0,0,0,Match Report
707,Napoli,2025-03-30,4,,Milan,it Serie A,W 2-1,2,1,+1,51,2,0,0,0,4,4,0,0,0,0,0,Match Report
708,Napoli,2025-01-25,4,,Juventus,it Serie A,W 2-1,2,1,+1,49,1,1,1,0,4,3,0,0,0,1,0,Match Report
709,Napoli,2024-12-21,4,@,Genoa,it Serie A,W 2-1,2,1,+1,62,2,0,0,0,4,2,1,0,0,1,0,Match Report
710,Napoli,2024-12-14,4,@,Udinese,it Serie A,W 3-1,3,1,+2,70,2,0,0,0,4,4,0,0,0,0,0,Match Report
711,Napoli,2024-10-29,4,@,Milan,it Serie A,W 2-0,2,0,+2,39,2,0,0,0,4,4,0,0,0,0,0,Match Report
712,Napoli,2024-08-31,4,,Parma,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,4,4,0,0,0,0,0,Match Report
713,Lyon,2025-03-09,4,@,Nice,fr Ligue 1,W 2-0,2,0,+2,63,2,0,0,0,4,4,0,0,0,0,0,Match Report
714,Lyon,2025-03-02,4,,Brest,fr Ligue 1,W 2-1,2,1,+1,66,2,0,0,0,4,4,0,0,0,0,0,Match Report
715,Lyon,2025-02-23,4,,Paris S-G,fr Ligue 1,L 2-3,2,3,-1,35,2,0,0,0,4,3,0,1,0,0,0,Match Report
716,Lyon,2024-09-22,4,,Marseille,fr Ligue 1,L 2-3,2,3,-1,63,2,0,1,1,4,3,0,1,0,0,0,Match Report
717,Inter,2025-03-30,4,,Udinese,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,4,4,0,0,0,0,0,Match Report
718,Inter,2025-03-16,4,@,Atalanta,it Serie A,W 2-0,2,0,+2,51,2,0,0,0,4,3,1,0,0,0,0,Match Report
719,Inter,2025-03-08,4,,Monza,it Serie A,W 3-2,3,2,+1,69,2,0,0,0,4,4,0,0,0,0,0,Match Report
720,Inter,2024-12-23,4,,Como,it Serie A,W 2-0,2,0,+2,62,2,0,0,0,4,2,1,0,1,0,0,Match Report
721,Inter,2024-08-17,4,@,Genoa,it Serie A,D 2-2,2,2,0,68,2,0,0,0,4,4,0,0,0,0,0,Match Report
722,Nantes,2025-03-30,4,@,Le Havre,fr Ligue 1,L 2-3,2,3,-1,48,2,0,0,0,4,4,0,0,0,0,0,Match Report
723,Nantes,2025-02-02,4,@,Reims,fr Ligue 1,W 2-1,2,1,+1,45,2,0,0,0,4,3,0,1,0,0,0,Match Report
724,Nantes,2024-11-09,4,@,Lens,fr Ligue 1,L 2-3,2,3,-1,33,1,1,1,0,4,3,0,0,0,1,0,Match Report
725,Nantes,2024-09-29,4,,Saint-Étienne,fr Ligue 1,D 2-2,2,2,0,61,2,0,0,0,4,3,0,1,0,0,0,Match Report
726,Atlético Madrid,2025-04-06,4,@,Sevilla,es La Liga,W 2-1,2,1,+1,56,1,1,1,0,4,2,0,1,0,1,0,Match Report
727,Atlético Madrid,2025-03-16,4,,Barcelona,es La Liga,L 2-4,2,4,-2,35,2,0,0,0,4,4,0,0,0,0,0,Match Report
728,Atlético Madrid,2024-12-21,4,@,Barcelona,es La Liga,W 2-1,2,1,+1,38,2,0,0,0,4,4,0,0,0,0,0,Match Report
729,Atlético Madrid,2024-11-03,4,,Las Palmas,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,4,4,0,0,0,0,0,Match Report
730,Atlético Madrid,2024-08-19,4,@,Villarreal,es La Liga,D 2-2,2,2,0,56,2,0,0,0,4,4,0,0,0,0,0,Match Report
731,Milan,2025-04-05,4,,Fiorentina,it Serie A,D 2-2,2,2,0,52,2,0,0,0,4,4,0,0,0,0,0,Match Report
732,Milan,2025-03-15,4,,Como,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,4,4,0,0,0,0,0,Match Report
733,Milan,2025-03-08,4,@,Lecce,it Serie A,W 3-2,3,2,+1,70,1,1,1,0,4,3,0,0,0,1,0,Match Report
734,Milan,2025-02-08,4,@,Empoli,it Serie A,W 2-0,2,0,+2,61,2,0,0,0,4,3,0,1,0,0,0,Match Report
735,Milan,2024-09-22,4,@,Inter,it Serie A,W 2-1,2,1,+1,43,2,0,0,0,4,1,1,0,0,1,1,Match Report
736,Milan,2024-08-31,4,@,Lazio,it Serie A,D 2-2,2,2,0,57,2,0,0,0,4,3,1,0,0,0,0,Match Report
737,Valencia,2025-03-08,4,,Valladolid,es La Liga,W 2-1,2,1,+1,62,2,0,0,0,4,3,0,1,0,0,0,Match Report
738,Valencia,2025-02-09,4,,Leganés,es La Liga,W 2-0,2,0,+2,44,2,0,0,0,4,3,0,0,1,0,0,Match Report
739,Valencia,2025-02-02,4,,Celta Vigo,es La Liga,W 2-1,2,1,+1,46,2,0,0,0,4,4,0,0,0,0,0,Match Report
740,Valencia,2024-12-22,4,,Alavés,es La Liga,D 2-2,2,2,0,62,1,1,1,0,4,3,0,0,0,1,0,Match Report
741,Juventus,2025-03-03,4,,Hellas Verona,it Serie A,W 2-0,2,0,+2,75,2,0,0,0,4,4,0,0,0,0,0,Match Report
742,Juventus,2025-02-07,4,@,Como,it Serie A,W 2-1,2,1,+1,48,1,1,1,0,4,1,1,1,0,1,0,Match Report
743,Juventus,2025-01-18,4,,Milan,it Serie A,W 2-0,2,0,+2,60,2,0,0,0,4,3,0,0,0,0,1,Match Report
744,Juventus,2024-12-29,4,,Fiorentina,it Serie A,D 2-2,2,2,0,62,2,0,0,0,4,4,0,0,0,0,0,Match Report
745,Juventus,2024-12-07,4,,Bologna,it Serie A,D 2-2,2,2,0,54,2,0,0,0,4,4,0,0,0,0,0,Match Report
746,Juventus,2024-10-30,4,,Parma,it Serie A,D 2-2,2,2,0,61,2,0,0,0,4,3,1,0,0,0,0,Match Report
747,Paris S-G,2025-03-16,4,,Marseille,fr Ligue 1,W 3-1,3,1,+2,60,2,0,0,0,4,3,0,1,0,0,0,Match Report
748,Paris S-G,2025-01-18,4,@,Lens,fr Ligue 1,W 2-1,2,1,+1,66,2,0,0,0,4,4,0,0,0,0,0,Match Report
749,Paris S-G,2024-10-27,4,@,Marseille,fr Ligue 1,W 3-0,3,0,+3,74,2,0,0,0,4,3,0,0,1,0,0,Match Report
750,Real Sociedad,2025-03-29,4,,Valladolid,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,4,2,1,0,0,1,0,Match Report
751,Real Sociedad,2025-03-16,4,@,Rayo Vallecano,es La Liga,D 2-2,2,2,0,45,2,0,0,0,4,3,1,0,0,0,0,Match Report
752,Real Sociedad,2025-02-09,4,,Espanyol,es La Liga,W 2-1,2,1,+1,68,2,0,0,0,4,4,0,0,0,0,0,Match Report
753,Real Sociedad,2024-11-03,4,@,Sevilla,es La Liga,W 2-0,2,0,+2,45,1,1,1,0,4,2,0,1,0,1,0,Match Report
754,Nott'ham Forest,2024-12-29,4,@,Everton,eng Premier League,W 2-0,2,0,+2,36,2,0,0,0,4,4,0,0,0,0,0,Match Report
755,Nott'ham Forest,2024-12-14,4,,Aston Villa,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,4,3,0,0,0,0,1,Match Report
756,Nott'ham Forest,2024-12-07,4,@,Manchester Utd,eng Premier League,W 3-2,3,2,+1,29,3,0,0,0,4,3,1,0,0,0,0,Match Report
757,Nott'ham Forest,2024-10-25,4,@,Leicester City,eng Premier League,W 3-1,3,1,+2,35,3,0,0,0,4,3,0,0,1,0,0,Match Report
758,Parma,2025-04-05,4,,Inter,it Serie A,D 2-2,2,2,0,37,2,0,0,0,4,4,0,0,0,0,0,Match Report
759,Parma,2024-12-28,4,,Monza,it Serie A,W 2-1,2,1,+1,44,1,1,1,0,4,1,1,0,1,1,0,Match Report
760,Parma,2024-10-30,4,@,Juventus,it Serie A,D 2-2,2,2,0,39,2,0,0,0,4,4,0,0,0,0,0,Match Report
761,Parma,2024-09-30,4,,Cagliari,it Serie A,L 2-3,2,3,-1,60,1,1,1,0,4,2,0,1,0,1,0,Match Report
762,Parma,2024-09-16,4,,Udinese,it Serie A,L 2-3,2,3,-1,47,2,0,0,0,4,2,1,1,0,0,0,Match Report
763,Parma,2024-08-24,4,,Milan,it Serie A,W 2-1,2,1,+1,39,2,0,0,0,4,4,0,0,0,0,0,Match Report
764,Eint Frankfurt,2025-02-16,4,,Holstein Kiel,de Bundesliga,W 3-1,3,1,+2,51,3,0,1,1,4,2,1,0,0,0,1,Match Report
765,Eint Frankfurt,2025-01-26,4,@,Hoffenheim,de Bundesliga,D 2-2,2,2,0,49,1,1,1,0,4,2,0,1,0,1,0,Match Report
766,Eint Frankfurt,2024-12-07,4,,Augsburg,de Bundesliga,D 2-2,2,2,0,66,2,0,0,0,4,2,0,1,0,1,0,Match Report
767,Celta Vigo,2025-04-05,4,@,Mallorca,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,4,4,0,0,0,0,0,Match Report
768,Celta Vigo,2025-03-08,4,,Leganés,es La Liga,W 2-1,2,1,+1,56,2,0,0,0,4,4,0,0,0,0,0,Match Report
769,Celta Vigo,2025-03-01,4,@,Girona,es La Liga,D 2-2,2,2,0,49,1,1,1,0,4,3,0,0,0,1,0,Match Report
770,Celta Vigo,2024-12-21,4,,Real Sociedad,es La Liga,W 2-0,2,0,+2,42,2,0,0,0,4,4,0,0,0,0,0,Match Report
771,Celta Vigo,2024-12-06,4,,Mallorca,es La Liga,W 2-0,2,0,+2,50,2,0,0,0,4,4,0,0,0,0,0,Match Report
772,Celta Vigo,2024-11-23,4,,Barcelona,es La Liga,D 2-2,2,2,0,41,2,0,0,0,4,3,0,1,0,0,0,Match Report
773,Celta Vigo,2024-08-23,4,,Valencia,es La Liga,W 3-1,3,1,+2,49,3,0,1,1,4,4,0,0,0,0,0,Match Report
774,Brest,2025-02-14,4,,Auxerre,fr Ligue 1,D 2-2,2,2,0,64,2,0,0,0,4,3,0,0,0,1,0,Match Report
775,Brest,2025-01-18,4,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,32,2,0,0,0,4,3,0,0,1,0,0,Match Report
776,Brest,2024-11-30,4,,Strasbourg,fr Ligue 1,W 3-1,3,1,+2,38,2,1,2,1,4,3,0,0,0,0,1,Match Report
777,Brest,2024-11-22,4,@,Monaco,fr Ligue 1,L 2-3,2,3,-1,49,2,0,0,0,4,3,1,0,0,0,0,Match Report
778,Brest,2024-09-22,4,,Toulouse,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,4,4,0,0,0,0,0,Match Report
779,Betis,2025-03-30,4,,Sevilla,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,4,4,0,0,0,0,0,Match Report
780,Betis,2025-03-16,4,@,Leganés,es La Liga,W 3-2,3,2,+1,64,2,1,1,0,4,2,0,0,1,1,0,Match Report
781,Betis,2025-03-01,4,,Real Madrid,es La Liga,W 2-1,2,1,+1,42,1,1,1,0,4,2,1,0,0,1,0,Match Report
782,Betis,2025-02-23,4,@,Getafe,es La Liga,W 2-1,2,1,+1,51,1,1,1,0,4,2,0,1,0,1,0,Match Report
783,Betis,2024-12-07,4,,Barcelona,es La Liga,D 2-2,2,2,0,38,1,1,1,0,4,3,0,0,0,1,0,Match Report
784,Betis,2024-11-10,4,,Celta Vigo,es La Liga,D 2-2,2,2,0,56,2,0,0,0,4,4,0,0,0,0,0,Match Report
785,Lens,2025-01-12,4,@,Le Havre,fr Ligue 1,W 2-1,2,1,+1,69,2,0,0,0,4,4,0,0,0,0,0,Match Report
786,Lens,2024-11-29,4,@,Reims,fr Ligue 1,W 2-0,2,0,+2,48,2,0,0,0,4,3,0,1,0,0,0,Match Report
787,Lens,2024-11-09,4,,Nantes,fr Ligue 1,W 3-2,3,2,+1,67,2,1,1,0,4,2,0,0,1,1,0,Match Report
788,Monaco,2025-03-29,4,,Nice,fr Ligue 1,W 2-1,2,1,+1,58,2,0,1,1,4,3,0,1,0,0,0,Match Report
789,Monaco,2025-01-10,4,@,Nantes,fr Ligue 1,D 2-2,2,2,0,68,2,0,0,0,4,3,1,0,0,0,0,Match Report
790,Monaco,2024-11-22,4,,Brest,fr Ligue 1,W 3-2,3,2,+1,51,3,0,0,0,4,4,0,0,0,0,0,Match Report
791,Monaco,2024-10-05,4,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,42,2,0,0,0,4,2,1,1,0,0,0,Match Report
792,Monaco,2024-09-28,4,,Montpellier,fr Ligue 1,W 2-1,2,1,+1,65,2,0,0,0,4,4,0,0,0,0,0,Match Report
793,Monaco,2024-09-14,4,@,Auxerre,fr Ligue 1,W 3-0,3,0,+3,59,3,0,0,0,4,1,1,1,1,0,0,Match Report
794,Monaco,2024-08-24,4,@,Lyon,fr Ligue 1,W 2-0,2,0,+2,60,2,0,0,0,4,4,0,0,0,0,0,Match Report
795,Fulham,2025-03-16,4,,Tottenham,eng Premier League,W 2-0,2,0,+2,57,2,0,0,0,4,4,0,0,0,0,0,Match Report
796,Fulham,2025-02-25,4,@,Wolves,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,4,4,0,0,0,0,0,Match Report
797,Fulham,2025-02-01,4,@,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,4,2,1,0,0,1,0,Match Report
798,Fulham,2025-01-14,4,@,West Ham,eng Premier League,L 2-3,2,3,-1,56,2,0,0,0,4,3,0,0,0,0,1,Match Report
799,Fulham,2025-01-05,4,,Ipswich Town,eng Premier League,D 2-2,2,2,0,73,0,2,2,0,4,2,0,0,0,2,0,Match Report
800,Fulham,2024-12-29,4,,Bournemouth,eng Premier League,D 2-2,2,2,0,52,2,0,0,0,4,2,2,0,0,0,0,Match Report
801,Fulham,2024-12-14,4,@,Liverpool,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,4,4,0,0,0,0,0,Match Report
802,Fulham,2024-11-09,4,@,Crystal Palace,eng Premier League,W 2-0,2,0,+2,64,2,0,0,0,4,3,0,0,0,0,1,Match Report
803,Fulham,2024-11-04,4,,Brentford,eng Premier League,W 2-1,2,1,+1,68,2,0,0,0,4,4,0,0,0,0,0,Match Report
804,Fulham,2024-10-05,4,@,Manchester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,4,4,0,0,0,0,0,Match Report
805,Fulham,2024-09-21,4,,Newcastle Utd,eng Premier League,W 3-1,3,1,+2,39,3,0,0,0,4,4,0,0,0,0,0,Match Report
806,Fulham,2024-08-24,4,,Leicester City,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,4,4,0,0,0,0,0,Match Report
807,Lecce,2024-12-15,4,,Monza,it Serie A,W 2-1,2,1,+1,45,2,0,1,1,4,4,0,0,0,0,0,Match Report
808,Lecce,2024-09-21,4,,Parma,it Serie A,D 2-2,2,2,0,39,2,0,0,0,4,3,0,0,0,1,0,Match Report
809,Las Palmas,2025-03-14,3,,Alavés,es La Liga,D 2-2,2,2,0,61,1,1,1,0,3,3,0,0,0,0,0,Match Report
810,Las Palmas,2024-12-07,3,,Valladolid,es La Liga,W 2-1,2,1,+1,58,2,0,0,0,3,2,0,0,1,0,0,Match Report
811,Las Palmas,2024-11-23,3,,Mallorca,es La Liga,L 2-3,2,3,-1,61,1,1,1,0,3,2,0,0,0,1,0,Match Report
812,Las Palmas,2024-11-08,3,@,Rayo Vallecano,es La Liga,W 3-1,3,1,+2,36,2,0,0,0,3,2,1,0,0,0,0,Match Report
813,Hoffenheim,2025-01-26,3,,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,51,2,0,0,0,3,3,0,0,0,0,0,Match Report
814,Osasuna,2025-02-02,3,,Real Sociedad,es La Liga,W 2-1,2,1,+1,38,2,0,0,0,3,2,1,0,0,0,0,Match Report
815,Osasuna,2024-09-01,3,,Celta Vigo,es La Liga,W 3-2,3,2,+1,50,2,0,0,0,3,2,0,0,1,0,0,Match Report
816,Udinese,2024-12-29,3,,Torino,it Serie A,D 2-2,2,2,0,44,2,0,0,0,3,0,1,0,2,0,0,Match Report
817,Udinese,2024-12-23,3,@,Fiorentina,it Serie A,W 2-1,2,1,+1,49,2,0,0,0,3,3,0,0,0,0,0,Match Report
818,Bayern Munich,2025-04-04,3,@,Augsburg,de Bundesliga,W 3-1,3,1,+2,69,2,0,0,0,3,1,1,0,1,0,0,Match Report
819,Bayern Munich,2025-03-08,3,,Bochum,de Bundesliga,L 2-3,2,3,-1,73,2,0,1,1,3,2,0,0,1,0,0,Match Report
820,Bayern Munich,2024-09-01,3,,Freiburg,de Bundesliga,W 2-0,2,0,+2,66,1,1,1,0,3,1,0,1,1,0,0,Match Report
821,Augsburg,2024-12-07,3,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,34,2,0,0,0,3,2,0,0,1,0,0,Match Report
822,Hellas Verona,2024-12-30,3,@,Bologna,it Serie A,W 3-2,3,2,+1,33,2,0,0,0,3,3,0,0,0,0,0,Match Report
823,Hellas Verona,2024-09-01,3,@,Genoa,it Serie A,W 2-0,2,0,+2,42,1,1,1,0,3,2,1,0,0,0,0,Match Report
824,Torino,2025-01-24,3,,Cagliari,it Serie A,W 2-0,2,0,+2,50,2,0,0,0,3,2,0,0,1,0,0,Match Report
825,Torino,2024-12-29,3,@,Udinese,it Serie A,D 2-2,2,2,0,56,2,0,0,0,3,2,0,0,1,0,0,Match Report
826,Torino,2024-10-05,3,@,Inter,it Serie A,L 2-3,2,3,-1,20,1,1,1,0,3,1,0,1,0,1,0,Match Report
827,Torino,2024-08-25,3,,Atalanta,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,3,2,0,0,1,0,0,Match Report
828,Nice,2025-03-01,3,@,Saint-Étienne,fr Ligue 1,W 3-1,3,1,+2,38,2,0,0,0,3,2,0,0,1,0,0,Match Report
829,Nice,2025-01-26,3,,Marseille,fr Ligue 1,W 2-0,2,0,+2,29,2,0,0,0,3,2,0,0,0,0,1,Match Report
830,Arsenal,2025-04-01,3,,Fulham,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,3,2,0,0,1,0,0,Match Report
831,Arsenal,2024-10-05,3,,Southampton,eng Premier League,W 3-1,3,1,+2,59,3,0,0,0,3,3,0,0,0,0,0,Match Report
832,Heidenheim,2025-01-11,3,,Union Berlin,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,3,2,0,0,1,0,0,Match Report
833,Heidenheim,2024-12-07,3,@,Bayern Munich,de Bundesliga,L 2-4,2,4,-2,18,2,0,0,0,3,2,0,1,0,0,0,Match Report
834,Manchester Utd,2025-02-26,3,,Ipswich Town,eng Premier League,W 3-2,3,2,+1,45,2,0,0,0,3,1,1,0,1,0,0,Match Report
835,Manchester Utd,2025-02-22,3,@,Everton,eng Premier League,D 2-2,2,2,0,62,2,0,0,0,3,1,0,0,1,1,0,Match Report
836,Manchester Utd,2025-01-16,3,,Southampton,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,3,2,0,0,1,0,0,Match Report
837,Manchester Utd,2025-01-05,3,@,Liverpool,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,3,3,0,0,0,0,0,Match Report
838,Manchester Utd,2024-12-07,3,,Nott'ham Forest,eng Premier League,L 2-3,2,3,-1,71,2,0,0,0,3,1,0,1,1,0,0,Match Report
839,Bologna,2025-02-27,3,,Milan,it Serie A,W 2-1,2,1,+1,57,2,0,0,0,3,1,1,0,1,0,0,Match Report
840,Bologna,2025-01-15,3,@,Inter,it Serie A,D 2-2,2,2,0,52,2,0,0,0,3,2,0,0,1,0,0,Match Report
841,Bologna,2025-01-12,3,,Roma,it Serie A,D 2-2,2,2,0,54,1,1,1,0,3,2,0,0,1,0,0,Match Report
842,Bologna,2024-12-30,3,,Hellas Verona,it Serie A,L 2-3,2,3,-1,67,2,0,0,0,3,1,0,0,2,0,0,Match Report
843,Bologna,2024-10-19,3,@,Genoa,it Serie A,D 2-2,2,2,0,61,2,0,0,0,3,2,1,0,0,0,0,Match Report
844,Bologna,2024-09-14,3,@,Como,it Serie A,D 2-2,2,2,0,56,2,0,0,0,3,1,0,1,1,0,0,Match Report
845,Barcelona,2025-02-22,3,@,Las Palmas,es La Liga,W 2-0,2,0,+2,69,2,0,0,0,3,2,0,1,0,0,0,Match Report
846,Barcelona,2024-11-23,3,@,Celta Vigo,es La Liga,D 2-2,2,2,0,59,2,0,0,0,3,2,0,1,0,0,0,Match Report
847,Barcelona,2024-08-17,3,@,Valencia,es La Liga,W 2-1,2,1,+1,63,1,1,1,0,3,1,0,0,1,1,0,Match Report
848,Montpellier,2024-10-06,3,@,Reims,fr Ligue 1,L 2-4,2,4,-2,52,2,0,0,0,3,1,1,1,0,0,0,Match Report
849,Como,2025-02-16,3,@,Fiorentina,it Serie A,W 2-0,2,0,+2,49,2,0,0,0,3,2,0,1,0,0,0,Match Report
850,Como,2024-12-30,3,,Lecce,it Serie A,W 2-0,2,0,+2,56,2,0,1,1,3,2,0,0,1,0,0,Match Report
851,Como,2024-12-15,3,,Roma,it Serie A,W 2-0,2,0,+2,38,2,0,0,0,3,3,0,0,0,0,0,Match Report
852,Villarreal,2024-11-24,3,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,3,1,0,0,1,1,0,Match Report
853,Mallorca,2024-09-27,3,@,Valladolid,es La Liga,W 2-1,2,1,+1,49,2,0,0,0,3,2,0,0,0,0,1,Match Report
