Rk,Team,Date,SoTA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SoTA,Saves,Save%,Match Report
67,Angers,2024-09-29,10,,Reims,fr Ligue 1,L 1-3,1,3,-2,53,1,0,0,0,10,7,70.0,Match Report
68,Reims,2024-08-25,10,@,Marseille,fr Ligue 1,D 2-2,2,2,0,34,2,0,0,0,10,8,80.0,Match Report
69,RB Leipzig,2024-08-31,10,@,Leverkusen,de Bundesliga,W 3-2,3,2,+1,38,3,0,0,0,10,8,80.0,Match Report
70,Newcastle Utd,2025-01-18,10,,Bournemouth,eng Premier League,L 1-4,1,4,-3,56,1,0,0,0,10,6,60.0,Match Report
71,Bochum,2024-10-27,10,,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,28,0,0,0,0,10,5,50.0,Match Report
72,Strasbourg,2024-10-19,10,@,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,45,2,0,0,0,10,6,60.0,Match Report
73,Brentford,2024-12-04,10,@,Aston Villa,eng Premier League,L 1-3,1,3,-2,51,1,0,0,0,10,7,80.0,Match Report
74,Roma,2024-10-27,10,@,Fiorentina,it Serie A,L 1-5,1,5,-4,61,1,0,0,0,10,6,60.0,Match Report
75,Saint-Étienne,2025-03-29,10,,Paris S-G,fr Ligue 1,L 1-6,1,6,-5,47,1,0,0,0,10,4,50.0,Match Report
76,Saint-Étienne,2024-12-08,10,,Marseille,fr Ligue 1,L 0-2,0,2,-2,32,0,0,0,0,10,7,80.0,Match Report
77,Nantes,2024-11-30,10,@,Paris S-G,fr Ligue 1,D 1-1,1,1,0,16,1,0,0,0,10,9,90.0,Match Report
78,Real Sociedad,2025-03-02,10,@,Barcelona,es La Liga,L 0-4,0,4,-4,24,0,0,0,0,10,6,60.0,Match Report
79,Nott'ham Forest,2025-02-15,10,@,Fulham,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,10,8,80.0,Match Report
80,Nott'ham Forest,2025-01-25,10,@,Bournemouth,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,10,5,50.0,Match Report
81,Eint Frankfurt,2025-02-23,10,@,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,37,0,0,0,0,10,6,60.0,Match Report
82,Eint Frankfurt,2024-11-10,10,@,Stuttgart,de Bundesliga,W 3-2,3,2,+1,40,3,0,0,0,10,7,80.0,Match Report
83,Lecce,2024-09-21,10,,Parma,it Serie A,D 2-2,2,2,0,39,2,0,0,0,10,8,80.0,Match Report
84,Osasuna,2024-10-27,9,@,Real Sociedad,es La Liga,W 2-0,2,0,+2,26,2,0,0,0,9,9,100.0,Match Report
85,Udinese,2025-01-26,9,,Roma,it Serie A,L 1-2,1,2,-1,49,1,0,0,0,9,7,100.0,Match Report
86,Hellas Verona,2025-03-03,9,@,Juventus,it Serie A,L 0-2,0,2,-2,25,0,0,0,0,9,7,77.8,Match Report
87,Torino,2025-01-11,9,,Juventus,it Serie A,D 1-1,1,1,0,41,1,0,0,0,9,8,88.9,Match Report
88,Torino,2024-08-25,9,,Atalanta,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,9,7,88.9,Match Report
89,Valladolid,2024-11-30,9,,Atlético Madrid,es La Liga,L 0-5,0,5,-5,45,0,0,0,0,9,4,44.4,Match Report
90,Valladolid,2024-10-26,9,,Villarreal,es La Liga,L 1-2,1,2,-1,45,0,1,1,0,9,7,77.8,Match Report
91,Valladolid,2024-09-15,9,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,46,1,0,0,0,9,6,66.7,Match Report
92,Valladolid,2024-08-25,9,@,Real Madrid,es La Liga,L 0-3,0,3,-3,37,0,0,0,0,9,6,66.7,Match Report
93,Monza,2025-03-08,9,@,Inter,it Serie A,L 2-3,2,3,-1,31,2,0,0,0,9,7,66.7,Match Report
94,Monza,2025-02-09,9,@,Lazio,it Serie A,L 1-5,1,5,-4,39,0,1,1,0,9,4,44.4,Match Report
95,Monza,2024-12-22,9,,Juventus,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,9,7,77.8,Match Report
96,Villarreal,2024-09-22,9,,Barcelona,es La Liga,L 1-5,1,5,-4,37,1,0,0,0,9,4,44.4,Match Report
97,Mallorca,2024-12-03,9,,Barcelona,es La Liga,L 1-5,1,5,-4,41,1,0,0,0,9,4,55.6,Match Report
98,Holstein Kiel,2025-02-16,9,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,9,5,66.7,Match Report
99,Gladbach,2025-04-06,9,@,St. Pauli,de Bundesliga,D 1-1,1,1,0,37,1,0,0,0,9,8,88.9,Match Report
100,Southampton,2025-01-16,9,@,Manchester Utd,eng Premier League,L 1-3,1,3,-2,40,0,0,0,0,9,6,66.7,Match Report
101,Southampton,2024-12-29,9,@,Crystal Palace,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,9,7,77.8,Match Report
102,Southampton,2024-12-15,9,,Tottenham,eng Premier League,L 0-5,0,5,-5,42,0,0,0,0,9,4,44.4,Match Report
103,Wolfsburg,2024-12-13,9,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,47,2,0,0,0,9,6,66.7,Match Report
104,Auxerre,2024-09-14,9,,Monaco,fr Ligue 1,L 0-3,0,3,-3,41,0,0,0,0,9,6,66.7,Match Report
105,Le Havre,2024-08-16,9,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,24,1,0,0,0,9,5,66.7,Match Report
106,West Ham,2024-12-16,9,@,Bournemouth,eng Premier League,D 1-1,1,1,0,48,0,1,1,0,9,8,88.9,Match Report
107,Leganés,2025-03-29,9,@,Real Madrid,es La Liga,L 2-3,2,3,-1,30,2,0,0,0,9,6,77.8,Match Report
108,Leganés,2024-12-22,9,,Villarreal,es La Liga,L 2-5,2,5,-3,36,1,1,1,0,9,4,66.7,Match Report
109,Reims,2025-03-09,9,,Auxerre,fr Ligue 1,L 0-2,0,2,-2,57,0,0,0,0,9,7,77.8,Match Report
110,Reims,2025-02-28,9,@,Monaco,fr Ligue 1,L 0-3,0,3,-3,44,0,0,0,0,9,6,66.7,Match Report
111,Reims,2025-02-09,9,@,Lyon,fr Ligue 1,L 0-4,0,4,-4,33,0,0,0,0,9,5,55.6,Match Report
112,Reims,2025-01-11,9,,Nice,fr Ligue 1,L 2-4,2,4,-2,54,2,0,0,0,9,5,66.7,Match Report
113,Alavés,2024-10-06,9,,Barcelona,es La Liga,L 0-3,0,3,-3,29,0,0,0,0,9,6,66.7,Match Report
114,Girona,2025-03-30,9,@,Barcelona,es La Liga,L 1-4,1,4,-3,31,1,0,0,0,9,6,55.6,Match Report
115,Girona,2024-09-15,9,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,9,5,55.6,Match Report
116,Freiburg,2024-10-26,9,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,9,6,66.7,Match Report
117,Espanyol,2024-11-03,9,@,Barcelona,es La Liga,L 1-3,1,3,-2,24,1,0,0,0,9,6,66.7,Match Report
118,RB Leipzig,2025-03-15,9,,Dortmund,de Bundesliga,W 2-0,2,0,+2,34,2,0,0,0,9,9,100.0,Match Report
119,RB Leipzig,2024-12-20,9,@,Bayern Munich,de Bundesliga,L 1-5,1,5,-4,29,1,0,0,0,9,4,44.4,Match Report
120,Sevilla,2024-12-08,9,@,Atlético Madrid,es La Liga,L 3-4,3,4,-1,43,3,0,0,0,9,5,55.6,Match Report
121,Sevilla,2024-10-20,9,@,Barcelona,es La Liga,L 1-5,1,5,-4,33,1,0,0,0,9,4,55.6,Match Report
122,Dortmund,2025-02-15,9,@,Bochum,de Bundesliga,L 0-2,0,2,-2,69,0,0,0,0,9,6,77.8,Match Report
123,Dortmund,2024-11-09,9,@,Mainz 05,de Bundesliga,L 1-3,1,3,-2,47,0,1,1,0,9,6,66.7,Match Report
124,Dortmund,2024-09-22,9,@,Stuttgart,de Bundesliga,L 1-5,1,5,-4,48,1,0,0,0,9,4,44.4,Match Report
