Rk,Team,Date,Off,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Off,PKwon,PKcon,OG,Recov,Match Report
75,Villarreal,2024-11-24,5,@,Osasuna,es La Liga,D 2-2,2,2,0,59,1,1,1,0,5,1,1,0,57,Match Report
76,Villarreal,2024-09-30,5,,Las Palmas,es La Liga,W 3-1,3,1,+2,43,3,0,1,1,5,1,0,0,37,Match Report
77,Athletic Club,2024-08-24,5,@,Barcelona,es La Liga,L 1-2,1,2,-1,36,0,1,1,0,5,1,0,0,34,Match Report
78,Tottenham,2025-04-03,5,@,Chelsea,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,5,0,0,0,39,Match Report
79,Tottenham,2025-01-26,5,,Leicester City,eng Premier League,L 1-2,1,2,-1,61,1,0,0,0,5,0,0,0,55,Match Report
80,Fiorentina,2025-04-05,5,@,Milan,it Serie A,D 2-2,2,2,0,48,1,0,0,0,5,0,0,0,34,Match Report
81,Fiorentina,2025-02-28,5,,Lecce,it Serie A,W 1-0,1,0,+1,48,1,0,1,1,5,0,0,0,49,Match Report
82,Fiorentina,2024-12-23,5,,Udinese,it Serie A,L 1-2,1,2,-1,51,0,1,1,0,5,1,0,0,43,Match Report
83,Fiorentina,2024-08-17,5,@,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,5,0,0,0,43,Match Report
84,Bournemouth,2024-11-23,5,,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,5,0,0,0,60,Match Report
85,Bournemouth,2024-10-26,5,@,Aston Villa,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,5,0,0,0,41,Match Report
86,St. Pauli,2025-03-01,5,,Dortmund,de Bundesliga,L 0-2,0,2,-2,43,0,0,0,0,5,0,0,0,42,Match Report
87,St. Pauli,2024-12-21,5,@,Stuttgart,de Bundesliga,W 1-0,1,0,+1,28,1,0,1,1,5,1,0,0,45,Match Report
