Rk,Team,Date,Cmp,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
150,Real Madrid,2024-10-05,612,,Villarreal,es La Liga,W 2-0,2,0,+2,55,2,0,0,0,612,672,91.1,10,49,8,0,44,10113,3000,314,328,95.7,235,245,95.9,49,69,71.0,Match Report
151,Inter,2025-01-19,612,,Empoli,it Serie A,W 3-1,3,1,+2,68,3,0,0,0,612,716,85.5,12,47,13,3,56,10501,3187,274,302,90.7,270,302,89.4,57,84,67.9,Match Report
152,Celta Vigo,2024-09-26,611,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,611,699,87.4,9,56,10,3,58,10811,3171,247,273,90.5,309,334,92.5,44,65,67.7,Match Report
153,Barcelona,2025-02-22,610,@,Las Palmas,es La Liga,W 2-0,2,0,+2,69,2,0,0,0,610,705,86.5,10,61,13,3,63,10016,3394,293,316,92.7,260,286,90.9,41,66,62.1,Match Report
154,Barcelona,2024-12-21,610,,Atlético Madrid,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,610,704,86.6,17,77,20,4,90,11236,3306,233,256,91.0,305,330,92.4,59,86,68.6,Match Report
155,Dortmund,2025-02-15,610,@,Bochum,de Bundesliga,L 0-2,0,2,-2,69,0,0,0,0,610,728,83.8,12,66,17,6,75,10426,3954,304,330,92.1,248,282,87.9,52,85,61.2,Match Report
156,Leverkusen,2024-12-07,610,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,62,2,0,0,0,610,697,87.5,5,33,9,0,50,10202,3322,293,314,93.3,274,299,91.6,34,64,53.1,Match Report
157,Real Sociedad,2024-10-06,608,,Atlético Madrid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,608,705,86.2,15,68,13,4,53,9843,2684,298,323,92.3,246,271,90.8,41,68,60.3,Match Report
158,Sevilla,2025-01-25,607,,Espanyol,es La Liga,D 1-1,1,1,0,74,1,0,0,0,607,707,85.9,21,52,9,4,52,10248,2934,305,323,94.4,260,295,88.1,41,81,50.6,Match Report
159,Inter,2025-03-08,607,,Monza,it Serie A,W 3-2,3,2,+1,69,2,0,0,0,607,693,87.6,28,41,24,7,84,9833,3137,315,341,92.4,217,238,91.2,55,75,73.3,Match Report
