Rk,Team,Date,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Match Report
79,Lille,2025-01-04,663,,Nantes,fr Ligue 1,D 1-1,1,1,0,71,1,0,0,0,663,65,576,2700,1515,27,20,7,11,10,Match Report
80,Paris S-G,2024-10-06,663,@,Nice,fr Ligue 1,D 1-1,1,1,0,71,0,0,0,0,663,54,529,2087,1189,31,19,9,16,13,Match Report
81,Napoli,2025-01-12,661,,Hellas Verona,it Serie A,W 2-0,2,0,+2,69,1,0,0,0,661,58,532,2890,1483,27,27,13,13,8,Match Report
82,Paris S-G,2025-02-01,661,@,Brest,fr Ligue 1,W 5-2,5,2,+3,65,5,0,0,0,661,59,610,2505,1373,20,15,9,14,5,Match Report
83,Paris S-G,2025-01-18,660,@,Lens,fr Ligue 1,W 2-1,2,1,+1,66,2,0,0,0,660,47,460,2380,1274,28,27,8,21,12,Match Report
84,Bayern Munich,2025-01-18,659,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,71,3,0,0,0,659,58,546,2841,1364,23,19,10,14,5,Match Report
85,Real Madrid,2024-09-21,659,,Espanyol,es La Liga,W 4-1,4,1,+3,73,3,1,1,0,659,88,505,2977,1809,47,21,13,17,9,Match Report
86,Leverkusen,2025-03-08,659,,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,72,0,0,0,0,659,65,593,2818,1472,25,33,4,13,11,Match Report
87,Leverkusen,2024-11-09,659,@,Bochum,de Bundesliga,D 1-1,1,1,0,70,1,0,0,0,659,61,622,2962,1663,20,23,4,10,4,Match Report
88,Manchester City,2024-09-22,658,,Arsenal,eng Premier League,D 2-2,2,2,0,77,2,0,0,0,658,54,601,3387,2010,59,38,17,10,7,Match Report
89,Bayern Munich,2024-09-01,655,,Freiburg,de Bundesliga,W 2-0,2,0,+2,66,1,1,1,0,655,47,552,2865,1301,25,20,5,15,7,Match Report
90,Real Madrid,2025-01-25,655,@,Valladolid,es La Liga,W 3-0,3,0,+3,68,2,1,1,0,655,59,460,2377,1442,28,24,3,10,4,Match Report
91,Paris S-G,2024-11-02,655,,Lens,fr Ligue 1,W 1-0,1,0,+1,68,1,0,0,0,655,42,612,3131,1592,30,25,19,18,9,Match Report
92,Barcelona,2025-01-26,653,,Valencia,es La Liga,W 7-1,7,1,+6,71,6,0,0,0,653,43,524,2530,1225,19,12,7,14,4,Match Report
93,Paris S-G,2024-09-14,652,,Brest,fr Ligue 1,W 3-1,3,1,+2,67,3,0,0,0,652,71,430,2973,1749,39,26,13,23,6,Match Report
94,Paris S-G,2025-03-08,651,@,Rennes,fr Ligue 1,W 4-1,4,1,+3,68,4,0,0,0,651,68,456,2146,1121,26,18,10,13,10,Match Report
95,Stuttgart,2024-12-21,650,,St. Pauli,de Bundesliga,L 0-1,0,1,-1,72,0,0,0,0,650,56,514,3249,1796,35,18,9,19,18,Match Report
96,Real Madrid,2025-02-23,649,,Girona,es La Liga,W 2-0,2,0,+2,63,2,0,0,0,649,52,552,2861,1521,31,20,21,13,7,Match Report
97,Leverkusen,2024-12-14,648,@,Augsburg,de Bundesliga,W 2-0,2,0,+2,65,2,0,0,0,648,44,454,1780,946,25,13,7,9,3,Match Report
98,Juventus,2024-12-14,648,,Venezia,it Serie A,D 2-2,2,2,0,69,1,1,1,0,648,39,591,3558,1692,30,18,9,15,3,Match Report
99,Bayern Munich,2025-03-29,647,,St. Pauli,de Bundesliga,W 3-2,3,2,+1,65,3,0,0,0,647,52,479,2584,1265,24,17,7,10,6,Match Report
100,Bayern Munich,2024-10-19,647,,Stuttgart,de Bundesliga,W 4-0,4,0,+4,65,4,0,0,0,647,51,439,2318,1190,22,12,11,12,7,Match Report
101,Dortmund,2024-10-26,646,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,75,1,0,0,0,646,40,491,2454,1328,24,13,8,10,4,Match Report
102,Dortmund,2025-01-10,640,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,70,1,1,1,0,640,43,615,3180,1452,23,12,6,16,7,Match Report
103,Real Madrid,2025-02-08,639,,Atlético Madrid,es La Liga,D 1-1,1,1,0,60,1,0,0,0,639,65,482,2701,1562,34,19,8,14,4,Match Report
104,Leverkusen,2025-03-28,639,,Bochum,de Bundesliga,W 3-1,3,1,+2,66,3,0,0,0,639,58,565,2754,1417,22,17,4,13,9,Match Report
105,Real Madrid,2024-12-07,638,@,Girona,es La Liga,W 3-0,3,0,+3,58,3,0,0,0,638,30,507,2273,1192,19,18,8,12,6,Match Report
106,Marseille,2025-01-26,638,@,Nice,fr Ligue 1,L 0-2,0,2,-2,71,0,0,0,0,638,66,454,2330,1326,22,23,8,12,17,Match Report
107,Rennes,2024-11-30,638,,Saint-Étienne,fr Ligue 1,W 5-0,5,0,+5,71,3,2,2,0,638,66,461,2609,1460,26,16,14,16,11,Match Report
108,Paris S-G,2024-12-06,633,@,Auxerre,fr Ligue 1,D 0-0,0,0,0,73,0,0,0,0,633,71,591,3455,1983,31,21,5,12,10,Match Report
109,Nice,2024-09-20,632,,Saint-Étienne,fr Ligue 1,W 8-0,8,0,+8,59,6,1,1,0,632,33,583,2713,1407,20,12,6,14,5,Match Report
110,Lille,2024-09-13,632,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,70,0,0,0,0,632,64,565,3095,1561,31,26,5,14,8,Match Report
111,Bayern Munich,2025-04-04,630,@,Augsburg,de Bundesliga,W 3-1,3,1,+2,69,2,0,0,0,630,75,411,2052,1105,20,13,12,16,3,Match Report
112,Southampton,2024-11-09,630,@,Wolves,eng Premier League,L 0-2,0,2,-2,71,0,0,0,0,630,46,479,2507,1320,25,12,1,12,8,Match Report
113,Juventus,2024-09-21,630,,Napoli,it Serie A,D 0-0,0,0,0,64,0,0,0,0,630,47,487,2862,1496,23,23,2,13,7,Match Report
114,Stuttgart,2024-10-06,628,,Hoffenheim,de Bundesliga,D 1-1,1,1,0,67,1,0,1,1,628,70,480,2749,1378,27,20,3,13,12,Match Report
115,Tottenham,2024-08-19,627,@,Leicester City,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,627,69,465,2247,1160,24,13,12,14,11,Match Report
116,Saint-Étienne,2025-03-01,627,,Nice,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,627,49,533,2240,1144,16,18,3,18,8,Match Report
117,Fulham,2025-01-05,627,,Ipswich Town,eng Premier League,D 2-2,2,2,0,73,0,2,2,0,627,44,519,2655,1343,24,18,12,8,4,Match Report
118,Paris S-G,2025-02-23,626,@,Lyon,fr Ligue 1,W 3-2,3,2,+1,65,3,0,0,0,626,49,472,2385,1313,22,10,11,13,14,Match Report
119,Werder Bremen,2025-01-19,623,,Augsburg,de Bundesliga,L 0-2,0,2,-2,71,0,0,0,0,623,59,595,2696,1399,29,17,5,18,9,Match Report
120,Girona,2024-12-01,623,@,Villarreal,es La Liga,D 2-2,2,2,0,64,2,0,0,0,623,58,459,2842,1543,26,17,8,15,10,Match Report
121,Lille,2025-03-15,622,@,Nantes,fr Ligue 1,L 0-1,0,1,-1,68,0,0,0,0,622,66,498,2501,1434,28,15,7,13,9,Match Report
122,Arsenal,2024-12-27,621,,Ipswich Town,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,621,39,509,2186,1135,17,22,8,9,9,Match Report
123,Wolfsburg,2025-01-24,619,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,69,2,0,0,0,619,55,513,2575,1267,21,13,4,17,5,Match Report
124,Liverpool,2025-03-08,619,,Southampton,eng Premier League,W 3-1,3,1,+2,71,1,2,2,0,619,80,514,2630,1482,39,22,16,17,9,Match Report
125,Paris S-G,2025-03-01,619,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,619,53,535,2314,1306,22,15,8,15,7,Match Report
126,Manchester City,2025-02-23,618,,Liverpool,eng Premier League,L 0-2,0,2,-2,66,0,0,0,0,618,71,544,3374,1922,47,30,22,21,9,Match Report
127,Arsenal,2024-09-28,617,,Leicester City,eng Premier League,W 4-2,4,2,+2,74,3,0,0,0,617,89,485,2565,1420,39,22,15,15,14,Match Report
128,Liverpool,2024-12-26,617,,Leicester City,eng Premier League,W 3-1,3,1,+2,68,3,0,0,0,617,94,544,2647,1571,30,20,8,10,9,Match Report
129,Aston Villa,2025-02-15,616,,Ipswich Town,eng Premier League,D 1-1,1,1,0,75,1,0,0,0,616,65,592,2755,1439,31,28,6,7,10,Match Report
130,Aston Villa,2024-09-14,616,,Everton,eng Premier League,W 3-2,3,2,+1,72,3,0,0,0,616,52,535,2375,1260,15,18,4,13,16,Match Report
