Rk,Team,Date,Won,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Match Report
61,Alavés,2025-01-27,28,,Celta Vigo,es La Liga,D 1-1,1,1,0,49,0,1,1,0,28,20,58.3,Match Report
62,Mainz 05,2025-01-11,28,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,28,23,54.9,Match Report
63,Empoli,2025-03-15,28,@,Torino,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,28,21,57.1,Match Report
64,Empoli,2024-09-20,28,@,Cagliari,it Serie A,W 2-0,2,0,+2,39,2,0,0,0,28,34,45.2,Match Report
65,Cagliari,2025-03-30,28,,Monza,it Serie A,W 3-0,3,0,+3,42,3,0,0,0,28,10,73.7,Match Report
66,Cagliari,2025-01-05,28,@,Monza,it Serie A,W 2-1,2,1,+1,47,2,0,0,0,28,10,73.7,Match Report
67,Everton,2024-09-28,28,,Crystal Palace,eng Premier League,W 2-1,2,1,+1,41,2,0,0,0,28,20,58.3,Match Report
68,Valencia,2025-03-30,28,,Mallorca,es La Liga,W 1-0,1,0,+1,44,1,0,0,0,28,7,80.0,Match Report
69,Lecce,2025-03-14,28,@,Genoa,it Serie A,L 1-2,1,2,-1,56,0,1,1,0,28,16,63.6,Match Report
70,Osasuna,2024-10-05,27,@,Getafe,es La Liga,D 1-1,1,1,0,59,1,0,0,0,27,26,50.9,Match Report
71,Nice,2025-02-23,27,,Montpellier,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,27,19,58.7,Match Report
72,Holstein Kiel,2024-08-24,27,@,Hoffenheim,de Bundesliga,L 2-3,2,3,-1,46,2,0,0,0,27,20,57.4,Match Report
73,Gladbach,2024-10-25,27,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,27,26,50.9,Match Report
74,Union Berlin,2025-02-08,27,@,Hoffenheim,de Bundesliga,W 4-0,4,0,+4,36,4,0,0,0,27,21,56.3,Match Report
75,Liverpool,2024-10-05,27,@,Crystal Palace,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,27,7,79.4,Match Report
76,Alavés,2024-12-22,27,@,Valencia,es La Liga,D 2-2,2,2,0,38,1,1,1,0,27,12,69.2,Match Report
77,Alavés,2024-11-01,27,,Mallorca,es La Liga,W 1-0,1,0,+1,51,1,0,0,0,27,19,58.7,Match Report
78,Alavés,2024-09-28,27,@,Getafe,es La Liga,L 0-2,0,2,-2,54,0,0,0,0,27,36,42.9,Match Report
79,Sevilla,2024-11-09,27,@,Leganés,es La Liga,L 0-1,0,1,-1,57,0,0,0,0,27,16,62.8,Match Report
80,Cagliari,2024-11-29,27,,Hellas Verona,it Serie A,W 1-0,1,0,+1,63,1,0,0,0,27,24,52.9,Match Report
81,Lens,2025-01-12,27,@,Le Havre,fr Ligue 1,W 2-1,2,1,+1,69,2,0,0,0,27,16,62.8,Match Report
82,Lecce,2025-02-09,27,,Bologna,it Serie A,D 0-0,0,0,0,42,0,0,0,0,27,22,55.1,Match Report
83,Lecce,2024-11-08,27,,Empoli,it Serie A,D 1-1,1,1,0,58,1,0,0,0,27,18,60.0,Match Report
84,Osasuna,2025-01-19,26,,Rayo Vallecano,es La Liga,D 1-1,1,1,0,52,1,0,0,0,26,14,65.0,Match Report
85,Osasuna,2024-08-17,26,,Leganés,es La Liga,D 1-1,1,1,0,61,0,0,0,0,26,18,59.1,Match Report
86,Udinese,2025-04-04,26,@,Genoa,it Serie A,L 0-1,0,1,-1,46,0,0,0,0,26,10,72.2,Match Report
87,Heidenheim,2025-03-16,26,,Holstein Kiel,de Bundesliga,W 3-1,3,1,+2,39,3,0,0,0,26,15,63.4,Match Report
88,Bologna,2025-01-18,26,,Monza,it Serie A,W 3-1,3,1,+2,58,3,0,0,0,26,20,56.5,Match Report
89,Monza,2024-10-21,26,@,Hellas Verona,it Serie A,W 3-0,3,0,+3,41,3,0,0,0,26,13,66.7,Match Report
90,Como,2024-11-07,26,@,Genoa,it Serie A,D 1-1,1,1,0,58,1,0,0,0,26,23,53.1,Match Report
91,Mallorca,2024-08-31,26,@,Leganés,es La Liga,W 1-0,1,0,+1,46,1,0,0,0,26,17,60.5,Match Report
92,Gladbach,2025-03-07,26,,Mainz 05,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,26,14,65.0,Match Report
93,Southampton,2025-02-01,26,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,43,2,0,0,0,26,19,57.8,Match Report
94,Werder Bremen,2025-01-31,26,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,38,1,0,1,1,26,18,59.1,Match Report
95,Genoa,2024-11-24,26,,Cagliari,it Serie A,D 2-2,2,2,0,52,2,0,0,0,26,19,57.8,Match Report
96,Getafe,2024-10-05,26,,Osasuna,es La Liga,D 1-1,1,1,0,41,1,0,0,0,26,27,49.1,Match Report
97,Mainz 05,2025-04-05,26,,Holstein Kiel,de Bundesliga,D 1-1,1,1,0,58,1,0,0,0,26,16,61.9,Match Report
98,Mainz 05,2024-12-08,26,@,Wolfsburg,de Bundesliga,L 3-4,3,4,-1,56,3,0,0,0,26,17,60.5,Match Report
99,Mainz 05,2024-10-25,26,,Gladbach,de Bundesliga,D 1-1,1,1,0,52,0,0,0,0,26,27,49.1,Match Report
100,Mainz 05,2024-08-24,26,,Union Berlin,de Bundesliga,D 1-1,1,1,0,53,1,0,0,0,26,21,55.3,Match Report
101,Freiburg,2025-02-01,26,@,Bochum,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,26,30,46.4,Match Report
102,RB Leipzig,2024-09-22,26,@,St. Pauli,de Bundesliga,D 0-0,0,0,0,69,0,0,0,0,26,16,61.9,Match Report
103,Rennes,2025-03-15,26,@,Lens,fr Ligue 1,L 0-1,0,1,-1,54,0,0,0,0,26,18,59.1,Match Report
104,Everton,2024-12-29,26,,Nott'ham Forest,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,26,22,54.2,Match Report
105,Inter,2025-03-08,26,,Monza,it Serie A,W 3-2,3,2,+1,69,2,0,0,0,26,8,76.5,Match Report
106,Lecce,2025-02-16,26,@,Monza,it Serie A,D 0-0,0,0,0,44,0,0,0,0,26,20,56.5,Match Report
107,Las Palmas,2025-01-12,25,,Getafe,es La Liga,L 1-2,1,2,-1,63,1,0,1,1,25,22,53.2,Match Report
108,Osasuna,2024-11-02,25,,Valladolid,es La Liga,W 1-0,1,0,+1,49,0,1,1,0,25,19,56.8,Match Report
109,Hellas Verona,2025-03-09,25,,Bologna,it Serie A,L 1-2,1,2,-1,33,1,0,0,0,25,12,67.6,Match Report
110,Torino,2024-09-20,25,@,Hellas Verona,it Serie A,W 3-2,3,2,+1,70,3,0,1,1,25,17,59.5,Match Report
111,Valladolid,2024-10-18,25,@,Alavés,es La Liga,W 3-2,3,2,+1,38,1,2,2,0,25,24,51.0,Match Report
112,Heidenheim,2024-08-25,25,@,St. Pauli,de Bundesliga,W 2-0,2,0,+2,40,2,0,0,0,25,17,59.5,Match Report
113,Bologna,2025-04-07,25,,Napoli,it Serie A,D 1-1,1,1,0,61,1,0,0,0,25,23,52.1,Match Report
114,Monza,2025-02-01,25,,Hellas Verona,it Serie A,L 0-1,0,1,-1,66,0,0,0,0,25,29,46.3,Match Report
115,Mallorca,2024-08-24,25,@,Osasuna,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,25,18,58.1,Match Report
116,Holstein Kiel,2024-08-31,25,,Wolfsburg,de Bundesliga,L 0-2,0,2,-2,54,0,0,0,0,25,20,55.6,Match Report
117,Bournemouth,2025-02-25,25,@,Brighton,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,25,18,58.1,Match Report
118,Bournemouth,2025-01-04,25,,Everton,eng Premier League,W 1-0,1,0,+1,58,1,0,0,0,25,12,67.6,Match Report
119,Bournemouth,2024-12-29,25,@,Fulham,eng Premier League,D 2-2,2,2,0,48,2,0,0,0,25,15,62.5,Match Report
120,Getafe,2024-09-22,25,,Leganés,es La Liga,D 1-1,1,1,0,59,0,1,1,0,25,19,56.8,Match Report
121,Union Berlin,2025-03-30,25,@,Freiburg,de Bundesliga,W 2-1,2,1,+1,28,2,0,0,0,25,23,52.1,Match Report
122,Union Berlin,2024-12-14,25,,Bochum,de Bundesliga,L 0-2,0,2,-2,69,1,0,0,0,25,18,58.1,Match Report
123,Mainz 05,2025-03-01,25,@,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,25,22,53.2,Match Report
124,Mainz 05,2025-01-19,25,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,66,0,1,1,0,25,33,43.1,Match Report
125,Empoli,2025-04-06,25,,Cagliari,it Serie A,D 0-0,0,0,0,46,0,0,0,0,25,21,54.3,Match Report
126,Ipswich Town,2024-12-08,25,,Bournemouth,eng Premier League,L 1-2,1,2,-1,44,1,0,0,0,25,19,56.8,Match Report
127,Brentford,2024-10-26,25,,Ipswich Town,eng Premier League,W 4-3,4,3,+1,65,3,1,1,0,25,14,64.1,Match Report
128,Napoli,2025-03-16,25,@,Venezia,it Serie A,D 0-0,0,0,0,57,0,0,0,0,25,6,80.6,Match Report
129,Inter,2024-12-28,25,@,Cagliari,it Serie A,W 3-0,3,0,+3,65,2,1,1,0,25,14,64.1,Match Report
130,Nott'ham Forest,2024-08-17,25,,Bournemouth,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,25,15,62.5,Match Report
