Rk,Team,Date,Won,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Match Report
1468,RB Leipzig,2024-11-02,13,@,Dortmund,de Bundesliga,L 1-2,1,2,-1,43,1,0,0,0,13,9,59.1,Match Report
1469,RB Leipzig,2024-09-28,13,,Augsburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,13,6,68.4,Match Report
1470,Sevilla,2024-12-08,13,@,Atlético Madrid,es La Liga,L 3-4,3,4,-1,43,3,0,0,0,13,13,50.0,Match Report
1471,Sevilla,2024-08-23,13,,Villarreal,es La Liga,L 1-2,1,2,-1,59,1,0,0,0,13,17,43.3,Match Report
1472,Dortmund,2025-03-15,13,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,66,0,0,0,0,13,17,43.3,Match Report
1473,Dortmund,2024-12-07,13,@,Gladbach,de Bundesliga,D 1-1,1,1,0,60,1,0,0,0,13,12,52.0,Match Report
1474,Venezia,2025-03-29,13,,Bologna,it Serie A,L 0-1,0,1,-1,41,0,0,0,0,13,17,43.3,Match Report
1475,Venezia,2025-01-27,13,,Hellas Verona,it Serie A,D 1-1,1,1,0,50,1,0,0,0,13,15,46.4,Match Report
1476,Venezia,2024-10-30,13,,Udinese,it Serie A,W 3-2,3,2,+1,57,1,2,2,0,13,13,50.0,Match Report
1477,Venezia,2024-10-20,13,,Atalanta,it Serie A,L 0-2,0,2,-2,43,0,0,0,0,13,16,44.8,Match Report
1478,Newcastle Utd,2025-04-07,13,@,Leicester City,eng Premier League,W 3-0,3,0,+3,42,3,0,0,0,13,14,48.1,Match Report
1479,Newcastle Utd,2025-03-10,13,@,West Ham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,13,16,44.8,Match Report
1480,Newcastle Utd,2025-02-01,13,,Fulham,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,13,13,50.0,Match Report
1481,Newcastle Utd,2024-09-28,13,,Manchester City,eng Premier League,D 1-1,1,1,0,38,0,1,1,0,13,6,68.4,Match Report
1482,Newcastle Utd,2024-09-15,13,@,Wolves,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,13,8,61.9,Match Report
1483,Rennes,2025-01-03,13,@,Nice,fr Ligue 1,L 2-3,2,3,-1,53,2,0,0,0,13,9,59.1,Match Report
1484,Rennes,2024-12-08,13,@,Nantes,fr Ligue 1,L 0-1,0,1,-1,53,0,0,0,0,13,17,43.3,Match Report
1485,Rennes,2024-10-19,13,@,Brest,fr Ligue 1,D 1-1,1,1,0,44,1,0,0,0,13,22,37.1,Match Report
1486,Rennes,2024-09-21,13,,Lens,fr Ligue 1,D 1-1,1,1,0,40,0,1,1,0,13,25,34.2,Match Report
1487,Bochum,2025-03-28,13,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,13,9,59.1,Match Report
1488,Bochum,2024-11-23,13,@,Stuttgart,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,13,17,43.3,Match Report
1489,Manchester City,2024-10-20,13,@,Wolves,eng Premier League,W 2-1,2,1,+1,77,2,0,0,0,13,14,48.1,Match Report
1490,Cagliari,2025-02-09,13,,Parma,it Serie A,W 2-1,2,1,+1,39,1,0,0,0,13,18,41.9,Match Report
1491,Leverkusen,2025-01-14,13,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,66,1,0,0,0,13,11,54.2,Match Report
1492,Leverkusen,2024-12-07,13,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,62,2,0,0,0,13,8,61.9,Match Report
1493,Lille,2025-03-08,13,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,13,10,56.5,Match Report
1494,Lille,2024-09-13,13,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,70,0,0,0,0,13,4,76.5,Match Report
1495,Lille,2024-08-17,13,@,Reims,fr Ligue 1,W 2-0,2,0,+2,68,2,0,0,0,13,9,59.1,Match Report
1496,Brentford,2025-01-18,13,,Liverpool,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,13,12,52.0,Match Report
1497,Roma,2024-10-31,13,,Torino,it Serie A,W 1-0,1,0,+1,57,1,0,0,0,13,18,41.9,Match Report
1498,Roma,2024-09-29,13,,Venezia,it Serie A,W 2-1,2,1,+1,69,2,0,0,0,13,10,56.5,Match Report
1499,Chelsea,2025-02-14,13,@,Brighton,eng Premier League,L 0-3,0,3,-3,69,0,0,0,0,13,13,50.0,Match Report
1500,Chelsea,2024-10-27,13,,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,13,14,48.1,Match Report
1501,Chelsea,2024-10-06,13,,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,13,15,46.4,Match Report
1502,Brighton,2025-02-14,13,,Chelsea,eng Premier League,W 3-0,3,0,+3,31,3,0,0,0,13,13,50.0,Match Report
1503,Brighton,2024-12-15,13,,Crystal Palace,eng Premier League,L 1-3,1,3,-2,64,0,0,0,0,13,15,46.4,Match Report
1504,Brighton,2024-12-05,13,@,Fulham,eng Premier League,L 1-3,1,3,-2,57,1,0,0,0,13,15,46.4,Match Report
1505,Brighton,2024-08-17,13,@,Everton,eng Premier League,W 3-0,3,0,+3,60,3,0,0,0,13,18,41.9,Match Report
1506,Saint-Étienne,2024-11-23,13,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,33,1,0,0,0,13,11,54.2,Match Report
1507,Everton,2024-10-05,13,,Newcastle Utd,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,13,11,54.2,Match Report
1508,Napoli,2025-02-23,13,@,Como,it Serie A,L 1-2,1,2,-1,58,1,0,0,0,13,17,43.3,Match Report
1509,Lyon,2024-12-01,13,,Nice,fr Ligue 1,W 4-1,4,1,+3,53,3,1,1,0,13,12,52.0,Match Report
1510,Lyon,2024-11-10,13,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,+1,62,1,0,0,0,13,7,65.0,Match Report
1511,Lyon,2024-11-01,13,@,Lille,fr Ligue 1,D 1-1,1,1,0,53,1,0,0,0,13,14,48.1,Match Report
1512,Inter,2025-02-02,13,@,Milan,it Serie A,D 1-1,1,1,0,63,1,0,0,0,13,15,46.4,Match Report
1513,Inter,2024-10-05,13,,Torino,it Serie A,W 3-2,3,2,+1,80,3,0,0,0,13,15,46.4,Match Report
1514,Inter,2024-09-28,13,@,Udinese,it Serie A,W 3-2,3,2,+1,60,3,0,0,0,13,10,56.5,Match Report
1515,Inter,2024-09-22,13,,Milan,it Serie A,L 1-2,1,2,-1,57,1,0,0,0,13,10,56.5,Match Report
1516,Nantes,2025-02-23,13,,Lens,fr Ligue 1,W 3-1,3,1,+2,35,2,1,1,0,13,12,52.0,Match Report
1517,Atlético Madrid,2025-02-15,13,,Celta Vigo,es La Liga,D 1-1,1,1,0,34,1,0,0,0,13,11,54.2,Match Report
1518,Atlético Madrid,2024-12-08,13,,Sevilla,es La Liga,W 4-3,4,3,+1,57,4,0,0,0,13,13,50.0,Match Report
1519,Atlético Madrid,2024-11-23,13,,Alavés,es La Liga,W 2-1,2,1,+1,70,1,1,1,0,13,17,43.3,Match Report
1520,Atlético Madrid,2024-10-20,13,,Leganés,es La Liga,W 3-1,3,1,+2,63,3,0,0,0,13,8,61.9,Match Report
1521,Milan,2025-03-30,13,@,Napoli,it Serie A,L 1-2,1,2,-1,49,1,0,1,1,13,12,52.0,Match Report
1522,Valencia,2025-02-02,13,,Celta Vigo,es La Liga,W 2-1,2,1,+1,46,2,0,0,0,13,10,56.5,Match Report
1523,Valencia,2024-09-24,13,,Osasuna,es La Liga,D 0-0,0,0,0,52,0,0,0,0,13,17,43.3,Match Report
1524,Valencia,2024-08-17,13,,Barcelona,es La Liga,L 1-2,1,2,-1,37,1,0,0,0,13,9,59.1,Match Report
1525,Juventus,2025-02-23,13,@,Cagliari,it Serie A,W 1-0,1,0,+1,60,1,0,0,0,13,10,56.5,Match Report
1526,Juventus,2025-02-16,13,,Inter,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,13,15,46.4,Match Report
1527,Juventus,2025-01-14,13,@,Atalanta,it Serie A,D 1-1,1,1,0,40,1,0,0,0,13,17,43.3,Match Report
1528,Juventus,2025-01-11,13,@,Torino,it Serie A,D 1-1,1,1,0,59,1,0,0,0,13,13,50.0,Match Report
1529,Juventus,2024-09-14,13,@,Empoli,it Serie A,D 0-0,0,0,0,65,0,0,0,0,13,5,72.2,Match Report
1530,Nott'ham Forest,2024-11-02,13,,West Ham,eng Premier League,W 3-0,3,0,+3,54,3,0,0,0,13,15,46.4,Match Report
1531,Parma,2025-03-08,13,,Torino,it Serie A,D 2-2,2,2,0,53,2,0,0,0,13,15,46.4,Match Report
1532,Parma,2024-12-28,13,,Monza,it Serie A,W 2-1,2,1,+1,44,1,1,1,0,13,17,43.3,Match Report
1533,Eint Frankfurt,2024-12-01,13,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,13,13,50.0,Match Report
1534,Celta Vigo,2024-10-27,13,@,Leganés,es La Liga,L 0-3,0,3,-3,61,0,0,0,0,13,10,56.5,Match Report
1535,Brest,2025-03-30,13,@,Toulouse,fr Ligue 1,W 4-2,4,2,+2,47,4,0,0,0,13,20,39.4,Match Report
1536,Brest,2025-03-09,13,,Angers,fr Ligue 1,W 2-0,2,0,+2,50,2,0,0,0,13,10,56.5,Match Report
1537,Betis,2025-01-25,13,@,Mallorca,es La Liga,W 1-0,1,0,+1,52,1,0,0,0,13,18,41.9,Match Report
1538,Betis,2024-10-19,13,@,Osasuna,es La Liga,W 2-1,2,1,+1,45,2,0,0,0,13,12,52.0,Match Report
1539,Betis,2024-10-06,13,@,Sevilla,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,13,17,43.3,Match Report
1540,Betis,2024-09-29,13,,Espanyol,es La Liga,W 1-0,1,0,+1,53,1,0,1,1,13,8,61.9,Match Report
1541,Betis,2024-09-26,13,@,Las Palmas,es La Liga,D 1-1,1,1,0,45,1,0,0,0,13,7,65.0,Match Report
1542,Lens,2025-03-08,13,@,Marseille,fr Ligue 1,W 1-0,1,0,+1,25,1,0,0,0,13,11,54.2,Match Report
1543,Lens,2024-12-14,13,@,Auxerre,fr Ligue 1,D 2-2,2,2,0,60,2,0,0,0,13,14,48.1,Match Report
1544,Lens,2024-09-01,13,@,Monaco,fr Ligue 1,D 1-1,1,1,0,38,0,1,1,0,13,9,59.1,Match Report
1545,Lens,2024-08-18,13,@,Angers,fr Ligue 1,W 1-0,1,0,+1,58,1,0,0,0,13,15,46.4,Match Report
1546,Monaco,2025-01-10,13,@,Nantes,fr Ligue 1,D 2-2,2,2,0,68,2,0,0,0,13,17,43.3,Match Report
1547,Fulham,2025-03-08,13,@,Brighton,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,13,19,40.6,Match Report
1548,Fulham,2025-02-01,13,@,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,13,13,50.0,Match Report
1549,Fulham,2025-01-26,13,,Manchester Utd,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,13,16,44.8,Match Report
1550,Lecce,2024-12-30,13,@,Como,it Serie A,L 0-2,0,2,-2,44,0,0,0,0,13,13,50.0,Match Report
1551,Las Palmas,2025-01-24,12,,Osasuna,es La Liga,D 1-1,1,1,0,51,1,0,0,0,12,15,44.4,Match Report
1552,Las Palmas,2024-10-21,12,@,Valencia,es La Liga,W 3-2,3,2,+1,52,3,0,0,0,12,10,54.5,Match Report
1553,Las Palmas,2024-09-21,12,@,Osasuna,es La Liga,L 1-2,1,2,-1,60,1,0,0,0,12,13,48.0,Match Report
1554,Las Palmas,2024-08-25,12,@,Leganés,es La Liga,L 1-2,1,2,-1,61,1,0,0,0,12,15,44.4,Match Report
1555,Hoffenheim,2025-02-23,12,,Stuttgart,de Bundesliga,D 1-1,1,1,0,45,1,0,0,0,12,11,52.2,Match Report
1556,Osasuna,2025-03-16,12,,Getafe,es La Liga,L 1-2,1,2,-1,61,0,1,1,0,12,13,48.0,Match Report
1557,Osasuna,2024-10-19,12,,Betis,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,12,13,48.0,Match Report
1558,Udinese,2025-03-01,12,,Parma,it Serie A,W 1-0,1,0,+1,43,0,1,1,0,12,8,60.0,Match Report
1559,Udinese,2024-09-16,12,@,Parma,it Serie A,W 3-2,3,2,+1,53,3,0,0,0,12,7,63.2,Match Report
1560,Bayern Munich,2024-12-07,12,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,12,6,66.7,Match Report
1561,Bayern Munich,2024-11-02,12,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,77,2,1,1,0,12,17,41.4,Match Report
1562,Augsburg,2024-12-07,12,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,34,2,0,0,0,12,14,46.2,Match Report
1563,Hellas Verona,2025-01-04,12,,Udinese,it Serie A,D 0-0,0,0,0,37,0,0,0,0,12,30,28.6,Match Report
1564,Nice,2025-02-02,12,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,46,0,1,1,0,12,13,48.0,Match Report
1565,Nice,2024-12-01,12,@,Lyon,fr Ligue 1,L 1-4,1,4,-3,47,1,0,0,0,12,13,48.0,Match Report
1566,Nice,2024-10-06,12,,Paris S-G,fr Ligue 1,D 1-1,1,1,0,29,1,0,0,0,12,10,54.5,Match Report
1567,Valladolid,2025-02-28,12,,Las Palmas,es La Liga,D 1-1,1,1,0,64,1,0,0,0,12,10,54.5,Match Report
1568,Valladolid,2025-02-23,12,@,Athletic Club,es La Liga,L 1-7,1,7,-6,43,1,0,0,0,12,7,63.2,Match Report
1569,Valladolid,2025-02-16,12,,Sevilla,es La Liga,L 0-4,0,4,-4,52,0,0,0,0,12,5,70.6,Match Report
1570,Valladolid,2025-02-01,12,@,Villarreal,es La Liga,L 1-5,1,5,-4,47,1,0,0,0,12,15,44.4,Match Report
1571,Valladolid,2025-01-11,12,,Betis,es La Liga,W 1-0,1,0,+1,42,1,0,0,0,12,15,44.4,Match Report
1572,Arsenal,2025-01-04,12,@,Brighton,eng Premier League,D 1-1,1,1,0,55,1,0,0,0,12,12,50.0,Match Report
1573,Arsenal,2024-12-04,12,,Manchester Utd,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,12,9,57.1,Match Report
1574,Heidenheim,2025-04-05,12,,Leverkusen,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,12,16,42.9,Match Report
1575,Heidenheim,2024-09-13,12,@,Dortmund,de Bundesliga,L 2-4,2,4,-2,40,1,1,1,0,12,18,40.0,Match Report
1576,Manchester Utd,2024-12-15,12,@,Manchester City,eng Premier League,W 2-1,2,1,+1,48,1,1,1,0,12,10,54.5,Match Report
1577,Manchester Utd,2024-11-10,12,,Leicester City,eng Premier League,W 3-0,3,0,+3,51,2,0,0,0,12,18,40.0,Match Report
1578,Bologna,2025-03-09,12,@,Hellas Verona,it Serie A,W 2-1,2,1,+1,67,2,0,0,0,12,25,32.4,Match Report
1579,Bologna,2024-08-25,12,@,Napoli,it Serie A,L 0-3,0,3,-3,61,0,0,0,0,12,3,80.0,Match Report
1580,Barcelona,2024-12-15,12,,Leganés,es La Liga,L 0-1,0,1,-1,79,0,0,0,0,12,12,50.0,Match Report
1581,Monza,2024-11-10,12,,Lazio,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,12,9,57.1,Match Report
1582,Monza,2024-10-30,12,@,Atalanta,it Serie A,L 0-2,0,2,-2,47,0,0,0,0,12,15,44.4,Match Report
1583,Montpellier,2024-11-10,12,,Brest,fr Ligue 1,W 3-1,3,1,+2,33,2,1,2,1,12,23,34.3,Match Report
1584,Como,2024-11-30,12,,Monza,it Serie A,D 1-1,1,1,0,55,1,0,0,0,12,22,35.3,Match Report
1585,Como,2024-11-24,12,,Fiorentina,it Serie A,L 0-2,0,2,-2,57,0,0,0,0,12,11,52.2,Match Report
1586,Como,2024-10-31,12,,Lazio,it Serie A,L 1-5,1,5,-4,51,1,0,0,0,12,17,41.4,Match Report
1587,Villarreal,2025-03-08,12,@,Alavés,es La Liga,L 0-1,0,1,-1,68,0,0,0,0,12,10,54.5,Match Report
1588,Villarreal,2024-12-01,12,,Girona,es La Liga,D 2-2,2,2,0,36,2,0,0,0,12,8,60.0,Match Report
1589,Villarreal,2024-11-09,12,,Alavés,es La Liga,W 3-0,3,0,+3,63,2,1,1,0,12,12,50.0,Match Report
1590,Mallorca,2024-09-23,12,@,Betis,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,12,14,46.2,Match Report
1591,Mallorca,2024-09-14,12,,Villarreal,es La Liga,L 1-2,1,2,-1,53,0,0,0,0,12,21,36.4,Match Report
1592,Athletic Club,2024-12-01,12,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,52,2,0,0,0,12,7,63.2,Match Report
1593,Athletic Club,2024-10-28,12,@,Mallorca,es La Liga,D 0-0,0,0,0,67,0,0,0,0,12,23,34.3,Match Report
1594,Gladbach,2025-01-18,12,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,45,1,0,0,0,12,8,60.0,Match Report
1595,Gladbach,2025-01-14,12,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,12,7,63.2,Match Report
1596,Gladbach,2024-12-07,12,,Dortmund,de Bundesliga,D 1-1,1,1,0,40,0,1,1,0,12,13,48.0,Match Report
1597,Gladbach,2024-08-31,12,@,Bochum,de Bundesliga,W 2-0,2,0,+2,61,2,0,0,0,12,15,44.4,Match Report
1598,Southampton,2025-03-15,12,,Wolves,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,12,14,46.2,Match Report
1599,Southampton,2025-02-22,12,,Brighton,eng Premier League,L 0-4,0,4,-4,50,0,0,0,0,12,21,36.4,Match Report
1600,Southampton,2024-10-19,12,,Leicester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,12,7,63.2,Match Report
1601,Tottenham,2024-12-01,12,,Fulham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,12,15,44.4,Match Report
1602,Tottenham,2024-11-03,12,,Aston Villa,eng Premier League,W 4-1,4,1,+3,51,4,0,0,0,12,11,52.2,Match Report
1603,Toulouse,2025-02-23,12,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,46,3,1,1,0,12,17,41.4,Match Report
1604,Fiorentina,2025-02-16,12,,Como,it Serie A,L 0-2,0,2,-2,51,0,0,0,0,12,13,48.0,Match Report
1605,Fiorentina,2024-10-20,12,@,Lecce,it Serie A,W 6-0,6,0,+6,61,6,0,0,0,12,8,60.0,Match Report
1606,Bournemouth,2024-12-05,12,,Tottenham,eng Premier League,W 1-0,1,0,+1,35,1,0,0,0,12,7,63.2,Match Report
1607,Bournemouth,2024-10-19,12,,Arsenal,eng Premier League,W 2-0,2,0,+2,49,1,1,1,0,12,17,41.4,Match Report
1608,Wolfsburg,2025-02-08,12,,Leverkusen,de Bundesliga,D 0-0,0,0,0,41,0,0,0,0,12,10,54.5,Match Report
1609,Wolfsburg,2024-09-22,12,@,Leverkusen,de Bundesliga,L 3-4,3,4,-1,22,2,0,0,0,12,10,54.5,Match Report
1610,Wolfsburg,2024-08-25,12,,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,30,1,1,1,0,12,16,42.9,Match Report
1611,Real Madrid,2024-08-29,12,@,Las Palmas,es La Liga,D 1-1,1,1,0,57,0,1,1,0,12,2,85.7,Match Report
1612,St. Pauli,2024-10-26,12,,Wolfsburg,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,12,24,33.3,Match Report
1613,Marseille,2025-02-02,12,,Lyon,fr Ligue 1,W 3-2,3,2,+1,63,3,0,0,0,12,11,52.2,Match Report
1614,Stuttgart,2024-10-26,12,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,12,6,66.7,Match Report
1615,Stuttgart,2024-08-24,12,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,67,1,0,0,0,12,10,54.5,Match Report
1616,Werder Bremen,2025-01-19,12,,Augsburg,de Bundesliga,L 0-2,0,2,-2,71,0,0,0,0,12,13,48.0,Match Report
1617,Genoa,2024-10-05,12,@,Atalanta,it Serie A,L 1-5,1,5,-4,37,1,0,0,0,12,7,63.2,Match Report
1618,Genoa,2024-08-17,12,,Inter,it Serie A,D 2-2,2,2,0,32,2,0,1,1,12,24,33.3,Match Report
1619,Angers,2024-09-22,12,,Nantes,fr Ligue 1,D 1-1,1,1,0,50,0,1,1,0,12,21,36.4,Match Report
1620,Lazio,2025-02-15,12,,Napoli,it Serie A,D 2-2,2,2,0,53,2,0,0,0,12,11,52.2,Match Report
1621,Lazio,2024-08-18,12,,Venezia,it Serie A,W 3-1,3,1,+2,67,1,1,1,0,12,10,54.5,Match Report
1622,Getafe,2025-04-06,12,@,Valladolid,es La Liga,W 4-0,4,0,+4,49,4,0,0,0,12,10,54.5,Match Report
1623,Leganés,2024-12-15,12,@,Barcelona,es La Liga,W 1-0,1,0,+1,21,1,0,0,0,12,12,50.0,Match Report
1624,Reims,2025-01-19,12,,Le Havre,fr Ligue 1,D 1-1,1,1,0,55,1,0,0,0,12,10,54.5,Match Report
1625,Reims,2025-01-04,12,@,Saint-Étienne,fr Ligue 1,L 1-3,1,3,-2,47,1,0,0,0,12,14,46.2,Match Report
1626,Liverpool,2025-04-06,12,@,Fulham,eng Premier League,L 2-3,2,3,-1,63,2,0,0,0,12,21,36.4,Match Report
1627,Liverpool,2025-01-18,12,@,Brentford,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,12,13,48.0,Match Report
1628,Aston Villa,2025-02-19,12,,Liverpool,eng Premier League,D 2-2,2,2,0,52,2,0,0,0,12,13,48.0,Match Report
1629,Aston Villa,2025-01-04,12,,Leicester City,eng Premier League,W 2-1,2,1,+1,60,2,0,0,0,12,6,66.7,Match Report
1630,Aston Villa,2024-11-23,12,,Crystal Palace,eng Premier League,D 2-2,2,2,0,69,2,0,1,1,12,11,52.2,Match Report
1631,Aston Villa,2024-08-17,12,@,West Ham,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,12,14,46.2,Match Report
1632,Wolves,2025-02-25,12,,Fulham,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,12,18,40.0,Match Report
1633,Wolves,2025-01-06,12,,Nott'ham Forest,eng Premier League,L 0-3,0,3,-3,60,0,0,0,0,12,16,42.9,Match Report
1634,Wolves,2024-12-14,12,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,54,1,0,0,0,12,15,44.4,Match Report
1635,Wolves,2024-11-30,12,,Bournemouth,eng Premier League,L 2-4,2,4,-2,60,2,0,0,0,12,14,46.2,Match Report
1636,Alavés,2024-11-09,12,@,Villarreal,es La Liga,L 0-3,0,3,-3,38,0,0,0,0,12,12,50.0,Match Report
1637,Alavés,2024-09-01,12,,Las Palmas,es La Liga,W 2-0,2,0,+2,30,2,0,1,1,12,18,40.0,Match Report
1638,Girona,2025-02-03,12,,Las Palmas,es La Liga,W 2-1,2,1,+1,47,2,0,1,1,12,13,48.0,Match Report
1639,Atalanta,2025-02-23,12,@,Empoli,it Serie A,W 5-0,5,0,+5,54,4,0,0,0,12,19,38.7,Match Report
1640,Atalanta,2024-12-28,12,@,Lazio,it Serie A,D 1-1,1,1,0,60,1,0,0,0,12,8,60.0,Match Report
1641,Atalanta,2024-10-26,12,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,12,13,48.0,Match Report
1642,Rayo Vallecano,2025-01-31,12,@,Leganés,es La Liga,W 1-0,1,0,+1,66,1,0,0,0,12,10,54.5,Match Report
1643,Rayo Vallecano,2024-12-22,12,@,Betis,es La Liga,D 1-1,1,1,0,45,1,0,0,0,12,12,50.0,Match Report
1644,Rayo Vallecano,2024-10-26,12,,Alavés,es La Liga,W 1-0,1,0,+1,51,0,0,0,0,12,11,52.2,Match Report
1645,Leicester City,2025-03-09,12,@,Chelsea,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,12,21,36.4,Match Report
1646,Leicester City,2024-09-14,12,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,12,21,36.4,Match Report
1647,Empoli,2024-11-04,12,,Como,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,12,15,44.4,Match Report
1648,Freiburg,2024-10-26,12,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,12,19,38.7,Match Report
1649,Freiburg,2024-09-21,12,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,58,3,0,0,0,12,16,42.9,Match Report
1650,Espanyol,2024-12-14,12,,Osasuna,es La Liga,D 0-0,0,0,0,42,0,0,0,0,12,11,52.2,Match Report
1651,RB Leipzig,2024-12-15,12,,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,44,2,0,0,0,12,5,70.6,Match Report
1652,Sevilla,2024-11-03,12,,Real Sociedad,es La Liga,L 0-2,0,2,-2,55,0,0,0,0,12,14,46.2,Match Report
1653,Sevilla,2024-08-27,12,@,Mallorca,es La Liga,D 0-0,0,0,0,55,0,0,0,0,12,14,46.2,Match Report
1654,Venezia,2025-03-01,12,@,Atalanta,it Serie A,D 0-0,0,0,0,40,0,0,0,0,12,16,42.9,Match Report
1655,Venezia,2025-02-01,12,@,Udinese,it Serie A,L 2-3,2,3,-1,49,2,0,0,0,12,6,66.7,Match Report
1656,Venezia,2024-11-30,12,@,Bologna,it Serie A,L 0-3,0,3,-3,40,0,0,0,0,12,10,54.5,Match Report
1657,Rennes,2024-08-25,12,@,Strasbourg,fr Ligue 1,L 1-3,1,3,-2,41,1,0,0,0,12,11,52.2,Match Report
1658,Rennes,2024-08-18,12,,Lyon,fr Ligue 1,W 3-0,3,0,+3,47,3,0,0,0,12,8,60.0,Match Report
1659,Bochum,2024-11-09,12,,Leverkusen,de Bundesliga,D 1-1,1,1,0,30,1,0,0,0,12,9,57.1,Match Report
1660,Ipswich Town,2025-03-15,12,,Nott'ham Forest,eng Premier League,L 2-4,2,4,-2,55,2,0,0,0,12,14,46.2,Match Report
1661,Ipswich Town,2024-11-10,12,@,Tottenham,eng Premier League,W 2-1,2,1,+1,34,2,0,0,0,12,15,44.4,Match Report
1662,Ipswich Town,2024-10-19,12,,Everton,eng Premier League,L 0-2,0,2,-2,55,0,0,0,0,12,11,52.2,Match Report
1663,Manchester City,2025-03-15,12,,Brighton,eng Premier League,D 2-2,2,2,0,60,1,1,1,0,12,12,50.0,Match Report
1664,Manchester City,2024-12-07,12,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,68,2,0,0,0,12,6,66.7,Match Report
1665,Strasbourg,2024-08-30,12,@,Lyon,fr Ligue 1,L 3-4,3,4,-1,52,3,0,0,0,12,12,50.0,Match Report
1666,Leverkusen,2024-09-28,12,@,Bayern Munich,de Bundesliga,D 1-1,1,1,0,31,1,0,0,0,12,11,52.2,Match Report
1667,Lille,2025-02-01,12,,Saint-Étienne,fr Ligue 1,W 4-1,4,1,+3,67,3,1,1,0,12,4,75.0,Match Report
1668,Brentford,2025-01-01,12,,Arsenal,eng Premier League,L 1-3,1,3,-2,50,1,0,0,0,12,18,40.0,Match Report
1669,Roma,2025-03-09,12,@,Empoli,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,12,11,52.2,Match Report
1670,Roma,2025-01-26,12,@,Udinese,it Serie A,W 2-1,2,1,+1,51,0,2,2,0,12,8,60.0,Match Report
1671,Roma,2024-12-29,12,@,Milan,it Serie A,D 1-1,1,1,0,54,1,0,0,0,12,11,52.2,Match Report
1672,Roma,2024-12-15,12,@,Como,it Serie A,L 0-2,0,2,-2,62,0,0,0,0,12,8,60.0,Match Report
