Rk,Team,Date,PSxG,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PSxG,PSxG/SoT,PSxG+/-,Match Report
82,Heidenheim,2024-10-19,3.7,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,3.7,0.30,+0.7,Match Report
83,Gladbach,2024-12-21,3.7,@,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,3.7,0.36,+2.7,Match Report
84,St. Pauli,2025-03-29,3.7,@,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,35,2,0,0,0,3.7,0.46,+0.7,Match Report
85,West Ham,2024-11-30,3.7,,Arsenal,eng Premier League,L 2-5,2,5,-3,40,2,0,0,0,3.7,0.30,-1.3,Match Report
86,Freiburg,2025-04-05,3.7,,Dortmund,de Bundesliga,L 1-4,1,4,-3,54,1,0,0,0,3.7,0.53,-0.3,Match Report
87,RB Leipzig,2024-11-30,3.7,,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,63,1,0,0,0,3.7,0.46,-1.3,Match Report
88,Dortmund,2024-11-09,3.7,@,Mainz 05,de Bundesliga,L 1-3,1,3,-2,47,0,1,1,0,3.7,0.41,+0.7,Match Report
89,Bochum,2024-10-19,3.7,@,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,50,1,0,1,1,3.7,0.54,+0.7,Match Report
90,Strasbourg,2024-11-30,3.7,@,Brest,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,3.7,0.26,+0.7,Match Report
91,Monaco,2024-10-27,3.7,@,Nice,fr Ligue 1,L 1-2,1,2,-1,59,1,0,0,0,3.7,0.42,+1.7,Match Report
92,Lecce,2024-10-20,3.7,,Fiorentina,it Serie A,L 0-6,0,6,-6,39,0,0,0,0,3.7,0.35,-2.3,Match Report
93,Udinese,2024-10-30,3.6,@,Venezia,it Serie A,L 2-3,2,3,-1,43,2,0,0,0,3.6,0.30,+0.6,Match Report
94,Augsburg,2024-09-28,3.6,@,RB Leipzig,de Bundesliga,L 0-4,0,4,-4,41,0,0,1,1,3.6,0.61,-0.4,Match Report
95,Hellas Verona,2024-11-23,3.6,,Inter,it Serie A,L 0-5,0,5,-5,31,0,0,0,0,3.6,0.52,-1.4,Match Report
96,Heidenheim,2024-12-01,3.6,,Eint Frankfurt,de Bundesliga,L 0-4,0,4,-4,46,0,0,0,0,3.6,0.46,-0.4,Match Report
97,Southampton,2024-12-15,3.6,,Tottenham,eng Premier League,L 0-5,0,5,-5,42,0,0,0,0,3.6,0.40,-1.4,Match Report
98,Southampton,2024-09-14,3.6,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,44,0,0,1,1,3.6,0.40,+0.6,Match Report
99,Le Havre,2024-11-10,3.6,,Reims,fr Ligue 1,L 0-3,0,3,-3,55,0,0,0,0,3.6,0.54,+0.6,Match Report
100,Lazio,2025-03-16,3.6,@,Bologna,it Serie A,L 0-5,0,5,-5,49,0,0,0,0,3.6,0.51,-1.4,Match Report
101,Leganés,2024-10-20,3.6,@,Atlético Madrid,es La Liga,L 1-3,1,3,-2,37,1,0,0,0,3.6,0.45,+0.6,Match Report
102,Girona,2025-03-30,3.6,@,Barcelona,es La Liga,L 1-4,1,4,-3,31,1,0,0,0,3.6,0.40,+0.6,Match Report
103,RB Leipzig,2024-12-20,3.6,@,Bayern Munich,de Bundesliga,L 1-5,1,5,-4,29,1,0,0,0,3.6,0.40,-1.4,Match Report
104,Rennes,2025-01-25,3.6,@,Monaco,fr Ligue 1,L 2-3,2,3,-1,48,2,0,0,0,3.6,0.40,+0.6,Match Report
105,Lyon,2025-03-28,3.6,@,Strasbourg,fr Ligue 1,L 2-4,2,4,-2,60,1,1,1,0,3.6,0.56,-0.4,Match Report
106,Eint Frankfurt,2025-03-16,3.6,@,Bochum,de Bundesliga,W 3-1,3,1,+2,49,3,0,0,0,3.6,0.51,+2.6,Match Report
107,Osasuna,2024-11-09,3.5,@,Real Madrid,es La Liga,L 0-4,0,4,-4,32,0,0,0,0,3.5,0.44,-0.5,Match Report
108,Heidenheim,2024-11-23,3.5,@,Leverkusen,de Bundesliga,L 2-5,2,5,-3,22,2,0,0,0,3.5,0.35,-1.5,Match Report
109,Holstein Kiel,2025-02-16,3.5,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,3.5,0.32,+0.5,Match Report
110,Southampton,2025-04-06,3.5,@,Tottenham,eng Premier League,L 1-3,1,3,-2,49,1,0,0,0,3.5,0.35,+0.5,Match Report
111,Fiorentina,2025-03-09,3.5,@,Napoli,it Serie A,L 1-2,1,2,-1,51,1,0,0,0,3.5,0.32,+1.5,Match Report
112,Girona,2024-09-15,3.5,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,3.5,0.39,-0.5,Match Report
113,Leicester City,2024-11-30,3.5,@,Brentford,eng Premier League,L 1-4,1,4,-3,40,1,0,0,0,3.5,0.59,-0.5,Match Report
114,Freiburg,2025-01-18,3.5,@,Stuttgart,de Bundesliga,L 0-4,0,4,-4,44,0,0,0,0,3.5,0.41,-0.5,Match Report
115,Freiburg,2025-01-14,3.5,@,Eint Frankfurt,de Bundesliga,L 1-4,1,4,-3,36,1,0,0,0,3.5,0.44,-0.5,Match Report
116,Dortmund,2025-02-15,3.5,@,Bochum,de Bundesliga,L 0-2,0,2,-2,69,0,0,0,0,3.5,0.44,+1.5,Match Report
117,Ipswich Town,2024-08-24,3.5,@,Manchester City,eng Premier League,L 1-4,1,4,-3,25,1,0,0,0,3.5,0.52,-0.5,Match Report
118,Saint-Étienne,2024-08-31,3.5,@,Brest,fr Ligue 1,L 0-4,0,4,-4,53,0,0,0,0,3.5,0.23,-0.5,Match Report
119,Lyon,2024-08-30,3.5,,Strasbourg,fr Ligue 1,W 4-3,4,3,+1,48,4,0,0,0,3.5,0.43,+0.5,Match Report
120,Juventus,2024-10-27,3.5,@,Inter,it Serie A,D 4-4,4,4,0,53,4,0,0,0,3.5,0.21,-0.5,Match Report
121,Osasuna,2024-08-29,3.4,@,Girona,es La Liga,L 0-4,0,4,-4,40,0,0,0,0,3.4,0.69,-0.6,Match Report
122,Udinese,2025-01-26,3.4,,Roma,it Serie A,L 1-2,1,2,-1,49,1,0,0,0,3.4,0.20,+1.4,Match Report
123,Nice,2024-12-01,3.4,@,Lyon,fr Ligue 1,L 1-4,1,4,-3,47,1,0,0,0,3.4,0.38,-0.6,Match Report
124,Manchester Utd,2024-09-29,3.4,,Tottenham,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,3.4,0.35,+0.4,Match Report
125,Reims,2025-02-09,3.4,@,Lyon,fr Ligue 1,L 0-4,0,4,-4,33,0,0,0,0,3.4,0.38,-0.6,Match Report
126,Wolves,2025-01-20,3.4,@,Chelsea,eng Premier League,L 1-3,1,3,-2,37,1,0,0,0,3.4,0.56,+0.4,Match Report
127,Empoli,2024-12-22,3.4,@,Atalanta,it Serie A,L 2-3,2,3,-1,35,1,1,1,0,3.4,0.57,+0.4,Match Report
128,Espanyol,2024-10-19,3.4,@,Athletic Club,es La Liga,L 1-4,1,4,-3,44,1,0,0,0,3.4,0.56,-0.6,Match Report
129,Newcastle Utd,2024-12-04,3.4,,Liverpool,eng Premier League,D 3-3,3,3,0,42,3,0,0,0,3.4,0.69,+0.4,Match Report
130,Ipswich Town,2024-10-26,3.4,@,Brentford,eng Premier League,L 3-4,3,4,-1,35,3,0,0,0,3.4,0.26,-0.6,Match Report
131,Manchester City,2024-11-23,3.4,,Tottenham,eng Premier League,L 0-4,0,4,-4,58,0,0,0,0,3.4,0.49,-0.6,Match Report
132,Saint-Étienne,2025-01-12,3.4,@,Paris S-G,fr Ligue 1,L 1-2,1,2,-1,41,1,0,0,0,3.4,0.31,+1.4,Match Report
133,Nantes,2025-03-30,3.4,@,Le Havre,fr Ligue 1,L 2-3,2,3,-1,48,2,0,0,0,3.4,0.37,+0.4,Match Report
134,Nott'ham Forest,2025-02-15,3.4,@,Fulham,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,3.4,0.38,+1.4,Match Report
135,Eint Frankfurt,2024-10-19,3.4,@,Leverkusen,de Bundesliga,L 1-2,1,2,-1,46,0,1,1,0,3.4,0.30,+1.4,Match Report
136,Bologna,2024-11-24,3.3,@,Lazio,it Serie A,L 0-3,0,3,-3,30,0,0,0,0,3.3,0.82,+0.3,Match Report
137,Southampton,2025-03-08,3.3,@,Liverpool,eng Premier League,L 1-3,1,3,-2,29,1,0,0,0,3.3,0.19,+0.3,Match Report
138,Wolfsburg,2025-01-18,3.3,@,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,29,2,0,0,0,3.3,0.33,+0.3,Match Report
139,Angers,2024-09-01,3.3,,Nice,fr Ligue 1,L 1-4,1,4,-3,54,0,1,1,0,3.3,0.41,-0.7,Match Report
140,Reims,2025-01-11,3.3,,Nice,fr Ligue 1,L 2-4,2,4,-2,54,2,0,0,0,3.3,0.29,-0.7,Match Report
141,Aston Villa,2024-12-26,3.3,@,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,38,0,0,0,0,3.3,0.47,+0.3,Match Report
142,Wolves,2024-11-30,3.3,,Bournemouth,eng Premier League,L 2-4,2,4,-2,60,2,0,0,0,3.3,0.15,-0.7,Match Report
143,Rayo Vallecano,2025-04-04,3.3,,Espanyol,es La Liga,L 0-4,0,4,-4,69,0,0,0,0,3.3,0.37,-0.7,Match Report
144,Espanyol,2024-11-23,3.3,@,Girona,es La Liga,L 1-4,1,4,-3,25,1,0,0,0,3.3,0.66,-0.7,Match Report
145,Ipswich Town,2024-10-05,3.3,@,West Ham,eng Premier League,L 1-4,1,4,-3,48,1,0,0,0,3.3,0.28,-0.7,Match Report
146,Brentford,2024-12-04,3.3,@,Aston Villa,eng Premier League,L 1-3,1,3,-2,51,1,0,0,0,3.3,0.25,+0.3,Match Report
147,Parma,2024-11-23,3.3,,Atalanta,it Serie A,L 1-3,1,3,-2,45,1,0,0,0,3.3,0.56,+0.3,Match Report
148,Betis,2024-11-03,3.3,@,Athletic Club,es La Liga,D 1-1,1,1,0,50,1,0,0,0,3.3,0.42,+2.3,Match Report
149,Lecce,2025-01-26,3.3,,Inter,it Serie A,L 0-4,0,4,-4,49,0,0,0,0,3.3,0.48,-0.7,Match Report
