Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
526,Brighton,2024-10-26,36,,Wolves,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,36,6,19.4,30.4,Match Report
527,Lyon,2024-09-15,36,@,Lens,fr Ligue 1,D 0-0,0,0,0,46,0,0,0,0,36,7,52.8,40.5,Match Report
528,Inter,2024-11-10,36,,Napoli,it Serie A,D 1-1,1,1,0,53,1,0,1,1,36,2,25.0,30.7,Match Report
529,Nantes,2025-03-15,36,,Lille,fr Ligue 1,W 1-0,1,0,+1,32,1,0,0,0,36,8,38.9,39.1,Match Report
530,Milan,2025-01-18,36,@,Juventus,it Serie A,L 0-2,0,2,-2,40,0,0,0,0,36,5,8.3,25.5,Match Report
531,Juventus,2024-09-14,36,@,Empoli,it Serie A,D 0-0,0,0,0,65,0,0,0,0,36,6,25.0,32.0,Match Report
532,Paris S-G,2024-09-01,36,@,Lille,fr Ligue 1,W 3-1,3,1,+2,58,2,1,1,0,36,4,22.2,27.9,Match Report
533,Parma,2025-01-26,36,@,Milan,it Serie A,L 2-3,2,3,-1,39,2,0,0,0,36,6,38.9,36.8,Match Report
534,Eint Frankfurt,2024-10-06,36,,Bayern Munich,de Bundesliga,D 3-3,3,3,0,26,3,0,0,0,36,5,33.3,29.7,Match Report
535,Celta Vigo,2025-01-19,36,,Athletic Club,es La Liga,L 1-2,1,2,-1,59,1,0,0,0,36,12,25.0,25.8,Match Report
536,Betis,2024-09-18,36,,Getafe,es La Liga,W 2-1,2,1,+1,65,1,1,1,0,36,6,22.2,27.4,Match Report
537,Las Palmas,2024-11-30,35,@,Barcelona,es La Liga,W 2-1,2,1,+1,31,2,0,0,0,35,8,57.1,44.2,Match Report
538,Hoffenheim,2024-12-15,35,@,Dortmund,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,35,5,45.7,38.5,Match Report
539,Hoffenheim,2024-12-01,35,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,35,7,31.4,31.7,Match Report
540,Osasuna,2024-09-24,35,@,Valencia,es La Liga,D 0-0,0,0,0,48,0,0,0,0,35,5,48.6,38.3,Match Report
541,Udinese,2025-03-10,35,@,Lazio,it Serie A,D 1-1,1,1,0,51,1,0,0,0,35,5,20.0,25.9,Match Report
542,Bayern Munich,2025-01-15,35,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,35,3,17.1,27.9,Match Report
543,Augsburg,2025-03-29,35,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,35,2,48.6,38.0,Match Report
544,Torino,2025-01-11,35,,Juventus,it Serie A,D 1-1,1,1,0,41,1,0,0,0,35,8,22.9,32.1,Match Report
545,Torino,2024-12-01,35,,Napoli,it Serie A,L 0-1,0,1,-1,48,0,0,0,0,35,3,45.7,40.9,Match Report
546,Manchester Utd,2024-12-01,35,,Everton,eng Premier League,W 4-0,4,0,+4,60,4,0,0,0,35,4,8.6,25.9,Match Report
547,Bologna,2025-01-15,35,@,Inter,it Serie A,D 2-2,2,2,0,52,2,0,0,0,35,2,37.1,34.7,Match Report
548,Bologna,2024-10-29,35,@,Cagliari,it Serie A,W 2-0,2,0,+2,58,2,0,0,0,35,3,40.0,33.3,Match Report
549,Barcelona,2024-12-21,35,,Atlético Madrid,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,35,6,11.4,24.3,Match Report
550,Monza,2025-03-15,35,,Parma,it Serie A,D 1-1,1,1,0,45,1,0,0,0,35,11,22.9,29.5,Match Report
551,Monza,2024-12-22,35,,Juventus,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,35,3,48.6,39.3,Match Report
552,Montpellier,2024-12-15,35,,Nice,fr Ligue 1,D 2-2,2,2,0,52,2,0,0,0,35,5,42.9,36.9,Match Report
553,Montpellier,2024-12-08,35,@,Lens,fr Ligue 1,L 0-2,0,2,-2,45,0,0,0,0,35,2,45.7,36.4,Match Report
554,Como,2025-02-07,35,,Juventus,it Serie A,L 1-2,1,2,-1,52,1,0,0,0,35,5,40.0,36.0,Match Report
555,Como,2024-09-14,35,,Bologna,it Serie A,D 2-2,2,2,0,44,1,0,0,0,35,2,31.4,33.9,Match Report
556,Mallorca,2024-12-21,35,@,Getafe,es La Liga,W 1-0,1,0,+1,46,0,1,1,0,35,8,51.4,42.3,Match Report
557,Holstein Kiel,2025-04-05,35,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,42,1,0,0,0,35,9,42.9,37.8,Match Report
558,Holstein Kiel,2025-02-16,35,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,35,3,20.0,29.6,Match Report
559,Holstein Kiel,2025-02-01,35,@,Bayern Munich,de Bundesliga,L 3-4,3,4,-1,29,3,0,0,0,35,7,48.6,35.5,Match Report
560,Gladbach,2025-03-15,35,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,47,3,1,1,0,35,2,34.3,34.5,Match Report
561,Gladbach,2025-01-25,35,,Bochum,de Bundesliga,W 3-0,3,0,+3,57,3,0,1,1,35,5,25.7,29.2,Match Report
562,Gladbach,2025-01-14,35,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,35,2,11.4,24.8,Match Report
563,Gladbach,2024-11-30,35,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,52,1,0,0,0,35,9,14.3,25.7,Match Report
564,Gladbach,2024-09-21,35,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,63,0,0,0,0,35,5,20.0,25.6,Match Report
565,Southampton,2025-01-04,35,,Brentford,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,35,8,51.4,34.7,Match Report
566,Southampton,2024-12-29,35,@,Crystal Palace,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,35,6,68.6,47.1,Match Report
567,Crystal Palace,2025-04-05,35,,Brighton,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,35,5,42.9,37.0,Match Report
568,Crystal Palace,2024-12-03,35,@,Ipswich Town,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,35,2,54.3,39.5,Match Report
569,Real Madrid,2025-03-15,35,@,Villarreal,es La Liga,W 2-1,2,1,+1,54,2,0,0,0,35,8,22.9,31.5,Match Report
570,St. Pauli,2025-04-06,35,,Gladbach,de Bundesliga,D 1-1,1,1,0,63,1,0,0,0,35,3,22.9,29.9,Match Report
571,St. Pauli,2025-02-09,35,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,44,0,0,0,0,35,5,20.0,28.7,Match Report
572,Marseille,2024-10-27,35,,Paris S-G,fr Ligue 1,L 0-3,0,3,-3,26,0,0,0,0,35,4,45.7,35.7,Match Report
573,Stuttgart,2024-11-30,35,@,Werder Bremen,de Bundesliga,D 2-2,2,2,0,57,2,0,0,0,35,13,17.1,29.1,Match Report
574,Auxerre,2025-01-19,35,@,Angers,fr Ligue 1,L 0-2,0,2,-2,52,0,0,0,0,35,7,28.6,29.4,Match Report
575,Le Havre,2024-09-15,35,@,Toulouse,fr Ligue 1,L 0-2,0,2,-2,46,0,0,0,0,35,10,11.4,23.8,Match Report
576,Lazio,2025-02-03,35,@,Cagliari,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,35,2,20.0,30.4,Match Report
577,Union Berlin,2024-10-27,35,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,35,8,17.1,26.6,Match Report
578,Reims,2025-04-06,35,,Strasbourg,fr Ligue 1,L 0-1,0,1,-1,48,0,0,0,0,35,8,20.0,27.5,Match Report
579,Reims,2024-09-01,35,,Rennes,fr Ligue 1,W 2-1,2,1,+1,53,2,0,0,0,35,4,31.4,37.2,Match Report
580,Liverpool,2024-10-20,35,,Chelsea,eng Premier League,W 2-1,2,1,+1,43,1,1,1,0,35,4,45.7,37.5,Match Report
581,Aston Villa,2025-02-25,35,@,Crystal Palace,eng Premier League,L 1-4,1,4,-3,64,1,0,0,0,35,1,17.1,26.4,Match Report
582,Aston Villa,2024-12-26,35,@,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,38,0,0,0,0,35,3,37.1,36.4,Match Report
583,Wolves,2025-01-15,35,@,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,35,3,65.7,43.6,Match Report
584,Wolves,2024-09-28,35,,Liverpool,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,35,8,22.9,28.8,Match Report
585,Atalanta,2025-01-25,35,@,Como,it Serie A,W 2-1,2,1,+1,46,2,0,0,0,35,11,51.4,41.3,Match Report
586,Rayo Vallecano,2024-12-01,35,,Athletic Club,es La Liga,L 1-2,1,2,-1,48,1,0,0,0,35,5,42.9,39.9,Match Report
587,Mainz 05,2025-02-22,35,,St. Pauli,de Bundesliga,W 2-0,2,0,+2,53,2,0,0,0,35,4,54.3,39.7,Match Report
588,Leicester City,2024-11-30,35,@,Brentford,eng Premier League,L 1-4,1,4,-3,40,1,0,0,0,35,6,40.0,36.1,Match Report
589,Leicester City,2024-08-24,35,@,Fulham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,35,8,17.1,28.3,Match Report
590,Dortmund,2025-01-25,35,,Werder Bremen,de Bundesliga,D 2-2,2,2,0,46,1,0,0,0,35,4,51.4,38.3,Match Report
591,Venezia,2024-11-03,35,@,Inter,it Serie A,L 0-1,0,1,-1,43,0,0,0,0,35,3,22.9,33.1,Match Report
592,Newcastle Utd,2025-01-15,35,,Wolves,eng Premier League,W 3-0,3,0,+3,60,3,0,0,0,35,7,14.3,22.1,Match Report
593,Newcastle Utd,2024-12-30,35,@,Manchester Utd,eng Premier League,W 2-0,2,0,+2,48,2,0,0,0,35,6,31.4,31.2,Match Report
594,Bochum,2025-03-01,35,,Hoffenheim,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,35,2,57.1,40.8,Match Report
595,Bochum,2024-09-21,35,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,35,5,54.3,38.3,Match Report
596,Ipswich Town,2025-02-01,35,,Southampton,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,35,1,25.7,28.6,Match Report
597,Ipswich Town,2024-12-21,35,,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,42,0,0,0,0,35,5,28.6,33.1,Match Report
598,Cagliari,2025-03-02,35,@,Bologna,it Serie A,L 1-2,1,2,-1,39,1,0,0,0,35,4,80.0,47.6,Match Report
599,Brentford,2024-12-15,35,@,Chelsea,eng Premier League,L 1-2,1,2,-1,38,1,0,0,0,35,4,54.3,43.4,Match Report
600,Brentford,2024-10-19,35,@,Manchester Utd,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,35,6,28.6,32.5,Match Report
601,Brentford,2024-10-05,35,,Wolves,eng Premier League,W 5-3,5,3,+2,44,4,1,1,0,35,2,40.0,38.4,Match Report
602,Roma,2025-01-26,35,@,Udinese,it Serie A,W 2-1,2,1,+1,51,0,2,2,0,35,8,5.7,26.6,Match Report
603,Roma,2025-01-17,35,,Genoa,it Serie A,W 3-1,3,1,+2,52,2,0,0,0,35,2,17.1,25.4,Match Report
604,Roma,2024-11-10,35,,Bologna,it Serie A,L 2-3,2,3,-1,54,2,0,0,0,35,2,45.7,36.9,Match Report
605,Brighton,2024-09-22,35,,Nott'ham Forest,eng Premier League,D 2-2,2,2,0,70,2,0,0,0,35,9,11.4,21.0,Match Report
606,Saint-Étienne,2024-11-02,35,,Strasbourg,fr Ligue 1,W 2-0,2,0,+2,36,2,0,0,0,35,5,42.9,37.1,Match Report
607,Everton,2025-01-25,35,@,Brighton,eng Premier League,W 1-0,1,0,+1,31,0,1,1,0,35,1,48.6,40.1,Match Report
608,Everton,2024-10-19,35,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,45,2,0,0,0,35,4,57.1,44.7,Match Report
609,Everton,2024-09-28,35,,Crystal Palace,eng Premier League,W 2-1,2,1,+1,41,2,0,0,0,35,5,60.0,41.5,Match Report
610,Napoli,2025-04-07,35,@,Bologna,it Serie A,D 1-1,1,1,0,39,1,0,0,0,35,5,25.7,29.3,Match Report
611,Inter,2025-03-16,35,@,Atalanta,it Serie A,W 2-0,2,0,+2,51,2,0,0,0,35,1,31.4,30.9,Match Report
612,Inter,2025-01-15,35,,Bologna,it Serie A,D 2-2,2,2,0,48,2,0,0,0,35,3,40.0,33.4,Match Report
613,Inter,2024-11-23,35,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,69,5,0,0,0,35,6,5.7,22.7,Match Report
614,Valencia,2024-08-28,35,@,Athletic Club,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,35,5,31.4,33.1,Match Report
615,Real Sociedad,2025-04-06,35,@,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,35,5,25.7,32.4,Match Report
616,Parma,2024-10-30,35,@,Juventus,it Serie A,D 2-2,2,2,0,39,2,0,0,0,35,4,31.4,33.9,Match Report
617,Parma,2024-10-27,35,,Empoli,it Serie A,D 1-1,1,1,0,60,1,0,1,1,35,9,14.3,28.5,Match Report
618,Eint Frankfurt,2025-01-14,35,,Freiburg,de Bundesliga,W 4-1,4,1,+3,64,4,0,0,0,35,6,14.3,21.8,Match Report
619,Eint Frankfurt,2024-11-10,35,@,Stuttgart,de Bundesliga,W 3-2,3,2,+1,40,3,0,0,0,35,6,34.3,33.8,Match Report
620,Fulham,2025-02-15,35,,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,35,5,17.1,28.8,Match Report
621,Fulham,2024-12-26,35,@,Chelsea,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,35,7,11.4,24.0,Match Report
622,Fulham,2024-12-05,35,,Brighton,eng Premier League,W 3-1,3,1,+2,43,2,0,0,0,35,3,45.7,39.4,Match Report
623,Hoffenheim,2025-04-05,34,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,34,6,58.8,46.9,Match Report
624,Hoffenheim,2025-03-14,34,@,St. Pauli,de Bundesliga,L 0-1,0,1,-1,56,0,0,0,0,34,2,38.2,33.1,Match Report
625,Hoffenheim,2024-11-02,34,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,34,4,14.7,26.5,Match Report
626,Hoffenheim,2024-10-06,34,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,34,4,44.1,37.3,Match Report
627,Osasuna,2025-02-21,34,@,Celta Vigo,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,34,5,26.5,30.8,Match Report
628,Udinese,2024-11-10,34,@,Atalanta,it Serie A,L 1-2,1,2,-1,46,1,0,0,0,34,1,38.2,35.0,Match Report
629,Bayern Munich,2025-03-08,34,,Bochum,de Bundesliga,L 2-3,2,3,-1,73,2,0,1,1,34,6,17.6,28.5,Match Report
630,Augsburg,2024-11-30,34,,Bochum,de Bundesliga,W 1-0,1,0,+1,52,0,1,1,0,34,4,32.4,31.0,Match Report
631,Hellas Verona,2025-01-04,34,,Udinese,it Serie A,D 0-0,0,0,0,37,0,0,0,0,34,2,61.8,43.3,Match Report
632,Torino,2024-11-24,34,,Monza,it Serie A,D 1-1,1,1,0,54,1,0,0,0,34,7,32.4,32.2,Match Report
633,Arsenal,2025-03-16,34,,Chelsea,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,34,5,38.2,34.6,Match Report
634,Heidenheim,2024-10-27,34,,Hoffenheim,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,34,10,26.5,30.4,Match Report
635,Manchester Utd,2025-03-09,34,,Arsenal,eng Premier League,D 1-1,1,1,0,32,1,0,0,0,34,4,55.9,39.9,Match Report
636,Manchester Utd,2025-01-26,34,@,Fulham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,34,3,41.2,35.3,Match Report
637,Montpellier,2024-10-27,34,,Toulouse,fr Ligue 1,L 0-3,0,3,-3,51,0,0,0,0,34,7,41.2,34.4,Match Report
638,Como,2025-01-14,34,,Milan,it Serie A,L 1-2,1,2,-1,52,1,0,0,0,34,8,41.2,34.4,Match Report
639,Como,2024-09-29,34,,Hellas Verona,it Serie A,W 3-2,3,2,+1,71,3,0,0,0,34,3,23.5,29.8,Match Report
640,Mallorca,2024-12-06,34,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,34,6,26.5,29.1,Match Report
641,Holstein Kiel,2025-03-29,34,,Werder Bremen,de Bundesliga,L 0-3,0,3,-3,55,0,0,0,0,34,5,20.6,28.1,Match Report
642,Holstein Kiel,2025-01-18,34,,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,34,7,29.4,32.8,Match Report
643,Gladbach,2025-04-06,34,@,St. Pauli,de Bundesliga,D 1-1,1,1,0,37,1,0,0,0,34,7,35.3,31.6,Match Report
644,Southampton,2024-10-19,34,,Leicester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,34,3,55.9,44.9,Match Report
645,Fiorentina,2024-08-25,34,,Venezia,it Serie A,D 0-0,0,0,0,54,0,0,0,0,34,4,41.2,34.9,Match Report
646,Bournemouth,2024-12-16,34,,West Ham,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,34,4,55.9,39.8,Match Report
647,Wolfsburg,2025-03-15,34,@,Augsburg,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,34,8,26.5,28.0,Match Report
648,Wolfsburg,2024-12-13,34,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,47,2,0,0,0,34,4,44.1,36.8,Match Report
649,Wolfsburg,2024-08-31,34,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,46,2,0,0,0,34,3,82.4,51.3,Match Report
650,Stuttgart,2024-09-22,34,,Dortmund,de Bundesliga,W 5-1,5,1,+4,52,5,0,0,0,34,5,29.4,32.8,Match Report
651,Auxerre,2024-08-18,34,,Nice,fr Ligue 1,W 2-1,2,1,+1,45,2,0,0,0,34,1,73.5,45.8,Match Report
652,Le Havre,2025-04-06,34,@,Montpellier,fr Ligue 1,W 2-0,2,0,+2,45,2,0,0,0,34,7,35.3,35.1,Match Report
653,Werder Bremen,2025-03-29,34,@,Holstein Kiel,de Bundesliga,W 3-0,3,0,+3,45,3,0,0,0,34,8,41.2,39.8,Match Report
654,Werder Bremen,2024-10-26,34,,Leverkusen,de Bundesliga,D 2-2,2,2,0,43,2,0,0,0,34,4,29.4,31.9,Match Report
655,Genoa,2025-02-17,34,,Venezia,it Serie A,W 2-0,2,0,+2,51,2,0,0,0,34,3,55.9,38.6,Match Report
656,Genoa,2025-01-17,34,@,Roma,it Serie A,L 1-3,1,3,-2,48,1,0,0,0,34,7,32.4,31.5,Match Report
657,Genoa,2024-10-05,34,@,Atalanta,it Serie A,L 1-5,1,5,-4,37,1,0,0,0,34,4,14.7,29.6,Match Report
658,Angers,2025-03-02,34,,Toulouse,fr Ligue 1,L 0-4,0,4,-4,46,0,0,0,0,34,5,38.2,38.4,Match Report
659,West Ham,2024-12-09,34,,Wolves,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,34,5,58.8,42.4,Match Report
660,Leganés,2024-12-08,34,,Real Sociedad,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,34,7,55.9,44.6,Match Report
661,Leganés,2024-11-09,34,,Sevilla,es La Liga,W 1-0,1,0,+1,43,0,1,1,0,34,1,55.9,42.5,Match Report
662,Leganés,2024-10-27,34,,Celta Vigo,es La Liga,W 3-0,3,0,+3,39,3,0,0,0,34,1,67.6,45.4,Match Report
663,Reims,2024-11-29,34,,Lens,fr Ligue 1,L 0-2,0,2,-2,52,0,0,0,0,34,2,35.3,30.7,Match Report
664,Aston Villa,2024-12-21,34,,Manchester City,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,34,1,20.6,30.4,Match Report
665,Wolves,2024-12-09,34,@,West Ham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,34,2,70.6,45.0,Match Report
666,Alavés,2025-01-18,34,@,Betis,es La Liga,W 3-1,3,1,+2,50,2,1,1,0,34,5,55.9,44.4,Match Report
667,Atalanta,2025-01-18,34,,Napoli,it Serie A,L 2-3,2,3,-1,56,2,0,0,0,34,5,29.4,30.7,Match Report
668,Mainz 05,2025-03-01,34,@,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,34,1,47.1,35.1,Match Report
669,Freiburg,2024-12-21,34,@,Leverkusen,de Bundesliga,L 1-5,1,5,-4,33,1,0,0,0,34,5,26.5,33.5,Match Report
670,RB Leipzig,2024-09-14,34,,Union Berlin,de Bundesliga,D 0-0,0,0,0,67,0,0,1,1,34,6,14.7,25.0,Match Report
671,Sevilla,2025-02-16,34,@,Valladolid,es La Liga,W 4-0,4,0,+4,48,4,0,0,0,34,8,38.2,37.3,Match Report
672,Dortmund,2025-03-30,34,,Mainz 05,de Bundesliga,W 3-1,3,1,+2,44,3,0,0,0,34,7,61.8,44.4,Match Report
673,Dortmund,2024-11-30,34,,Bayern Munich,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,34,1,52.9,41.3,Match Report
674,Dortmund,2024-08-24,34,,Eint Frankfurt,de Bundesliga,W 2-0,2,0,+2,69,2,0,0,0,34,6,11.8,22.7,Match Report
675,Newcastle Utd,2025-02-15,34,@,Manchester City,eng Premier League,L 0-4,0,4,-4,39,0,0,0,0,34,10,5.9,23.7,Match Report
676,Rennes,2024-12-08,34,@,Nantes,fr Ligue 1,L 0-1,0,1,-1,53,0,0,0,0,34,1,32.4,32.3,Match Report
677,Bochum,2025-03-28,34,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,34,3,61.8,43.8,Match Report
678,Bochum,2025-02-22,34,@,Wolfsburg,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,34,2,73.5,48.0,Match Report
679,Bochum,2024-08-31,34,,Gladbach,de Bundesliga,L 0-2,0,2,-2,39,0,0,0,0,34,3,52.9,36.2,Match Report
680,Manchester City,2025-03-15,34,,Brighton,eng Premier League,D 2-2,2,2,0,60,1,1,1,0,34,6,41.2,34.3,Match Report
681,Manchester City,2025-01-14,34,@,Brentford,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,34,3,47.1,37.0,Match Report
682,Manchester City,2024-08-18,34,@,Chelsea,eng Premier League,W 2-0,2,0,+2,52,2,0,0,0,34,5,23.5,30.7,Match Report
683,Leverkusen,2025-03-01,34,@,Eint Frankfurt,de Bundesliga,W 4-1,4,1,+3,59,4,0,0,0,34,3,50.0,39.2,Match Report
684,Lille,2024-11-01,34,,Lyon,fr Ligue 1,D 1-1,1,1,0,47,1,0,0,0,34,4,32.4,36.5,Match Report
685,Lille,2024-10-26,34,@,Lens,fr Ligue 1,W 2-0,2,0,+2,42,1,1,1,0,34,3,70.6,44.6,Match Report
686,Roma,2024-10-06,34,@,Monza,it Serie A,D 1-1,1,1,0,65,1,0,0,0,34,5,29.4,33.8,Match Report
687,Chelsea,2025-01-25,34,@,Manchester City,eng Premier League,L 1-3,1,3,-2,44,1,0,0,0,34,2,61.8,49.1,Match Report
688,Chelsea,2024-12-01,34,,Aston Villa,eng Premier League,W 3-0,3,0,+3,64,3,0,0,0,34,9,26.5,31.4,Match Report
689,Chelsea,2024-10-27,34,,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,34,2,55.9,43.1,Match Report
690,Chelsea,2024-09-01,34,,Crystal Palace,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,34,5,14.7,23.5,Match Report
691,Brighton,2024-11-23,34,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,45,2,0,0,0,34,4,41.2,37.0,Match Report
692,Saint-Étienne,2024-11-30,34,@,Rennes,fr Ligue 1,L 0-5,0,5,-5,29,0,0,0,0,34,3,47.1,36.6,Match Report
693,Saint-Étienne,2024-09-20,34,@,Nice,fr Ligue 1,L 0-8,0,8,-8,41,0,0,0,0,34,3,32.4,35.7,Match Report
694,Everton,2024-11-09,34,@,West Ham,eng Premier League,D 0-0,0,0,0,51,0,0,0,0,34,5,35.3,36.7,Match Report
695,Napoli,2024-12-21,34,@,Genoa,it Serie A,W 2-1,2,1,+1,62,2,0,0,0,34,3,8.8,26.4,Match Report
696,Inter,2025-01-19,34,,Empoli,it Serie A,W 3-1,3,1,+2,68,3,0,0,0,34,4,8.8,25.9,Match Report
697,Nantes,2025-01-04,34,@,Lille,fr Ligue 1,D 1-1,1,1,0,29,0,1,1,0,34,1,47.1,37.2,Match Report
698,Milan,2024-11-23,34,,Juventus,it Serie A,D 0-0,0,0,0,44,0,0,0,0,34,3,23.5,29.2,Match Report
699,Milan,2024-10-19,34,,Udinese,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,34,3,38.2,39.3,Match Report
700,Juventus,2024-11-09,34,,Torino,it Serie A,W 2-0,2,0,+2,54,2,0,0,0,34,3,26.5,33.6,Match Report
701,Juventus,2024-10-06,34,,Cagliari,it Serie A,D 1-1,1,1,0,73,0,1,1,0,34,6,23.5,31.1,Match Report
702,Real Sociedad,2024-09-01,34,@,Getafe,es La Liga,D 0-0,0,0,0,47,0,0,0,0,34,4,32.4,34.2,Match Report
703,Nott'ham Forest,2024-08-17,34,,Bournemouth,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,34,3,67.6,45.5,Match Report
704,Parma,2025-02-16,34,,Roma,it Serie A,L 0-1,0,1,-1,29,0,0,0,0,34,6,55.9,43.7,Match Report
705,Parma,2025-01-05,34,@,Torino,it Serie A,D 0-0,0,0,0,38,0,0,0,0,34,5,55.9,45.0,Match Report
706,Parma,2024-09-30,34,,Cagliari,it Serie A,L 2-3,2,3,-1,60,1,1,1,0,34,4,32.4,34.8,Match Report
707,Eint Frankfurt,2025-03-01,34,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,41,1,0,0,0,34,3,47.1,36.9,Match Report
708,Eint Frankfurt,2024-10-27,34,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,52,1,0,0,0,34,1,41.2,39.0,Match Report
709,Eint Frankfurt,2024-09-21,34,,Gladbach,de Bundesliga,W 2-0,2,0,+2,37,2,0,0,0,34,7,26.5,34.2,Match Report
710,Brest,2025-03-09,34,,Angers,fr Ligue 1,W 2-0,2,0,+2,50,2,0,0,0,34,10,20.6,29.2,Match Report
711,Brest,2024-12-15,34,,Nantes,fr Ligue 1,W 4-1,4,1,+3,51,4,0,0,0,34,3,26.5,31.1,Match Report
712,Betis,2025-01-18,34,,Alavés,es La Liga,L 1-3,1,3,-2,50,1,0,0,0,34,4,50.0,36.4,Match Report
713,Betis,2024-10-19,34,@,Osasuna,es La Liga,W 2-1,2,1,+1,45,2,0,0,0,34,8,47.1,41.1,Match Report
714,Betis,2024-08-15,34,,Girona,es La Liga,D 1-1,1,1,0,39,1,0,0,0,34,4,23.5,30.4,Match Report
715,Fulham,2025-03-16,34,,Tottenham,eng Premier League,W 2-0,2,0,+2,57,2,0,0,0,34,5,41.2,37.4,Match Report
716,Las Palmas,2024-08-16,33,,Sevilla,es La Liga,D 2-2,2,2,0,48,1,0,0,0,33,7,27.3,32.8,Match Report
717,Osasuna,2025-03-30,33,@,Athletic Club,es La Liga,D 0-0,0,0,0,39,0,0,0,0,33,4,69.7,44.2,Match Report
718,Augsburg,2025-01-12,33,,Stuttgart,de Bundesliga,L 0-1,0,1,-1,43,0,0,0,0,33,4,45.5,36.4,Match Report
719,Augsburg,2024-10-19,33,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,43,1,0,0,0,33,7,27.3,29.3,Match Report
