Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
94,Brentford,2024-08-18,47,,Crystal Palace,eng Premier League,W 2-1,2,1,+1,46,2,0,0,0,47,5,29.8,34.3,Match Report
95,Napoli,2025-03-30,47,,Milan,it Serie A,W 2-1,2,1,+1,51,2,0,0,0,47,1,12.8,28.1,Match Report
96,Lyon,2025-03-09,47,@,Nice,fr Ligue 1,W 2-0,2,0,+2,63,2,0,0,0,47,3,27.7,29.1,Match Report
97,Inter,2025-02-22,47,,Genoa,it Serie A,W 1-0,1,0,+1,62,1,0,0,0,47,3,21.3,27.8,Match Report
98,Inter,2024-12-16,47,@,Lazio,it Serie A,W 6-0,6,0,+6,48,5,1,1,0,47,2,17.0,28.4,Match Report
99,Bayern Munich,2025-02-23,46,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,46,4,32.6,33.2,Match Report
100,Torino,2024-08-17,46,@,Milan,it Serie A,D 2-2,2,2,0,44,1,0,0,0,46,8,34.8,34.8,Match Report
101,Bologna,2025-01-25,46,@,Empoli,it Serie A,D 1-1,1,1,0,63,1,0,0,0,46,11,26.1,31.3,Match Report
102,Bologna,2024-12-21,46,@,Torino,it Serie A,W 2-0,2,0,+2,58,2,0,1,1,46,8,23.9,30.0,Match Report
103,Bologna,2024-10-19,46,@,Genoa,it Serie A,D 2-2,2,2,0,61,2,0,0,0,46,3,21.7,28.0,Match Report
104,Como,2025-01-20,46,,Udinese,it Serie A,W 4-1,4,1,+3,51,3,0,0,0,46,8,26.1,34.1,Match Report
105,Holstein Kiel,2024-11-24,46,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,38,0,0,0,0,46,2,43.5,38.3,Match Report
106,Gladbach,2024-08-23,46,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,43,2,0,0,0,46,5,28.3,31.0,Match Report
107,Real Madrid,2024-12-01,46,,Getafe,es La Liga,W 2-0,2,0,+2,69,1,1,1,0,46,6,23.9,30.8,Match Report
108,Stuttgart,2025-01-12,46,@,Augsburg,de Bundesliga,W 1-0,1,0,+1,57,1,0,0,0,46,7,32.6,32.5,Match Report
109,Aston Villa,2025-01-15,46,@,Everton,eng Premier League,W 1-0,1,0,+1,50,1,0,0,0,46,2,17.4,27.3,Match Report
110,Freiburg,2024-10-19,46,,Augsburg,de Bundesliga,W 3-1,3,1,+2,57,3,0,0,0,46,4,26.1,34.3,Match Report
111,Strasbourg,2025-03-28,46,,Lyon,fr Ligue 1,W 4-2,4,2,+2,40,4,0,0,0,46,8,13.0,25.4,Match Report
112,Roma,2024-12-15,46,@,Como,it Serie A,L 0-2,0,2,-2,62,0,0,0,0,46,9,21.7,30.3,Match Report
113,Brighton,2024-10-19,46,@,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,40,1,0,0,0,46,6,50.0,35.3,Match Report
114,Inter,2024-10-20,46,@,Roma,it Serie A,W 1-0,1,0,+1,45,1,0,0,0,46,3,34.8,33.5,Match Report
115,Nantes,2024-11-09,46,@,Lens,fr Ligue 1,L 2-3,2,3,-1,33,1,1,1,0,46,5,47.8,39.8,Match Report
116,Milan,2024-11-02,46,@,Monza,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,46,4,19.6,26.5,Match Report
117,Bayern Munich,2024-09-28,45,,Leverkusen,de Bundesliga,D 1-1,1,1,0,69,1,0,0,0,45,6,24.4,28.6,Match Report
118,Torino,2025-03-15,45,,Empoli,it Serie A,W 1-0,1,0,+1,50,1,0,0,0,45,9,44.4,39.8,Match Report
119,Torino,2025-02-01,45,@,Atalanta,it Serie A,D 1-1,1,1,0,35,1,0,0,0,45,5,55.6,46.3,Match Report
120,Athletic Club,2025-04-06,45,@,Villarreal,es La Liga,D 0-0,0,0,0,44,0,0,0,0,45,10,31.1,34.2,Match Report
121,Gladbach,2025-02-08,45,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,53,1,0,0,0,45,8,35.6,32.4,Match Report
122,St. Pauli,2024-12-14,45,,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,45,4,20.0,28.7,Match Report
123,St. Pauli,2024-08-25,45,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,45,4,22.2,28.5,Match Report
124,Werder Bremen,2024-11-23,45,@,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,50,0,0,0,0,45,7,28.9,32.9,Match Report
125,Venezia,2024-08-25,45,@,Fiorentina,it Serie A,D 0-0,0,0,0,46,0,0,0,0,45,6,17.8,26.4,Match Report
126,Strasbourg,2024-10-06,45,,Lens,fr Ligue 1,D 2-2,2,2,0,37,1,1,1,0,45,2,55.6,43.4,Match Report
127,Brentford,2024-10-26,45,,Ipswich Town,eng Premier League,W 4-3,4,3,+1,65,3,1,1,0,45,4,17.8,30.0,Match Report
128,Roma,2025-03-09,45,@,Empoli,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,45,0,28.9,34.9,Match Report
129,Brighton,2024-08-24,45,,Manchester Utd,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,45,6,22.2,30.6,Match Report
130,Everton,2024-12-29,45,,Nott'ham Forest,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,45,9,44.4,36.9,Match Report
131,Inter,2024-12-23,45,,Como,it Serie A,W 2-0,2,0,+2,62,2,0,0,0,45,7,13.3,25.3,Match Report
132,Parma,2024-12-15,45,,Hellas Verona,it Serie A,L 2-3,2,3,-1,56,2,0,0,0,45,6,28.9,32.3,Match Report
133,Bologna,2025-01-18,44,,Monza,it Serie A,W 3-1,3,1,+2,58,3,0,0,0,44,3,47.7,41.5,Match Report
134,Como,2025-02-01,44,@,Bologna,it Serie A,L 0-2,0,2,-2,50,0,0,0,0,44,7,20.5,28.4,Match Report
135,Gladbach,2024-11-24,44,,St. Pauli,de Bundesliga,W 2-0,2,0,+2,48,2,0,0,0,44,4,11.4,23.6,Match Report
136,St. Pauli,2024-10-26,44,,Wolfsburg,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,44,3,9.1,26.4,Match Report
137,Lazio,2025-01-19,44,@,Hellas Verona,it Serie A,W 3-0,3,0,+3,64,3,0,0,0,44,2,18.2,29.5,Match Report
138,Reims,2024-09-29,44,@,Angers,fr Ligue 1,W 3-1,3,1,+2,47,3,0,0,0,44,4,27.3,32.2,Match Report
139,Mainz 05,2025-01-19,44,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,66,0,1,1,0,44,6,27.3,31.7,Match Report
140,Leicester City,2025-03-09,44,@,Chelsea,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,44,4,38.6,35.7,Match Report
141,Sevilla,2024-08-16,44,@,Las Palmas,es La Liga,D 2-2,2,2,0,52,1,0,0,0,44,7,38.6,34.7,Match Report
142,Manchester City,2024-09-28,44,@,Newcastle Utd,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,44,7,31.8,31.0,Match Report
143,Bayern Munich,2024-12-14,43,@,Mainz 05,de Bundesliga,L 1-2,1,2,-1,68,1,0,0,0,43,3,32.6,33.1,Match Report
