Rk,Team,Date,PKA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,PKA,FK,CK,OG,Match Report
728,Monza,2025-02-09,0,@,Lazio,it Serie A,L 1-5,1,5,-4,39,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
729,Monza,2025-02-01,0,,Hellas Verona,it Serie A,L 0-1,0,1,-1,66,0,0,0,0,0,0,0,0,,0,0,0,1,Match Report
730,Monza,2025-01-27,0,@,Genoa,it Serie A,L 0-2,0,2,-2,50,0,0,0,0,1,0,1,0,100.0,0,0,1,0,Match Report
731,Monza,2025-01-18,0,@,Bologna,it Serie A,L 1-3,1,3,-2,42,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
732,Monza,2025-01-05,0,,Cagliari,it Serie A,L 1-2,1,2,-1,53,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
733,Monza,2024-12-22,0,,Juventus,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
734,Monza,2024-12-15,0,@,Lecce,it Serie A,L 1-2,1,2,-1,55,0,0,0,0,1,0,1,0,100.0,0,0,0,0,Match Report
735,Monza,2024-12-09,0,,Udinese,it Serie A,L 1-2,1,2,-1,67,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
736,Monza,2024-11-30,0,@,Como,it Serie A,D 1-1,1,1,0,45,0,1,1,0,0,0,0,0,,0,0,1,0,Match Report
737,Monza,2024-11-24,0,@,Torino,it Serie A,D 1-1,1,1,0,46,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
738,Monza,2024-11-10,0,,Lazio,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
739,Monza,2024-11-02,0,,Milan,it Serie A,L 0-1,0,1,-1,44,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
740,Monza,2024-10-30,0,@,Atalanta,it Serie A,L 0-2,0,2,-2,47,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
741,Monza,2024-10-27,0,,Venezia,it Serie A,D 2-2,2,2,0,46,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
742,Monza,2024-10-21,0,@,Hellas Verona,it Serie A,W 3-0,3,0,+3,41,3,0,0,0,0,0,0,0,,0,0,0,0,Match Report
743,Monza,2024-10-06,0,,Roma,it Serie A,D 1-1,1,1,0,35,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
744,Monza,2024-09-29,0,@,Napoli,it Serie A,L 0-2,0,2,-2,51,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
745,Monza,2024-09-22,0,,Bologna,it Serie A,L 1-2,1,2,-1,43,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
746,Monza,2024-09-15,0,,Inter,it Serie A,D 1-1,1,1,0,40,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
747,Monza,2024-09-01,0,@,Fiorentina,it Serie A,D 2-2,2,2,0,32,2,0,0,0,0,0,0,0,,0,0,2,0,Match Report
748,Monza,2024-08-24,0,,Genoa,it Serie A,L 0-1,0,1,-1,69,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
749,Monza,2024-08-17,0,@,Empoli,it Serie A,D 0-0,0,0,0,61,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
750,Montpellier,2025-04-06,0,,Le Havre,fr Ligue 1,L 0-2,0,2,-2,55,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
751,Montpellier,2025-03-30,0,@,Auxerre,fr Ligue 1,L 0-1,0,1,-1,47,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
752,Montpellier,2025-03-08,0,@,Lille,fr Ligue 1,L 0-1,0,1,-1,24,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
753,Montpellier,2025-03-02,0,,Rennes,fr Ligue 1,L 0-4,0,4,-4,46,0,0,0,0,1,0,1,0,100.0,0,0,1,0,Match Report
754,Montpellier,2025-02-23,0,@,Nice,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
755,Montpellier,2025-02-16,0,,Lyon,fr Ligue 1,L 1-4,1,4,-3,38,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
756,Montpellier,2025-02-09,0,@,Strasbourg,fr Ligue 1,L 0-2,0,2,-2,41,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
757,Montpellier,2025-01-31,0,,Lens,fr Ligue 1,L 0-2,0,2,-2,49,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
758,Montpellier,2025-01-26,0,@,Toulouse,fr Ligue 1,W 2-1,2,1,+1,34,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
759,Montpellier,2025-01-17,0,,Monaco,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,0,0,0,0,,0,0,1,0,Match Report
760,Montpellier,2025-01-12,0,,Angers,fr Ligue 1,L 1-3,1,3,-2,58,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
761,Montpellier,2025-01-04,0,@,Lyon,fr Ligue 1,L 0-1,0,1,-1,43,0,0,0,0,0,0,0,0,,0,0,0,1,Match Report
762,Montpellier,2024-12-15,0,,Nice,fr Ligue 1,D 2-2,2,2,0,52,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
763,Montpellier,2024-12-08,0,@,Lens,fr Ligue 1,L 0-2,0,2,-2,45,0,0,0,0,0,0,0,0,,0,0,0,1,Match Report
764,Montpellier,2024-11-23,0,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,67,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
765,Montpellier,2024-11-10,0,,Brest,fr Ligue 1,W 3-1,3,1,+2,33,2,1,2,1,0,0,0,0,,0,0,0,0,Match Report
766,Montpellier,2024-10-27,0,,Toulouse,fr Ligue 1,L 0-3,0,3,-3,51,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
767,Montpellier,2024-10-20,0,,Marseille,fr Ligue 1,L 0-5,0,5,-5,35,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
768,Montpellier,2024-09-28,0,@,Monaco,fr Ligue 1,L 1-2,1,2,-1,35,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
769,Montpellier,2024-09-22,0,,Auxerre,fr Ligue 1,W 3-2,3,2,+1,54,3,0,0,0,0,0,0,0,,0,0,0,0,Match Report
770,Montpellier,2024-09-15,0,@,Rennes,fr Ligue 1,L 0-3,0,3,-3,49,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
771,Montpellier,2024-08-23,0,@,Paris S-G,fr Ligue 1,L 0-6,0,6,-6,32,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
772,Montpellier,2024-08-18,0,,Strasbourg,fr Ligue 1,D 1-1,1,1,0,42,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
773,Como,2025-04-05,0,@,Monza,it Serie A,W 3-1,3,1,+2,58,3,0,0,0,0,0,0,0,,0,0,0,0,Match Report
774,Como,2025-03-29,0,,Empoli,it Serie A,D 1-1,1,1,0,71,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
775,Como,2025-03-15,0,@,Milan,it Serie A,L 1-2,1,2,-1,58,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
776,Como,2025-03-02,0,@,Roma,it Serie A,L 1-2,1,2,-1,52,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
777,Como,2025-02-23,0,,Napoli,it Serie A,W 2-1,2,1,+1,42,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
778,Como,2025-02-16,0,@,Fiorentina,it Serie A,W 2-0,2,0,+2,49,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
779,Como,2025-02-01,0,@,Bologna,it Serie A,L 0-2,0,2,-2,50,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
780,Como,2025-01-25,0,,Atalanta,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
781,Como,2025-01-20,0,,Udinese,it Serie A,W 4-1,4,1,+3,51,3,0,0,0,0,0,0,0,,0,0,0,0,Match Report
782,Como,2025-01-14,0,,Milan,it Serie A,L 1-2,1,2,-1,52,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
783,Como,2025-01-10,0,@,Lazio,it Serie A,D 1-1,1,1,0,63,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
784,Como,2024-12-30,0,,Lecce,it Serie A,W 2-0,2,0,+2,56,2,0,1,1,0,0,0,0,,0,0,0,0,Match Report
785,Como,2024-12-23,0,@,Inter,it Serie A,L 0-2,0,2,-2,38,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
786,Como,2024-12-15,0,,Roma,it Serie A,W 2-0,2,0,+2,38,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
787,Como,2024-12-08,0,@,Venezia,it Serie A,D 2-2,2,2,0,65,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
788,Como,2024-11-24,0,,Fiorentina,it Serie A,L 0-2,0,2,-2,57,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
789,Como,2024-11-07,0,@,Genoa,it Serie A,D 1-1,1,1,0,58,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
790,Como,2024-11-04,0,@,Empoli,it Serie A,L 0-1,0,1,-1,58,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
791,Como,2024-10-25,0,@,Torino,it Serie A,L 0-1,0,1,-1,68,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
792,Como,2024-10-19,0,,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
793,Como,2024-09-14,0,,Bologna,it Serie A,D 2-2,2,2,0,44,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
794,Como,2024-09-01,0,@,Udinese,it Serie A,L 0-1,0,1,-1,56,0,0,1,1,0,0,0,0,,0,0,0,0,Match Report
795,Como,2024-08-26,0,@,Cagliari,it Serie A,D 1-1,1,1,0,53,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
796,Como,2024-08-19,0,@,Juventus,it Serie A,L 0-3,0,3,-3,43,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
797,Villarreal,2025-04-06,0,,Athletic Club,es La Liga,D 0-0,0,0,0,56,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
798,Villarreal,2025-03-30,0,@,Getafe,es La Liga,W 2-1,2,1,+1,45,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
799,Villarreal,2025-03-15,0,,Real Madrid,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
800,Villarreal,2025-03-08,0,@,Alavés,es La Liga,L 0-1,0,1,-1,68,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
801,Villarreal,2025-02-22,0,@,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
802,Villarreal,2025-02-15,0,,Valencia,es La Liga,D 1-1,1,1,0,50,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
803,Villarreal,2025-02-08,0,@,Las Palmas,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
804,Villarreal,2025-02-01,0,,Valladolid,es La Liga,W 5-1,5,1,+4,53,5,0,0,0,0,0,0,0,,0,0,0,0,Match Report
805,Villarreal,2025-01-25,0,@,Atlético Madrid,es La Liga,D 1-1,1,1,0,41,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
806,Villarreal,2025-01-20,0,,Mallorca,es La Liga,W 4-0,4,0,+4,43,4,0,0,0,0,0,0,0,,0,0,0,0,Match Report
807,Villarreal,2025-01-13,0,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,44,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
808,Villarreal,2024-12-18,0,,Rayo Vallecano,es La Liga,D 1-1,1,1,0,45,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
809,Villarreal,2024-12-15,0,,Betis,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,0,0,0,0,,0,1,0,0,Match Report
810,Villarreal,2024-12-08,0,@,Athletic Club,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
811,Villarreal,2024-12-01,0,,Girona,es La Liga,D 2-2,2,2,0,36,2,0,0,0,0,0,0,0,,0,0,1,0,Match Report
812,Villarreal,2024-11-09,0,,Alavés,es La Liga,W 3-0,3,0,+3,63,2,1,1,0,0,0,0,0,,0,0,0,0,Match Report
813,Villarreal,2024-10-05,0,@,Real Madrid,es La Liga,L 0-2,0,2,-2,45,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
814,Villarreal,2024-09-30,0,,Las Palmas,es La Liga,W 3-1,3,1,+2,43,3,0,1,1,0,0,0,0,,0,0,0,0,Match Report
815,Villarreal,2024-09-26,0,@,Espanyol,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
816,Villarreal,2024-09-22,0,,Barcelona,es La Liga,L 1-5,1,5,-4,37,1,0,0,0,1,0,0,1,,0,0,1,0,Match Report
817,Villarreal,2024-09-14,0,@,Mallorca,es La Liga,W 2-1,2,1,+1,47,2,0,0,0,0,0,0,0,,0,0,0,1,Match Report
818,Villarreal,2024-08-31,0,@,Valencia,es La Liga,D 1-1,1,1,0,42,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
819,Villarreal,2024-08-26,0,,Celta Vigo,es La Liga,W 4-3,4,3,+1,45,3,0,1,1,0,0,0,0,,0,1,1,0,Match Report
820,Villarreal,2024-08-23,0,@,Sevilla,es La Liga,W 2-1,2,1,+1,41,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
821,Villarreal,2024-08-19,0,,Atlético Madrid,es La Liga,D 2-2,2,2,0,44,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
822,Mallorca,2025-04-05,0,,Celta Vigo,es La Liga,L 1-2,1,2,-1,45,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
823,Mallorca,2025-03-30,0,@,Valencia,es La Liga,L 0-1,0,1,-1,56,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
824,Mallorca,2025-03-15,0,,Espanyol,es La Liga,W 2-1,2,1,+1,62,1,1,2,1,0,0,0,0,,0,0,0,1,Match Report
825,Mallorca,2025-03-09,0,@,Athletic Club,es La Liga,D 1-1,1,1,0,45,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
826,Mallorca,2025-03-02,0,,Alavés,es La Liga,D 1-1,1,1,0,44,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
827,Mallorca,2025-02-24,0,@,Sevilla,es La Liga,D 1-1,1,1,0,47,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
828,Mallorca,2025-02-16,0,,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,0,0,0,0,,0,0,0,0,Match Report
829,Mallorca,2025-02-10,0,,Osasuna,es La Liga,D 1-1,1,1,0,46,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
830,Mallorca,2025-02-01,0,@,Atlético Madrid,es La Liga,L 0-2,0,2,-2,47,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
831,Mallorca,2025-01-25,0,,Betis,es La Liga,L 0-1,0,1,-1,48,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
832,Mallorca,2025-01-20,0,@,Villarreal,es La Liga,L 0-4,0,4,-4,57,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
833,Mallorca,2024-12-21,0,@,Getafe,es La Liga,W 1-0,1,0,+1,46,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
834,Mallorca,2024-12-14,0,,Girona,es La Liga,W 2-1,2,1,+1,32,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
835,Mallorca,2024-12-06,0,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
836,Mallorca,2024-11-10,0,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,53,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
837,Mallorca,2024-11-01,0,@,Alavés,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
838,Mallorca,2024-10-28,0,,Athletic Club,es La Liga,D 0-0,0,0,0,33,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
839,Mallorca,2024-10-20,0,,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,51,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
840,Mallorca,2024-10-05,0,@,Espanyol,es La Liga,L 1-2,1,2,-1,60,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
841,Mallorca,2024-09-27,0,@,Valladolid,es La Liga,W 2-1,2,1,+1,49,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
842,Mallorca,2024-09-23,0,@,Betis,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
843,Mallorca,2024-09-17,0,,Real Sociedad,es La Liga,W 1-0,1,0,+1,40,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
844,Mallorca,2024-09-14,0,,Villarreal,es La Liga,L 1-2,1,2,-1,53,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
845,Mallorca,2024-08-31,0,@,Leganés,es La Liga,W 1-0,1,0,+1,46,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
846,Mallorca,2024-08-27,0,,Sevilla,es La Liga,D 0-0,0,0,0,45,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
847,Mallorca,2024-08-24,0,@,Osasuna,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
848,Mallorca,2024-08-18,0,,Real Madrid,es La Liga,D 1-1,1,1,0,34,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
849,Holstein Kiel,2025-04-05,0,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,42,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
850,Holstein Kiel,2025-03-29,0,,Werder Bremen,de Bundesliga,L 0-3,0,3,-3,55,0,0,0,0,0,0,0,0,,0,1,0,0,Match Report
851,Holstein Kiel,2025-03-16,0,@,Heidenheim,de Bundesliga,L 1-3,1,3,-2,61,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
852,Holstein Kiel,2025-03-08,0,,Stuttgart,de Bundesliga,D 2-2,2,2,0,52,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
853,Holstein Kiel,2025-03-02,0,@,Union Berlin,de Bundesliga,W 1-0,1,0,+1,48,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
854,Holstein Kiel,2025-02-22,0,,Leverkusen,de Bundesliga,L 0-2,0,2,-2,38,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
855,Holstein Kiel,2025-02-16,0,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,1,0,1,0,100.0,0,0,1,0,Match Report
856,Holstein Kiel,2025-02-09,0,,Bochum,de Bundesliga,D 2-2,2,2,0,48,1,1,1,0,0,0,0,0,,0,0,0,0,Match Report
857,Holstein Kiel,2025-02-01,0,@,Bayern Munich,de Bundesliga,L 3-4,3,4,-1,29,3,0,0,0,0,0,0,0,,0,0,0,0,Match Report
858,Holstein Kiel,2025-01-24,0,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,0,0,0,0,,0,0,1,0,Match Report
859,Holstein Kiel,2025-01-18,0,,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
860,Holstein Kiel,2025-01-14,0,,Dortmund,de Bundesliga,W 4-2,4,2,+2,25,4,0,0,0,0,0,0,0,,0,0,0,0,Match Report
861,Holstein Kiel,2025-01-11,0,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,49,2,0,0,0,0,0,0,0,,0,1,0,1,Match Report
862,Holstein Kiel,2024-12-21,0,,Augsburg,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,0,0,0,0,,0,0,0,0,Match Report
863,Holstein Kiel,2024-12-14,0,@,Gladbach,de Bundesliga,L 1-4,1,4,-3,44,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
864,Holstein Kiel,2024-11-29,0,@,St. Pauli,de Bundesliga,L 1-3,1,3,-2,51,1,0,1,1,0,0,0,0,,0,0,0,0,Match Report
865,Holstein Kiel,2024-11-09,0,@,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
866,Holstein Kiel,2024-11-02,0,,Heidenheim,de Bundesliga,W 1-0,1,0,+1,45,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
867,Holstein Kiel,2024-10-26,0,@,Stuttgart,de Bundesliga,L 1-2,1,2,-1,42,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
868,Holstein Kiel,2024-10-20,0,,Union Berlin,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
869,Holstein Kiel,2024-10-05,0,@,Leverkusen,de Bundesliga,D 2-2,2,2,0,26,1,1,1,0,0,0,0,0,,0,0,0,0,Match Report
870,Holstein Kiel,2024-09-29,0,,Eint Frankfurt,de Bundesliga,L 2-4,2,4,-2,47,1,1,1,0,0,0,0,0,,0,0,2,0,Match Report
871,Holstein Kiel,2024-09-21,0,@,Bochum,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
872,Holstein Kiel,2024-08-31,0,,Wolfsburg,de Bundesliga,L 0-2,0,2,-2,54,0,0,0,0,0,0,0,0,,0,1,0,0,Match Report
873,Athletic Club,2025-04-06,0,@,Villarreal,es La Liga,D 0-0,0,0,0,44,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
874,Athletic Club,2025-03-30,0,,Osasuna,es La Liga,D 0-0,0,0,0,61,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
875,Athletic Club,2025-03-16,0,@,Sevilla,es La Liga,W 1-0,1,0,+1,39,1,0,1,1,0,0,0,0,,0,0,0,0,Match Report
876,Athletic Club,2025-03-09,0,,Mallorca,es La Liga,D 1-1,1,1,0,55,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
877,Athletic Club,2025-03-01,0,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
878,Athletic Club,2025-02-23,0,,Valladolid,es La Liga,W 7-1,7,1,+6,57,7,0,0,0,0,0,0,0,,0,0,0,0,Match Report
879,Athletic Club,2025-02-16,0,@,Espanyol,es La Liga,D 1-1,1,1,0,61,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
880,Athletic Club,2025-02-08,0,,Girona,es La Liga,W 3-0,3,0,+3,45,2,1,1,0,0,0,0,0,,0,0,0,0,Match Report
881,Athletic Club,2025-02-02,0,@,Betis,es La Liga,D 2-2,2,2,0,47,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
882,Athletic Club,2025-01-26,0,,Leganés,es La Liga,D 0-0,0,0,0,68,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
883,Athletic Club,2025-01-19,0,@,Celta Vigo,es La Liga,W 2-1,2,1,+1,41,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
884,Athletic Club,2024-12-21,0,@,Osasuna,es La Liga,W 2-1,2,1,+1,47,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
885,Athletic Club,2024-12-15,0,@,Alavés,es La Liga,D 1-1,1,1,0,48,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
886,Athletic Club,2024-12-08,0,,Villarreal,es La Liga,W 2-0,2,0,+2,42,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
887,Athletic Club,2024-12-04,0,,Real Madrid,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,1,0,1,0,100.0,0,0,0,0,Match Report
888,Athletic Club,2024-12-01,0,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,52,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
889,Athletic Club,2024-11-24,0,,Real Sociedad,es La Liga,W 1-0,1,0,+1,41,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
890,Athletic Club,2024-11-10,0,@,Valladolid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
891,Athletic Club,2024-11-03,0,,Betis,es La Liga,D 1-1,1,1,0,50,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
892,Athletic Club,2024-10-28,0,@,Mallorca,es La Liga,D 0-0,0,0,0,67,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
893,Athletic Club,2024-10-19,0,,Espanyol,es La Liga,W 4-1,4,1,+3,56,4,0,0,0,0,0,0,0,,0,1,0,0,Match Report
894,Athletic Club,2024-09-29,0,,Sevilla,es La Liga,D 1-1,1,1,0,39,1,0,0,0,0,0,0,0,,0,0,0,1,Match Report
895,Athletic Club,2024-09-19,0,@,Leganés,es La Liga,W 2-0,2,0,+2,52,2,0,0,0,0,0,0,0,,0,0,0,0,Match Report
896,Athletic Club,2024-09-15,0,@,Las Palmas,es La Liga,W 3-2,3,2,+1,36,3,0,0,0,0,0,0,0,,0,1,1,0,Match Report
897,Athletic Club,2024-08-31,0,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,53,0,0,0,0,0,0,0,0,,0,0,0,0,Match Report
898,Athletic Club,2024-08-28,0,,Valencia,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
899,Athletic Club,2024-08-24,0,@,Barcelona,es La Liga,L 1-2,1,2,-1,36,0,1,1,0,0,0,0,0,,0,0,0,0,Match Report
900,Athletic Club,2024-08-15,0,,Getafe,es La Liga,D 1-1,1,1,0,68,1,0,0,0,0,0,0,0,,0,0,1,0,Match Report
901,Gladbach,2025-04-06,0,@,St. Pauli,de Bundesliga,D 1-1,1,1,0,37,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
902,Gladbach,2025-03-29,0,,RB Leipzig,de Bundesliga,W 1-0,1,0,+1,40,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
903,Gladbach,2025-03-07,0,,Mainz 05,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
904,Gladbach,2025-03-01,0,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,55,3,0,0,0,0,0,0,0,,0,0,0,0,Match Report
905,Gladbach,2025-02-22,0,,Augsburg,de Bundesliga,L 0-3,0,3,-3,49,0,0,0,0,0,0,0,0,,0,0,1,0,Match Report
906,Gladbach,2025-02-08,0,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,53,1,0,0,0,0,0,0,0,,0,0,0,0,Match Report
907,Gladbach,2025-02-01,0,@,Stuttgart,de Bundesliga,W 2-1,2,1,+1,46,2,0,0,0,0,0,0,0,,0,0,0,1,Match Report
908,Gladbach,2025-01-25,0,,Bochum,de Bundesliga,W 3-0,3,0,+3,57,3,0,1,1,0,0,0,0,,0,0,0,0,Match Report
909,Gladbach,2024-12-14,0,,Holstein Kiel,de Bundesliga,W 4-1,4,1,+3,56,4,0,0,0,0,0,0,0,,0,0,0,0,Match Report
