Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
604,Strasbourg,2024-08-30,10,@,Lyon,fr Ligue 1,L 3-4,3,4,-1,52,3,0,0,0,10,20.0,25.3,Match Report
605,Cagliari,2024-12-28,10,,Inter,it Serie A,L 0-3,0,3,-3,35,0,0,0,0,10,80.0,55.1,Match Report
606,Cagliari,2024-11-24,10,@,Genoa,it Serie A,D 2-2,2,2,0,48,0,2,2,0,10,50.0,37.9,Match Report
607,Cagliari,2024-11-09,10,,Milan,it Serie A,D 3-3,3,3,0,45,3,0,0,0,10,30.0,31.0,Match Report
608,Cagliari,2024-10-25,10,@,Udinese,it Serie A,L 0-2,0,2,-2,36,0,0,0,0,10,60.0,48.5,Match Report
609,Lille,2024-12-06,10,,Brest,fr Ligue 1,W 3-1,3,1,+2,61,2,1,1,0,10,0.0,17.6,Match Report
610,Brentford,2024-10-05,10,,Wolves,eng Premier League,W 5-3,5,3,+2,44,4,1,1,0,10,50.0,42.3,Match Report
611,Brentford,2024-09-21,10,@,Tottenham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,10,20.0,25.6,Match Report
612,Chelsea,2024-09-14,10,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,66,1,0,0,0,10,10.0,15.0,Match Report
613,Saint-Étienne,2025-01-12,10,@,Paris S-G,fr Ligue 1,L 1-2,1,2,-1,41,1,0,0,0,10,40.0,31.0,Match Report
614,Saint-Étienne,2024-08-31,10,@,Brest,fr Ligue 1,L 0-4,0,4,-4,53,0,0,0,0,10,30.0,36.7,Match Report
615,Saint-Étienne,2024-08-24,10,,Le Havre,fr Ligue 1,L 0-2,0,2,-2,59,0,0,0,0,10,20.0,27.5,Match Report
616,Everton,2024-12-26,10,@,Manchester City,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,10,40.0,36.4,Match Report
617,Everton,2024-09-14,10,@,Aston Villa,eng Premier League,L 2-3,2,3,-1,28,2,0,0,0,10,30.0,32.2,Match Report
618,Napoli,2025-03-30,10,,Milan,it Serie A,W 2-1,2,1,+1,51,2,0,0,0,10,30.0,36.1,Match Report
619,Napoli,2024-11-03,10,,Atalanta,it Serie A,L 0-3,0,3,-3,50,0,0,0,0,10,0.0,26.1,Match Report
620,Napoli,2024-10-04,10,,Como,it Serie A,W 3-1,3,1,+2,41,2,1,1,0,10,10.0,21.1,Match Report
621,Napoli,2024-08-25,10,,Bologna,it Serie A,W 3-0,3,0,+3,39,3,0,0,0,10,30.0,33.3,Match Report
622,Lyon,2025-02-16,10,@,Montpellier,fr Ligue 1,W 4-1,4,1,+3,62,4,0,0,0,10,30.0,29.5,Match Report
623,Lyon,2025-02-02,10,@,Marseille,fr Ligue 1,L 2-3,2,3,-1,37,1,1,1,0,10,20.0,20.5,Match Report
624,Nantes,2025-03-02,10,@,Marseille,fr Ligue 1,L 0-2,0,2,-2,26,0,0,0,0,10,40.0,28.7,Match Report
625,Nantes,2025-01-04,10,@,Lille,fr Ligue 1,D 1-1,1,1,0,29,0,1,1,0,10,90.0,54.7,Match Report
626,Nantes,2024-11-30,10,@,Paris S-G,fr Ligue 1,D 1-1,1,1,0,16,1,0,0,0,10,100.0,58.4,Match Report
627,Atlético Madrid,2025-04-06,10,@,Sevilla,es La Liga,W 2-1,2,1,+1,56,1,1,1,0,10,40.0,33.0,Match Report
628,Atlético Madrid,2025-03-01,10,,Athletic Club,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,10,30.0,33.9,Match Report
629,Atlético Madrid,2025-01-25,10,,Villarreal,es La Liga,D 1-1,1,1,0,59,1,0,0,0,10,30.0,32.2,Match Report
630,Atlético Madrid,2024-09-29,10,,Real Madrid,es La Liga,D 1-1,1,1,0,51,1,0,0,0,10,30.0,30.4,Match Report
631,Atlético Madrid,2024-09-15,10,,Valencia,es La Liga,W 3-0,3,0,+3,53,3,0,0,0,10,40.0,42.0,Match Report
632,Milan,2025-03-08,10,@,Lecce,it Serie A,W 3-2,3,2,+1,70,1,1,1,0,10,20.0,29.8,Match Report
633,Milan,2025-01-14,10,@,Como,it Serie A,W 2-1,2,1,+1,48,2,0,0,0,10,40.0,43.3,Match Report
634,Milan,2024-11-02,10,@,Monza,it Serie A,W 1-0,1,0,+1,56,1,0,0,0,10,30.0,29.9,Match Report
635,Milan,2024-09-27,10,,Lecce,it Serie A,W 3-0,3,0,+3,57,3,0,0,0,10,30.0,37.0,Match Report
636,Real Sociedad,2025-01-13,10,,Villarreal,es La Liga,W 1-0,1,0,+1,56,1,0,0,0,10,60.0,44.3,Match Report
637,Nott'ham Forest,2025-04-05,10,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,10,30.0,28.9,Match Report
638,Nott'ham Forest,2024-12-21,10,@,Brentford,eng Premier League,W 2-0,2,0,+2,36,2,0,0,0,10,90.0,60.1,Match Report
639,Nott'ham Forest,2024-12-07,10,@,Manchester Utd,eng Premier League,W 3-2,3,2,+1,29,3,0,0,0,10,100.0,66.5,Match Report
640,Nott'ham Forest,2024-12-04,10,@,Manchester City,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,10,40.0,32.0,Match Report
641,Parma,2024-10-19,10,@,Como,it Serie A,D 1-1,1,1,0,39,1,0,0,0,10,30.0,31.9,Match Report
642,Parma,2024-09-21,10,@,Lecce,it Serie A,D 2-2,2,2,0,61,2,0,0,0,10,30.0,32.4,Match Report
643,Parma,2024-08-31,10,@,Napoli,it Serie A,L 1-2,1,2,-1,45,0,1,1,0,10,50.0,35.5,Match Report
644,Eint Frankfurt,2025-03-29,10,,Stuttgart,de Bundesliga,W 1-0,1,0,+1,46,1,0,0,0,10,30.0,29.4,Match Report
645,Eint Frankfurt,2025-01-17,10,,Dortmund,de Bundesliga,W 2-0,2,0,+2,33,2,0,0,0,10,10.0,17.2,Match Report
646,Eint Frankfurt,2024-08-31,10,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,50,3,0,0,0,10,50.0,38.9,Match Report
647,Celta Vigo,2024-08-16,10,,Alavés,es La Liga,W 2-1,2,1,+1,63,2,0,0,0,10,40.0,32.7,Match Report
648,Brest,2025-04-05,10,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,10,90.0,56.5,Match Report
649,Brest,2024-10-26,10,@,Reims,fr Ligue 1,W 2-1,2,1,+1,47,1,1,1,0,10,80.0,52.5,Match Report
650,Betis,2025-02-23,10,@,Getafe,es La Liga,W 2-1,2,1,+1,51,1,1,1,0,10,30.0,25.6,Match Report
651,Lens,2025-03-08,10,@,Marseille,fr Ligue 1,W 1-0,1,0,+1,25,1,0,0,0,10,50.0,34.2,Match Report
652,Lens,2024-11-02,10,@,Paris S-G,fr Ligue 1,L 0-1,0,1,-1,32,0,0,0,0,10,50.0,34.3,Match Report
653,Lens,2024-10-19,10,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,63,2,0,0,0,10,10.0,19.5,Match Report
654,Lens,2024-09-01,10,@,Monaco,fr Ligue 1,D 1-1,1,1,0,38,0,1,1,0,10,60.0,39.1,Match Report
655,Monaco,2024-09-14,10,@,Auxerre,fr Ligue 1,W 3-0,3,0,+3,59,3,0,0,0,10,10.0,21.8,Match Report
656,Fulham,2025-04-01,10,@,Arsenal,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,10,40.0,35.7,Match Report
657,Fulham,2024-08-16,10,@,Manchester Utd,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,10,20.0,23.1,Match Report
658,Lecce,2024-10-26,10,@,Napoli,it Serie A,L 0-1,0,1,-1,36,0,0,0,0,10,80.0,51.3,Match Report
659,Lecce,2024-10-20,10,,Fiorentina,it Serie A,L 0-6,0,6,-6,39,0,0,0,0,10,30.0,28.0,Match Report
660,Las Palmas,2025-03-09,9,@,Betis,es La Liga,L 0-1,0,1,-1,33,0,0,0,0,9,66.7,49.4,Match Report
661,Las Palmas,2025-02-16,9,@,Mallorca,es La Liga,L 1-3,1,3,-2,51,1,0,0,0,9,55.6,42.4,Match Report
662,Las Palmas,2024-09-01,9,@,Alavés,es La Liga,L 0-2,0,2,-2,70,0,0,0,0,9,11.1,22.1,Match Report
663,Hoffenheim,2025-04-05,9,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,9,44.4,32.2,Match Report
664,Hoffenheim,2025-03-09,9,,Heidenheim,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,9,88.9,57.2,Match Report
665,Hoffenheim,2024-09-14,9,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,40,1,0,0,0,9,11.1,22.3,Match Report
666,Osasuna,2025-03-02,9,,Valencia,es La Liga,D 3-3,3,3,0,51,2,1,1,0,9,77.8,49.8,Match Report
667,Osasuna,2024-11-09,9,@,Real Madrid,es La Liga,L 0-4,0,4,-4,32,0,0,0,0,9,55.6,42.9,Match Report
668,Osasuna,2024-09-24,9,@,Valencia,es La Liga,D 0-0,0,0,0,48,0,0,0,0,9,55.6,44.9,Match Report
669,Udinese,2025-03-30,9,@,Inter,it Serie A,L 1-2,1,2,-1,40,1,0,0,0,9,11.1,17.7,Match Report
670,Udinese,2024-10-30,9,@,Venezia,it Serie A,L 2-3,2,3,-1,43,2,0,0,0,9,55.6,40.7,Match Report
671,Udinese,2024-09-28,9,,Inter,it Serie A,L 2-3,2,3,-1,40,2,0,0,0,9,33.3,34.0,Match Report
672,Udinese,2024-08-18,9,@,Bologna,it Serie A,D 1-1,1,1,0,27,1,0,1,1,9,44.4,32.9,Match Report
673,Augsburg,2025-04-04,9,,Bayern Munich,de Bundesliga,L 1-3,1,3,-2,31,1,0,0,0,9,55.6,43.3,Match Report
674,Augsburg,2024-11-10,9,,Hoffenheim,de Bundesliga,D 0-0,0,0,0,44,0,0,0,0,9,22.2,27.7,Match Report
675,Hellas Verona,2025-04-06,9,@,Torino,it Serie A,D 1-1,1,1,0,39,1,0,0,0,9,100.0,66.7,Match Report
676,Hellas Verona,2025-03-31,9,,Parma,it Serie A,D 0-0,0,0,0,42,0,0,0,0,9,88.9,60.2,Match Report
677,Hellas Verona,2025-02-23,9,,Fiorentina,it Serie A,W 1-0,1,0,+1,43,1,0,0,0,9,77.8,52.7,Match Report
678,Hellas Verona,2025-02-15,9,@,Milan,it Serie A,L 0-1,0,1,-1,27,0,0,0,0,9,100.0,60.7,Match Report
679,Hellas Verona,2025-01-12,9,@,Napoli,it Serie A,L 0-2,0,2,-2,31,0,0,0,0,9,88.9,52.0,Match Report
680,Hellas Verona,2024-12-08,9,,Empoli,it Serie A,L 1-4,1,4,-3,50,1,0,0,0,9,77.8,56.4,Match Report
681,Hellas Verona,2024-10-04,9,,Venezia,it Serie A,W 2-1,2,1,+1,51,1,0,0,0,9,100.0,62.4,Match Report
682,Hellas Verona,2024-09-20,9,,Torino,it Serie A,L 2-3,2,3,-1,30,2,0,0,0,9,100.0,63.0,Match Report
683,Torino,2025-02-14,9,@,Bologna,it Serie A,L 2-3,2,3,-1,35,2,0,0,0,9,88.9,60.6,Match Report
684,Nice,2025-02-16,9,@,Le Havre,fr Ligue 1,W 3-1,3,1,+2,51,2,0,0,0,9,22.2,21.8,Match Report
685,Nice,2024-08-18,9,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,55,1,0,0,0,9,0.0,15.2,Match Report
686,Valladolid,2025-03-15,9,,Celta Vigo,es La Liga,L 0-1,0,1,-1,39,0,0,0,0,9,44.4,41.4,Match Report
687,Valladolid,2024-12-20,9,@,Girona,es La Liga,L 0-3,0,3,-3,30,0,0,0,0,9,77.8,55.4,Match Report
688,Valladolid,2024-09-24,9,@,Sevilla,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,9,100.0,67.1,Match Report
689,Arsenal,2025-01-25,9,@,Wolves,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,9,55.6,40.3,Match Report
690,Heidenheim,2025-02-01,9,,Dortmund,de Bundesliga,L 1-2,1,2,-1,37,1,0,0,0,9,11.1,21.6,Match Report
691,Heidenheim,2024-11-23,9,@,Leverkusen,de Bundesliga,L 2-5,2,5,-3,22,2,0,0,0,9,33.3,35.7,Match Report
692,Heidenheim,2024-10-06,9,,RB Leipzig,de Bundesliga,L 0-1,0,1,-1,45,0,0,0,0,9,33.3,42.9,Match Report
693,Manchester Utd,2025-01-26,9,@,Fulham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,9,88.9,55.0,Match Report
694,Barcelona,2024-11-10,9,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,69,0,0,0,0,9,22.2,30.0,Match Report
695,Barcelona,2024-11-03,9,,Espanyol,es La Liga,W 3-1,3,1,+2,76,3,0,0,0,9,0.0,19.3,Match Report
696,Barcelona,2024-10-06,9,@,Alavés,es La Liga,W 3-0,3,0,+3,71,3,0,0,0,9,44.4,34.1,Match Report
697,Monza,2025-03-02,9,,Torino,it Serie A,L 0-2,0,2,-2,53,0,0,0,0,9,0.0,9.7,Match Report
698,Monza,2025-02-16,9,,Lecce,it Serie A,D 0-0,0,0,0,56,0,0,0,0,9,44.4,31.3,Match Report
699,Monza,2024-11-10,9,,Lazio,it Serie A,L 0-1,0,1,-1,51,0,0,0,0,9,22.2,25.0,Match Report
700,Montpellier,2025-03-30,9,@,Auxerre,fr Ligue 1,L 0-1,0,1,-1,47,0,0,0,0,9,33.3,37.0,Match Report
701,Montpellier,2025-01-31,9,,Lens,fr Ligue 1,L 0-2,0,2,-2,49,0,0,0,0,9,44.4,38.7,Match Report
702,Montpellier,2025-01-17,9,,Monaco,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,9,88.9,51.0,Match Report
703,Montpellier,2025-01-12,9,,Angers,fr Ligue 1,L 1-3,1,3,-2,58,0,1,1,0,9,22.2,29.3,Match Report
704,Montpellier,2024-09-22,9,,Auxerre,fr Ligue 1,W 3-2,3,2,+1,54,3,0,0,0,9,66.7,52.0,Match Report
705,Villarreal,2024-12-08,9,@,Athletic Club,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,9,22.2,24.2,Match Report
706,Villarreal,2024-11-09,9,,Alavés,es La Liga,W 3-0,3,0,+3,63,2,1,1,0,9,33.3,27.3,Match Report
707,Villarreal,2024-10-20,9,,Getafe,es La Liga,D 1-1,1,1,0,56,1,0,0,0,9,11.1,21.3,Match Report
708,Villarreal,2024-10-05,9,@,Real Madrid,es La Liga,L 0-2,0,2,-2,45,0,0,0,0,9,0.0,15.0,Match Report
709,Mallorca,2024-09-17,9,,Real Sociedad,es La Liga,W 1-0,1,0,+1,40,0,1,1,0,9,44.4,43.0,Match Report
710,Holstein Kiel,2025-01-24,9,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,9,33.3,39.3,Match Report
711,Holstein Kiel,2025-01-18,9,,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,9,55.6,43.9,Match Report
712,Holstein Kiel,2025-01-14,9,,Dortmund,de Bundesliga,W 4-2,4,2,+2,25,4,0,0,0,9,66.7,56.0,Match Report
713,Holstein Kiel,2025-01-11,9,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,49,2,0,0,0,9,44.4,39.3,Match Report
714,Holstein Kiel,2024-12-14,9,@,Gladbach,de Bundesliga,L 1-4,1,4,-3,44,1,0,0,0,9,77.8,53.6,Match Report
715,Holstein Kiel,2024-11-24,9,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,38,0,0,0,0,9,44.4,38.3,Match Report
716,Athletic Club,2025-02-02,9,@,Betis,es La Liga,D 2-2,2,2,0,47,2,0,0,0,9,88.9,62.9,Match Report
717,Athletic Club,2024-10-06,9,@,Girona,es La Liga,L 1-2,1,2,-1,34,1,0,2,2,9,88.9,60.8,Match Report
718,Athletic Club,2024-09-29,9,,Sevilla,es La Liga,D 1-1,1,1,0,39,1,0,0,0,9,77.8,54.9,Match Report
719,Athletic Club,2024-09-15,9,@,Las Palmas,es La Liga,W 3-2,3,2,+1,36,3,0,0,0,9,88.9,58.0,Match Report
720,Gladbach,2025-03-01,9,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,55,3,0,0,0,9,33.3,29.7,Match Report
721,Gladbach,2025-01-14,9,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,9,0.0,11.4,Match Report
722,Gladbach,2024-12-21,9,@,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,9,11.1,16.0,Match Report
723,Gladbach,2024-10-04,9,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,65,1,0,0,0,9,11.1,29.6,Match Report
724,Gladbach,2024-08-31,9,@,Bochum,de Bundesliga,W 2-0,2,0,+2,61,2,0,0,0,9,33.3,33.3,Match Report
725,Southampton,2025-02-25,9,@,Chelsea,eng Premier League,L 0-4,0,4,-4,40,0,0,0,0,9,100.0,65.2,Match Report
726,Southampton,2025-02-01,9,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,43,2,0,0,0,9,100.0,66.9,Match Report
727,Southampton,2024-12-26,9,,West Ham,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,9,100.0,69.1,Match Report
728,Southampton,2024-11-02,9,,Everton,eng Premier League,W 1-0,1,0,+1,65,1,0,0,0,9,22.2,20.4,Match Report
729,Southampton,2024-08-31,9,@,Brentford,eng Premier League,L 1-3,1,3,-2,63,1,0,0,0,9,0.0,10.1,Match Report
730,Southampton,2024-08-24,9,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,64,0,0,0,0,9,0.0,20.1,Match Report
731,Tottenham,2024-09-29,9,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,9,0.0,17.9,Match Report
732,Toulouse,2024-08-31,9,,Marseille,fr Ligue 1,L 1-3,1,3,-2,24,1,0,0,0,9,66.7,43.2,Match Report
733,Fiorentina,2025-03-09,9,@,Napoli,it Serie A,L 1-2,1,2,-1,51,1,0,0,0,9,33.3,35.8,Match Report
734,Fiorentina,2025-02-23,9,@,Hellas Verona,it Serie A,L 0-1,0,1,-1,57,0,0,0,0,9,22.2,25.3,Match Report
735,Fiorentina,2024-12-29,9,@,Juventus,it Serie A,D 2-2,2,2,0,38,2,0,0,0,9,22.2,31.8,Match Report
736,Fiorentina,2024-11-03,9,@,Torino,it Serie A,W 1-0,1,0,+1,46,1,0,0,0,9,33.3,37.1,Match Report
737,Fiorentina,2024-10-31,9,@,Genoa,it Serie A,W 1-0,1,0,+1,67,1,0,0,0,9,44.4,38.3,Match Report
738,Fiorentina,2024-10-06,9,,Milan,it Serie A,W 2-1,2,1,+1,41,2,0,1,1,9,66.7,50.9,Match Report
739,Crystal Palace,2025-01-26,9,,Brentford,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,9,66.7,53.1,Match Report
740,Crystal Palace,2024-10-27,9,,Tottenham,eng Premier League,W 1-0,1,0,+1,34,1,0,0,0,9,100.0,69.1,Match Report
741,Bournemouth,2025-01-04,9,,Everton,eng Premier League,W 1-0,1,0,+1,58,1,0,0,0,9,77.8,56.0,Match Report
742,Bournemouth,2024-11-30,9,@,Wolves,eng Premier League,W 4-2,4,2,+2,40,1,3,3,0,9,44.4,39.1,Match Report
743,Bournemouth,2024-08-25,9,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,9,77.8,56.1,Match Report
744,Wolfsburg,2025-03-08,9,,St. Pauli,de Bundesliga,D 1-1,1,1,0,57,0,1,1,0,9,66.7,51.4,Match Report
745,Wolfsburg,2025-02-08,9,,Leverkusen,de Bundesliga,D 0-0,0,0,0,41,0,0,0,0,9,33.3,24.6,Match Report
746,Wolfsburg,2024-10-05,9,@,Bochum,de Bundesliga,W 3-1,3,1,+2,42,3,0,1,1,9,22.2,21.3,Match Report
747,Wolfsburg,2024-09-28,9,,Stuttgart,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,9,55.6,43.1,Match Report
748,Wolfsburg,2024-08-25,9,,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,30,1,1,1,0,9,11.1,13.2,Match Report
749,Real Madrid,2025-03-01,9,@,Betis,es La Liga,L 1-2,1,2,-1,58,1,0,0,0,9,11.1,17.2,Match Report
750,St. Pauli,2024-10-18,9,@,Dortmund,de Bundesliga,L 1-2,1,2,-1,26,1,0,0,0,9,66.7,51.6,Match Report
751,St. Pauli,2024-08-30,9,@,Union Berlin,de Bundesliga,L 0-1,0,1,-1,61,0,0,0,0,9,33.3,29.2,Match Report
752,Marseille,2024-09-29,9,@,Strasbourg,fr Ligue 1,L 0-1,0,1,-1,59,0,0,0,0,9,33.3,24.1,Match Report
753,Stuttgart,2025-03-29,9,@,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,54,0,0,0,0,9,55.6,40.7,Match Report
754,Auxerre,2024-12-01,9,@,Toulouse,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,9,77.8,49.4,Match Report
755,Auxerre,2024-09-01,9,@,Le Havre,fr Ligue 1,L 1-3,1,3,-2,50,1,0,0,0,9,33.3,36.3,Match Report
756,Le Havre,2025-01-12,9,,Lens,fr Ligue 1,L 1-2,1,2,-1,31,1,0,0,0,9,55.6,34.8,Match Report
757,Le Havre,2025-01-05,9,@,Marseille,fr Ligue 1,L 1-5,1,5,-4,30,1,0,0,0,9,0.0,15.0,Match Report
758,Werder Bremen,2025-04-05,9,,Eint Frankfurt,de Bundesliga,W 2-0,2,0,+2,38,2,0,0,0,9,33.3,28.7,Match Report
759,Werder Bremen,2025-03-08,9,@,Leverkusen,de Bundesliga,W 2-0,2,0,+2,28,2,0,0,0,9,22.2,19.9,Match Report
760,Werder Bremen,2025-01-31,9,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,38,1,0,1,1,9,11.1,14.9,Match Report
761,Genoa,2025-03-14,9,,Lecce,it Serie A,W 2-1,2,1,+1,44,2,0,0,0,9,44.4,37.2,Match Report
762,Genoa,2025-02-17,9,,Venezia,it Serie A,W 2-0,2,0,+2,51,2,0,0,0,9,44.4,32.4,Match Report
763,Genoa,2025-01-05,9,@,Lecce,it Serie A,D 0-0,0,0,0,37,0,0,0,0,9,55.6,41.9,Match Report
764,Genoa,2024-09-28,9,,Juventus,it Serie A,L 0-3,0,3,-3,35,0,0,0,0,9,11.1,23.7,Match Report
765,Angers,2025-02-16,9,@,Reims,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,9,88.9,59.3,Match Report
766,Angers,2025-01-19,9,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,48,1,0,0,0,9,22.2,25.4,Match Report
767,Angers,2024-11-24,9,@,Auxerre,fr Ligue 1,L 0-1,0,1,-1,52,0,0,0,0,9,33.3,34.4,Match Report
768,Angers,2024-09-29,9,,Reims,fr Ligue 1,L 1-3,1,3,-2,53,1,0,0,0,9,11.1,24.1,Match Report
769,Lazio,2025-04-06,9,@,Atalanta,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,9,22.2,21.8,Match Report
770,Lazio,2024-12-01,9,@,Parma,it Serie A,L 1-3,1,3,-2,72,1,0,0,0,9,0.0,11.7,Match Report
771,Getafe,2025-03-02,9,@,Leganés,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,9,100.0,63.2,Match Report
772,Getafe,2025-01-12,9,@,Las Palmas,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,9,100.0,69.7,Match Report
773,Union Berlin,2025-03-02,9,,Holstein Kiel,de Bundesliga,L 0-1,0,1,-1,52,0,0,0,0,9,44.4,36.9,Match Report
774,Union Berlin,2024-10-20,9,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,9,44.4,38.0,Match Report
775,Union Berlin,2024-08-24,9,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,47,1,0,0,0,9,66.7,50.1,Match Report
776,West Ham,2024-12-16,9,@,Bournemouth,eng Premier League,D 1-1,1,1,0,48,0,1,1,0,9,77.8,54.9,Match Report
777,Leganés,2025-01-11,9,@,Espanyol,es La Liga,D 1-1,1,1,0,47,1,0,0,0,9,100.0,67.0,Match Report
778,Leganés,2024-12-22,9,,Villarreal,es La Liga,L 2-5,2,5,-3,36,1,1,1,0,9,100.0,68.4,Match Report
779,Leganés,2024-08-28,9,@,Valladolid,es La Liga,D 0-0,0,0,0,42,0,0,0,0,9,100.0,73.6,Match Report
780,Leganés,2024-08-25,9,,Las Palmas,es La Liga,W 2-1,2,1,+1,39,2,0,1,1,9,88.9,66.8,Match Report
781,Reims,2024-12-14,9,,Monaco,fr Ligue 1,D 0-0,0,0,0,36,0,0,0,0,9,44.4,33.2,Match Report
782,Reims,2024-12-08,9,@,Strasbourg,fr Ligue 1,D 0-0,0,0,0,52,0,0,0,0,9,33.3,23.6,Match Report
783,Reims,2024-08-17,9,,Lille,fr Ligue 1,L 0-2,0,2,-2,32,0,0,0,0,9,88.9,59.6,Match Report
784,Liverpool,2024-12-04,9,@,Newcastle Utd,eng Premier League,D 3-3,3,3,0,58,3,0,0,0,9,33.3,25.3,Match Report
785,Liverpool,2024-10-27,9,@,Arsenal,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,9,22.2,23.7,Match Report
786,Liverpool,2024-10-20,9,,Chelsea,eng Premier League,W 2-1,2,1,+1,43,1,1,1,0,9,44.4,33.9,Match Report
787,Aston Villa,2025-02-25,9,@,Crystal Palace,eng Premier League,L 1-4,1,4,-3,64,1,0,0,0,9,55.6,44.3,Match Report
788,Aston Villa,2024-10-26,9,,Bournemouth,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,9,55.6,41.9,Match Report
789,Aston Villa,2024-08-24,9,,Arsenal,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,9,22.2,25.0,Match Report
790,Wolves,2025-01-06,9,,Nott'ham Forest,eng Premier League,L 0-3,0,3,-3,60,0,0,0,0,9,0.0,14.4,Match Report
791,Wolves,2024-10-26,9,@,Brighton,eng Premier League,D 2-2,2,2,0,49,2,0,0,0,9,55.6,40.6,Match Report
792,Wolves,2024-10-20,9,,Manchester City,eng Premier League,L 1-2,1,2,-1,23,1,0,0,0,9,100.0,67.8,Match Report
793,Alavés,2024-11-09,9,@,Villarreal,es La Liga,L 0-3,0,3,-3,38,0,0,0,0,9,22.2,27.1,Match Report
794,Alavés,2024-09-24,9,@,Real Madrid,es La Liga,L 2-3,2,3,-1,32,2,0,0,0,9,100.0,66.8,Match Report
795,Alavés,2024-08-16,9,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,37,1,0,0,0,9,66.7,45.7,Match Report
796,Girona,2025-03-15,9,,Valencia,es La Liga,D 1-1,1,1,0,57,1,0,0,0,9,33.3,28.7,Match Report
797,Girona,2025-02-08,9,@,Athletic Club,es La Liga,L 0-3,0,3,-3,55,0,0,0,0,9,22.2,24.9,Match Report
798,Girona,2024-10-19,9,,Real Sociedad,es La Liga,L 0-1,0,1,-1,47,0,0,0,0,9,44.4,41.4,Match Report
799,Atalanta,2024-10-20,9,@,Venezia,it Serie A,W 2-0,2,0,+2,57,2,0,0,0,9,88.9,62.9,Match Report
800,Rayo Vallecano,2025-01-26,9,,Girona,es La Liga,W 2-1,2,1,+1,57,2,0,0,0,9,22.2,22.4,Match Report
801,Rayo Vallecano,2025-01-19,9,@,Osasuna,es La Liga,D 1-1,1,1,0,48,1,0,0,0,9,33.3,33.1,Match Report
802,Rayo Vallecano,2025-01-10,9,,Celta Vigo,es La Liga,W 2-1,2,1,+1,50,2,0,0,0,9,77.8,58.0,Match Report
803,Rayo Vallecano,2024-09-16,9,,Osasuna,es La Liga,W 3-1,3,1,+2,65,3,0,0,0,9,22.2,31.4,Match Report
