Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
96,Atalanta,2024-08-19,14,@,Lecce,it Serie A,W 4-0,4,0,+4,52,3,1,1,0,14,92.9,56.9,Match Report
97,Leicester City,2024-12-03,14,,West Ham,eng Premier League,W 3-1,3,1,+2,39,3,0,0,0,14,35.7,26.1,Match Report
98,Leicester City,2024-10-05,14,,Bournemouth,eng Premier League,W 1-0,1,0,+1,45,1,0,0,0,14,71.4,48.3,Match Report
99,Freiburg,2024-12-13,14,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,53,3,0,0,0,14,71.4,46.6,Match Report
100,RB Leipzig,2024-10-06,14,@,Heidenheim,de Bundesliga,W 1-0,1,0,+1,55,1,0,0,0,14,42.9,37.6,Match Report
101,Venezia,2025-04-06,14,@,Lecce,it Serie A,D 1-1,1,1,0,50,0,0,0,0,14,64.3,44.1,Match Report
102,Venezia,2025-03-01,14,@,Atalanta,it Serie A,D 0-0,0,0,0,40,0,0,0,0,14,28.6,25.0,Match Report
103,Venezia,2024-12-29,14,@,Napoli,it Serie A,L 0-1,0,1,-1,34,0,0,0,0,14,21.4,16.7,Match Report
104,Bochum,2025-02-15,14,,Dortmund,de Bundesliga,W 2-0,2,0,+2,31,2,0,0,0,14,100.0,61.0,Match Report
105,Bochum,2024-09-21,14,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,14,85.7,55.3,Match Report
106,Ipswich Town,2025-02-15,14,@,Aston Villa,eng Premier League,D 1-1,1,1,0,25,1,0,0,0,14,71.4,47.1,Match Report
107,Leverkusen,2024-12-07,14,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,62,2,0,0,0,14,35.7,32.4,Match Report
108,Brentford,2025-01-18,14,,Liverpool,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,14,50.0,36.5,Match Report
109,Brentford,2024-12-27,14,@,Brighton,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,14,78.6,51.9,Match Report
110,Brentford,2024-11-23,14,@,Everton,eng Premier League,D 0-0,0,0,0,41,0,0,0,0,14,57.1,47.0,Match Report
111,Everton,2025-01-25,14,@,Brighton,eng Premier League,W 1-0,1,0,+1,31,0,1,1,0,14,78.6,54.1,Match Report
112,Valencia,2025-04-05,14,@,Real Madrid,es La Liga,W 2-1,2,1,+1,35,2,0,0,0,14,64.3,52.6,Match Report
113,Real Sociedad,2024-09-01,14,@,Getafe,es La Liga,D 0-0,0,0,0,47,0,0,0,0,14,92.9,63.5,Match Report
114,Nott'ham Forest,2024-12-29,14,@,Everton,eng Premier League,W 2-0,2,0,+2,36,2,0,0,0,14,92.9,60.9,Match Report
115,Nott'ham Forest,2024-10-06,14,@,Chelsea,eng Premier League,D 1-1,1,1,0,35,1,0,0,0,14,92.9,61.1,Match Report
116,Parma,2025-04-05,14,,Inter,it Serie A,D 2-2,2,2,0,37,2,0,0,0,14,35.7,30.5,Match Report
117,Parma,2025-02-22,14,,Bologna,it Serie A,W 2-0,2,0,+2,26,1,1,1,0,14,64.3,47.0,Match Report
118,Eint Frankfurt,2024-10-27,14,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,52,1,0,0,0,14,50.0,32.9,Match Report
119,Eint Frankfurt,2024-10-19,14,@,Leverkusen,de Bundesliga,L 1-2,1,2,-1,46,0,1,1,0,14,14.3,19.1,Match Report
120,Celta Vigo,2024-08-26,14,@,Villarreal,es La Liga,L 3-4,3,4,-1,55,3,0,0,0,14,28.6,23.0,Match Report
121,Lecce,2024-09-27,14,@,Milan,it Serie A,L 0-3,0,3,-3,43,0,0,0,0,14,14.3,18.6,Match Report
122,Osasuna,2024-10-27,13,@,Real Sociedad,es La Liga,W 2-0,2,0,+2,26,2,0,0,0,13,92.3,54.5,Match Report
123,Osasuna,2024-09-16,13,@,Rayo Vallecano,es La Liga,L 1-3,1,3,-2,35,1,0,0,0,13,92.3,64.5,Match Report
124,Udinese,2024-12-09,13,@,Monza,it Serie A,W 2-1,2,1,+1,33,2,0,0,0,13,38.5,33.7,Match Report
125,Augsburg,2025-01-19,13,@,Werder Bremen,de Bundesliga,W 2-0,2,0,+2,29,2,0,0,0,13,92.3,64.8,Match Report
126,Hellas Verona,2024-11-29,13,@,Cagliari,it Serie A,L 0-1,0,1,-1,37,0,0,0,0,13,92.3,60.5,Match Report
127,Nice,2024-11-02,13,@,Brest,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,13,61.5,41.9,Match Report
128,Valladolid,2025-03-08,13,@,Valencia,es La Liga,L 1-2,1,2,-1,38,1,0,0,0,13,46.2,44.0,Match Report
129,Valladolid,2024-11-02,13,@,Osasuna,es La Liga,L 0-1,0,1,-1,51,0,0,0,0,13,61.5,45.2,Match Report
130,Valladolid,2024-10-18,13,@,Alavés,es La Liga,W 3-2,3,2,+1,38,1,2,2,0,13,30.8,27.2,Match Report
131,Manchester Utd,2025-01-05,13,@,Liverpool,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,13,100.0,57.4,Match Report
132,Montpellier,2025-02-09,13,@,Strasbourg,fr Ligue 1,L 0-2,0,2,-2,41,0,0,0,0,13,53.8,41.8,Match Report
133,Montpellier,2024-11-10,13,,Brest,fr Ligue 1,W 3-1,3,1,+2,33,2,1,2,1,13,84.6,56.5,Match Report
134,Montpellier,2024-08-23,13,@,Paris S-G,fr Ligue 1,L 0-6,0,6,-6,32,0,0,0,0,13,53.8,33.3,Match Report
135,Villarreal,2025-02-22,13,@,Rayo Vallecano,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,13,7.7,14.5,Match Report
136,Villarreal,2025-01-25,13,@,Atlético Madrid,es La Liga,D 1-1,1,1,0,41,0,1,1,0,13,30.8,32.1,Match Report
137,Mallorca,2025-03-09,13,@,Athletic Club,es La Liga,D 1-1,1,1,0,45,1,0,0,0,13,46.2,37.1,Match Report
138,Mallorca,2025-02-01,13,@,Atlético Madrid,es La Liga,L 0-2,0,2,-2,47,0,0,0,0,13,30.8,28.8,Match Report
139,Mallorca,2024-11-29,13,,Valencia,es La Liga,W 2-1,2,1,+1,48,2,0,0,0,13,23.1,24.3,Match Report
140,Mallorca,2024-09-14,13,,Villarreal,es La Liga,L 1-2,1,2,-1,53,0,0,0,0,13,30.8,30.2,Match Report
141,Holstein Kiel,2025-03-29,13,,Werder Bremen,de Bundesliga,L 0-3,0,3,-3,55,0,0,0,0,13,0.0,20.3,Match Report
142,Holstein Kiel,2025-02-22,13,,Leverkusen,de Bundesliga,L 0-2,0,2,-2,38,0,0,0,0,13,76.9,55.2,Match Report
143,Tottenham,2025-02-02,13,@,Brentford,eng Premier League,W 2-0,2,0,+2,46,1,0,0,0,13,15.4,18.3,Match Report
144,Toulouse,2025-02-15,13,,Paris S-G,fr Ligue 1,L 0-1,0,1,-1,24,0,0,0,0,13,61.5,43.8,Match Report
145,Fiorentina,2025-01-26,13,@,Lazio,it Serie A,W 2-1,2,1,+1,30,2,0,0,0,13,61.5,40.1,Match Report
146,Crystal Palace,2024-12-26,13,@,Bournemouth,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,13,61.5,48.0,Match Report
147,Bournemouth,2025-01-25,13,,Nott'ham Forest,eng Premier League,W 5-0,5,0,+5,50,5,0,0,0,13,38.5,33.1,Match Report
148,Wolfsburg,2025-01-18,13,@,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,29,2,0,0,0,13,23.1,21.5,Match Report
149,St. Pauli,2025-01-26,13,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,44,3,0,0,0,13,15.4,20.9,Match Report
150,Marseille,2024-10-27,13,,Paris S-G,fr Ligue 1,L 0-3,0,3,-3,26,0,0,0,0,13,84.6,53.8,Match Report
151,Stuttgart,2024-10-19,13,@,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,35,0,0,0,0,13,0.0,9.4,Match Report
152,Werder Bremen,2024-10-05,13,,Freiburg,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,13,7.7,23.5,Match Report
153,Genoa,2024-10-05,13,@,Atalanta,it Serie A,L 1-5,1,5,-4,37,1,0,0,0,13,23.1,27.3,Match Report
154,Angers,2025-01-05,13,,Brest,fr Ligue 1,W 2-0,2,0,+2,39,2,0,0,0,13,69.2,49.0,Match Report
155,Angers,2024-10-20,13,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,35,1,0,1,1,13,84.6,59.9,Match Report
156,Getafe,2025-02-09,13,@,Alavés,es La Liga,W 1-0,1,0,+1,35,0,1,1,0,13,100.0,63.6,Match Report
157,Getafe,2025-02-01,13,,Sevilla,es La Liga,D 0-0,0,0,0,45,0,0,0,0,13,92.3,60.2,Match Report
158,Getafe,2024-12-15,13,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,13,100.0,58.6,Match Report
159,Getafe,2024-10-05,13,,Osasuna,es La Liga,D 1-1,1,1,0,41,1,0,0,0,13,92.3,64.5,Match Report
160,Getafe,2024-08-24,13,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,48,0,0,0,0,13,46.2,41.2,Match Report
161,Union Berlin,2025-03-15,13,,Bayern Munich,de Bundesliga,D 1-1,1,1,0,20,1,0,0,0,13,100.0,63.0,Match Report
162,Union Berlin,2025-01-11,13,@,Heidenheim,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,13,15.4,22.1,Match Report
163,West Ham,2024-12-29,13,,Liverpool,eng Premier League,L 0-5,0,5,-5,46,0,0,0,0,13,23.1,22.0,Match Report
164,West Ham,2024-09-14,13,@,Fulham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,13,38.5,32.8,Match Report
165,West Ham,2024-08-24,13,@,Crystal Palace,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,13,69.2,52.9,Match Report
166,Leganés,2025-03-29,13,@,Real Madrid,es La Liga,L 2-3,2,3,-1,30,2,0,0,0,13,100.0,67.3,Match Report
167,Wolves,2025-02-22,13,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,54,1,0,0,0,13,53.8,41.9,Match Report
168,Alavés,2025-03-14,13,@,Las Palmas,es La Liga,D 2-2,2,2,0,39,2,0,0,0,13,100.0,66.8,Match Report
169,Rayo Vallecano,2024-12-01,13,,Athletic Club,es La Liga,L 1-2,1,2,-1,48,1,0,0,0,13,69.2,54.2,Match Report
170,Rayo Vallecano,2024-08-24,13,@,Getafe,es La Liga,D 0-0,0,0,0,52,0,0,0,0,13,84.6,61.2,Match Report
171,Leicester City,2024-12-26,13,@,Liverpool,eng Premier League,L 1-3,1,3,-2,32,1,0,0,0,13,53.8,42.8,Match Report
172,Leicester City,2024-12-14,13,@,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,41,0,0,0,0,13,53.8,37.5,Match Report
173,Empoli,2025-02-02,13,@,Juventus,it Serie A,L 1-4,1,4,-3,45,1,0,0,0,13,23.1,21.8,Match Report
174,Freiburg,2025-01-14,13,@,Eint Frankfurt,de Bundesliga,L 1-4,1,4,-3,36,1,0,0,0,13,38.5,29.6,Match Report
175,Espanyol,2025-02-09,13,@,Real Sociedad,es La Liga,L 1-2,1,2,-1,32,0,1,1,0,13,84.6,55.2,Match Report
176,Espanyol,2024-12-09,13,@,Getafe,es La Liga,L 0-1,0,1,-1,57,0,0,0,0,13,7.7,25.2,Match Report
177,Espanyol,2024-08-28,13,@,Atlético Madrid,es La Liga,D 0-0,0,0,0,37,0,0,0,0,13,53.8,44.2,Match Report
178,Sevilla,2025-03-09,13,@,Real Sociedad,es La Liga,W 1-0,1,0,+1,39,1,0,0,0,13,38.5,32.5,Match Report
179,Venezia,2025-02-01,13,@,Udinese,it Serie A,L 2-3,2,3,-1,49,2,0,0,0,13,7.7,15.1,Match Report
180,Bochum,2024-11-23,13,@,Stuttgart,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,13,84.6,53.0,Match Report
181,Cagliari,2025-02-09,13,,Parma,it Serie A,W 2-1,2,1,+1,39,1,0,0,0,13,46.2,40.4,Match Report
182,Brentford,2024-09-28,13,,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,13,15.4,20.6,Match Report
