Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
597,Como,2025-01-25,417,,Atalanta,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,417,2086,1080,17,12,6,16,11,427,37,Match Report
598,Toulouse,2025-01-12,417,,Strasbourg,fr Ligue 1,L 1-2,1,2,-1,53,0,0,0,0,417,2037,921,20,10,4,11,8,399,31,Match Report
599,Auxerre,2024-11-24,417,,Angers,fr Ligue 1,W 1-0,1,0,+1,48,1,0,0,0,417,2210,1209,21,15,3,11,3,396,40,Match Report
600,Fulham,2024-12-01,417,@,Tottenham,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,417,2153,1059,28,14,10,10,6,403,45,Match Report
601,Torino,2024-09-29,416,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,416,2167,960,19,8,1,13,9,438,29,Match Report
602,Athletic Club,2024-11-10,416,@,Valladolid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,416,2126,1117,28,21,4,17,5,505,69,Match Report
603,Reims,2024-10-20,416,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,65,1,0,0,0,416,2338,1204,20,11,5,18,14,450,48,Match Report
604,Wolves,2024-11-30,416,,Bournemouth,eng Premier League,L 2-4,2,4,-2,60,2,0,0,0,416,2292,1124,19,20,5,22,12,468,37,Match Report
605,Leicester City,2024-09-21,416,,Everton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,416,2350,1240,22,15,3,24,9,421,43,Match Report
606,Napoli,2024-10-26,416,,Lecce,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,416,2182,1271,25,11,6,9,6,447,59,Match Report
607,Atlético Madrid,2025-04-06,416,@,Sevilla,es La Liga,W 2-1,2,1,+1,56,1,1,1,0,416,1847,976,19,16,8,16,8,497,40,Match Report
608,Bologna,2025-03-29,415,@,Venezia,it Serie A,W 1-0,1,0,+1,59,1,0,0,0,415,2076,854,16,15,4,27,4,414,34,Match Report
609,Reims,2025-02-16,415,,Angers,fr Ligue 1,L 0-1,0,1,-1,63,0,0,1,1,415,2750,1528,22,18,4,15,9,498,67,Match Report
610,Rennes,2024-10-05,415,,Monaco,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,415,1734,715,17,9,7,23,9,438,55,Match Report
611,Roma,2025-03-02,415,,Como,it Serie A,W 2-1,2,1,+1,48,2,0,0,0,415,2492,939,21,21,7,17,10,456,31,Match Report
612,Torino,2024-08-30,414,@,Venezia,it Serie A,W 1-0,1,0,+1,58,1,0,0,0,414,1941,848,9,15,0,12,11,458,30,Match Report
613,Southampton,2024-08-31,414,@,Brentford,eng Premier League,L 1-3,1,3,-2,63,1,0,0,0,414,2030,1163,26,16,7,8,12,572,43,Match Report
614,Stuttgart,2024-11-23,414,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,414,1804,939,18,13,9,13,9,537,50,Match Report
615,Newcastle Utd,2024-12-07,414,@,Brentford,eng Premier League,L 2-4,2,4,-2,57,2,0,0,0,414,2314,1153,31,24,11,13,12,460,49,Match Report
616,Chelsea,2025-01-20,414,,Wolves,eng Premier League,W 3-1,3,1,+2,63,3,0,0,0,414,2316,1229,26,10,10,16,11,533,43,Match Report
617,Napoli,2024-08-31,414,,Parma,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,414,2437,1334,31,21,13,10,12,424,77,Match Report
618,Milan,2024-08-31,414,@,Lazio,it Serie A,D 2-2,2,2,0,57,2,0,0,0,414,2118,1006,16,12,5,10,7,469,22,Match Report
619,Monaco,2024-08-17,414,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,+1,61,1,0,0,0,414,2333,1227,18,16,9,29,8,436,46,Match Report
620,Las Palmas,2024-09-26,413,,Betis,es La Liga,D 1-1,1,1,0,55,1,0,0,0,413,1789,904,17,18,3,19,7,489,33,Match Report
621,Valladolid,2024-11-30,413,,Atlético Madrid,es La Liga,L 0-5,0,5,-5,45,0,0,0,0,413,2214,1021,12,10,3,12,5,436,31,Match Report
622,Villarreal,2025-03-15,413,,Real Madrid,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,413,2037,1220,34,25,9,17,8,436,56,Match Report
623,Gladbach,2024-10-19,413,,Heidenheim,de Bundesliga,W 3-2,3,2,+1,66,2,1,1,0,413,2088,1201,25,10,9,15,11,463,48,Match Report
624,Marseille,2024-08-25,413,,Reims,fr Ligue 1,D 2-2,2,2,0,66,2,0,0,0,413,2479,1288,19,10,7,13,6,595,50,Match Report
625,Stuttgart,2024-12-15,413,@,Heidenheim,de Bundesliga,W 3-1,3,1,+2,66,2,1,1,0,413,2167,1008,15,12,5,19,12,516,51,Match Report
626,Atalanta,2025-02-23,413,@,Empoli,it Serie A,W 5-0,5,0,+5,54,4,0,0,0,413,2244,1101,24,14,9,19,10,397,39,Match Report
627,Strasbourg,2025-02-23,413,,Brest,fr Ligue 1,D 0-0,0,0,0,57,0,0,0,0,413,2068,1043,17,12,4,25,2,488,47,Match Report
628,Everton,2025-03-15,413,,West Ham,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,413,2073,1019,14,13,2,16,15,443,44,Match Report
629,Torino,2025-04-06,412,,Hellas Verona,it Serie A,D 1-1,1,1,0,61,1,0,1,1,412,2278,1200,20,18,2,12,7,414,34,Match Report
630,Como,2025-03-29,412,,Empoli,it Serie A,D 1-1,1,1,0,71,1,0,0,0,412,1882,982,25,8,7,15,5,532,49,Match Report
631,Leicester City,2025-04-07,412,,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,412,2252,1031,14,13,5,19,12,476,36,Match Report
632,Brentford,2024-11-30,412,,Leicester City,eng Premier League,W 4-1,4,1,+3,60,4,0,0,0,412,2384,1314,17,16,6,9,8,514,53,Match Report
633,Bayern Munich,2025-04-04,411,@,Augsburg,de Bundesliga,W 3-1,3,1,+2,69,2,0,0,0,411,2052,1105,20,13,12,16,3,630,75,Match Report
634,Como,2025-03-02,411,@,Roma,it Serie A,L 1-2,1,2,-1,52,1,0,0,0,411,2218,1127,19,12,7,16,10,495,39,Match Report
635,Villarreal,2024-12-08,411,@,Athletic Club,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,411,1678,774,13,9,4,16,8,488,39,Match Report
636,Crystal Palace,2025-04-02,411,@,Southampton,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,411,1963,928,15,9,2,19,9,458,40,Match Report
637,Wolfsburg,2024-11-02,411,,Augsburg,de Bundesliga,D 1-1,1,1,0,69,1,0,0,0,411,2060,1119,21,15,5,12,4,560,51,Match Report
638,Marseille,2024-09-14,411,,Nice,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,411,1893,829,12,16,4,6,10,436,25,Match Report
639,Lazio,2025-01-26,411,,Fiorentina,it Serie A,L 1-2,1,2,-1,70,1,0,0,0,411,2643,1339,25,19,8,18,7,542,54,Match Report
640,West Ham,2025-02-15,411,,Brentford,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,411,1978,1049,22,16,5,16,11,451,41,Match Report
641,Angers,2024-12-15,410,@,Rennes,fr Ligue 1,L 0-2,0,2,-2,56,0,0,0,0,410,2021,945,16,15,0,17,8,474,29,Match Report
642,Roma,2024-10-20,410,,Inter,it Serie A,L 0-1,0,1,-1,55,0,0,0,0,410,2307,1243,24,21,4,15,10,449,41,Match Report
643,Atlético Madrid,2024-11-30,410,@,Valladolid,es La Liga,W 5-0,5,0,+5,55,5,0,0,0,410,1979,1116,26,15,5,14,4,548,46,Match Report
644,Juventus,2024-11-09,410,,Torino,it Serie A,W 2-0,2,0,+2,54,2,0,0,0,410,2118,972,17,12,4,19,6,437,28,Match Report
645,Celta Vigo,2025-03-15,410,@,Valladolid,es La Liga,W 1-0,1,0,+1,61,0,1,1,0,410,2103,1188,22,14,10,13,8,526,53,Match Report
646,Lens,2024-09-28,410,,Nice,fr Ligue 1,D 0-0,0,0,0,56,0,0,0,0,410,2115,981,19,21,2,17,13,404,62,Match Report
647,Augsburg,2024-09-01,409,@,Heidenheim,de Bundesliga,L 0-4,0,4,-4,64,0,0,0,0,409,2069,1111,19,19,3,19,8,469,72,Match Report
648,Valladolid,2025-02-28,409,,Las Palmas,es La Liga,D 1-1,1,1,0,64,1,0,0,0,409,2401,1361,34,15,6,26,6,489,73,Match Report
649,Montpellier,2024-11-23,409,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,67,0,0,0,0,409,2065,1064,14,11,7,15,9,491,40,Match Report
650,Tottenham,2024-12-01,409,,Fulham,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,409,2194,994,14,19,5,13,9,448,40,Match Report
651,Valencia,2025-02-02,409,,Celta Vigo,es La Liga,W 2-1,2,1,+1,46,2,0,0,0,409,1979,868,16,12,7,13,9,388,29,Match Report
652,Celta Vigo,2024-10-19,409,,Real Madrid,es La Liga,L 1-2,1,2,-1,47,1,0,0,0,409,1943,1033,26,13,8,12,10,482,47,Match Report
653,Heidenheim,2025-01-18,408,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,408,2177,1078,8,14,1,15,8,483,39,Match Report
654,Roma,2024-10-06,408,@,Monza,it Serie A,D 1-1,1,1,0,65,1,0,0,0,408,2470,1343,25,17,3,9,11,540,56,Match Report
655,Parma,2025-03-01,408,@,Udinese,it Serie A,L 0-1,0,1,-1,57,0,0,0,0,408,1822,789,8,11,3,19,7,499,29,Match Report
656,Eint Frankfurt,2024-11-02,408,,Bochum,de Bundesliga,W 7-2,7,2,+5,64,7,0,0,0,408,1871,1047,20,17,10,17,10,521,45,Match Report
657,Lens,2025-02-16,408,,Strasbourg,fr Ligue 1,L 0-2,0,2,-2,56,0,0,0,0,408,1719,626,14,13,4,12,8,508,40,Match Report
658,Fulham,2025-02-22,408,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,62,0,0,0,0,408,1855,1089,10,8,2,10,13,461,61,Match Report
659,Fulham,2025-01-26,408,,Manchester Utd,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,408,1988,1065,27,18,6,7,8,434,34,Match Report
660,Manchester Utd,2024-09-01,407,,Liverpool,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,407,2038,916,12,5,8,19,11,446,31,Match Report
661,Fiorentina,2024-09-29,407,@,Empoli,it Serie A,D 0-0,0,0,0,62,0,0,0,0,407,2303,970,25,16,7,16,13,484,50,Match Report
662,Real Madrid,2025-01-19,407,,Las Palmas,es La Liga,W 4-1,4,1,+3,61,3,1,1,0,407,2231,1390,23,14,10,13,3,536,56,Match Report
663,Leganés,2025-03-08,407,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,407,1974,1008,19,21,5,12,8,388,39,Match Report
664,Liverpool,2024-08-17,407,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,407,1886,974,25,13,12,9,9,514,38,Match Report
665,Como,2024-12-08,406,@,Venezia,it Serie A,D 2-2,2,2,0,65,1,0,0,0,406,2062,915,21,15,4,17,12,402,37,Match Report
666,Southampton,2024-10-26,406,@,Manchester City,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,406,1925,943,15,10,5,8,3,450,21,Match Report
667,Freiburg,2025-04-05,406,,Dortmund,de Bundesliga,L 1-4,1,4,-3,54,1,0,0,0,406,2174,1104,19,7,5,12,7,396,38,Match Report
668,Strasbourg,2024-10-27,406,,Nantes,fr Ligue 1,W 3-1,3,1,+2,50,3,0,0,0,406,1886,918,22,19,3,10,9,431,32,Match Report
669,Chelsea,2024-08-25,406,@,Wolves,eng Premier League,W 6-2,6,2,+4,60,6,0,0,0,406,2221,1197,26,17,8,13,10,440,32,Match Report
670,Holstein Kiel,2025-03-29,405,,Werder Bremen,de Bundesliga,L 0-3,0,3,-3,55,0,0,0,0,405,1690,770,11,8,2,19,9,414,37,Match Report
671,Holstein Kiel,2025-03-16,405,@,Heidenheim,de Bundesliga,L 1-3,1,3,-2,61,1,0,0,0,405,2116,1145,15,14,4,19,12,469,39,Match Report
672,Atalanta,2025-03-30,405,@,Fiorentina,it Serie A,L 0-1,0,1,-1,55,0,0,0,0,405,2293,1184,25,18,7,14,8,390,31,Match Report
673,Chelsea,2024-10-20,405,@,Liverpool,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,405,2173,1099,24,24,8,12,8,496,41,Match Report
674,Chelsea,2024-09-14,405,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,66,1,0,0,0,405,2495,1142,17,14,2,19,8,518,40,Match Report
675,Milan,2024-10-29,405,,Napoli,it Serie A,L 0-2,0,2,-2,61,0,0,0,0,405,2779,1495,30,21,12,9,4,518,47,Match Report
676,Celta Vigo,2024-12-06,405,,Mallorca,es La Liga,W 2-0,2,0,+2,50,2,0,0,0,405,2049,999,20,12,9,23,5,449,33,Match Report
677,Manchester Utd,2025-01-26,404,@,Fulham,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,404,1979,856,14,11,2,19,9,425,41,Match Report
678,Stuttgart,2024-11-30,404,@,Werder Bremen,de Bundesliga,D 2-2,2,2,0,57,2,0,0,0,404,1955,940,15,11,7,16,6,512,33,Match Report
679,West Ham,2025-04-05,404,,Bournemouth,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,404,1929,850,16,12,3,16,13,406,36,Match Report
680,Atlético Madrid,2025-02-22,404,@,Valencia,es La Liga,W 3-0,3,0,+3,51,3,0,0,0,404,1783,861,14,14,6,11,9,521,35,Match Report
681,Fulham,2024-08-24,404,,Leicester City,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,404,2021,940,16,13,6,21,12,486,57,Match Report
682,Torino,2025-02-08,403,,Genoa,it Serie A,D 1-1,1,1,0,57,0,0,0,0,403,2315,1160,22,16,5,18,12,401,35,Match Report
683,Nice,2025-02-08,403,,Lens,fr Ligue 1,W 2-0,2,0,+2,60,1,1,1,0,403,1719,968,14,6,5,11,6,565,52,Match Report
684,Arsenal,2025-02-15,403,@,Leicester City,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,403,2048,1086,23,15,11,16,15,446,70,Match Report
685,Real Madrid,2024-09-14,403,@,Real Sociedad,es La Liga,W 2-0,2,0,+2,52,0,2,2,0,403,2219,1062,14,13,6,20,6,456,34,Match Report
686,Rayo Vallecano,2025-01-31,403,@,Leganés,es La Liga,W 1-0,1,0,+1,66,1,0,0,0,403,2234,1239,23,23,7,19,14,516,56,Match Report
687,Dortmund,2025-03-01,403,@,St. Pauli,de Bundesliga,W 2-0,2,0,+2,57,2,0,0,0,403,1711,868,9,12,2,20,8,487,46,Match Report
688,Newcastle Utd,2025-01-15,403,,Wolves,eng Premier League,W 3-0,3,0,+3,60,3,0,0,0,403,2623,1433,32,21,8,17,19,532,56,Match Report
689,Strasbourg,2025-04-06,403,@,Reims,fr Ligue 1,W 1-0,1,0,+1,52,1,0,0,0,403,1734,939,15,19,8,20,8,424,42,Match Report
690,Napoli,2025-02-09,403,,Udinese,it Serie A,D 1-1,1,1,0,62,1,0,0,0,403,1855,1146,14,11,3,14,7,496,45,Match Report
691,Monza,2024-12-22,402,,Juventus,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,402,2329,1183,24,24,6,9,4,381,39,Match Report
692,Rayo Vallecano,2024-10-05,402,@,Valladolid,es La Liga,W 2-1,2,1,+1,60,2,0,0,0,402,1718,884,18,13,4,12,7,419,44,Match Report
693,Sevilla,2024-09-29,402,@,Athletic Club,es La Liga,D 1-1,1,1,0,61,0,0,0,0,402,2121,1083,25,20,7,9,12,453,24,Match Report
694,Brentford,2024-09-28,402,,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,402,2181,1062,18,10,3,17,8,440,36,Match Report
695,Nantes,2024-09-22,402,@,Angers,fr Ligue 1,D 1-1,1,1,0,50,1,0,0,0,402,1908,848,20,22,6,14,12,424,39,Match Report
696,Eint Frankfurt,2024-08-31,402,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,50,3,0,0,0,402,2045,970,18,19,2,11,3,416,37,Match Report
697,Monaco,2024-09-22,402,,Le Havre,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,402,2215,1158,19,18,5,16,4,438,44,Match Report
698,Fulham,2025-01-18,402,@,Leicester City,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,402,2188,1153,27,21,8,14,7,534,39,Match Report
699,Fulham,2024-12-26,402,@,Chelsea,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,402,2288,1310,24,16,7,8,7,511,42,Match Report
700,Arsenal,2024-08-24,401,@,Aston Villa,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,401,2099,1174,20,13,7,9,13,474,48,Match Report
701,Bologna,2025-03-02,401,,Cagliari,it Serie A,W 2-1,2,1,+1,61,1,1,1,0,401,2212,953,22,16,5,23,12,442,44,Match Report
702,Bologna,2025-01-18,401,,Monza,it Serie A,W 3-1,3,1,+2,58,3,0,0,0,401,1937,876,10,10,1,14,11,497,47,Match Report
703,Bournemouth,2025-02-15,401,@,Southampton,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,401,2042,991,13,14,9,15,13,423,34,Match Report
704,Stuttgart,2025-02-23,401,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,401,2193,1021,19,12,9,25,7,517,62,Match Report
705,Mainz 05,2025-03-01,401,@,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,401,1654,758,14,12,4,17,5,441,43,Match Report
706,Napoli,2025-03-01,401,,Inter,it Serie A,D 1-1,1,1,0,62,1,0,0,0,401,1839,901,27,14,8,12,5,440,48,Match Report
707,Real Sociedad,2024-09-17,401,@,Mallorca,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,401,2126,1180,17,11,3,13,9,460,47,Match Report
708,Fulham,2024-10-05,401,@,Manchester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,401,1685,839,19,20,6,11,4,410,34,Match Report
709,Lecce,2025-01-05,401,,Genoa,it Serie A,D 0-0,0,0,0,63,0,0,0,0,401,2063,840,20,16,8,15,7,465,52,Match Report
710,Fiorentina,2024-11-03,400,@,Torino,it Serie A,W 1-0,1,0,+1,46,1,0,0,0,400,1880,875,14,11,1,17,5,387,29,Match Report
711,Werder Bremen,2025-01-15,400,,Heidenheim,de Bundesliga,D 3-3,3,3,0,52,3,0,0,0,400,1767,789,19,13,6,16,14,415,47,Match Report
712,Genoa,2025-04-04,400,,Udinese,it Serie A,W 1-0,1,0,+1,54,1,0,0,0,400,1962,898,15,10,4,11,7,389,28,Match Report
713,Sevilla,2024-09-20,400,@,Alavés,es La Liga,L 1-2,1,2,-1,65,1,0,0,0,400,2059,1026,17,12,5,19,13,447,33,Match Report
714,Ipswich Town,2024-10-05,400,@,West Ham,eng Premier League,L 1-4,1,4,-3,48,1,0,0,0,400,2113,1106,21,13,1,20,13,391,35,Match Report
715,Brighton,2025-01-16,400,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,400,2033,966,16,12,4,14,11,403,35,Match Report
716,Lyon,2025-01-18,400,,Toulouse,fr Ligue 1,D 0-0,0,0,0,62,0,0,0,0,400,2295,1151,17,12,8,15,12,512,65,Match Report
717,Fulham,2024-12-22,400,,Southampton,eng Premier League,D 0-0,0,0,0,57,0,0,0,0,400,2287,1225,29,19,7,9,10,493,48,Match Report
718,Como,2025-03-15,399,@,Milan,it Serie A,L 1-2,1,2,-1,58,1,0,0,0,399,1959,911,14,16,4,12,15,400,43,Match Report
719,Athletic Club,2024-10-28,399,@,Mallorca,es La Liga,D 0-0,0,0,0,67,0,0,0,0,399,2087,1358,33,17,6,12,9,488,76,Match Report
720,Lazio,2025-02-03,399,@,Cagliari,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,399,2137,1119,20,20,5,13,6,519,41,Match Report
721,Roma,2025-03-09,399,@,Empoli,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,399,1865,875,25,28,8,19,15,591,47,Match Report
722,Chelsea,2024-10-27,399,,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,399,1918,959,22,8,10,11,6,399,32,Match Report
723,Milan,2024-08-17,399,,Torino,it Serie A,D 2-2,2,2,0,56,2,0,0,0,399,2155,1269,31,21,11,9,5,484,71,Match Report
724,Juventus,2025-01-14,399,@,Atalanta,it Serie A,D 1-1,1,1,0,40,1,0,0,0,399,2314,1160,21,21,5,13,7,384,26,Match Report
725,Brest,2025-01-26,399,@,Le Havre,fr Ligue 1,W 1-0,1,0,+1,55,1,0,0,0,399,1921,961,17,14,1,17,9,432,43,Match Report
726,Fulham,2024-11-23,399,,Wolves,eng Premier League,L 1-4,1,4,-3,59,1,0,0,0,399,1984,929,16,15,3,17,11,496,63,Match Report
727,Hoffenheim,2025-03-29,398,,Augsburg,de Bundesliga,D 1-1,1,1,0,56,0,1,1,0,398,2244,877,19,23,2,11,6,442,37,Match Report
728,Como,2024-11-04,398,@,Empoli,it Serie A,L 0-1,0,1,-1,58,0,0,0,0,398,2089,922,15,15,4,10,3,399,20,Match Report
729,Mallorca,2024-11-10,398,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,53,0,0,0,0,398,1597,932,16,9,1,7,12,503,54,Match Report
730,Bournemouth,2024-12-08,398,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,56,2,0,0,0,398,2277,1125,29,21,13,19,10,377,62,Match Report
731,Newcastle Utd,2024-09-15,398,@,Wolves,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,398,2086,1057,26,11,6,6,15,429,47,Match Report
732,Strasbourg,2025-02-16,398,@,Lens,fr Ligue 1,W 2-0,2,0,+2,44,2,0,0,0,398,1678,973,16,9,4,10,4,408,36,Match Report
733,Milan,2024-12-20,398,@,Hellas Verona,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,398,2036,1194,17,14,3,13,6,499,37,Match Report
734,Valencia,2025-02-22,398,,Atlético Madrid,es La Liga,L 0-3,0,3,-3,49,0,0,0,0,398,1961,1113,19,13,2,20,12,504,61,Match Report
735,Las Palmas,2024-09-21,397,@,Osasuna,es La Liga,L 1-2,1,2,-1,60,1,0,0,0,397,1987,1108,13,9,7,11,7,423,42,Match Report
736,Bologna,2024-11-30,397,,Venezia,it Serie A,W 3-0,3,0,+3,60,1,2,2,0,397,1965,924,20,17,6,21,7,445,40,Match Report
737,Real Madrid,2024-10-19,397,@,Celta Vigo,es La Liga,W 2-1,2,1,+1,53,2,0,0,0,397,2182,1202,19,16,5,12,3,557,37,Match Report
738,Aston Villa,2025-02-22,397,,Chelsea,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,397,2396,1221,33,14,10,11,10,433,46,Match Report
739,Mainz 05,2025-03-07,397,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,43,3,0,0,0,397,1946,747,14,19,0,17,13,393,29,Match Report
740,Brest,2025-03-09,397,,Angers,fr Ligue 1,W 2-0,2,0,+2,50,2,0,0,0,397,2008,1072,22,16,7,10,12,390,40,Match Report
741,Nice,2025-01-11,396,@,Reims,fr Ligue 1,W 4-2,4,2,+2,46,3,1,1,0,396,1730,955,19,9,4,17,7,391,37,Match Report
742,Montpellier,2025-04-06,396,,Le Havre,fr Ligue 1,L 0-2,0,2,-2,55,0,0,0,0,396,2150,994,11,17,2,21,8,475,50,Match Report
743,Liverpool,2024-12-29,396,@,West Ham,eng Premier League,W 5-0,5,0,+5,54,5,0,0,0,396,1954,1226,28,15,10,10,10,492,59,Match Report
744,Roma,2025-02-02,396,,Napoli,it Serie A,D 1-1,1,1,0,51,1,0,0,0,396,2260,1019,15,9,3,17,10,431,42,Match Report
745,Napoli,2024-08-18,396,@,Hellas Verona,it Serie A,L 0-3,0,3,-3,67,0,0,0,0,396,2401,1289,20,16,4,10,11,490,54,Match Report
746,Juventus,2025-03-09,396,,Atalanta,it Serie A,L 0-4,0,4,-4,63,0,0,0,0,396,2399,1246,16,11,4,20,9,551,30,Match Report
747,Paris S-G,2025-03-29,396,@,Saint-Étienne,fr Ligue 1,W 6-1,6,1,+5,53,5,1,1,0,396,2141,1129,28,10,17,9,4,502,53,Match Report
748,Fulham,2025-03-16,396,,Tottenham,eng Premier League,W 2-0,2,0,+2,57,2,0,0,0,396,2323,1012,16,19,6,13,16,477,56,Match Report
749,Hoffenheim,2025-03-09,395,,Heidenheim,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,395,1849,902,21,15,3,11,11,390,48,Match Report
750,Bologna,2025-04-07,395,,Napoli,it Serie A,D 1-1,1,1,0,61,1,0,0,0,395,2102,906,17,16,6,11,14,388,35,Match Report
751,Bologna,2025-02-27,395,,Milan,it Serie A,W 2-1,2,1,+1,57,2,0,0,0,395,1941,854,17,14,4,18,14,390,35,Match Report
752,Liverpool,2025-01-14,395,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,395,2312,1477,28,20,7,17,7,485,90,Match Report
753,RB Leipzig,2025-04-05,395,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,66,3,0,0,0,395,1983,1067,20,18,1,9,9,556,51,Match Report
754,Valladolid,2025-01-17,394,@,Espanyol,es La Liga,L 1-2,1,2,-1,64,1,0,0,0,394,2252,1092,16,9,5,18,5,560,39,Match Report
755,Manchester Utd,2024-12-15,394,@,Manchester City,eng Premier League,W 2-1,2,1,+1,48,1,1,1,0,394,2223,1066,19,11,4,15,7,428,26,Match Report
756,Freiburg,2025-03-15,394,@,Mainz 05,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,394,1720,861,18,19,6,13,5,400,55,Match Report
757,Rennes,2024-09-15,394,,Montpellier,fr Ligue 1,W 3-0,3,0,+3,51,3,0,0,0,394,1940,1078,19,19,8,13,10,422,46,Match Report
758,Atlético Madrid,2025-01-12,394,,Osasuna,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,394,1869,1094,17,11,4,16,8,501,29,Match Report
759,Celta Vigo,2024-11-10,394,@,Betis,es La Liga,D 2-2,2,2,0,44,2,0,0,0,394,1937,825,13,11,1,11,8,401,27,Match Report
760,Monaco,2025-03-15,394,@,Angers,fr Ligue 1,W 2-0,2,0,+2,56,1,1,1,0,394,2237,1301,25,22,7,14,9,482,60,Match Report
761,Villarreal,2025-02-15,393,,Valencia,es La Liga,D 1-1,1,1,0,50,1,0,0,0,393,2133,1152,26,20,7,15,8,474,49,Match Report
762,Stuttgart,2024-09-14,393,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,56,3,0,0,0,393,1750,699,15,13,5,13,14,472,30,Match Report
763,Wolves,2025-02-25,393,,Fulham,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,393,2001,1097,16,14,2,17,10,530,44,Match Report
764,RB Leipzig,2025-02-14,393,@,Augsburg,de Bundesliga,D 0-0,0,0,0,61,0,0,0,0,393,1609,823,14,10,1,13,6,489,35,Match Report
765,Juventus,2025-02-23,393,@,Cagliari,it Serie A,W 1-0,1,0,+1,60,1,0,0,0,393,2321,1204,19,11,9,14,11,561,54,Match Report
766,Juventus,2024-10-27,393,@,Inter,it Serie A,D 4-4,4,4,0,53,4,0,0,0,393,2462,1185,28,14,8,12,3,403,35,Match Report
767,Betis,2024-12-01,393,@,Real Sociedad,es La Liga,L 0-2,0,2,-2,59,0,0,0,0,393,1836,828,12,9,5,26,19,465,35,Match Report
768,Athletic Club,2025-01-26,392,,Leganés,es La Liga,D 0-0,0,0,0,68,0,0,0,0,392,2441,1600,45,27,13,17,19,506,67,Match Report
