Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
80,Real Madrid,2025-03-29,562,,Leganés,es La Liga,W 3-2,3,2,+1,70,2,1,1,0,562,2966,1666,31,33,13,18,5,580,80,Match Report
81,Barcelona,2025-03-16,560,@,Atlético Madrid,es La Liga,W 4-2,4,2,+2,65,4,0,0,0,560,2639,1597,25,40,5,20,9,593,64,Match Report
82,Juventus,2025-03-03,559,,Hellas Verona,it Serie A,W 2-0,2,0,+2,75,2,0,0,0,559,2857,1542,21,10,7,21,2,616,91,Match Report
83,Manchester Utd,2024-11-24,554,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,554,2441,1019,14,11,8,6,7,588,20,Match Report
84,Napoli,2024-12-14,554,@,Udinese,it Serie A,W 3-1,3,1,+2,70,2,0,0,0,554,3093,1564,28,12,6,12,12,545,49,Match Report
85,Leverkusen,2025-01-14,553,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,66,1,0,0,0,553,2101,856,18,17,6,13,7,675,54,Match Report
86,Bayern Munich,2024-09-01,552,,Freiburg,de Bundesliga,W 2-0,2,0,+2,66,1,1,1,0,552,2865,1301,25,20,5,15,7,655,47,Match Report
87,Real Madrid,2025-02-23,552,,Girona,es La Liga,W 2-0,2,0,+2,63,2,0,0,0,552,2861,1521,31,20,21,13,7,649,52,Match Report
88,Lyon,2025-04-05,552,,Lille,fr Ligue 1,W 2-1,2,1,+1,56,1,1,1,0,552,2507,1154,12,13,5,10,13,559,39,Match Report
89,Inter,2025-02-06,551,@,Fiorentina,it Serie A,L 0-3,0,3,-3,71,0,0,0,0,551,2777,1407,24,20,4,11,2,563,44,Match Report
90,Werder Bremen,2024-09-29,550,@,Hoffenheim,de Bundesliga,W 4-3,4,3,+1,64,4,0,0,0,550,2494,1492,26,27,9,15,12,558,57,Match Report
91,Inter,2025-01-19,550,,Empoli,it Serie A,W 3-1,3,1,+2,68,3,0,0,0,550,2643,1204,17,19,3,12,7,609,56,Match Report
92,Marseille,2025-01-05,549,,Le Havre,fr Ligue 1,W 5-1,5,1,+4,70,5,0,0,0,549,2681,1416,22,22,6,11,11,871,74,Match Report
93,Atalanta,2025-02-08,549,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,62,5,0,0,0,549,2890,1583,28,21,10,18,8,551,38,Match Report
94,Bayern Munich,2025-01-15,548,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,548,2452,1175,19,17,7,11,4,695,86,Match Report
95,Tottenham,2024-09-29,548,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,548,2920,1680,33,26,8,12,15,582,53,Match Report
96,Roma,2025-03-16,548,,Cagliari,it Serie A,W 1-0,1,0,+1,61,1,0,0,0,548,2334,1129,22,15,7,22,2,579,54,Match Report
97,Bayern Munich,2025-01-18,546,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,71,3,0,0,0,546,2841,1364,23,19,10,14,5,659,58,Match Report
98,Barcelona,2025-02-02,544,,Alavés,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,544,2683,1382,20,19,4,25,9,586,47,Match Report
99,Liverpool,2024-12-26,544,,Leicester City,eng Premier League,W 3-1,3,1,+2,68,3,0,0,0,544,2647,1571,30,20,8,10,9,617,94,Match Report
100,Manchester City,2025-02-23,544,,Liverpool,eng Premier League,L 0-2,0,2,-2,66,0,0,0,0,544,3374,1922,47,30,22,21,9,618,71,Match Report
101,Venezia,2024-11-09,543,,Parma,it Serie A,L 1-2,1,2,-1,67,1,0,0,0,543,3154,1797,30,27,4,13,10,527,58,Match Report
102,Eint Frankfurt,2025-01-14,543,,Freiburg,de Bundesliga,W 4-1,4,1,+3,64,4,0,0,0,543,2379,1092,21,18,9,17,7,555,55,Match Report
103,Celta Vigo,2024-09-22,541,@,Athletic Club,es La Liga,L 1-3,1,3,-2,67,0,1,1,0,541,2569,1365,24,16,4,10,5,594,56,Match Report
104,Bologna,2025-02-22,540,@,Parma,it Serie A,L 0-2,0,2,-2,74,0,0,0,0,540,2754,1559,30,18,4,15,4,520,58,Match Report
105,Real Madrid,2024-08-25,540,,Valladolid,es La Liga,W 3-0,3,0,+3,63,3,0,0,0,540,3110,1629,24,27,8,13,8,613,75,Match Report
106,Stuttgart,2024-08-24,540,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,67,1,0,0,0,540,2485,1187,12,10,1,15,9,585,51,Match Report
107,Atalanta,2024-12-22,539,,Empoli,it Serie A,W 3-2,3,2,+1,65,3,0,0,0,539,3147,1529,31,25,7,21,10,533,48,Match Report
108,Atalanta,2024-10-26,539,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,539,2429,1433,22,27,8,7,15,728,66,Match Report
109,Dortmund,2025-02-15,539,@,Bochum,de Bundesliga,L 0-2,0,2,-2,69,0,0,0,0,539,2748,1344,37,14,9,15,12,608,75,Match Report
110,Chelsea,2024-12-22,539,@,Everton,eng Premier League,D 0-0,0,0,0,75,0,0,0,0,539,2656,1290,17,11,5,9,12,603,45,Match Report
111,Fulham,2024-11-04,539,,Brentford,eng Premier League,W 2-1,2,1,+1,68,2,0,0,0,539,2678,1262,36,20,15,9,11,591,70,Match Report
112,Roma,2024-08-25,538,,Empoli,it Serie A,L 1-2,1,2,-1,73,1,0,0,0,538,3304,1670,31,27,9,10,10,583,56,Match Report
113,Werder Bremen,2024-10-05,536,,Freiburg,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,536,2590,1226,15,11,2,16,11,551,37,Match Report
114,Freiburg,2024-09-28,536,,St. Pauli,de Bundesliga,L 0-3,0,3,-3,73,0,0,1,1,536,2831,1661,26,19,5,13,7,570,60,Match Report
115,RB Leipzig,2025-01-25,536,,Leverkusen,de Bundesliga,D 2-2,2,2,0,65,1,0,0,0,536,2427,1233,21,22,5,16,8,558,60,Match Report
116,Chelsea,2025-02-03,536,,West Ham,eng Premier League,W 2-1,2,1,+1,68,1,0,0,0,536,2866,1664,35,19,9,10,7,538,50,Match Report
117,Monaco,2025-02-28,536,,Reims,fr Ligue 1,W 3-0,3,0,+3,56,3,0,0,0,536,2621,1484,26,39,7,15,10,521,64,Match Report
118,Bayern Munich,2024-10-27,535,@,Bochum,de Bundesliga,W 5-0,5,0,+5,72,5,0,0,0,535,2913,1591,32,32,9,17,3,689,59,Match Report
119,Marseille,2025-04-06,535,,Toulouse,fr Ligue 1,W 3-2,3,2,+1,67,2,0,0,0,535,2090,1018,20,11,5,14,6,575,38,Match Report
120,Aston Villa,2024-09-14,535,,Everton,eng Premier League,W 3-2,3,2,+1,72,3,0,0,0,535,2375,1260,15,18,4,13,16,616,52,Match Report
121,Paris S-G,2025-03-01,535,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,535,2314,1306,22,15,8,15,7,619,53,Match Report
122,Girona,2024-12-14,533,@,Mallorca,es La Liga,L 1-2,1,2,-1,68,1,0,0,0,533,2697,1561,29,15,8,19,5,594,83,Match Report
123,Saint-Étienne,2025-03-01,533,,Nice,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,533,2240,1144,16,18,3,18,8,627,49,Match Report
124,Tottenham,2024-12-15,532,@,Southampton,eng Premier League,W 5-0,5,0,+5,58,5,0,0,0,532,2894,1493,24,18,5,9,6,560,36,Match Report
125,Napoli,2025-01-12,532,,Hellas Verona,it Serie A,W 2-0,2,0,+2,69,1,0,0,0,532,2890,1483,27,27,13,13,8,661,58,Match Report
