Rk,Team,Date,Gls,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
72,Villarreal,2025-01-20,4,,Mallorca,es La Liga,W 4-0,4,0,+4,43,4,0,0,0,4,14,0.29,0.57,7,50.0,13.9,0,Match Report
73,Holstein Kiel,2025-01-14,4,,Dortmund,de Bundesliga,W 4-2,4,2,+2,25,4,0,0,0,4,11,0.36,0.57,7,63.6,19.3,0,Match Report
74,Athletic Club,2024-10-19,4,,Espanyol,es La Liga,W 4-1,4,1,+3,56,4,0,0,0,4,10,0.40,0.67,6,60.0,16.8,0,Match Report
75,Gladbach,2025-03-15,4,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,47,3,1,1,0,4,12,0.25,0.50,6,50.0,18.0,0,Match Report
76,Gladbach,2024-12-14,4,,Holstein Kiel,de Bundesliga,W 4-1,4,1,+3,56,4,0,0,0,4,17,0.24,0.67,6,35.3,13.4,0,Match Report
77,Tottenham,2025-02-22,4,@,Ipswich Town,eng Premier League,W 4-1,4,1,+3,58,4,0,0,0,4,10,0.40,0.67,6,60.0,13.4,0,Match Report
78,Tottenham,2024-11-23,4,@,Manchester City,eng Premier League,W 4-0,4,0,+4,42,4,0,0,0,4,9,0.44,0.57,7,77.8,13.0,0,Match Report
79,Tottenham,2024-11-03,4,,Aston Villa,eng Premier League,W 4-1,4,1,+3,51,4,0,0,0,4,16,0.25,0.67,6,37.5,20.4,1,Match Report
80,Tottenham,2024-08-24,4,,Everton,eng Premier League,W 4-0,4,0,+4,70,4,0,0,0,4,13,0.31,0.57,7,53.8,14.1,1,Match Report
81,Toulouse,2025-03-02,4,@,Angers,fr Ligue 1,W 4-0,4,0,+4,54,4,0,0,0,4,19,0.21,0.31,13,68.4,12.3,0,Match Report
82,Toulouse,2025-02-23,4,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,46,3,1,1,0,4,10,0.30,0.75,4,40.0,17.4,0,Match Report
83,Fiorentina,2024-10-27,4,,Roma,it Serie A,W 5-1,5,1,+4,39,3,1,1,0,4,20,0.15,0.33,9,45.0,16.2,0,Match Report
84,Crystal Palace,2025-02-25,4,,Aston Villa,eng Premier League,W 4-1,4,1,+3,36,4,0,0,0,4,19,0.21,0.67,6,31.6,14.6,1,Match Report
85,Bournemouth,2025-01-18,4,@,Newcastle Utd,eng Premier League,W 4-1,4,1,+3,44,4,0,0,0,4,19,0.21,0.40,10,52.6,13.4,0,Match Report
86,Bournemouth,2024-11-30,4,@,Wolves,eng Premier League,W 4-2,4,2,+2,40,1,3,3,0,4,9,0.11,0.20,5,55.6,21.4,0,Match Report
87,Wolfsburg,2024-12-08,4,,Mainz 05,de Bundesliga,W 4-3,4,3,+1,44,4,0,0,0,4,10,0.40,0.80,5,50.0,19.9,1,Match Report
88,Real Madrid,2025-01-19,4,,Las Palmas,es La Liga,W 4-1,4,1,+3,61,3,1,1,0,4,25,0.12,0.25,12,48.0,16.1,0,Match Report
89,Real Madrid,2024-12-22,4,,Sevilla,es La Liga,W 4-2,4,2,+2,59,4,0,0,0,4,16,0.25,0.57,7,43.8,14.6,0,Match Report
90,Real Madrid,2024-11-09,4,,Osasuna,es La Liga,W 4-0,4,0,+4,68,4,0,0,0,4,18,0.22,0.50,8,44.4,15.2,1,Match Report
91,Real Madrid,2024-09-21,4,,Espanyol,es La Liga,W 4-1,4,1,+3,73,3,1,1,0,4,30,0.10,0.23,13,43.3,17.4,0,Match Report
92,Stuttgart,2025-04-05,4,@,Bochum,de Bundesliga,W 4-0,4,0,+4,46,4,0,0,0,4,14,0.29,0.67,6,42.9,15.4,0,Match Report
93,Stuttgart,2025-01-18,4,,Freiburg,de Bundesliga,W 4-0,4,0,+4,56,3,1,1,0,4,11,0.27,0.50,6,54.5,16.2,0,Match Report
94,Auxerre,2024-11-03,4,,Rennes,fr Ligue 1,W 4-0,4,0,+4,39,3,1,1,0,4,15,0.20,0.43,7,46.7,17.6,0,Match Report
95,Le Havre,2025-03-01,4,@,Lens,fr Ligue 1,W 4-3,4,3,+1,31,3,1,1,0,4,7,0.43,1.00,3,42.9,18.7,0,Match Report
96,Werder Bremen,2024-12-21,4,,Union Berlin,de Bundesliga,W 4-1,4,1,+3,54,4,0,0,0,4,10,0.40,0.80,5,50.0,11.9,0,Match Report
97,Werder Bremen,2024-10-20,4,@,Wolfsburg,de Bundesliga,W 4-2,4,2,+2,57,4,0,0,0,4,15,0.27,0.57,7,46.7,16.8,1,Match Report
98,Werder Bremen,2024-09-29,4,@,Hoffenheim,de Bundesliga,W 4-3,4,3,+1,64,4,0,0,0,4,23,0.17,0.40,10,43.5,14.2,1,Match Report
99,Angers,2024-10-26,4,,Saint-Étienne,fr Ligue 1,W 4-2,4,2,+2,42,3,1,1,0,4,12,0.25,0.43,7,58.3,15.5,1,Match Report
