Rk,Team,Date,Gls,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
643,Real Madrid,2025-02-23,2,,Girona,es La Liga,W 2-0,2,0,+2,63,2,0,0,0,2,22,0.09,0.40,5,22.7,18.1,0,Match Report
644,Real Madrid,2025-01-03,2,@,Valencia,es La Liga,W 2-1,2,1,+1,62,2,0,1,1,2,16,0.13,0.40,5,31.3,21.5,0,Match Report
645,Real Madrid,2024-12-01,2,,Getafe,es La Liga,W 2-0,2,0,+2,69,1,1,1,0,2,12,0.08,0.33,3,25.0,17.6,0,Match Report
646,Real Madrid,2024-10-19,2,@,Celta Vigo,es La Liga,W 2-1,2,1,+1,53,2,0,0,0,2,10,0.20,0.67,3,30.0,18.6,0,Match Report
647,Real Madrid,2024-10-05,2,,Villarreal,es La Liga,W 2-0,2,0,+2,55,2,0,0,0,2,11,0.18,1.00,2,18.2,22.0,0,Match Report
648,Real Madrid,2024-09-14,2,@,Real Sociedad,es La Liga,W 2-0,2,0,+2,52,0,2,2,0,2,14,0.00,0.00,4,28.6,19.4,1,Match Report
649,Real Madrid,2024-09-01,2,,Betis,es La Liga,W 2-0,2,0,+2,60,1,1,1,0,2,21,0.05,0.17,6,28.6,16.3,0,Match Report
650,St. Pauli,2025-03-29,2,@,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,35,2,0,0,0,2,10,0.20,0.50,4,40.0,19.2,1,Match Report
651,St. Pauli,2025-01-18,2,@,Heidenheim,de Bundesliga,W 2-0,2,0,+2,40,1,1,1,0,2,6,0.17,0.33,3,50.0,17.7,0,Match Report
652,St. Pauli,2024-11-02,2,@,Hoffenheim,de Bundesliga,W 2-0,2,0,+2,33,2,0,0,0,2,7,0.29,0.67,3,42.9,15.7,0,Match Report
653,Marseille,2025-04-06,2,,Toulouse,fr Ligue 1,W 3-2,3,2,+1,67,2,0,0,0,2,9,0.22,0.50,4,44.4,16.3,0,Match Report
654,Marseille,2025-03-02,2,,Nantes,fr Ligue 1,W 2-0,2,0,+2,74,2,0,0,0,2,21,0.10,0.40,5,23.8,19.5,1,Match Report
655,Marseille,2025-02-09,2,@,Angers,fr Ligue 1,W 2-0,2,0,+2,78,2,0,0,0,2,18,0.11,0.25,8,44.4,12.3,0,Match Report
656,Marseille,2025-01-11,2,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,64,2,0,0,0,2,13,0.15,0.29,7,53.8,14.9,1,Match Report
657,Marseille,2024-12-08,2,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,68,2,0,1,1,2,20,0.10,0.22,9,45.0,16.9,1,Match Report
658,Marseille,2024-12-01,2,,Monaco,fr Ligue 1,W 2-1,2,1,+1,63,1,1,1,0,2,8,0.13,0.33,3,37.5,19.3,1,Match Report
659,Marseille,2024-11-03,2,@,Nantes,fr Ligue 1,W 2-1,2,1,+1,73,2,0,0,0,2,9,0.22,0.50,4,44.4,19.5,0,Match Report
660,Marseille,2024-09-14,2,,Nice,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,2,10,0.20,0.40,5,50.0,19.4,0,Match Report
661,Marseille,2024-08-31,2,@,Toulouse,fr Ligue 1,W 3-1,3,1,+2,76,2,0,0,0,2,12,0.17,0.50,4,33.3,16.4,2,Match Report
662,Marseille,2024-08-25,2,,Reims,fr Ligue 1,D 2-2,2,2,0,66,2,0,0,0,2,21,0.10,0.20,10,47.6,15.7,0,Match Report
663,Stuttgart,2025-03-16,2,,Leverkusen,de Bundesliga,L 3-4,3,4,-1,43,2,0,0,0,2,11,0.18,0.33,6,54.5,11.9,0,Match Report
664,Stuttgart,2025-03-08,2,@,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,48,2,0,0,0,2,6,0.33,1.00,2,33.3,12.4,0,Match Report
665,Stuttgart,2025-01-15,2,,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,2,14,0.14,0.33,6,42.9,16.3,0,Match Report
666,Stuttgart,2024-11-30,2,@,Werder Bremen,de Bundesliga,D 2-2,2,2,0,57,2,0,0,0,2,10,0.20,0.50,4,40.0,17.7,0,Match Report
667,Stuttgart,2024-11-23,2,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,2,15,0.13,0.50,4,26.7,15.7,0,Match Report
668,Stuttgart,2024-11-10,2,,Eint Frankfurt,de Bundesliga,L 2-3,2,3,-1,60,2,0,1,1,2,21,0.10,0.22,9,42.9,16.6,0,Match Report
669,Stuttgart,2024-10-26,2,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,2,16,0.13,0.33,6,37.5,17.8,0,Match Report
670,Stuttgart,2024-09-28,2,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,69,2,0,1,1,2,17,0.12,0.67,3,17.6,18.9,1,Match Report
671,Auxerre,2025-03-09,2,@,Reims,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,2,13,0.15,0.22,9,69.2,14.3,0,Match Report
672,Auxerre,2025-02-14,2,@,Brest,fr Ligue 1,D 2-2,2,2,0,36,2,0,0,0,2,11,0.18,0.33,6,54.5,17.9,1,Match Report
673,Auxerre,2025-02-09,2,,Toulouse,fr Ligue 1,D 2-2,2,2,0,53,2,0,0,0,2,9,0.22,0.67,3,33.3,15.5,0,Match Report
674,Auxerre,2025-02-01,2,@,Monaco,fr Ligue 1,L 2-4,2,4,-2,43,1,1,1,0,2,11,0.09,0.17,6,54.5,17.9,0,Match Report
675,Auxerre,2024-12-14,2,,Lens,fr Ligue 1,D 2-2,2,2,0,40,2,0,0,0,2,10,0.20,0.67,3,30.0,19.5,1,Match Report
676,Auxerre,2024-10-27,2,@,Lyon,fr Ligue 1,D 2-2,2,2,0,38,2,0,0,0,2,19,0.11,0.40,5,26.3,16.0,0,Match Report
677,Auxerre,2024-10-20,2,,Reims,fr Ligue 1,W 2-1,2,1,+1,35,2,0,1,1,2,9,0.22,0.29,7,77.8,15.5,0,Match Report
678,Auxerre,2024-09-22,2,@,Montpellier,fr Ligue 1,L 2-3,2,3,-1,46,2,0,0,0,2,11,0.18,0.40,5,45.5,13.5,0,Match Report
679,Auxerre,2024-08-18,2,,Nice,fr Ligue 1,W 2-1,2,1,+1,45,2,0,0,0,2,16,0.13,0.29,7,43.8,16.0,1,Match Report
680,Le Havre,2025-04-06,2,@,Montpellier,fr Ligue 1,W 2-0,2,0,+2,45,2,0,0,0,2,13,0.15,0.50,4,30.8,20.7,2,Match Report
681,Le Havre,2025-03-16,2,@,Lyon,fr Ligue 1,L 2-4,2,4,-2,33,1,1,1,0,2,13,0.08,0.25,4,30.8,20.1,0,Match Report
682,Le Havre,2025-02-08,2,@,Lille,fr Ligue 1,W 2-1,2,1,+1,34,2,0,0,0,2,14,0.14,0.33,6,42.9,12.2,0,Match Report
683,Le Havre,2024-09-01,2,,Auxerre,fr Ligue 1,W 3-1,3,1,+2,50,1,1,1,0,2,21,0.05,0.14,7,33.3,19.8,1,Match Report
684,Le Havre,2024-08-24,2,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,41,1,1,1,0,2,13,0.08,0.25,4,30.8,20.4,0,Match Report
685,Werder Bremen,2025-04-05,2,,Eint Frankfurt,de Bundesliga,W 2-0,2,0,+2,38,2,0,0,0,2,12,0.17,0.50,4,33.3,17.2,0,Match Report
686,Werder Bremen,2025-03-15,2,,Gladbach,de Bundesliga,L 2-4,2,4,-2,53,1,1,1,0,2,22,0.05,1.00,1,4.5,15.1,1,Match Report
687,Werder Bremen,2025-03-08,2,@,Leverkusen,de Bundesliga,W 2-0,2,0,+2,28,2,0,0,0,2,11,0.18,0.29,7,63.6,16.0,1,Match Report
688,Werder Bremen,2025-01-25,2,@,Dortmund,de Bundesliga,D 2-2,2,2,0,54,2,0,0,0,2,13,0.15,0.50,4,30.8,18.9,1,Match Report
689,Werder Bremen,2025-01-12,2,@,RB Leipzig,de Bundesliga,L 2-4,2,4,-2,51,2,0,0,0,2,7,0.29,1.00,2,28.6,15.2,0,Match Report
690,Werder Bremen,2024-12-14,2,@,St. Pauli,de Bundesliga,W 2-0,2,0,+2,44,2,0,0,0,2,8,0.25,0.50,4,50.0,17.5,0,Match Report
691,Werder Bremen,2024-11-30,2,,Stuttgart,de Bundesliga,D 2-2,2,2,0,43,2,0,0,0,2,20,0.10,0.33,6,30.0,15.4,0,Match Report
692,Werder Bremen,2024-11-09,2,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,60,2,0,0,0,2,16,0.13,0.40,5,31.3,15.2,1,Match Report
693,Werder Bremen,2024-10-26,2,,Leverkusen,de Bundesliga,D 2-2,2,2,0,43,2,0,0,0,2,13,0.15,0.25,8,61.5,16.6,0,Match Report
694,Werder Bremen,2024-09-15,2,@,Mainz 05,de Bundesliga,W 2-1,2,1,+1,42,1,1,1,0,2,13,0.08,0.33,3,23.1,16.1,0,Match Report
695,Werder Bremen,2024-08-24,2,@,Augsburg,de Bundesliga,D 2-2,2,2,0,54,2,0,0,0,2,11,0.18,0.40,5,45.5,13.0,0,Match Report
696,Genoa,2025-03-14,2,,Lecce,it Serie A,W 2-1,2,1,+1,44,2,0,0,0,2,8,0.25,1.00,2,25.0,26.1,0,Match Report
697,Genoa,2025-02-17,2,,Venezia,it Serie A,W 2-0,2,0,+2,51,2,0,0,0,2,14,0.14,0.40,5,35.7,15.2,0,Match Report
698,Genoa,2025-01-27,2,,Monza,it Serie A,W 2-0,2,0,+2,50,2,0,1,1,2,17,0.12,0.40,5,29.4,13.9,0,Match Report
699,Genoa,2024-12-28,2,@,Empoli,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,2,14,0.14,0.40,5,35.7,17.6,0,Match Report
700,Genoa,2024-11-24,2,,Cagliari,it Serie A,D 2-2,2,2,0,52,2,0,0,0,2,20,0.10,0.33,6,30.0,15.9,0,Match Report
701,Genoa,2024-10-19,2,,Bologna,it Serie A,D 2-2,2,2,0,39,2,0,0,0,2,10,0.20,0.50,4,40.0,20.5,0,Match Report
702,Genoa,2024-08-17,2,,Inter,it Serie A,D 2-2,2,2,0,32,2,0,1,1,2,12,0.17,0.33,6,50.0,19.2,1,Match Report
703,Angers,2025-01-05,2,,Brest,fr Ligue 1,W 2-0,2,0,+2,39,2,0,0,0,2,7,0.29,1.00,2,28.6,10.1,0,Match Report
704,Angers,2024-11-09,2,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,30,2,0,0,0,2,10,0.20,0.67,3,30.0,16.3,0,Match Report
705,Lazio,2025-03-02,2,@,Milan,it Serie A,W 2-1,2,1,+1,39,1,1,1,0,2,20,0.05,0.14,7,35.0,17.7,1,Match Report
706,Lazio,2025-02-15,2,,Napoli,it Serie A,D 2-2,2,2,0,53,2,0,0,0,2,12,0.17,0.40,5,41.7,22.1,2,Match Report
707,Lazio,2025-02-03,2,@,Cagliari,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,2,11,0.18,0.33,6,54.5,14.1,0,Match Report
708,Lazio,2024-12-21,2,@,Lecce,it Serie A,W 2-1,2,1,+1,59,1,1,1,0,2,12,0.08,0.20,5,41.7,19.2,1,Match Report
709,Lazio,2024-11-04,2,,Cagliari,it Serie A,W 2-1,2,1,+1,54,1,1,1,0,2,19,0.05,0.33,3,15.8,18.6,1,Match Report
710,Lazio,2024-10-06,2,,Empoli,it Serie A,W 2-1,2,1,+1,58,2,0,1,1,2,15,0.13,0.40,5,33.3,18.6,0,Match Report
711,Lazio,2024-09-16,2,,Hellas Verona,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,2,14,0.14,0.29,7,50.0,21.9,0,Match Report
712,Lazio,2024-08-31,2,,Milan,it Serie A,D 2-2,2,2,0,43,2,0,0,0,2,7,0.29,0.50,4,57.1,9.3,0,Match Report
713,Lazio,2024-08-18,2,,Venezia,it Serie A,W 3-1,3,1,+2,67,1,1,1,0,2,12,0.08,0.20,5,41.7,16.7,0,Match Report
714,Getafe,2025-03-16,2,@,Osasuna,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,2,7,0.29,0.67,3,42.9,17.5,0,Match Report
715,Getafe,2025-03-09,2,,Atlético Madrid,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,2,11,0.18,0.67,3,27.3,17.0,0,Match Report
716,Getafe,2025-02-14,2,@,Girona,es La Liga,W 2-1,2,1,+1,29,2,0,0,0,2,10,0.20,0.33,6,60.0,20.5,1,Match Report
717,Getafe,2025-01-12,2,@,Las Palmas,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,2,12,0.17,0.67,3,25.0,17.5,1,Match Report
718,Getafe,2024-11-22,2,,Valladolid,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,2,12,0.17,0.40,5,41.7,16.5,1,Match Report
719,Getafe,2024-09-28,2,,Alavés,es La Liga,W 2-0,2,0,+2,46,1,1,1,0,2,13,0.08,0.14,7,53.8,19.0,2,Match Report
720,Union Berlin,2025-03-30,2,@,Freiburg,de Bundesliga,W 2-1,2,1,+1,28,2,0,0,0,2,10,0.20,0.33,6,60.0,16.7,1,Match Report
721,Union Berlin,2025-03-09,2,@,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,34,2,0,0,0,2,11,0.18,0.67,3,27.3,13.9,0,Match Report
722,Union Berlin,2025-01-19,2,,Mainz 05,de Bundesliga,W 2-1,2,1,+1,34,1,1,1,0,2,11,0.09,0.33,3,27.3,18.9,1,Match Report
723,Union Berlin,2024-12-06,2,@,Stuttgart,de Bundesliga,L 2-3,2,3,-1,36,2,0,0,0,2,14,0.14,0.67,3,21.4,15.3,0,Match Report
724,Union Berlin,2024-10-20,2,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,2,14,0.14,0.50,4,28.6,14.8,0,Match Report
725,Union Berlin,2024-10-05,2,,Dortmund,de Bundesliga,W 2-1,2,1,+1,33,1,1,1,0,2,13,0.08,0.25,4,30.8,19.1,0,Match Report
726,Union Berlin,2024-09-21,2,,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,2,12,0.17,1.00,2,16.7,18.3,2,Match Report
727,West Ham,2025-04-05,2,,Bournemouth,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,2,9,0.22,0.67,3,33.3,16.4,1,Match Report
728,West Ham,2024-12-09,2,,Wolves,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,2,19,0.11,0.50,4,21.1,15.8,0,Match Report
729,West Ham,2024-11-30,2,,Arsenal,eng Premier League,L 2-5,2,5,-3,40,2,0,0,0,2,12,0.17,0.40,5,41.7,18.1,2,Match Report
730,West Ham,2024-11-25,2,@,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,2,15,0.13,0.33,6,40.0,19.8,1,Match Report
731,West Ham,2024-10-27,2,,Manchester Utd,eng Premier League,W 2-1,2,1,+1,42,1,1,1,0,2,11,0.09,0.50,2,18.2,12.3,0,Match Report
732,West Ham,2024-08-24,2,@,Crystal Palace,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,2,18,0.11,0.67,3,16.7,17.2,0,Match Report
733,Leganés,2025-03-29,2,@,Real Madrid,es La Liga,L 2-3,2,3,-1,30,2,0,0,0,2,10,0.20,0.50,4,40.0,16.0,0,Match Report
734,Leganés,2025-03-16,2,,Betis,es La Liga,L 2-3,2,3,-1,36,2,0,0,0,2,10,0.20,0.50,4,40.0,18.4,0,Match Report
735,Leganés,2024-12-22,2,,Villarreal,es La Liga,L 2-5,2,5,-3,36,1,1,1,0,2,4,0.25,0.50,2,50.0,18.3,0,Match Report
736,Leganés,2024-08-25,2,,Las Palmas,es La Liga,W 2-1,2,1,+1,39,2,0,1,1,2,9,0.22,0.50,4,44.4,20.4,1,Match Report
737,Reims,2025-01-11,2,,Nice,fr Ligue 1,L 2-4,2,4,-2,54,2,0,0,0,2,12,0.17,0.67,3,25.0,18.9,0,Match Report
738,Reims,2024-09-15,2,@,Nantes,fr Ligue 1,W 2-1,2,1,+1,55,2,0,0,0,2,11,0.18,0.50,4,36.4,19.6,0,Match Report
739,Reims,2024-09-01,2,,Rennes,fr Ligue 1,W 2-1,2,1,+1,53,2,0,0,0,2,11,0.18,0.29,7,63.6,15.8,0,Match Report
740,Reims,2024-08-25,2,@,Marseille,fr Ligue 1,D 2-2,2,2,0,34,2,0,0,0,2,13,0.15,0.67,3,23.1,18.0,0,Match Report
741,Liverpool,2025-04-06,2,@,Fulham,eng Premier League,L 2-3,2,3,-1,63,2,0,0,0,2,14,0.14,0.33,6,42.9,16.4,0,Match Report
742,Liverpool,2025-02-26,2,,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,61,2,0,0,0,2,12,0.17,0.67,3,25.0,16.2,0,Match Report
743,Liverpool,2025-02-23,2,@,Manchester City,eng Premier League,W 2-0,2,0,+2,34,2,0,0,0,2,8,0.25,0.50,4,50.0,16.4,0,Match Report
744,Liverpool,2025-02-19,2,@,Aston Villa,eng Premier League,D 2-2,2,2,0,48,2,0,0,0,2,17,0.12,0.67,3,17.6,14.2,0,Match Report
745,Liverpool,2025-02-16,2,,Wolves,eng Premier League,W 2-1,2,1,+1,50,1,1,1,0,2,9,0.11,0.50,2,22.2,16.9,0,Match Report
746,Liverpool,2025-02-12,2,@,Everton,eng Premier League,D 2-2,2,2,0,63,2,0,0,0,2,6,0.33,0.50,4,66.7,15.4,0,Match Report
747,Liverpool,2025-02-01,2,@,Bournemouth,eng Premier League,W 2-0,2,0,+2,51,1,1,1,0,2,18,0.06,0.17,6,33.3,18.5,0,Match Report
748,Liverpool,2025-01-18,2,@,Brentford,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,2,37,0.05,0.25,8,21.6,15.4,0,Match Report
749,Liverpool,2025-01-05,2,,Manchester Utd,eng Premier League,D 2-2,2,2,0,53,1,1,1,0,2,18,0.06,0.20,5,27.8,16.9,1,Match Report
750,Liverpool,2024-12-14,2,,Fulham,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,2,16,0.13,0.50,4,25.0,13.9,0,Match Report
751,Liverpool,2024-12-01,2,,Manchester City,eng Premier League,W 2-0,2,0,+2,44,1,1,1,0,2,17,0.06,0.17,6,35.3,17.5,0,Match Report
752,Liverpool,2024-11-09,2,,Aston Villa,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,2,14,0.14,0.40,5,35.7,16.1,0,Match Report
753,Liverpool,2024-11-02,2,,Brighton,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,2,16,0.13,0.25,8,50.0,14.0,0,Match Report
754,Liverpool,2024-10-27,2,@,Arsenal,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,2,9,0.22,0.50,4,44.4,17.8,0,Match Report
755,Liverpool,2024-10-20,2,,Chelsea,eng Premier League,W 2-1,2,1,+1,43,1,1,1,0,2,8,0.13,0.25,4,50.0,22.7,1,Match Report
756,Liverpool,2024-09-28,2,@,Wolves,eng Premier League,W 2-1,2,1,+1,55,1,1,1,0,2,9,0.11,0.20,5,55.6,18.0,1,Match Report
757,Liverpool,2024-08-25,2,,Brentford,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,2,19,0.11,0.25,8,42.1,13.6,1,Match Report
758,Liverpool,2024-08-17,2,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,2,18,0.11,0.40,5,27.8,14.8,0,Match Report
759,Aston Villa,2025-04-05,2,,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,2,17,0.12,0.25,8,47.1,16.4,1,Match Report
760,Aston Villa,2025-02-22,2,,Chelsea,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,2,12,0.17,0.33,6,50.0,13.2,0,Match Report
761,Aston Villa,2025-02-19,2,,Liverpool,eng Premier League,D 2-2,2,2,0,52,2,0,0,0,2,9,0.22,0.67,3,33.3,18.0,0,Match Report
762,Aston Villa,2025-01-18,2,@,Arsenal,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,2,8,0.25,0.50,4,50.0,16.9,0,Match Report
763,Aston Villa,2025-01-04,2,,Leicester City,eng Premier League,W 2-1,2,1,+1,60,2,0,0,0,2,13,0.15,0.40,5,38.5,15.9,0,Match Report
764,Aston Villa,2024-12-30,2,,Brighton,eng Premier League,D 2-2,2,2,0,59,1,1,1,0,2,19,0.05,0.33,3,15.8,17.9,0,Match Report
765,Aston Villa,2024-12-21,2,,Manchester City,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,2,11,0.18,0.33,6,54.5,13.9,0,Match Report
766,Aston Villa,2024-11-23,2,,Crystal Palace,eng Premier League,D 2-2,2,2,0,69,2,0,1,1,2,16,0.13,0.50,4,25.0,14.9,0,Match Report
767,Aston Villa,2024-10-19,2,@,Fulham,eng Premier League,W 3-1,3,1,+2,48,2,0,0,0,2,14,0.14,0.40,5,35.7,15.1,1,Match Report
768,Aston Villa,2024-09-29,2,@,Ipswich Town,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,2,7,0.29,0.67,3,42.9,19.0,1,Match Report
769,Aston Villa,2024-08-31,2,@,Leicester City,eng Premier League,W 2-1,2,1,+1,43,2,0,0,0,2,10,0.20,0.40,5,50.0,17.9,0,Match Report
770,Aston Villa,2024-08-17,2,@,West Ham,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,2,15,0.13,0.67,3,20.0,15.2,0,Match Report
771,Wolves,2025-04-05,2,@,Ipswich Town,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,2,22,0.09,0.33,6,27.3,13.2,0,Match Report
772,Wolves,2025-03-15,2,@,Southampton,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,2,5,0.40,0.67,3,60.0,18.5,0,Match Report
773,Wolves,2025-02-01,2,,Aston Villa,eng Premier League,W 2-0,2,0,+2,32,2,0,0,0,2,8,0.25,0.40,5,62.5,17.2,1,Match Report
774,Wolves,2024-12-29,2,@,Tottenham,eng Premier League,D 2-2,2,2,0,52,2,0,0,0,2,11,0.18,0.67,3,27.3,20.0,1,Match Report
775,Wolves,2024-12-26,2,,Manchester Utd,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,2,7,0.29,0.50,4,57.1,24.1,1,Match Report
776,Wolves,2024-11-30,2,,Bournemouth,eng Premier League,L 2-4,2,4,-2,60,2,0,0,0,2,10,0.20,0.67,3,30.0,19.9,1,Match Report
777,Wolves,2024-11-09,2,,Southampton,eng Premier League,W 2-0,2,0,+2,29,2,0,0,0,2,8,0.25,0.50,4,50.0,23.1,0,Match Report
778,Wolves,2024-11-02,2,,Crystal Palace,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,2,11,0.18,0.33,6,54.5,17.6,0,Match Report
779,Wolves,2024-10-26,2,@,Brighton,eng Premier League,D 2-2,2,2,0,49,2,0,0,0,2,14,0.14,0.29,7,50.0,11.9,0,Match Report
780,Wolves,2024-08-25,2,,Chelsea,eng Premier League,L 2-6,2,6,-4,40,2,0,0,0,2,12,0.17,0.50,4,33.3,19.1,1,Match Report
781,Alavés,2025-03-14,2,@,Las Palmas,es La Liga,D 2-2,2,2,0,39,2,0,0,0,2,9,0.22,0.67,3,33.3,18.4,0,Match Report
782,Alavés,2024-12-22,2,@,Valencia,es La Liga,D 2-2,2,2,0,38,1,1,1,0,2,10,0.10,0.50,2,20.0,19.1,1,Match Report
783,Alavés,2024-12-08,2,@,Osasuna,es La Liga,D 2-2,2,2,0,40,2,0,0,0,2,6,0.33,0.67,3,50.0,15.3,1,Match Report
784,Alavés,2024-10-18,2,,Valladolid,es La Liga,L 2-3,2,3,-1,62,2,0,0,0,2,10,0.20,0.50,4,40.0,19.6,1,Match Report
785,Alavés,2024-09-24,2,@,Real Madrid,es La Liga,L 2-3,2,3,-1,32,2,0,0,0,2,12,0.17,0.67,3,25.0,19.7,0,Match Report
786,Alavés,2024-09-20,2,,Sevilla,es La Liga,W 2-1,2,1,+1,35,2,0,0,0,2,10,0.20,0.50,4,40.0,15.9,1,Match Report
787,Alavés,2024-09-14,2,@,Espanyol,es La Liga,L 2-3,2,3,-1,61,2,0,0,0,2,19,0.11,0.33,6,31.6,14.1,2,Match Report
788,Alavés,2024-09-01,2,,Las Palmas,es La Liga,W 2-0,2,0,+2,30,2,0,1,1,2,14,0.14,0.40,5,35.7,19.6,1,Match Report
789,Alavés,2024-08-28,2,@,Real Sociedad,es La Liga,W 2-1,2,1,+1,47,1,1,1,0,2,13,0.08,0.25,4,30.8,18.1,0,Match Report
790,Girona,2025-03-01,2,,Celta Vigo,es La Liga,D 2-2,2,2,0,51,2,0,0,0,2,9,0.22,0.33,6,66.7,18.1,1,Match Report
791,Girona,2025-02-03,2,,Las Palmas,es La Liga,W 2-1,2,1,+1,47,2,0,1,1,2,11,0.18,0.67,3,27.3,15.9,0,Match Report
792,Girona,2024-12-01,2,@,Villarreal,es La Liga,D 2-2,2,2,0,64,2,0,0,0,2,13,0.15,0.33,6,46.2,21.4,0,Match Report
793,Girona,2024-10-06,2,,Athletic Club,es La Liga,W 2-1,2,1,+1,66,1,1,1,0,2,13,0.08,0.20,5,38.5,15.9,0,Match Report
794,Girona,2024-09-01,2,@,Sevilla,es La Liga,W 2-0,2,0,+2,50,1,1,1,0,2,10,0.10,0.33,3,30.0,17.0,0,Match Report
795,Atalanta,2025-01-25,2,@,Como,it Serie A,W 2-1,2,1,+1,46,2,0,0,0,2,5,0.40,0.67,3,60.0,15.3,0,Match Report
796,Atalanta,2025-01-18,2,,Napoli,it Serie A,L 2-3,2,3,-1,56,2,0,0,0,2,15,0.13,0.33,6,40.0,17.1,0,Match Report
797,Atalanta,2024-12-06,2,,Milan,it Serie A,W 2-1,2,1,+1,52,2,0,0,0,2,17,0.12,0.25,8,47.1,14.1,0,Match Report
798,Atalanta,2024-12-02,2,@,Roma,it Serie A,W 2-0,2,0,+2,52,2,0,0,0,2,18,0.11,0.29,7,38.9,15.1,1,Match Report
799,Atalanta,2024-10-30,2,,Monza,it Serie A,W 2-0,2,0,+2,53,2,0,0,0,2,16,0.13,0.40,5,31.3,19.1,2,Match Report
800,Atalanta,2024-10-20,2,@,Venezia,it Serie A,W 2-0,2,0,+2,57,2,0,0,0,2,16,0.13,0.29,7,43.8,15.7,0,Match Report
801,Atalanta,2024-09-24,2,,Como,it Serie A,L 2-3,2,3,-1,59,1,1,1,0,2,7,0.14,0.25,4,57.1,20.0,0,Match Report
802,Rayo Vallecano,2025-03-29,2,@,Alavés,es La Liga,W 2-0,2,0,+2,45,2,0,0,0,2,11,0.18,0.40,5,45.5,19.3,1,Match Report
803,Rayo Vallecano,2025-03-16,2,,Real Sociedad,es La Liga,D 2-2,2,2,0,55,2,0,0,0,2,10,0.20,0.40,5,50.0,26.0,1,Match Report
804,Rayo Vallecano,2025-01-26,2,,Girona,es La Liga,W 2-1,2,1,+1,57,2,0,0,0,2,17,0.12,0.29,7,41.2,19.0,0,Match Report
805,Rayo Vallecano,2025-01-10,2,,Celta Vigo,es La Liga,W 2-1,2,1,+1,50,2,0,0,0,2,8,0.25,0.40,5,62.5,20.2,1,Match Report
806,Rayo Vallecano,2024-10-05,2,@,Valladolid,es La Liga,W 2-1,2,1,+1,60,2,0,0,0,2,17,0.12,0.67,3,17.6,20.7,2,Match Report
807,Rayo Vallecano,2024-08-18,2,@,Real Sociedad,es La Liga,W 2-1,2,1,+1,34,2,0,0,0,2,12,0.17,0.50,4,33.3,21.7,1,Match Report
808,Mainz 05,2025-03-15,2,,Freiburg,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,2,9,0.22,0.50,4,44.4,20.2,0,Match Report
