Rk,Team,Date,#OPA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,#OPA,AvgDist,Match Report
76,Leicester City,2025-01-18,5,,Fulham,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,5,27.3,Match Report
77,Leicester City,2024-08-31,5,,Aston Villa,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,5,20.0,Match Report
78,RB Leipzig,2025-03-29,5,@,Gladbach,de Bundesliga,L 0-1,0,1,-1,60,0,0,0,0,5,20.4,Match Report
79,RB Leipzig,2025-03-01,5,,Mainz 05,de Bundesliga,L 1-2,1,2,-1,49,1,0,0,0,5,29.7,Match Report
80,Sevilla,2024-12-14,5,,Celta Vigo,es La Liga,W 1-0,1,0,+1,45,1,0,0,0,5,16.1,Match Report
81,Dortmund,2025-03-15,5,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,66,0,0,0,0,5,20.5,Match Report
82,Newcastle Utd,2024-12-07,5,@,Brentford,eng Premier League,L 2-4,2,4,-2,57,2,0,0,0,5,20.7,Match Report
83,Newcastle Utd,2024-10-27,5,@,Chelsea,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,5,12.2,Match Report
84,Rennes,2024-12-15,5,,Angers,fr Ligue 1,W 2-0,2,0,+2,44,2,0,0,0,5,18.4,Match Report
85,Rennes,2024-11-30,5,,Saint-Étienne,fr Ligue 1,W 5-0,5,0,+5,71,3,2,2,0,5,18.6,Match Report
86,Manchester City,2025-04-02,5,,Leicester City,eng Premier League,W 2-0,2,0,+2,72,2,0,0,0,5,22.3,Match Report
87,Manchester City,2025-03-08,5,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,69,0,0,0,0,5,20.1,Match Report
88,Manchester City,2024-11-09,5,@,Brighton,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,5,20.4,Match Report
89,Cagliari,2025-03-30,5,,Monza,it Serie A,W 3-0,3,0,+3,42,3,0,0,0,5,20.5,Match Report
90,Brentford,2024-10-19,5,@,Manchester Utd,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,5,15.9,Match Report
91,Roma,2024-11-03,5,@,Hellas Verona,it Serie A,L 2-3,2,3,-1,66,2,0,0,0,5,19.4,Match Report
92,Chelsea,2024-12-26,5,,Fulham,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,5,23.3,Match Report
93,Chelsea,2024-09-28,5,,Brighton,eng Premier League,W 4-2,4,2,+2,41,3,1,1,0,5,22.6,Match Report
94,Everton,2024-08-17,5,,Brighton,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,5,25.4,Match Report
95,Milan,2025-02-08,5,@,Empoli,it Serie A,W 2-0,2,0,+2,61,2,0,0,0,5,27.8,Match Report
96,Milan,2024-08-24,5,@,Parma,it Serie A,L 1-2,1,2,-1,61,1,0,0,0,5,22.5,Match Report
97,Valencia,2025-01-03,5,,Real Madrid,es La Liga,L 1-2,1,2,-1,38,1,0,0,0,5,19.0,Match Report
98,Paris S-G,2024-09-21,5,@,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,5,25.4,Match Report
99,Eint Frankfurt,2025-03-16,5,@,Bochum,de Bundesliga,W 3-1,3,1,+2,49,3,0,0,0,5,18.7,Match Report
100,Eint Frankfurt,2024-09-29,5,@,Holstein Kiel,de Bundesliga,W 4-2,4,2,+2,53,4,0,0,0,5,17.3,Match Report
101,Brest,2024-10-19,5,,Rennes,fr Ligue 1,D 1-1,1,1,0,56,0,1,1,0,5,29.0,Match Report
102,Betis,2024-09-29,5,,Espanyol,es La Liga,W 1-0,1,0,+1,53,1,0,1,1,5,21.9,Match Report
103,Lens,2025-02-23,5,@,Nantes,fr Ligue 1,L 1-3,1,3,-2,65,0,1,1,0,5,20.9,Match Report
104,Monaco,2024-12-18,5,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,40,1,1,1,0,5,22.7,Match Report
105,Monaco,2024-11-09,5,@,Strasbourg,fr Ligue 1,W 3-1,3,1,+2,57,2,1,1,0,5,17.3,Match Report
106,Osasuna,2024-09-24,4,@,Valencia,es La Liga,D 0-0,0,0,0,48,0,0,0,0,4,18.4,Match Report
107,Osasuna,2024-09-21,4,,Las Palmas,es La Liga,W 2-1,2,1,+1,40,1,1,1,0,4,20.4,Match Report
108,Bayern Munich,2025-02-07,4,,Werder Bremen,de Bundesliga,W 3-0,3,0,+3,75,1,2,2,0,4,22.5,Match Report
109,Bayern Munich,2024-11-22,4,,Augsburg,de Bundesliga,W 3-0,3,0,+3,80,1,2,2,0,4,20.3,Match Report
110,Torino,2025-03-02,4,@,Monza,it Serie A,W 2-0,2,0,+2,47,2,0,0,0,4,19.3,Match Report
111,Torino,2025-02-08,4,,Genoa,it Serie A,D 1-1,1,1,0,57,0,0,0,0,4,20.1,Match Report
112,Nice,2025-01-11,4,@,Reims,fr Ligue 1,W 4-2,4,2,+2,46,3,1,1,0,4,16.4,Match Report
113,Valladolid,2024-10-18,4,@,Alavés,es La Liga,W 3-2,3,2,+1,38,1,2,2,0,4,21.9,Match Report
114,Arsenal,2025-02-22,4,,West Ham,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,4,22.6,Match Report
115,Arsenal,2024-10-05,4,,Southampton,eng Premier League,W 3-1,3,1,+2,59,3,0,0,0,4,23.5,Match Report
116,Manchester Utd,2024-08-16,4,,Fulham,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,4,16.3,Match Report
117,Barcelona,2025-04-05,4,,Betis,es La Liga,D 1-1,1,1,0,73,1,0,0,0,4,24.7,Match Report
118,Barcelona,2025-02-02,4,,Alavés,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,4,17.7,Match Report
119,Barcelona,2024-10-26,4,@,Real Madrid,es La Liga,W 4-0,4,0,+4,57,4,0,0,0,4,24.4,Match Report
120,Monza,2025-01-18,4,@,Bologna,it Serie A,L 1-3,1,3,-2,42,1,0,0,0,4,21.7,Match Report
121,Como,2025-02-01,4,@,Bologna,it Serie A,L 0-2,0,2,-2,50,0,0,0,0,4,28.8,Match Report
122,Villarreal,2024-12-18,4,,Rayo Vallecano,es La Liga,D 1-1,1,1,0,45,1,0,0,0,4,16.2,Match Report
123,Villarreal,2024-12-15,4,,Betis,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,4,15.7,Match Report
124,Athletic Club,2024-12-01,4,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,52,2,0,0,0,4,18.8,Match Report
125,Gladbach,2024-09-28,4,,Union Berlin,de Bundesliga,W 1-0,1,0,+1,62,1,0,0,0,4,33.0,Match Report
126,Southampton,2024-09-21,4,,Ipswich Town,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,4,21.4,Match Report
127,Tottenham,2024-09-21,4,,Brentford,eng Premier League,W 3-1,3,1,+2,48,3,0,0,0,4,14.7,Match Report
128,Toulouse,2025-01-12,4,,Strasbourg,fr Ligue 1,L 1-2,1,2,-1,53,0,0,0,0,4,21.0,Match Report
129,Crystal Palace,2024-09-21,4,,Manchester Utd,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,4,17.9,Match Report
130,Bournemouth,2025-04-02,4,,Ipswich Town,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,4,18.1,Match Report
131,Real Madrid,2025-03-09,4,,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,46,2,0,0,0,4,19.3,Match Report
132,St. Pauli,2025-02-22,4,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,47,0,0,0,0,4,16.9,Match Report
133,Marseille,2024-09-29,4,@,Strasbourg,fr Ligue 1,L 0-1,0,1,-1,59,0,0,0,0,4,18.7,Match Report
134,Marseille,2024-08-31,4,@,Toulouse,fr Ligue 1,W 3-1,3,1,+2,76,2,0,0,0,4,25.0,Match Report
135,Stuttgart,2025-01-15,4,,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,4,29.6,Match Report
136,Stuttgart,2024-12-06,4,,Union Berlin,de Bundesliga,W 3-2,3,2,+1,64,3,0,0,0,4,17.7,Match Report
137,Auxerre,2025-01-24,4,,Saint-Étienne,fr Ligue 1,D 1-1,1,1,0,37,1,0,0,0,4,20.4,Match Report
138,Lazio,2025-03-16,4,@,Bologna,it Serie A,L 0-5,0,5,-5,49,0,0,0,0,4,23.2,Match Report
139,Lazio,2025-02-22,4,@,Venezia,it Serie A,D 0-0,0,0,0,63,0,0,0,0,4,17.3,Match Report
140,Union Berlin,2025-02-15,4,,Gladbach,de Bundesliga,L 1-2,1,2,-1,52,0,1,1,0,4,20.6,Match Report
141,West Ham,2024-11-25,4,@,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,4,22.6,Match Report
142,West Ham,2024-10-19,4,@,Tottenham,eng Premier League,L 1-4,1,4,-3,43,1,0,0,0,4,17.9,Match Report
143,Leganés,2025-03-08,4,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,4,21.2,Match Report
144,Reims,2024-11-29,4,,Lens,fr Ligue 1,L 0-2,0,2,-2,52,0,0,0,0,4,26.0,Match Report
145,Liverpool,2025-03-08,4,,Southampton,eng Premier League,W 3-1,3,1,+2,71,1,2,2,0,4,20.1,Match Report
146,Liverpool,2025-02-01,4,@,Bournemouth,eng Premier League,W 2-0,2,0,+2,51,1,1,1,0,4,13.0,Match Report
147,Liverpool,2025-01-05,4,,Manchester Utd,eng Premier League,D 2-2,2,2,0,53,1,1,1,0,4,13.6,Match Report
148,Liverpool,2024-11-24,4,@,Southampton,eng Premier League,W 3-2,3,2,+1,62,2,1,1,0,4,24.2,Match Report
