Rk,Team,Date,#OPA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,#OPA,AvgDist,Match Report
1314,Leverkusen,2025-01-14,1,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,66,1,0,0,0,1,16.7,Match Report
1315,Leverkusen,2024-12-21,1,,Freiburg,de Bundesliga,W 5-1,5,1,+4,67,5,0,1,1,1,12.8,Match Report
1316,Lille,2025-02-08,1,,Le Havre,fr Ligue 1,L 1-2,1,2,-1,66,1,0,0,0,1,19.3,Match Report
1317,Lille,2025-01-25,1,@,Strasbourg,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,1,12.9,Match Report
1318,Lille,2025-01-04,1,,Nantes,fr Ligue 1,D 1-1,1,1,0,71,1,0,0,0,1,16.0,Match Report
1319,Lille,2024-12-06,1,,Brest,fr Ligue 1,W 3-1,3,1,+2,61,2,1,1,0,1,15.0,Match Report
1320,Lille,2024-11-01,1,,Lyon,fr Ligue 1,D 1-1,1,1,0,47,1,0,0,0,1,13.8,Match Report
1321,Lille,2024-10-26,1,@,Lens,fr Ligue 1,W 2-0,2,0,+2,42,1,1,1,0,1,14.7,Match Report
1322,Lille,2024-10-18,1,@,Monaco,fr Ligue 1,D 0-0,0,0,0,48,0,0,0,0,1,14.6,Match Report
1323,Lille,2024-09-13,1,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,70,0,0,0,0,1,19.0,Match Report
1324,Lille,2024-08-24,1,,Angers,fr Ligue 1,W 2-0,2,0,+2,64,2,0,0,0,1,24.0,Match Report
1325,Lille,2024-08-17,1,@,Reims,fr Ligue 1,W 2-0,2,0,+2,68,2,0,0,0,1,14.5,Match Report
1326,Brentford,2025-04-06,1,,Chelsea,eng Premier League,D 0-0,0,0,0,42,0,0,0,0,1,10.8,Match Report
1327,Brentford,2025-03-15,1,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,1,11.7,Match Report
1328,Brentford,2025-02-15,1,@,West Ham,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,1,9.0,Match Report
1329,Brentford,2024-10-26,1,,Ipswich Town,eng Premier League,W 4-3,4,3,+1,65,3,1,1,0,1,14.3,Match Report
1330,Brentford,2024-09-28,1,,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,1,13.7,Match Report
1331,Brentford,2024-09-21,1,@,Tottenham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,1,11.0,Match Report
1332,Brentford,2024-08-31,1,,Southampton,eng Premier League,W 3-1,3,1,+2,37,3,0,0,0,1,17.0,Match Report
1333,Roma,2025-03-29,1,@,Lecce,it Serie A,W 1-0,1,0,+1,55,1,0,0,0,1,11.5,Match Report
1334,Roma,2025-03-02,1,,Como,it Serie A,W 2-1,2,1,+1,48,2,0,0,0,1,13.0,Match Report
1335,Roma,2025-01-17,1,,Genoa,it Serie A,W 3-1,3,1,+2,52,2,0,0,0,1,17.8,Match Report
1336,Roma,2025-01-12,1,@,Bologna,it Serie A,D 2-2,2,2,0,46,1,1,1,0,1,13.5,Match Report
1337,Roma,2024-12-29,1,@,Milan,it Serie A,D 1-1,1,1,0,54,1,0,0,0,1,19.0,Match Report
1338,Roma,2024-12-22,1,,Parma,it Serie A,W 5-0,5,0,+5,59,3,2,2,0,1,24.0,Match Report
1339,Roma,2024-12-15,1,@,Como,it Serie A,L 0-2,0,2,-2,62,0,0,0,0,1,13.7,Match Report
1340,Roma,2024-12-02,1,,Atalanta,it Serie A,L 0-2,0,2,-2,48,0,0,0,0,1,18.7,Match Report
1341,Roma,2024-10-27,1,@,Fiorentina,it Serie A,L 1-5,1,5,-4,61,1,0,0,0,1,23.0,Match Report
1342,Roma,2024-10-20,1,,Inter,it Serie A,L 0-1,0,1,-1,55,0,0,0,0,1,15.5,Match Report
1343,Roma,2024-10-06,1,@,Monza,it Serie A,D 1-1,1,1,0,65,1,0,0,0,1,13.0,Match Report
1344,Roma,2024-09-29,1,,Venezia,it Serie A,W 2-1,2,1,+1,69,2,0,0,0,1,28.0,Match Report
1345,Chelsea,2025-03-16,1,@,Arsenal,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,1,10.8,Match Report
1346,Chelsea,2025-02-14,1,@,Brighton,eng Premier League,L 0-3,0,3,-3,69,0,0,0,0,1,19.5,Match Report
1347,Chelsea,2025-02-03,1,,West Ham,eng Premier League,W 2-1,2,1,+1,68,1,0,0,0,1,17.7,Match Report
1348,Chelsea,2024-12-22,1,@,Everton,eng Premier League,D 0-0,0,0,0,75,0,0,0,0,1,8.8,Match Report
1349,Chelsea,2024-12-08,1,@,Tottenham,eng Premier League,W 4-3,4,3,+1,61,2,2,2,0,1,15.7,Match Report
1350,Chelsea,2024-11-23,1,@,Leicester City,eng Premier League,W 2-1,2,1,+1,63,2,0,0,0,1,14.5,Match Report
1351,Chelsea,2024-10-20,1,@,Liverpool,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,1,14.3,Match Report
1352,Brighton,2025-02-25,1,,Bournemouth,eng Premier League,W 2-1,2,1,+1,44,1,1,1,0,1,8.9,Match Report
1353,Brighton,2025-01-16,1,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,1,14.5,Match Report
1354,Brighton,2024-12-21,1,@,West Ham,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,1,10.7,Match Report
1355,Brighton,2024-12-08,1,@,Leicester City,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,1,13.0,Match Report
1356,Brighton,2024-10-26,1,,Wolves,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,1,17.3,Match Report
1357,Brighton,2024-10-19,1,@,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,40,1,0,0,0,1,10.1,Match Report
1358,Brighton,2024-10-06,1,,Tottenham,eng Premier League,W 3-2,3,2,+1,41,3,0,0,0,1,10.7,Match Report
1359,Brighton,2024-08-17,1,@,Everton,eng Premier League,W 3-0,3,0,+3,60,3,0,0,0,1,14.5,Match Report
1360,Saint-Étienne,2025-03-29,1,,Paris S-G,fr Ligue 1,L 1-6,1,6,-5,47,1,0,0,0,1,16.5,Match Report
1361,Saint-Étienne,2024-10-26,1,@,Angers,fr Ligue 1,L 2-4,2,4,-2,58,1,1,1,0,1,15.7,Match Report
1362,Saint-Étienne,2024-08-31,1,@,Brest,fr Ligue 1,L 0-4,0,4,-4,53,0,0,0,0,1,15.5,Match Report
1363,Everton,2025-04-02,1,@,Liverpool,eng Premier League,L 0-1,0,1,-1,27,0,0,0,0,1,10.5,Match Report
1364,Everton,2025-03-08,1,@,Wolves,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,1,13.0,Match Report
1365,Everton,2025-02-01,1,,Leicester City,eng Premier League,W 4-0,4,0,+4,48,4,0,0,0,1,15.8,Match Report
1366,Everton,2025-01-19,1,,Tottenham,eng Premier League,W 3-2,3,2,+1,36,2,0,0,0,1,15.8,Match Report
1367,Everton,2024-12-14,1,@,Arsenal,eng Premier League,D 0-0,0,0,0,24,0,0,0,0,1,7.6,Match Report
1368,Everton,2024-11-23,1,,Brentford,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,1,32.0,Match Report
1369,Everton,2024-11-09,1,@,West Ham,eng Premier League,D 0-0,0,0,0,51,0,0,0,0,1,15.5,Match Report
1370,Everton,2024-10-05,1,,Newcastle Utd,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,1,12.8,Match Report
1371,Everton,2024-09-21,1,@,Leicester City,eng Premier League,D 1-1,1,1,0,42,1,0,0,0,1,13.2,Match Report
1372,Napoli,2025-03-30,1,,Milan,it Serie A,W 2-1,2,1,+1,51,2,0,0,0,1,9.6,Match Report
1373,Napoli,2025-02-09,1,,Udinese,it Serie A,D 1-1,1,1,0,62,1,0,0,0,1,15.0,Match Report
1374,Napoli,2025-02-02,1,@,Roma,it Serie A,D 1-1,1,1,0,49,1,0,0,0,1,15.3,Match Report
1375,Napoli,2025-01-18,1,@,Atalanta,it Serie A,W 3-2,3,2,+1,44,3,0,0,0,1,14.0,Match Report
1376,Napoli,2024-12-01,1,@,Torino,it Serie A,W 1-0,1,0,+1,52,1,0,0,0,1,15.8,Match Report
1377,Napoli,2024-11-03,1,,Atalanta,it Serie A,L 0-3,0,3,-3,50,0,0,0,0,1,25.0,Match Report
1378,Napoli,2024-08-25,1,,Bologna,it Serie A,W 3-0,3,0,+3,39,3,0,0,0,1,23.0,Match Report
1379,Lyon,2025-01-18,1,,Toulouse,fr Ligue 1,D 0-0,0,0,0,62,0,0,0,0,1,22.5,Match Report
1380,Lyon,2025-01-11,1,@,Brest,fr Ligue 1,L 1-2,1,2,-1,67,1,0,0,0,1,15.0,Match Report
1381,Lyon,2024-09-29,1,@,Toulouse,fr Ligue 1,W 2-1,2,1,+1,54,1,0,0,0,1,12.9,Match Report
1382,Inter,2025-02-22,1,,Genoa,it Serie A,W 1-0,1,0,+1,62,1,0,0,0,1,23.5,Match Report
1383,Inter,2025-02-16,1,@,Juventus,it Serie A,L 0-1,0,1,-1,58,0,0,0,0,1,15.3,Match Report
1384,Inter,2025-02-06,1,@,Fiorentina,it Serie A,L 0-3,0,3,-3,71,0,0,0,0,1,30.0,Match Report
1385,Inter,2025-01-26,1,@,Lecce,it Serie A,W 4-0,4,0,+4,51,3,1,1,0,1,16.8,Match Report
1386,Inter,2024-11-10,1,,Napoli,it Serie A,D 1-1,1,1,0,53,1,0,1,1,1,15.0,Match Report
1387,Inter,2024-10-30,1,@,Empoli,it Serie A,W 3-0,3,0,+3,77,3,0,0,0,1,20.0,Match Report
1388,Inter,2024-10-05,1,,Torino,it Serie A,W 3-2,3,2,+1,80,3,0,0,0,1,17.5,Match Report
1389,Inter,2024-09-28,1,@,Udinese,it Serie A,W 3-2,3,2,+1,60,3,0,0,0,1,15.0,Match Report
1390,Inter,2024-08-24,1,,Lecce,it Serie A,W 2-0,2,0,+2,61,1,1,1,0,1,13.2,Match Report
1391,Inter,2024-08-17,1,@,Genoa,it Serie A,D 2-2,2,2,0,68,2,0,0,0,1,21.5,Match Report
1392,Nantes,2025-03-02,1,@,Marseille,fr Ligue 1,L 0-2,0,2,-2,26,0,0,0,0,1,10.5,Match Report
1393,Nantes,2025-01-26,1,,Lyon,fr Ligue 1,D 1-1,1,1,0,38,1,0,0,0,1,15.5,Match Report
1394,Nantes,2024-12-08,1,,Rennes,fr Ligue 1,W 1-0,1,0,+1,47,1,0,0,0,1,15.3,Match Report
1395,Nantes,2024-11-24,1,,Le Havre,fr Ligue 1,L 0-2,0,2,-2,70,0,0,0,0,1,15.0,Match Report
1396,Nantes,2024-11-09,1,@,Lens,fr Ligue 1,L 2-3,2,3,-1,33,1,1,1,0,1,12.2,Match Report
1397,Nantes,2024-11-03,1,,Marseille,fr Ligue 1,L 1-2,1,2,-1,27,1,0,0,0,1,13.4,Match Report
1398,Nantes,2024-08-31,1,@,Montpellier,fr Ligue 1,W 3-1,3,1,+2,31,2,1,1,0,1,9.3,Match Report
1399,Atlético Madrid,2025-03-09,1,@,Getafe,es La Liga,L 1-2,1,2,-1,61,0,1,1,0,1,10.2,Match Report
1400,Atlético Madrid,2025-01-18,1,@,Leganés,es La Liga,L 0-1,0,1,-1,67,0,0,1,1,1,19.0,Match Report
1401,Atlético Madrid,2024-12-21,1,@,Barcelona,es La Liga,W 2-1,2,1,+1,38,2,0,0,0,1,8.5,Match Report
1402,Atlético Madrid,2024-11-30,1,@,Valladolid,es La Liga,W 5-0,5,0,+5,55,5,0,0,0,1,15.3,Match Report
1403,Atlético Madrid,2024-11-10,1,@,Mallorca,es La Liga,W 1-0,1,0,+1,47,1,0,0,0,1,23.0,Match Report
1404,Atlético Madrid,2024-11-03,1,,Las Palmas,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,1,17.0,Match Report
1405,Atlético Madrid,2024-10-20,1,,Leganés,es La Liga,W 3-1,3,1,+2,63,3,0,0,0,1,18.3,Match Report
1406,Milan,2025-04-05,1,,Fiorentina,it Serie A,D 2-2,2,2,0,52,2,0,0,0,1,29.0,Match Report
1407,Milan,2025-02-15,1,,Hellas Verona,it Serie A,W 1-0,1,0,+1,73,1,0,0,0,1,12.5,Match Report
1408,Milan,2024-12-06,1,@,Atalanta,it Serie A,L 1-2,1,2,-1,48,1,0,0,0,1,15.0,Match Report
1409,Milan,2024-10-29,1,,Napoli,it Serie A,L 0-2,0,2,-2,61,0,0,0,0,1,11.3,Match Report
1410,Valencia,2025-03-15,1,@,Girona,es La Liga,D 1-1,1,1,0,43,1,0,0,0,1,17.7,Match Report
1411,Valencia,2025-03-02,1,@,Osasuna,es La Liga,D 3-3,3,3,0,49,3,0,0,0,1,15.8,Match Report
1412,Valencia,2024-11-23,1,,Betis,es La Liga,W 4-2,4,2,+2,48,4,0,0,0,1,15.7,Match Report
1413,Valencia,2024-09-28,1,@,Real Sociedad,es La Liga,L 0-3,0,3,-3,39,0,0,0,0,1,16.0,Match Report
1414,Valencia,2024-09-21,1,,Girona,es La Liga,W 2-0,2,0,+2,33,2,0,0,0,1,12.0,Match Report
1415,Valencia,2024-09-15,1,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,47,0,0,0,0,1,19.0,Match Report
1416,Juventus,2025-03-09,1,,Atalanta,it Serie A,L 0-4,0,4,-4,63,0,0,0,0,1,15.5,Match Report
1417,Juventus,2025-02-16,1,,Inter,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,1,14.7,Match Report
1418,Juventus,2025-01-18,1,,Milan,it Serie A,W 2-0,2,0,+2,60,2,0,0,0,1,24.0,Match Report
1419,Juventus,2025-01-11,1,@,Torino,it Serie A,D 1-1,1,1,0,59,1,0,0,0,1,17.3,Match Report
1420,Juventus,2024-12-29,1,,Fiorentina,it Serie A,D 2-2,2,2,0,62,2,0,0,0,1,10.6,Match Report
1421,Juventus,2024-12-07,1,,Bologna,it Serie A,D 2-2,2,2,0,54,2,0,0,0,1,28.0,Match Report
1422,Juventus,2024-09-21,1,,Napoli,it Serie A,D 0-0,0,0,0,64,0,0,0,0,1,20.0,Match Report
1423,Juventus,2024-09-01,1,,Roma,it Serie A,D 0-0,0,0,0,49,0,0,0,0,1,16.0,Match Report
1424,Paris S-G,2025-03-16,1,,Marseille,fr Ligue 1,W 3-1,3,1,+2,60,2,0,0,0,1,16.0,Match Report
1425,Paris S-G,2025-03-08,1,@,Rennes,fr Ligue 1,W 4-1,4,1,+3,68,4,0,0,0,1,11.3,Match Report
1426,Paris S-G,2025-02-15,1,@,Toulouse,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,1,14.0,Match Report
1427,Paris S-G,2025-02-01,1,@,Brest,fr Ligue 1,W 5-2,5,2,+3,65,5,0,0,0,1,12.7,Match Report
1428,Paris S-G,2024-11-30,1,,Nantes,fr Ligue 1,D 1-1,1,1,0,84,1,0,0,0,1,13.5,Match Report
1429,Paris S-G,2024-11-02,1,,Lens,fr Ligue 1,W 1-0,1,0,+1,68,1,0,0,0,1,23.0,Match Report
1430,Paris S-G,2024-10-06,1,@,Nice,fr Ligue 1,D 1-1,1,1,0,71,0,0,0,0,1,19.5,Match Report
1431,Paris S-G,2024-09-01,1,@,Lille,fr Ligue 1,W 3-1,3,1,+2,58,2,1,1,0,1,24.0,Match Report
1432,Paris S-G,2024-08-23,1,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,1,12.7,Match Report
1433,Paris S-G,2024-08-16,1,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,76,3,1,1,0,1,16.0,Match Report
1434,Real Sociedad,2025-02-09,1,,Espanyol,es La Liga,W 2-1,2,1,+1,68,2,0,0,0,1,11.8,Match Report
1435,Real Sociedad,2024-12-21,1,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,1,22.0,Match Report
1436,Real Sociedad,2024-10-27,1,,Osasuna,es La Liga,L 0-2,0,2,-2,74,0,0,0,0,1,18.5,Match Report
1437,Real Sociedad,2024-09-28,1,,Valencia,es La Liga,W 3-0,3,0,+3,61,3,0,0,0,1,16.5,Match Report
1438,Real Sociedad,2024-08-24,1,@,Espanyol,es La Liga,W 1-0,1,0,+1,66,1,0,0,0,1,19.0,Match Report
1439,Real Sociedad,2024-08-18,1,,Rayo Vallecano,es La Liga,L 1-2,1,2,-1,66,1,0,0,0,1,13.0,Match Report
1440,Nott'ham Forest,2025-02-15,1,@,Fulham,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,1,15.5,Match Report
1441,Nott'ham Forest,2025-02-01,1,,Brighton,eng Premier League,W 7-0,7,0,+7,38,5,1,1,0,1,23.3,Match Report
1442,Nott'ham Forest,2024-12-14,1,,Aston Villa,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,1,10.8,Match Report
1443,Nott'ham Forest,2024-12-07,1,@,Manchester Utd,eng Premier League,W 3-2,3,2,+1,29,3,0,0,0,1,15.0,Match Report
1444,Nott'ham Forest,2024-12-04,1,@,Manchester City,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,1,16.5,Match Report
1445,Nott'ham Forest,2024-09-14,1,@,Liverpool,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,1,12.0,Match Report
1446,Parma,2025-02-09,1,@,Cagliari,it Serie A,L 1-2,1,2,-1,61,1,0,0,0,1,14.3,Match Report
1447,Parma,2024-12-28,1,,Monza,it Serie A,W 2-1,2,1,+1,44,1,1,1,0,1,16.5,Match Report
1448,Parma,2024-12-22,1,@,Roma,it Serie A,L 0-5,0,5,-5,41,0,0,0,0,1,13.3,Match Report
1449,Parma,2024-11-23,1,,Atalanta,it Serie A,L 1-3,1,3,-2,45,1,0,0,0,1,11.3,Match Report
1450,Parma,2024-10-19,1,@,Como,it Serie A,D 1-1,1,1,0,39,1,0,0,0,1,20.5,Match Report
1451,Parma,2024-09-30,1,,Cagliari,it Serie A,L 2-3,2,3,-1,60,1,1,1,0,1,9.8,Match Report
1452,Parma,2024-08-31,1,@,Napoli,it Serie A,L 1-2,1,2,-1,45,0,1,1,0,1,9.7,Match Report
1453,Eint Frankfurt,2025-01-26,1,@,Hoffenheim,de Bundesliga,D 2-2,2,2,0,49,1,1,1,0,1,12.0,Match Report
1454,Eint Frankfurt,2024-12-21,1,,Mainz 05,de Bundesliga,L 1-3,1,3,-2,70,1,0,0,0,1,13.3,Match Report
1455,Eint Frankfurt,2024-12-01,1,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,1,12.2,Match Report
1456,Eint Frankfurt,2024-11-23,1,,Werder Bremen,de Bundesliga,W 1-0,1,0,+1,50,1,0,0,0,1,17.7,Match Report
1457,Eint Frankfurt,2024-11-10,1,@,Stuttgart,de Bundesliga,W 3-2,3,2,+1,40,3,0,0,0,1,17.0,Match Report
1458,Eint Frankfurt,2024-11-02,1,,Bochum,de Bundesliga,W 7-2,7,2,+5,64,7,0,0,0,1,14.7,Match Report
1459,Eint Frankfurt,2024-08-31,1,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,50,3,0,0,0,1,17.5,Match Report
1460,Celta Vigo,2025-02-15,1,@,Atlético Madrid,es La Liga,D 1-1,1,1,0,66,0,1,1,0,1,13.6,Match Report
1461,Celta Vigo,2024-09-29,1,,Girona,es La Liga,D 1-1,1,1,0,48,1,0,0,0,1,12.5,Match Report
1462,Celta Vigo,2024-09-22,1,@,Athletic Club,es La Liga,L 1-3,1,3,-2,67,0,1,1,0,1,30.0,Match Report
1463,Celta Vigo,2024-09-15,1,,Valladolid,es La Liga,W 3-1,3,1,+2,54,3,0,0,0,1,12.0,Match Report
1464,Brest,2025-03-09,1,,Angers,fr Ligue 1,W 2-0,2,0,+2,50,2,0,0,0,1,13.8,Match Report
1465,Brest,2024-12-15,1,,Nantes,fr Ligue 1,W 4-1,4,1,+3,51,4,0,0,0,1,11.7,Match Report
1466,Brest,2024-11-22,1,@,Monaco,fr Ligue 1,L 2-3,2,3,-1,49,2,0,0,0,1,15.3,Match Report
1467,Brest,2024-10-26,1,@,Reims,fr Ligue 1,W 2-1,2,1,+1,47,1,1,1,0,1,11.5,Match Report
1468,Betis,2025-03-16,1,@,Leganés,es La Liga,W 3-2,3,2,+1,64,2,1,1,0,1,16.0,Match Report
1469,Betis,2025-01-25,1,@,Mallorca,es La Liga,W 1-0,1,0,+1,52,1,0,0,0,1,13.3,Match Report
1470,Betis,2025-01-11,1,@,Valladolid,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,1,15.0,Match Report
1471,Betis,2024-12-07,1,,Barcelona,es La Liga,D 2-2,2,2,0,38,1,1,1,0,1,17.7,Match Report
1472,Betis,2024-09-23,1,,Mallorca,es La Liga,L 1-2,1,2,-1,61,1,0,0,0,1,15.3,Match Report
1473,Lens,2025-04-06,1,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,+1,60,1,0,0,0,1,7.6,Match Report
1474,Lens,2025-03-30,1,@,Lille,fr Ligue 1,L 0-1,0,1,-1,55,0,0,0,0,1,14.7,Match Report
1475,Lens,2025-03-15,1,,Rennes,fr Ligue 1,W 1-0,1,0,+1,46,1,0,0,0,1,15.7,Match Report
1476,Lens,2024-11-29,1,@,Reims,fr Ligue 1,W 2-0,2,0,+2,48,2,0,0,0,1,18.0,Match Report
1477,Lens,2024-10-26,1,,Lille,fr Ligue 1,L 0-2,0,2,-2,58,0,0,0,0,1,29.0,Match Report
1478,Lens,2024-10-19,1,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,+2,63,2,0,0,0,1,27.7,Match Report
1479,Lens,2024-09-21,1,@,Rennes,fr Ligue 1,D 1-1,1,1,0,60,1,0,0,0,1,9.2,Match Report
1480,Monaco,2025-03-07,1,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,50,1,0,0,0,1,11.6,Match Report
1481,Monaco,2025-01-17,1,@,Montpellier,fr Ligue 1,L 1-2,1,2,-1,67,1,0,0,0,1,16.0,Match Report
1482,Monaco,2024-12-14,1,@,Reims,fr Ligue 1,D 0-0,0,0,0,64,0,0,0,0,1,22.3,Match Report
1483,Monaco,2024-12-01,1,@,Marseille,fr Ligue 1,L 1-2,1,2,-1,37,1,0,0,0,1,14.0,Match Report
1484,Monaco,2024-09-28,1,,Montpellier,fr Ligue 1,W 2-1,2,1,+1,65,2,0,0,0,1,13.3,Match Report
1485,Monaco,2024-09-01,1,,Lens,fr Ligue 1,D 1-1,1,1,0,62,1,0,0,0,1,12.0,Match Report
1486,Monaco,2024-08-17,1,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,+1,61,1,0,0,0,1,12.0,Match Report
1487,Fulham,2025-02-22,1,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,62,0,0,0,0,1,17.0,Match Report
1488,Fulham,2025-02-01,1,@,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,1,12.5,Match Report
1489,Fulham,2025-01-14,1,@,West Ham,eng Premier League,L 2-3,2,3,-1,56,2,0,0,0,1,19.0,Match Report
1490,Fulham,2024-12-29,1,,Bournemouth,eng Premier League,D 2-2,2,2,0,52,2,0,0,0,1,18.7,Match Report
1491,Fulham,2024-11-04,1,,Brentford,eng Premier League,W 2-1,2,1,+1,68,2,0,0,0,1,13.8,Match Report
1492,Fulham,2024-10-19,1,,Aston Villa,eng Premier League,L 1-3,1,3,-2,52,1,0,1,1,1,7.7,Match Report
1493,Fulham,2024-09-14,1,,West Ham,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,1,12.7,Match Report
1494,Fulham,2024-08-31,1,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,1,12.3,Match Report
1495,Fulham,2024-08-16,1,@,Manchester Utd,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,1,18.3,Match Report
1496,Lecce,2025-01-19,1,@,Cagliari,it Serie A,L 1-4,1,4,-3,50,1,0,0,0,1,12.0,Match Report
1497,Lecce,2024-08-31,1,,Cagliari,it Serie A,W 1-0,1,0,+1,35,1,0,0,0,1,10.4,Match Report
1498,Lecce,2024-08-19,1,,Atalanta,it Serie A,L 0-4,0,4,-4,48,0,0,0,0,1,16.0,Match Report
1499,Las Palmas,2025-03-31,0,@,Celta Vigo,es La Liga,D 1-1,1,1,0,39,1,0,0,0,0,5.0,Match Report
1500,Las Palmas,2025-03-14,0,,Alavés,es La Liga,D 2-2,2,2,0,61,1,1,1,0,0,14.0,Match Report
1501,Las Palmas,2025-02-22,0,,Barcelona,es La Liga,L 0-2,0,2,-2,31,0,0,0,0,0,16.0,Match Report
1502,Las Palmas,2025-02-03,0,@,Girona,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,0,7.0,Match Report
1503,Las Palmas,2025-01-19,0,@,Real Madrid,es La Liga,L 1-4,1,4,-3,39,1,0,0,0,0,9.3,Match Report
1504,Las Palmas,2025-01-12,0,,Getafe,es La Liga,L 1-2,1,2,-1,63,1,0,1,1,0,9.5,Match Report
1505,Las Palmas,2024-12-22,0,,Espanyol,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,0,6.0,Match Report
1506,Las Palmas,2024-12-15,0,@,Real Sociedad,es La Liga,D 0-0,0,0,0,39,0,0,0,0,0,,Match Report
1507,Las Palmas,2024-12-07,0,,Valladolid,es La Liga,W 2-1,2,1,+1,58,2,0,0,0,0,7.0,Match Report
1508,Las Palmas,2024-11-30,0,@,Barcelona,es La Liga,W 2-1,2,1,+1,31,2,0,0,0,0,6.0,Match Report
1509,Las Palmas,2024-11-23,0,,Mallorca,es La Liga,L 2-3,2,3,-1,61,1,1,1,0,0,10.0,Match Report
1510,Las Palmas,2024-11-08,0,@,Rayo Vallecano,es La Liga,W 3-1,3,1,+2,36,2,0,0,0,0,2.5,Match Report
1511,Las Palmas,2024-09-30,0,@,Villarreal,es La Liga,L 1-3,1,3,-2,57,1,0,0,0,0,8.7,Match Report
1512,Las Palmas,2024-09-26,0,,Betis,es La Liga,D 1-1,1,1,0,55,1,0,0,0,0,4.0,Match Report
1513,Las Palmas,2024-09-01,0,@,Alavés,es La Liga,L 0-2,0,2,-2,70,0,0,0,0,0,3.0,Match Report
1514,Las Palmas,2024-08-29,0,,Real Madrid,es La Liga,D 1-1,1,1,0,43,1,0,0,0,0,,Match Report
1515,Hoffenheim,2025-03-14,0,@,St. Pauli,de Bundesliga,L 0-1,0,1,-1,56,0,0,0,0,0,9.3,Match Report
1516,Hoffenheim,2025-03-09,0,,Heidenheim,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,0,8.8,Match Report
1517,Hoffenheim,2025-02-08,0,,Union Berlin,de Bundesliga,L 0-4,0,4,-4,64,0,0,0,0,0,6.0,Match Report
1518,Hoffenheim,2025-02-02,0,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,52,1,0,0,0,0,5.0,Match Report
1519,Hoffenheim,2025-01-26,0,,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,51,2,0,0,0,0,9.3,Match Report
1520,Hoffenheim,2025-01-15,0,@,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,35,0,0,0,0,0,10.3,Match Report
1521,Hoffenheim,2025-01-11,0,,Wolfsburg,de Bundesliga,L 0-1,0,1,-1,55,0,0,0,0,0,13.0,Match Report
1522,Hoffenheim,2024-12-08,0,,Freiburg,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,0,17.3,Match Report
1523,Hoffenheim,2024-11-23,0,,RB Leipzig,de Bundesliga,W 4-3,4,3,+1,59,4,0,0,0,0,11.2,Match Report
1524,Hoffenheim,2024-10-06,0,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,0,6.8,Match Report
