Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Succ,Succ%,Tkld,Tkld%,Match Report
99,Fulham,2024-09-14,29,,West Ham,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,29,12,41.4,9,31.0,Match Report
100,Nice,2025-03-29,28,@,Monaco,fr Ligue 1,L 1-2,1,2,-1,42,1,0,0,0,28,10,35.7,13,46.4,Match Report
101,Arsenal,2025-01-25,28,@,Wolves,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,28,8,28.6,17,60.7,Match Report
102,Bologna,2024-12-15,28,,Fiorentina,it Serie A,W 1-0,1,0,+1,50,1,0,0,0,28,10,35.7,14,50.0,Match Report
103,Barcelona,2025-01-26,28,,Valencia,es La Liga,W 7-1,7,1,+6,71,6,0,0,0,28,15,53.6,8,28.6,Match Report
104,Barcelona,2025-01-18,28,@,Getafe,es La Liga,D 1-1,1,1,0,77,1,0,0,0,28,16,57.1,10,35.7,Match Report
105,Barcelona,2024-10-20,28,,Sevilla,es La Liga,W 5-1,5,1,+4,67,4,1,1,0,28,14,50.0,10,35.7,Match Report
106,Montpellier,2025-04-06,28,,Le Havre,fr Ligue 1,L 0-2,0,2,-2,55,0,0,0,0,28,7,25.0,20,71.4,Match Report
107,Montpellier,2024-08-31,28,,Nantes,fr Ligue 1,L 1-3,1,3,-2,69,1,0,0,0,28,10,35.7,16,57.1,Match Report
108,Athletic Club,2025-01-26,28,,Leganés,es La Liga,D 0-0,0,0,0,68,0,0,0,0,28,10,35.7,11,39.3,Match Report
109,Tottenham,2024-10-27,28,@,Crystal Palace,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,28,9,32.1,16,57.1,Match Report
110,Fiorentina,2024-12-15,28,@,Bologna,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,28,16,57.1,10,35.7,Match Report
111,Real Madrid,2024-08-29,28,@,Las Palmas,es La Liga,D 1-1,1,1,0,57,0,1,1,0,28,14,50.0,13,46.4,Match Report
112,Lazio,2024-09-29,28,@,Torino,it Serie A,W 3-2,3,2,+1,43,3,0,0,0,28,15,53.6,11,39.3,Match Report
113,Reims,2024-11-29,28,,Lens,fr Ligue 1,L 0-2,0,2,-2,52,0,0,0,0,28,12,42.9,14,50.0,Match Report
114,Aston Villa,2025-02-01,28,@,Wolves,eng Premier League,L 0-2,0,2,-2,68,0,0,0,0,28,8,28.6,13,46.4,Match Report
115,Rayo Vallecano,2025-02-22,28,,Villarreal,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,28,12,42.9,15,53.6,Match Report
116,Sevilla,2024-09-29,28,@,Athletic Club,es La Liga,D 1-1,1,1,0,61,0,0,0,0,28,15,53.6,9,32.1,Match Report
117,Sevilla,2024-09-14,28,,Getafe,es La Liga,W 1-0,1,0,+1,60,1,0,0,0,28,16,57.1,9,32.1,Match Report
118,Dortmund,2025-02-08,28,,Stuttgart,de Bundesliga,L 1-2,1,2,-1,68,1,0,0,0,28,8,28.6,16,57.1,Match Report
119,Rennes,2024-09-15,28,,Montpellier,fr Ligue 1,W 3-0,3,0,+3,51,3,0,0,0,28,14,50.0,13,46.4,Match Report
120,Manchester City,2025-02-15,28,,Newcastle Utd,eng Premier League,W 4-0,4,0,+4,61,4,0,0,0,28,8,28.6,17,60.7,Match Report
121,Manchester City,2024-10-05,28,,Fulham,eng Premier League,W 3-2,3,2,+1,58,3,0,0,0,28,11,39.3,13,46.4,Match Report
122,Leverkusen,2025-02-15,28,,Bayern Munich,de Bundesliga,D 0-0,0,0,0,57,0,0,0,0,28,11,39.3,14,50.0,Match Report
123,Brighton,2024-09-28,28,@,Chelsea,eng Premier League,L 2-4,2,4,-2,59,2,0,0,0,28,11,39.3,14,50.0,Match Report
124,Paris S-G,2025-03-01,28,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,28,12,42.9,14,50.0,Match Report
125,Paris S-G,2024-11-22,28,,Toulouse,fr Ligue 1,W 3-0,3,0,+3,72,3,0,0,0,28,12,42.9,14,50.0,Match Report
126,Parma,2025-01-12,28,@,Genoa,it Serie A,L 0-1,0,1,-1,39,0,0,0,0,28,13,46.4,10,35.7,Match Report
127,Eint Frankfurt,2025-02-08,28,@,Gladbach,de Bundesliga,D 1-1,1,1,0,47,1,0,0,0,28,13,46.4,11,39.3,Match Report
128,Eint Frankfurt,2025-01-14,28,,Freiburg,de Bundesliga,W 4-1,4,1,+3,64,4,0,0,0,28,7,25.0,18,64.3,Match Report
129,Brest,2024-09-22,28,,Toulouse,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,28,11,39.3,15,53.6,Match Report
130,Monaco,2024-12-18,28,,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,40,1,1,1,0,28,15,53.6,11,39.3,Match Report
131,Lecce,2025-01-05,28,,Genoa,it Serie A,D 0-0,0,0,0,63,0,0,0,0,28,10,35.7,13,46.4,Match Report
132,Bayern Munich,2024-12-07,27,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,27,13,48.1,12,44.4,Match Report
133,Arsenal,2025-04-05,27,@,Everton,eng Premier League,D 1-1,1,1,0,69,1,0,0,0,27,9,33.3,13,48.1,Match Report
134,Arsenal,2025-02-26,27,@,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,27,12,44.4,11,40.7,Match Report
135,Heidenheim,2025-01-18,27,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,27,11,40.7,12,44.4,Match Report
136,Monza,2025-01-18,27,@,Bologna,it Serie A,L 1-3,1,3,-2,42,1,0,0,0,27,11,40.7,11,40.7,Match Report
137,Villarreal,2024-08-19,27,,Atlético Madrid,es La Liga,D 2-2,2,2,0,44,1,0,0,0,27,14,51.9,10,37.0,Match Report
138,Mallorca,2025-02-16,27,,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,27,14,51.9,11,40.7,Match Report
139,Athletic Club,2024-10-06,27,@,Girona,es La Liga,L 1-2,1,2,-1,34,1,0,2,2,27,10,37.0,11,40.7,Match Report
140,Southampton,2024-12-07,27,@,Aston Villa,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,27,4,14.8,14,51.9,Match Report
141,Tottenham,2025-04-06,27,,Southampton,eng Premier League,W 3-1,3,1,+2,51,2,1,1,0,27,9,33.3,15,55.6,Match Report
142,Tottenham,2025-03-16,27,@,Fulham,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,27,8,29.6,18,66.7,Match Report
143,Toulouse,2024-10-20,27,,Angers,fr Ligue 1,D 1-1,1,1,0,65,1,0,0,0,27,15,55.6,11,40.7,Match Report
144,Bournemouth,2025-02-01,27,,Liverpool,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,27,12,44.4,12,44.4,Match Report
145,Real Madrid,2025-02-15,27,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,27,17,63.0,9,33.3,Match Report
146,Union Berlin,2024-12-21,27,@,Werder Bremen,de Bundesliga,L 1-4,1,4,-3,46,1,0,0,0,27,10,37.0,16,59.3,Match Report
147,Leganés,2025-03-08,27,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,27,18,66.7,8,29.6,Match Report
148,Wolves,2025-02-16,27,@,Liverpool,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,27,10,37.0,13,48.1,Match Report
149,Empoli,2024-10-06,27,@,Lazio,it Serie A,L 1-2,1,2,-1,42,1,0,0,0,27,13,48.1,14,51.9,Match Report
150,Sevilla,2024-09-01,27,,Girona,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,27,10,37.0,12,44.4,Match Report
151,Dortmund,2025-02-15,27,@,Bochum,de Bundesliga,L 0-2,0,2,-2,69,0,0,0,0,27,12,44.4,10,37.0,Match Report
152,Newcastle Utd,2025-01-15,27,,Wolves,eng Premier League,W 3-0,3,0,+3,60,3,0,0,0,27,16,59.3,6,22.2,Match Report
153,Rennes,2024-10-05,27,,Monaco,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,27,10,37.0,15,55.6,Match Report
154,Manchester City,2024-12-04,27,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,27,13,48.1,9,33.3,Match Report
155,Leverkusen,2024-09-22,27,,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,78,4,0,0,0,27,17,63.0,9,33.3,Match Report
156,Lille,2025-04-05,27,@,Lyon,fr Ligue 1,L 1-2,1,2,-1,44,1,0,0,0,27,17,63.0,8,29.6,Match Report
157,Brentford,2025-04-02,27,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,51,0,1,1,0,27,9,33.3,15,55.6,Match Report
158,Chelsea,2024-12-08,27,@,Tottenham,eng Premier League,W 4-3,4,3,+1,61,2,2,2,0,27,10,37.0,11,40.7,Match Report
159,Chelsea,2024-09-28,27,,Brighton,eng Premier League,W 4-2,4,2,+2,41,3,1,1,0,27,15,55.6,12,44.4,Match Report
160,Chelsea,2024-09-01,27,,Crystal Palace,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,27,11,40.7,13,48.1,Match Report
161,Saint-Étienne,2025-01-12,27,@,Paris S-G,fr Ligue 1,L 1-2,1,2,-1,41,1,0,0,0,27,10,37.0,14,51.9,Match Report
162,Milan,2025-01-14,27,@,Como,it Serie A,W 2-1,2,1,+1,48,2,0,0,0,27,16,59.3,8,29.6,Match Report
163,Juventus,2024-11-23,27,@,Milan,it Serie A,D 0-0,0,0,0,56,0,0,0,0,27,11,40.7,13,48.1,Match Report
164,Paris S-G,2024-11-02,27,,Lens,fr Ligue 1,W 1-0,1,0,+1,68,1,0,0,0,27,10,37.0,11,40.7,Match Report
165,Paris S-G,2024-09-27,27,,Rennes,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,27,11,40.7,15,55.6,Match Report
166,Nott'ham Forest,2024-10-21,27,,Crystal Palace,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,27,16,59.3,8,29.6,Match Report
167,Betis,2024-09-26,27,@,Las Palmas,es La Liga,D 1-1,1,1,0,45,1,0,0,0,27,10,37.0,12,44.4,Match Report
168,Monaco,2024-11-22,27,,Brest,fr Ligue 1,W 3-2,3,2,+1,51,3,0,0,0,27,12,44.4,11,40.7,Match Report
