Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
497,Udinese,2024-10-25,0,,Cagliari,it Serie A,W 2-0,2,0,+2,64,2,0,0,0,0,0,0,0,,Match Report
498,Udinese,2024-10-19,0,@,Milan,it Serie A,L 0-1,0,1,-1,56,0,0,0,0,0,0,0,0,,Match Report
499,Udinese,2024-10-05,0,,Lecce,it Serie A,W 1-0,1,0,+1,55,1,0,0,0,0,0,0,0,,Match Report
500,Udinese,2024-09-28,0,,Inter,it Serie A,L 2-3,2,3,-1,40,2,0,0,0,0,0,0,0,,Match Report
501,Udinese,2024-09-16,0,@,Parma,it Serie A,W 3-2,3,2,+1,53,3,0,0,0,0,0,0,0,,Match Report
502,Udinese,2024-08-24,0,,Lazio,it Serie A,W 2-1,2,1,+1,34,2,0,0,0,0,0,0,0,,Match Report
503,Bayern Munich,2025-04-04,0,@,Augsburg,de Bundesliga,W 3-1,3,1,+2,69,2,0,0,0,0,0,0,0,,Match Report
504,Bayern Munich,2025-03-29,0,,St. Pauli,de Bundesliga,W 3-2,3,2,+1,65,3,0,0,0,0,0,0,0,,Match Report
505,Bayern Munich,2025-03-15,0,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,80,1,0,0,0,0,0,0,0,,Match Report
506,Bayern Munich,2025-03-08,0,,Bochum,de Bundesliga,L 2-3,2,3,-1,73,2,0,1,1,0,0,0,0,,Match Report
507,Bayern Munich,2025-02-28,0,@,Stuttgart,de Bundesliga,W 3-1,3,1,+2,47,3,0,0,0,0,0,0,0,,Match Report
508,Bayern Munich,2025-02-23,0,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,0,0,0,0,,Match Report
509,Bayern Munich,2025-02-15,0,@,Leverkusen,de Bundesliga,D 0-0,0,0,0,43,0,0,0,0,0,0,0,0,,Match Report
510,Bayern Munich,2025-02-07,0,,Werder Bremen,de Bundesliga,W 3-0,3,0,+3,75,1,2,2,0,0,0,0,0,,Match Report
511,Bayern Munich,2025-02-01,0,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,0,0,0,0,,Match Report
512,Bayern Munich,2025-01-25,0,@,Freiburg,de Bundesliga,W 2-1,2,1,+1,65,2,0,0,0,0,0,0,0,,Match Report
513,Bayern Munich,2025-01-18,0,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,71,3,0,0,0,0,0,0,0,,Match Report
514,Bayern Munich,2025-01-15,0,,Hoffenheim,de Bundesliga,W 5-0,5,0,+5,65,4,1,1,0,0,0,0,0,,Match Report
515,Bayern Munich,2025-01-11,0,@,Gladbach,de Bundesliga,W 1-0,1,0,+1,67,0,1,1,0,0,0,0,0,,Match Report
516,Bayern Munich,2024-12-20,0,,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,71,5,0,0,0,0,0,0,0,,Match Report
517,Bayern Munich,2024-12-14,0,@,Mainz 05,de Bundesliga,L 1-2,1,2,-1,68,1,0,0,0,0,0,0,0,,Match Report
518,Bayern Munich,2024-12-07,0,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,82,4,0,0,0,0,0,0,0,,Match Report
519,Bayern Munich,2024-11-30,0,@,Dortmund,de Bundesliga,D 1-1,1,1,0,67,1,0,0,0,0,0,0,0,,Match Report
520,Bayern Munich,2024-11-22,0,,Augsburg,de Bundesliga,W 3-0,3,0,+3,80,1,2,2,0,0,0,0,0,,Match Report
521,Bayern Munich,2024-11-09,0,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,75,1,0,0,0,0,0,0,0,,Match Report
522,Bayern Munich,2024-11-02,0,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,77,2,1,1,0,0,0,0,0,,Match Report
523,Bayern Munich,2024-10-27,0,@,Bochum,de Bundesliga,W 5-0,5,0,+5,72,5,0,0,0,0,0,0,0,,Match Report
524,Bayern Munich,2024-10-19,0,,Stuttgart,de Bundesliga,W 4-0,4,0,+4,65,4,0,0,0,0,0,0,0,,Match Report
525,Bayern Munich,2024-10-06,0,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,0,0,0,0,,Match Report
526,Bayern Munich,2024-09-28,0,,Leverkusen,de Bundesliga,D 1-1,1,1,0,69,1,0,0,0,0,0,0,0,,Match Report
527,Bayern Munich,2024-09-21,0,@,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,69,5,0,0,0,0,0,0,0,,Match Report
528,Bayern Munich,2024-09-14,0,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,+5,70,4,1,1,0,0,0,0,0,,Match Report
529,Augsburg,2025-04-04,0,,Bayern Munich,de Bundesliga,L 1-3,1,3,-2,31,1,0,0,0,0,0,0,0,,Match Report
530,Augsburg,2025-03-15,0,,Wolfsburg,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,0,0,0,0,,Match Report
531,Augsburg,2025-03-08,0,@,Dortmund,de Bundesliga,W 1-0,1,0,+1,29,1,0,0,0,0,0,0,0,,Match Report
532,Augsburg,2025-03-02,0,,Freiburg,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,0,0,0,0,,Match Report
533,Augsburg,2025-02-22,0,@,Gladbach,de Bundesliga,W 3-0,3,0,+3,51,3,0,0,0,0,0,0,0,,Match Report
534,Augsburg,2025-02-14,0,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,39,0,0,0,0,0,0,0,0,,Match Report
535,Augsburg,2025-02-08,0,@,Mainz 05,de Bundesliga,D 0-0,0,0,0,34,0,0,0,0,0,0,0,0,,Match Report
536,Augsburg,2025-02-01,0,@,St. Pauli,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,0,0,0,0,,Match Report
537,Augsburg,2025-01-25,0,,Heidenheim,de Bundesliga,W 2-1,2,1,+1,60,2,0,0,0,0,0,0,0,,Match Report
538,Augsburg,2025-01-19,0,@,Werder Bremen,de Bundesliga,W 2-0,2,0,+2,29,2,0,0,0,0,0,0,0,,Match Report
539,Augsburg,2025-01-15,0,@,Union Berlin,de Bundesliga,W 2-0,2,0,+2,45,2,0,0,0,0,0,0,0,,Match Report
540,Augsburg,2025-01-12,0,,Stuttgart,de Bundesliga,L 0-1,0,1,-1,43,0,0,0,0,0,0,0,0,,Match Report
541,Augsburg,2024-12-21,0,@,Holstein Kiel,de Bundesliga,L 1-5,1,5,-4,63,1,0,0,0,0,0,0,0,,Match Report
542,Augsburg,2024-12-14,0,,Leverkusen,de Bundesliga,L 0-2,0,2,-2,35,0,0,0,0,0,0,0,0,,Match Report
543,Augsburg,2024-12-07,0,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,34,2,0,0,0,0,0,0,0,,Match Report
544,Augsburg,2024-11-30,0,,Bochum,de Bundesliga,W 1-0,1,0,+1,52,0,1,1,0,0,0,0,0,,Match Report
545,Augsburg,2024-11-10,0,,Hoffenheim,de Bundesliga,D 0-0,0,0,0,44,0,0,0,0,0,0,0,0,,Match Report
546,Augsburg,2024-11-02,0,@,Wolfsburg,de Bundesliga,D 1-1,1,1,0,31,1,0,0,0,0,0,0,0,,Match Report
547,Augsburg,2024-10-26,0,,Dortmund,de Bundesliga,W 2-1,2,1,+1,25,2,0,0,0,0,0,0,0,,Match Report
548,Augsburg,2024-10-19,0,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,43,1,0,0,0,0,0,0,0,,Match Report
549,Augsburg,2024-10-04,0,,Gladbach,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,0,0,0,0,,Match Report
550,Augsburg,2024-09-28,0,@,RB Leipzig,de Bundesliga,L 0-4,0,4,-4,41,0,0,1,1,0,0,0,0,,Match Report
551,Augsburg,2024-09-20,0,,Mainz 05,de Bundesliga,L 2-3,2,3,-1,73,2,0,0,0,0,0,0,0,,Match Report
552,Augsburg,2024-09-15,0,,St. Pauli,de Bundesliga,W 3-1,3,1,+2,44,3,0,0,0,0,0,0,0,,Match Report
553,Augsburg,2024-08-24,0,,Werder Bremen,de Bundesliga,D 2-2,2,2,0,46,2,0,0,0,0,0,0,0,,Match Report
554,Hellas Verona,2025-03-31,0,,Parma,it Serie A,D 0-0,0,0,0,42,0,0,0,0,0,0,0,0,,Match Report
555,Hellas Verona,2025-03-15,0,@,Udinese,it Serie A,W 1-0,1,0,+1,36,1,0,0,0,0,0,0,0,,Match Report
556,Hellas Verona,2025-03-09,0,,Bologna,it Serie A,L 1-2,1,2,-1,33,1,0,0,0,0,0,0,0,,Match Report
557,Hellas Verona,2025-03-03,0,@,Juventus,it Serie A,L 0-2,0,2,-2,25,0,0,0,0,0,0,0,0,,Match Report
558,Hellas Verona,2025-02-23,0,,Fiorentina,it Serie A,W 1-0,1,0,+1,43,1,0,0,0,0,0,0,0,,Match Report
559,Hellas Verona,2025-02-15,0,@,Milan,it Serie A,L 0-1,0,1,-1,27,0,0,0,0,0,0,0,0,,Match Report
560,Hellas Verona,2025-02-08,0,,Atalanta,it Serie A,L 0-5,0,5,-5,38,0,0,0,0,0,0,0,0,,Match Report
561,Hellas Verona,2025-02-01,0,@,Monza,it Serie A,W 1-0,1,0,+1,34,0,0,0,0,0,0,0,0,,Match Report
562,Hellas Verona,2025-01-27,0,@,Venezia,it Serie A,D 1-1,1,1,0,50,1,0,0,0,0,0,0,0,,Match Report
563,Hellas Verona,2025-01-19,0,,Lazio,it Serie A,L 0-3,0,3,-3,36,0,0,0,0,0,0,0,0,,Match Report
564,Hellas Verona,2025-01-12,0,@,Napoli,it Serie A,L 0-2,0,2,-2,31,0,0,0,0,0,0,0,0,,Match Report
565,Hellas Verona,2025-01-04,0,,Udinese,it Serie A,D 0-0,0,0,0,37,0,0,0,0,0,0,0,0,,Match Report
566,Hellas Verona,2024-12-30,0,@,Bologna,it Serie A,W 3-2,3,2,+1,33,2,0,0,0,0,0,0,0,,Match Report
567,Hellas Verona,2024-12-20,0,,Milan,it Serie A,L 0-1,0,1,-1,36,0,0,0,0,0,0,0,0,,Match Report
568,Hellas Verona,2024-12-15,0,@,Parma,it Serie A,W 3-2,3,2,+1,44,3,0,0,0,0,0,0,0,,Match Report
569,Hellas Verona,2024-12-08,0,,Empoli,it Serie A,L 1-4,1,4,-3,50,1,0,0,0,0,0,0,0,,Match Report
570,Hellas Verona,2024-11-29,0,@,Cagliari,it Serie A,L 0-1,0,1,-1,37,0,0,0,0,0,0,0,0,,Match Report
571,Hellas Verona,2024-11-23,0,,Inter,it Serie A,L 0-5,0,5,-5,31,0,0,0,0,0,0,0,0,,Match Report
572,Hellas Verona,2024-11-10,0,@,Fiorentina,it Serie A,L 1-3,1,3,-2,39,1,0,0,0,0,0,0,0,,Match Report
573,Hellas Verona,2024-11-03,0,,Roma,it Serie A,W 3-2,3,2,+1,34,3,0,0,0,0,0,0,0,,Match Report
574,Hellas Verona,2024-10-29,0,@,Lecce,it Serie A,L 0-1,0,1,-1,42,0,0,0,0,0,0,0,0,,Match Report
575,Hellas Verona,2024-10-26,0,@,Atalanta,it Serie A,L 1-6,1,6,-5,31,1,0,0,0,0,0,0,0,,Match Report
576,Hellas Verona,2024-10-21,0,,Monza,it Serie A,L 0-3,0,3,-3,59,0,0,0,0,0,0,0,0,,Match Report
577,Hellas Verona,2024-10-04,0,,Venezia,it Serie A,W 2-1,2,1,+1,51,1,0,0,0,0,0,0,0,,Match Report
578,Hellas Verona,2024-09-29,0,@,Como,it Serie A,L 2-3,2,3,-1,29,1,1,1,0,0,0,0,0,,Match Report
579,Hellas Verona,2024-09-16,0,@,Lazio,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,0,0,0,0,,Match Report
580,Hellas Verona,2024-09-01,0,@,Genoa,it Serie A,W 2-0,2,0,+2,42,1,1,1,0,0,0,0,0,,Match Report
581,Hellas Verona,2024-08-18,0,,Napoli,it Serie A,W 3-0,3,0,+3,33,3,0,0,0,0,0,0,0,,Match Report
582,Torino,2025-04-06,0,,Hellas Verona,it Serie A,D 1-1,1,1,0,61,1,0,1,1,0,0,0,0,,Match Report
583,Torino,2025-03-31,0,@,Lazio,it Serie A,D 1-1,1,1,0,42,1,0,0,0,0,0,0,0,,Match Report
584,Torino,2025-03-15,0,,Empoli,it Serie A,W 1-0,1,0,+1,50,1,0,0,0,0,0,0,0,,Match Report
585,Torino,2025-03-08,0,@,Parma,it Serie A,D 2-2,2,2,0,47,2,0,0,0,0,0,0,0,,Match Report
586,Torino,2025-03-02,0,@,Monza,it Serie A,W 2-0,2,0,+2,47,2,0,0,0,0,0,0,0,,Match Report
587,Torino,2025-02-08,0,,Genoa,it Serie A,D 1-1,1,1,0,57,0,0,0,0,0,0,0,0,,Match Report
588,Torino,2025-01-24,0,,Cagliari,it Serie A,W 2-0,2,0,+2,50,2,0,0,0,0,0,0,0,,Match Report
589,Torino,2025-01-19,0,@,Fiorentina,it Serie A,D 1-1,1,1,0,47,1,0,0,0,0,0,0,0,,Match Report
590,Torino,2025-01-11,0,,Juventus,it Serie A,D 1-1,1,1,0,41,1,0,0,0,0,0,0,0,,Match Report
591,Torino,2025-01-05,0,,Parma,it Serie A,D 0-0,0,0,0,62,0,0,0,0,0,0,0,0,,Match Report
592,Torino,2024-12-29,0,@,Udinese,it Serie A,D 2-2,2,2,0,56,2,0,0,0,0,0,0,0,,Match Report
593,Torino,2024-12-13,0,@,Empoli,it Serie A,W 1-0,1,0,+1,41,1,0,0,0,0,0,0,0,,Match Report
594,Torino,2024-12-07,0,@,Genoa,it Serie A,D 0-0,0,0,0,48,0,0,0,0,0,0,0,0,,Match Report
595,Torino,2024-12-01,0,,Napoli,it Serie A,L 0-1,0,1,-1,48,0,0,0,0,0,0,0,0,,Match Report
596,Torino,2024-11-24,0,,Monza,it Serie A,D 1-1,1,1,0,54,1,0,0,0,0,0,0,0,,Match Report
597,Torino,2024-11-09,0,@,Juventus,it Serie A,L 0-2,0,2,-2,46,0,0,0,0,0,0,0,0,,Match Report
598,Torino,2024-11-03,0,,Fiorentina,it Serie A,L 0-1,0,1,-1,54,0,0,0,0,0,0,0,0,,Match Report
599,Torino,2024-10-31,0,@,Roma,it Serie A,L 0-1,0,1,-1,43,0,0,0,0,0,0,0,0,,Match Report
600,Torino,2024-10-25,0,,Como,it Serie A,W 1-0,1,0,+1,32,1,0,0,0,0,0,0,0,,Match Report
601,Torino,2024-10-20,0,@,Cagliari,it Serie A,L 2-3,2,3,-1,59,2,0,0,0,0,0,0,0,,Match Report
602,Torino,2024-10-05,0,@,Inter,it Serie A,L 2-3,2,3,-1,20,1,1,1,0,0,0,0,0,,Match Report
603,Torino,2024-09-29,0,,Lazio,it Serie A,L 2-3,2,3,-1,57,2,0,0,0,0,0,0,0,,Match Report
604,Torino,2024-09-20,0,@,Hellas Verona,it Serie A,W 3-2,3,2,+1,70,3,0,1,1,0,0,0,0,,Match Report
605,Torino,2024-09-15,0,,Lecce,it Serie A,D 0-0,0,0,0,53,0,0,0,0,0,0,0,0,,Match Report
606,Torino,2024-08-30,0,@,Venezia,it Serie A,W 1-0,1,0,+1,58,1,0,0,0,0,0,0,0,,Match Report
607,Torino,2024-08-17,0,@,Milan,it Serie A,D 2-2,2,2,0,44,1,0,0,0,0,0,0,0,,Match Report
608,Nice,2025-04-04,0,,Nantes,fr Ligue 1,L 1-2,1,2,-1,76,1,0,0,0,0,0,0,0,,Match Report
609,Nice,2025-03-14,0,,Auxerre,fr Ligue 1,D 1-1,1,1,0,51,1,0,0,0,0,0,0,0,,Match Report
610,Nice,2025-03-09,0,,Lyon,fr Ligue 1,L 0-2,0,2,-2,37,0,0,0,0,0,0,0,0,,Match Report
611,Nice,2025-03-01,0,@,Saint-Étienne,fr Ligue 1,W 3-1,3,1,+2,38,2,0,0,0,0,0,0,0,,Match Report
612,Nice,2025-02-23,0,,Montpellier,fr Ligue 1,W 2-0,2,0,+2,56,2,0,0,0,0,0,0,0,,Match Report
613,Nice,2025-02-16,0,@,Le Havre,fr Ligue 1,W 3-1,3,1,+2,51,2,0,0,0,0,0,0,0,,Match Report
614,Nice,2025-02-08,0,,Lens,fr Ligue 1,W 2-0,2,0,+2,60,1,1,1,0,0,0,0,0,,Match Report
615,Nice,2025-02-02,0,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,46,0,1,1,0,0,0,0,0,,Match Report
616,Nice,2025-01-26,0,,Marseille,fr Ligue 1,W 2-0,2,0,+2,29,2,0,0,0,0,0,0,0,,Match Report
617,Nice,2025-01-17,0,@,Lille,fr Ligue 1,L 1-2,1,2,-1,45,1,0,0,0,0,0,0,0,,Match Report
618,Nice,2025-01-11,0,@,Reims,fr Ligue 1,W 4-2,4,2,+2,46,3,1,1,0,0,0,0,0,,Match Report
619,Nice,2025-01-03,0,,Rennes,fr Ligue 1,W 3-2,3,2,+1,47,3,0,0,0,0,0,0,0,,Match Report
620,Nice,2024-12-15,0,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,0,0,0,0,,Match Report
621,Nice,2024-12-07,0,,Le Havre,fr Ligue 1,W 2-1,2,1,+1,51,1,1,1,0,0,0,0,0,,Match Report
622,Nice,2024-11-24,0,,Strasbourg,fr Ligue 1,W 2-1,2,1,+1,54,1,0,0,0,0,0,0,0,,Match Report
623,Nice,2024-11-10,0,,Lille,fr Ligue 1,D 2-2,2,2,0,43,2,0,0,0,0,0,0,0,,Match Report
624,Nice,2024-11-02,0,@,Brest,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,0,0,0,0,,Match Report
625,Nice,2024-10-27,0,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,0,0,0,0,,Match Report
626,Nice,2024-10-20,0,@,Nantes,fr Ligue 1,D 1-1,1,1,0,57,1,0,0,0,0,0,0,0,,Match Report
627,Nice,2024-10-06,0,,Paris S-G,fr Ligue 1,D 1-1,1,1,0,29,1,0,0,0,0,0,0,0,,Match Report
628,Nice,2024-09-28,0,@,Lens,fr Ligue 1,D 0-0,0,0,0,44,0,0,0,0,0,0,0,0,,Match Report
629,Nice,2024-09-20,0,,Saint-Étienne,fr Ligue 1,W 8-0,8,0,+8,59,6,1,1,0,0,0,0,0,,Match Report
630,Nice,2024-09-14,0,@,Marseille,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,0,0,0,0,,Match Report
631,Nice,2024-08-25,0,,Toulouse,fr Ligue 1,D 1-1,1,1,0,57,1,0,0,0,0,0,0,0,,Match Report
632,Nice,2024-08-18,0,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,55,1,0,0,0,0,0,0,0,,Match Report
633,Valladolid,2025-04-06,0,,Getafe,es La Liga,L 0-4,0,4,-4,51,0,0,0,0,0,0,0,0,,Match Report
634,Valladolid,2025-03-29,0,@,Real Sociedad,es La Liga,L 1-2,1,2,-1,45,1,0,0,0,0,0,0,0,,Match Report
635,Valladolid,2025-03-08,0,@,Valencia,es La Liga,L 1-2,1,2,-1,38,1,0,0,0,0,0,0,0,,Match Report
636,Valladolid,2025-02-28,0,,Las Palmas,es La Liga,D 1-1,1,1,0,64,1,0,0,0,0,0,0,0,,Match Report
637,Valladolid,2025-02-23,0,@,Athletic Club,es La Liga,L 1-7,1,7,-6,43,1,0,0,0,0,0,0,0,,Match Report
638,Valladolid,2025-02-16,0,,Sevilla,es La Liga,L 0-4,0,4,-4,52,0,0,0,0,0,0,0,0,,Match Report
639,Valladolid,2025-02-07,0,@,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,31,0,0,0,0,0,0,0,0,,Match Report
640,Valladolid,2025-02-01,0,@,Villarreal,es La Liga,L 1-5,1,5,-4,47,1,0,0,0,0,0,0,0,,Match Report
641,Valladolid,2025-01-17,0,@,Espanyol,es La Liga,L 1-2,1,2,-1,64,1,0,0,0,0,0,0,0,,Match Report
642,Valladolid,2025-01-11,0,,Betis,es La Liga,W 1-0,1,0,+1,42,1,0,0,0,0,0,0,0,,Match Report
643,Valladolid,2024-12-20,0,@,Girona,es La Liga,L 0-3,0,3,-3,30,0,0,0,0,0,0,0,0,,Match Report
644,Valladolid,2024-12-13,0,,Valencia,es La Liga,W 1-0,1,0,+1,33,1,0,0,0,0,0,0,0,,Match Report
645,Valladolid,2024-12-07,0,@,Las Palmas,es La Liga,L 1-2,1,2,-1,42,1,0,0,0,0,0,0,0,,Match Report
646,Valladolid,2024-11-30,0,,Atlético Madrid,es La Liga,L 0-5,0,5,-5,45,0,0,0,0,0,0,0,0,,Match Report
647,Valladolid,2024-11-22,0,@,Getafe,es La Liga,L 0-2,0,2,-2,43,0,0,0,0,0,0,0,0,,Match Report
648,Valladolid,2024-11-10,0,,Athletic Club,es La Liga,D 1-1,1,1,0,34,1,0,0,0,0,0,0,0,,Match Report
649,Valladolid,2024-10-26,0,,Villarreal,es La Liga,L 1-2,1,2,-1,45,0,1,1,0,0,0,0,0,,Match Report
650,Valladolid,2024-10-18,0,@,Alavés,es La Liga,W 3-2,3,2,+1,38,1,2,2,0,0,0,0,0,,Match Report
651,Valladolid,2024-10-05,0,,Rayo Vallecano,es La Liga,L 1-2,1,2,-1,40,1,0,0,0,0,0,0,0,,Match Report
652,Valladolid,2024-09-27,0,,Mallorca,es La Liga,L 1-2,1,2,-1,51,1,0,0,0,0,0,0,0,,Match Report
653,Valladolid,2024-09-24,0,@,Sevilla,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,0,0,0,0,,Match Report
654,Valladolid,2024-09-21,0,,Real Sociedad,es La Liga,D 0-0,0,0,0,36,0,0,0,0,0,0,0,0,,Match Report
655,Valladolid,2024-09-15,0,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,46,1,0,0,0,0,0,0,0,,Match Report
656,Valladolid,2024-08-31,0,@,Barcelona,es La Liga,L 0-7,0,7,-7,30,0,0,0,0,0,0,0,0,,Match Report
657,Valladolid,2024-08-28,0,,Leganés,es La Liga,D 0-0,0,0,0,58,0,0,0,0,0,0,0,0,,Match Report
658,Valladolid,2024-08-25,0,@,Real Madrid,es La Liga,L 0-3,0,3,-3,37,0,0,0,0,0,0,0,0,,Match Report
659,Valladolid,2024-08-19,0,,Espanyol,es La Liga,W 1-0,1,0,+1,46,1,0,0,0,0,0,0,0,,Match Report
660,Arsenal,2025-04-01,0,,Fulham,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,0,0,0,0,,Match Report
661,Arsenal,2025-03-16,0,,Chelsea,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,0,0,0,0,,Match Report
662,Arsenal,2025-03-09,0,@,Manchester Utd,eng Premier League,D 1-1,1,1,0,68,1,0,0,0,0,0,0,0,,Match Report
663,Arsenal,2025-02-26,0,@,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,0,0,0,0,,Match Report
664,Arsenal,2025-02-22,0,,West Ham,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,0,0,0,0,,Match Report
665,Arsenal,2025-02-15,0,@,Leicester City,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,0,0,0,0,,Match Report
666,Arsenal,2025-02-02,0,,Manchester City,eng Premier League,W 5-1,5,1,+4,46,5,0,0,0,0,0,0,0,,Match Report
667,Arsenal,2025-01-25,0,@,Wolves,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,0,0,0,0,,Match Report
668,Arsenal,2025-01-18,0,,Aston Villa,eng Premier League,D 2-2,2,2,0,66,2,0,0,0,0,0,0,0,,Match Report
669,Arsenal,2025-01-15,0,,Tottenham,eng Premier League,W 2-1,2,1,+1,53,1,0,0,0,0,0,0,0,,Match Report
670,Arsenal,2025-01-01,0,@,Brentford,eng Premier League,W 3-1,3,1,+2,50,3,0,0,0,0,0,0,0,,Match Report
671,Arsenal,2024-12-27,0,,Ipswich Town,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,0,0,0,0,,Match Report
672,Arsenal,2024-12-21,0,@,Crystal Palace,eng Premier League,W 5-1,5,1,+4,58,5,0,0,0,0,0,0,0,,Match Report
673,Arsenal,2024-12-14,0,,Everton,eng Premier League,D 0-0,0,0,0,76,0,0,0,0,0,0,0,0,,Match Report
674,Arsenal,2024-12-08,0,@,Fulham,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,0,0,0,0,,Match Report
675,Arsenal,2024-12-04,0,,Manchester Utd,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,0,0,0,0,,Match Report
676,Arsenal,2024-11-30,0,@,West Ham,eng Premier League,W 5-2,5,2,+3,60,3,2,2,0,0,0,0,0,,Match Report
677,Arsenal,2024-11-23,0,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,0,0,0,0,,Match Report
678,Arsenal,2024-11-10,0,@,Chelsea,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,0,0,0,0,,Match Report
679,Arsenal,2024-11-02,0,@,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,63,0,0,0,0,0,0,0,0,,Match Report
680,Arsenal,2024-10-27,0,,Liverpool,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,0,0,0,0,,Match Report
681,Arsenal,2024-10-05,0,,Southampton,eng Premier League,W 3-1,3,1,+2,59,3,0,0,0,0,0,0,0,,Match Report
682,Arsenal,2024-09-28,0,,Leicester City,eng Premier League,W 4-2,4,2,+2,74,3,0,0,0,0,0,0,0,,Match Report
683,Arsenal,2024-09-22,0,@,Manchester City,eng Premier League,D 2-2,2,2,0,23,2,0,0,0,0,0,0,0,,Match Report
684,Arsenal,2024-09-15,0,@,Tottenham,eng Premier League,W 1-0,1,0,+1,37,1,0,0,0,0,0,0,0,,Match Report
685,Arsenal,2024-08-31,0,,Brighton,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,0,0,0,0,,Match Report
686,Arsenal,2024-08-24,0,@,Aston Villa,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,0,0,0,0,,Match Report
687,Arsenal,2024-08-17,0,,Wolves,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,0,0,0,0,,Match Report
688,Heidenheim,2025-04-05,0,,Leverkusen,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,0,0,0,0,,Match Report
689,Heidenheim,2025-03-29,0,@,Wolfsburg,de Bundesliga,W 1-0,1,0,+1,39,0,1,1,0,0,0,0,0,,Match Report
690,Heidenheim,2025-03-16,0,,Holstein Kiel,de Bundesliga,W 3-1,3,1,+2,39,3,0,0,0,0,0,0,0,,Match Report
691,Heidenheim,2025-03-09,0,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,45,1,0,0,0,0,0,0,0,,Match Report
692,Heidenheim,2025-03-01,0,,Gladbach,de Bundesliga,L 0-3,0,3,-3,45,0,0,0,0,0,0,0,0,,Match Report
693,Heidenheim,2025-02-16,0,,Mainz 05,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,0,0,0,0,,Match Report
694,Heidenheim,2025-02-08,0,@,Freiburg,de Bundesliga,L 0-1,0,1,-1,47,0,0,0,0,0,0,0,0,,Match Report
695,Heidenheim,2025-02-01,0,,Dortmund,de Bundesliga,L 1-2,1,2,-1,37,1,0,0,0,0,0,0,0,,Match Report
696,Heidenheim,2025-01-25,0,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,0,0,0,0,,Match Report
697,Heidenheim,2025-01-15,0,@,Werder Bremen,de Bundesliga,D 3-3,3,3,0,48,3,0,0,0,0,0,0,0,,Match Report
698,Heidenheim,2025-01-11,0,,Union Berlin,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,0,0,0,0,,Match Report
699,Heidenheim,2024-12-22,0,@,Bochum,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,0,0,0,0,,Match Report
