Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
2434,Nantes,2024-08-25,0,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,36,2,0,0,0,0,0,0,0,,Match Report
2435,Nantes,2024-08-18,0,@,Toulouse,fr Ligue 1,D 0-0,0,0,0,46,0,0,0,0,0,0,0,0,,Match Report
2436,Atlético Madrid,2025-04-06,0,@,Sevilla,es La Liga,W 2-1,2,1,+1,56,1,1,1,0,0,0,0,0,,Match Report
2437,Atlético Madrid,2025-03-16,0,,Barcelona,es La Liga,L 2-4,2,4,-2,35,2,0,0,0,0,0,0,0,,Match Report
2438,Atlético Madrid,2025-03-09,0,@,Getafe,es La Liga,L 1-2,1,2,-1,61,0,1,1,0,0,0,0,0,,Match Report
2439,Atlético Madrid,2025-03-01,0,,Athletic Club,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,0,0,0,0,,Match Report
2440,Atlético Madrid,2025-02-22,0,@,Valencia,es La Liga,W 3-0,3,0,+3,51,3,0,0,0,0,0,0,0,,Match Report
2441,Atlético Madrid,2025-02-08,0,@,Real Madrid,es La Liga,D 1-1,1,1,0,40,0,1,1,0,0,0,0,0,,Match Report
2442,Atlético Madrid,2025-02-01,0,,Mallorca,es La Liga,W 2-0,2,0,+2,53,2,0,0,0,0,0,0,0,,Match Report
2443,Atlético Madrid,2025-01-18,0,@,Leganés,es La Liga,L 0-1,0,1,-1,67,0,0,1,1,0,0,0,0,,Match Report
2444,Atlético Madrid,2025-01-12,0,,Osasuna,es La Liga,W 1-0,1,0,+1,50,1,0,0,0,0,0,0,0,,Match Report
2445,Atlético Madrid,2024-12-21,0,@,Barcelona,es La Liga,W 2-1,2,1,+1,38,2,0,0,0,0,0,0,0,,Match Report
2446,Atlético Madrid,2024-12-15,0,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,0,0,0,0,,Match Report
2447,Atlético Madrid,2024-12-08,0,,Sevilla,es La Liga,W 4-3,4,3,+1,57,4,0,0,0,0,0,0,0,,Match Report
2448,Atlético Madrid,2024-11-30,0,@,Valladolid,es La Liga,W 5-0,5,0,+5,55,5,0,0,0,0,0,0,0,,Match Report
2449,Atlético Madrid,2024-11-10,0,@,Mallorca,es La Liga,W 1-0,1,0,+1,47,1,0,0,0,0,0,0,0,,Match Report
2450,Atlético Madrid,2024-11-03,0,,Las Palmas,es La Liga,W 2-0,2,0,+2,57,2,0,0,0,0,0,0,0,,Match Report
2451,Atlético Madrid,2024-10-27,0,@,Betis,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,0,0,0,0,,Match Report
2452,Atlético Madrid,2024-10-20,0,,Leganés,es La Liga,W 3-1,3,1,+2,63,3,0,0,0,0,0,0,0,,Match Report
2453,Atlético Madrid,2024-10-06,0,@,Real Sociedad,es La Liga,D 1-1,1,1,0,34,1,0,0,0,0,0,0,0,,Match Report
2454,Atlético Madrid,2024-09-29,0,,Real Madrid,es La Liga,D 1-1,1,1,0,51,1,0,0,0,0,0,0,0,,Match Report
2455,Atlético Madrid,2024-09-26,0,@,Celta Vigo,es La Liga,W 1-0,1,0,+1,42,1,0,0,0,0,0,0,0,,Match Report
2456,Atlético Madrid,2024-09-22,0,@,Rayo Vallecano,es La Liga,D 1-1,1,1,0,46,1,0,0,0,0,0,0,0,,Match Report
2457,Atlético Madrid,2024-09-15,0,,Valencia,es La Liga,W 3-0,3,0,+3,53,3,0,0,0,0,0,0,0,,Match Report
2458,Atlético Madrid,2024-08-31,0,@,Athletic Club,es La Liga,W 1-0,1,0,+1,47,1,0,0,0,0,0,0,0,,Match Report
2459,Atlético Madrid,2024-08-28,0,,Espanyol,es La Liga,D 0-0,0,0,0,63,0,0,0,0,0,0,0,0,,Match Report
2460,Atlético Madrid,2024-08-25,0,,Girona,es La Liga,W 3-0,3,0,+3,43,3,0,0,0,0,0,0,0,,Match Report
2461,Atlético Madrid,2024-08-19,0,@,Villarreal,es La Liga,D 2-2,2,2,0,56,2,0,0,0,0,0,0,0,,Match Report
2462,Milan,2025-04-05,0,,Fiorentina,it Serie A,D 2-2,2,2,0,52,2,0,0,0,0,0,0,0,,Match Report
2463,Milan,2025-03-30,0,@,Napoli,it Serie A,L 1-2,1,2,-1,49,1,0,1,1,0,0,0,0,,Match Report
2464,Milan,2025-03-15,0,,Como,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,0,0,0,0,,Match Report
2465,Milan,2025-03-08,0,@,Lecce,it Serie A,W 3-2,3,2,+1,70,1,1,1,0,0,0,0,0,,Match Report
2466,Milan,2025-02-27,0,@,Bologna,it Serie A,L 1-2,1,2,-1,43,1,0,0,0,0,0,0,0,,Match Report
2467,Milan,2025-02-22,0,@,Torino,it Serie A,L 1-2,1,2,-1,64,1,0,1,1,0,0,0,0,,Match Report
